Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Ronald Bennett,Gerry Byrne,Mark Kennedy,Lorne Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 117","Cox's Cove",1,70,16,16,0,103,274
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 118","McIver's",11,95,39,24,2,171,418
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 119","Gillams",2,97,39,21,2,161,344
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 120","Meadows",9,216,29,22,2,278,487
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 121","Summerside",3,83,17,4,1,108,197
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 122","Summerside",4,96,39,10,0,149,272
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 123","Irishtown",3,104,28,5,0,140,354
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 124","Corner Brook",6,121,47,9,0,183,339
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 125","Corner Brook",6,144,25,36,0,211,363
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 126","Massey Drive",12,186,62,25,0,285,555
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 127","Corner Brook",11,127,47,24,1,210,420
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 128","Corner Brook",9,96,41,17,0,163,354
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 129","Corner Brook",7,147,34,13,1,202,389
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 130","Corner Brook",3,108,44,7,0,162,375
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 131","Corner Brook",3,100,36,12,1,152,359
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 132","Corner Brook",1,100,39,17,1,158,350
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 133","Corner Brook",8,150,63,25,2,248,479
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 134","Corner Brook",17,116,54,13,1,201,381
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 135","Corner Brook",15,119,56,16,2,208,392
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 136","Corner Brook",17,111,28,13,1,170,351
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 137","Corner Brook",7,144,34,16,0,201,392
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 138","Corner Brook",11,159,32,15,1,218,411
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 139","Corner Brook",7,148,52,24,0,231,484
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 140","Corner Brook",15,118,28,15,0,176,323
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 141","Massey Drive",11,120,33,7,0,171,363
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 142A","Corner Brook",2,77,8,10,3,100,192
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 142B","Corner Brook",3,17,36,3,1,60,80
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 143","Corner Brook",6,66,33,13,0,118,379
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 144","Corner Brook",2,97,39,18,1,157,460
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 145","Corner Brook",5,78,27,5,0,115,229
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 146","Corner Brook",4,137,63,15,0,219,517
