Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Anderson,Jim Flaherty,Yvonne Forbes,Brent Fullard,David Purdy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Whitby--Oshawa/Whitby--Oshawa"," 34","Whitby",16,81,1,63,20,0,181,334
35099,"Whitby--Oshawa/Whitby--Oshawa"," 35","Whitby",17,56,0,64,34,1,172,359
35099,"Whitby--Oshawa/Whitby--Oshawa"," 36","Whitby",8,81,1,48,21,0,159,302
35099,"Whitby--Oshawa/Whitby--Oshawa"," 37","Whitby",26,92,1,51,34,0,204,410
35099,"Whitby--Oshawa/Whitby--Oshawa"," 38","Whitby",12,84,1,50,20,1,168,347
35099,"Whitby--Oshawa/Whitby--Oshawa"," 39","Whitby",18,96,1,48,25,1,189,399
35099,"Whitby--Oshawa/Whitby--Oshawa"," 40","Whitby",12,84,1,67,26,0,190,449
35099,"Whitby--Oshawa/Whitby--Oshawa"," 41","Whitby",Merged with No. 96/Fusionné avec le nº 96,,,,,,,175
35099,"Whitby--Oshawa/Whitby--Oshawa"," 42","Whitby",15,103,2,97,27,2,246,507
35099,"Whitby--Oshawa/Whitby--Oshawa"," 43","Whitby",14,113,3,65,27,2,224,461
35099,"Whitby--Oshawa/Whitby--Oshawa"," 44","Whitby",10,106,1,60,25,0,202,401
35099,"Whitby--Oshawa/Whitby--Oshawa"," 45","Whitby",9,135,2,59,7,1,213,436
35099,"Whitby--Oshawa/Whitby--Oshawa"," 46","Whitby",16,100,1,66,44,1,228,454
35099,"Whitby--Oshawa/Whitby--Oshawa"," 47","Whitby",8,145,1,80,26,0,260,501
35099,"Whitby--Oshawa/Whitby--Oshawa"," 48","Whitby",17,134,2,105,28,0,286,546
35099,"Whitby--Oshawa/Whitby--Oshawa"," 49","Whitby",12,106,0,37,17,0,172,305
35099,"Whitby--Oshawa/Whitby--Oshawa"," 50","Whitby",26,121,2,57,42,1,249,483
35099,"Whitby--Oshawa/Whitby--Oshawa"," 51","Whitby",28,151,4,74,40,0,297,500
35099,"Whitby--Oshawa/Whitby--Oshawa"," 52","Whitby",16,78,1,67,41,0,203,415
35099,"Whitby--Oshawa/Whitby--Oshawa"," 53","Whitby",13,76,2,54,13,2,160,361
35099,"Whitby--Oshawa/Whitby--Oshawa"," 54","Whitby",16,121,1,65,21,1,225,395
35099,"Whitby--Oshawa/Whitby--Oshawa"," 55","Whitby",18,135,3,89,19,2,266,481
35099,"Whitby--Oshawa/Whitby--Oshawa"," 56","Whitby",14,101,1,55,19,1,191,387
35099,"Whitby--Oshawa/Whitby--Oshawa"," 57","Whitby",29,148,1,68,27,0,273,416
35099,"Whitby--Oshawa/Whitby--Oshawa"," 58A","Whitby",13,81,1,78,17,0,190,312
35099,"Whitby--Oshawa/Whitby--Oshawa"," 58B","Whitby",13,120,1,51,20,1,206,333
35099,"Whitby--Oshawa/Whitby--Oshawa"," 59","Whitby",15,112,0,85,27,1,240,409
35099,"Whitby--Oshawa/Whitby--Oshawa"," 60","Whitby",14,126,1,80,24,0,245,380
35099,"Whitby--Oshawa/Whitby--Oshawa"," 61A","Whitby",Merged with No. 82A/Fusionné avec le nº 82A,,,,,,,163
35099,"Whitby--Oshawa/Whitby--Oshawa"," 61B","Whitby",Merged with No. 82B/Fusionné avec le nº 82B,,,,,,,150
35099,"Whitby--Oshawa/Whitby--Oshawa"," 62","Whitby",28,146,2,124,51,0,351,648
35099,"Whitby--Oshawa/Whitby--Oshawa"," 63","Whitby",15,174,1,73,45,0,308,532
35099,"Whitby--Oshawa/Whitby--Oshawa"," 64","Whitby",13,140,1,80,33,2,269,494
35099,"Whitby--Oshawa/Whitby--Oshawa"," 65","Whitby",14,77,1,47,31,1,171,381
35099,"Whitby--Oshawa/Whitby--Oshawa"," 66","Whitby",18,145,2,66,48,1,280,496
35099,"Whitby--Oshawa/Whitby--Oshawa"," 67","Whitby",27,127,4,72,25,2,257,482
35099,"Whitby--Oshawa/Whitby--Oshawa"," 68","Whitby",12,121,2,60,27,0,222,402
35099,"Whitby--Oshawa/Whitby--Oshawa"," 69","Whitby",18,97,4,69,50,0,238,478
35099,"Whitby--Oshawa/Whitby--Oshawa"," 70","Whitby",18,115,1,78,27,1,240,469
35099,"Whitby--Oshawa/Whitby--Oshawa"," 71","Whitby",23,118,0,57,45,2,245,428
35099,"Whitby--Oshawa/Whitby--Oshawa"," 72","Whitby",16,141,1,56,37,0,251,452
35099,"Whitby--Oshawa/Whitby--Oshawa"," 73","Whitby",7,116,0,59,27,3,212,367
35099,"Whitby--Oshawa/Whitby--Oshawa"," 74","Whitby",21,82,1,67,30,1,202,462
35099,"Whitby--Oshawa/Whitby--Oshawa"," 75","Whitby",10,80,0,47,23,3,163,379
35099,"Whitby--Oshawa/Whitby--Oshawa"," 76A","Whitby",15,80,0,61,29,1,186,330
35099,"Whitby--Oshawa/Whitby--Oshawa"," 76B","Whitby",8,91,1,68,26,0,194,344
35099,"Whitby--Oshawa/Whitby--Oshawa"," 77","Whitby",11,114,3,63,33,1,225,413
35099,"Whitby--Oshawa/Whitby--Oshawa"," 78","Whitby",20,158,1,53,29,1,262,456
35099,"Whitby--Oshawa/Whitby--Oshawa"," 79","Whitby",13,96,2,43,14,0,168,303
35099,"Whitby--Oshawa/Whitby--Oshawa"," 80","Whitby",28,158,0,90,33,1,310,539
35099,"Whitby--Oshawa/Whitby--Oshawa"," 81","Whitby",16,138,0,59,19,1,233,415
35099,"Whitby--Oshawa/Whitby--Oshawa"," 82A","Whitby",12,146,0,88,25,0,271,320
35099,"Whitby--Oshawa/Whitby--Oshawa"," 82B","Whitby",17,136,2,86,22,0,263,307
35099,"Whitby--Oshawa/Whitby--Oshawa"," 83","Whitby",23,161,3,60,42,2,291,493
35099,"Whitby--Oshawa/Whitby--Oshawa"," 84","Whitby",16,135,4,69,26,1,251,421
35099,"Whitby--Oshawa/Whitby--Oshawa"," 85","Whitby",20,135,1,48,25,0,229,385
35099,"Whitby--Oshawa/Whitby--Oshawa"," 86A","Whitby",Merged with No. 87A/Fusionné avec le nº 87A,,,,,,,70
35099,"Whitby--Oshawa/Whitby--Oshawa"," 86B","Whitby",Merged with No. 87B/Fusionné avec le nº 87B,,,,,,,72
35099,"Whitby--Oshawa/Whitby--Oshawa"," 87A","Whitby",16,92,0,63,43,0,214,386
35099,"Whitby--Oshawa/Whitby--Oshawa"," 87B","Whitby",16,105,1,73,30,0,225,405
35099,"Whitby--Oshawa/Whitby--Oshawa"," 88","Whitby",15,109,2,58,34,1,219,381
35099,"Whitby--Oshawa/Whitby--Oshawa"," 89","Whitby",12,113,3,63,24,0,215,402
35099,"Whitby--Oshawa/Whitby--Oshawa"," 90","Whitby",13,81,2,38,40,3,177,383
35099,"Whitby--Oshawa/Whitby--Oshawa"," 91","Whitby",14,84,2,49,21,4,174,349
35099,"Whitby--Oshawa/Whitby--Oshawa"," 92","Whitby",11,117,1,44,6,0,179,286
35099,"Whitby--Oshawa/Whitby--Oshawa"," 93","Whitby",14,137,2,85,12,0,250,379
35099,"Whitby--Oshawa/Whitby--Oshawa"," 94","Whitby",26,130,2,61,28,2,249,424
35099,"Whitby--Oshawa/Whitby--Oshawa"," 95","Whitby",6,133,0,90,24,0,253,481
35099,"Whitby--Oshawa/Whitby--Oshawa"," 96","Whitby",16,129,0,91,24,0,260,288
35099,"Whitby--Oshawa/Whitby--Oshawa"," 97","Whitby",26,104,0,33,25,0,188,328
35099,"Whitby--Oshawa/Whitby--Oshawa"," 98","Whitby",16,125,2,68,26,2,239,430
35099,"Whitby--Oshawa/Whitby--Oshawa"," 99","Whitby",22,136,0,70,14,0,242,401
35099,"Whitby--Oshawa/Whitby--Oshawa"," 100","Whitby",9,126,3,73,13,0,224,348
35099,"Whitby--Oshawa/Whitby--Oshawa"," 101","Whitby",11,87,2,39,20,0,159,315
35099,"Whitby--Oshawa/Whitby--Oshawa"," 102","Whitby",28,121,1,65,42,0,257,497
35099,"Whitby--Oshawa/Whitby--Oshawa"," 103","Whitby",25,108,0,57,29,1,220,401
35099,"Whitby--Oshawa/Whitby--Oshawa"," 104","Whitby",24,102,1,53,36,0,216,402
35099,"Whitby--Oshawa/Whitby--Oshawa"," 105","Whitby",21,136,2,57,11,0,227,417
35099,"Whitby--Oshawa/Whitby--Oshawa"," 106","Whitby",23,151,2,61,39,2,278,477
35099,"Whitby--Oshawa/Whitby--Oshawa"," 107","Whitby",25,117,5,52,44,1,244,385
35099,"Whitby--Oshawa/Whitby--Oshawa"," 108","Whitby",24,125,2,38,33,0,222,420
35099,"Whitby--Oshawa/Whitby--Oshawa"," 109","Whitby",12,100,2,45,45,1,205,377
35099,"Whitby--Oshawa/Whitby--Oshawa"," 110","Whitby",20,78,0,54,37,0,189,457
35099,"Whitby--Oshawa/Whitby--Oshawa"," 111","Whitby",23,108,0,60,32,0,223,428
35099,"Whitby--Oshawa/Whitby--Oshawa"," 112","Whitby",23,114,1,52,39,0,229,400
35099,"Whitby--Oshawa/Whitby--Oshawa"," 113","Whitby",17,121,1,66,27,0,232,354
35099,"Whitby--Oshawa/Whitby--Oshawa"," 114","Whitby",23,111,0,38,25,0,197,390
35099,"Whitby--Oshawa/Whitby--Oshawa"," 115","Whitby",13,94,0,81,28,1,217,473
35099,"Whitby--Oshawa/Whitby--Oshawa"," 116","Whitby",12,119,1,49,14,0,195,336
35099,"Whitby--Oshawa/Whitby--Oshawa"," 117","Whitby",21,124,2,72,35,0,254,484
35099,"Whitby--Oshawa/Whitby--Oshawa"," 118","Whitby",29,104,2,52,43,0,230,411
35099,"Whitby--Oshawa/Whitby--Oshawa"," 119","Whitby",30,156,3,84,22,0,295,502
35099,"Whitby--Oshawa/Whitby--Oshawa"," 120","Whitby",21,137,3,81,37,4,283,486
35099,"Whitby--Oshawa/Whitby--Oshawa"," 121","Whitby",28,147,0,81,30,0,286,526
35099,"Whitby--Oshawa/Whitby--Oshawa"," 122","Whitby",21,149,3,48,17,1,239,448
35099,"Whitby--Oshawa/Whitby--Oshawa"," 123","Whitby",17,126,1,68,20,1,233,487
35099,"Whitby--Oshawa/Whitby--Oshawa"," 124","Whitby",20,121,1,64,41,0,247,429
35099,"Whitby--Oshawa/Whitby--Oshawa"," 125","Whitby",23,145,4,81,34,0,287,456
35099,"Whitby--Oshawa/Whitby--Oshawa"," 126","Whitby",21,159,1,68,40,0,289,483
35099,"Whitby--Oshawa/Whitby--Oshawa"," 127","Whitby",27,168,0,70,48,1,314,500
35099,"Whitby--Oshawa/Whitby--Oshawa"," 128","Whitby",33,150,3,71,41,1,299,493
35099,"Whitby--Oshawa/Whitby--Oshawa"," 129","Whitby",19,138,1,48,38,0,244,433
35099,"Whitby--Oshawa/Whitby--Oshawa"," 130","Whitby",14,65,0,54,18,0,151,316
35099,"Whitby--Oshawa/Whitby--Oshawa"," 131","Whitby",19,132,2,41,31,3,228,407
35099,"Whitby--Oshawa/Whitby--Oshawa"," 132","Whitby",17,88,2,33,40,1,181,398
35099,"Whitby--Oshawa/Whitby--Oshawa"," 133","Whitby",35,103,2,62,35,1,238,399
35099,"Whitby--Oshawa/Whitby--Oshawa"," 134","Whitby",21,134,0,78,38,0,271,435
35099,"Whitby--Oshawa/Whitby--Oshawa"," 135","Whitby",21,177,1,71,37,0,307,492
35099,"Whitby--Oshawa/Whitby--Oshawa"," 136","Whitby",24,93,3,58,40,0,218,405
35099,"Whitby--Oshawa/Whitby--Oshawa"," 137","Whitby",18,92,4,66,33,1,214,426
35099,"Whitby--Oshawa/Whitby--Oshawa"," 138","Whitby",25,101,1,47,47,0,221,453
35099,"Whitby--Oshawa/Whitby--Oshawa"," 139","Whitby",27,79,1,38,50,0,195,406
35099,"Whitby--Oshawa/Whitby--Oshawa"," 140","Whitby",17,70,1,40,43,0,171,408
35099,"Whitby--Oshawa/Whitby--Oshawa"," 141","Whitby",26,75,2,32,40,0,175,372
35099,"Whitby--Oshawa/Whitby--Oshawa"," 142","Whitby",45,89,2,51,23,1,211,389
35099,"Whitby--Oshawa/Whitby--Oshawa"," 143","Whitby",49,100,3,62,33,2,249,404
35099,"Whitby--Oshawa/Whitby--Oshawa"," 144","Whitby",23,94,0,55,23,0,195,296
35099,"Whitby--Oshawa/Whitby--Oshawa"," 145","Whitby",37,114,2,45,32,0,230,400
35099,"Whitby--Oshawa/Whitby--Oshawa"," 146","Whitby",28,98,0,83,28,0,237,416
35099,"Whitby--Oshawa/Whitby--Oshawa"," 147","Whitby",20,82,3,67,28,0,200,329
35099,"Whitby--Oshawa/Whitby--Oshawa"," 148","Whitby",25,165,1,67,28,0,286,461
35099,"Whitby--Oshawa/Whitby--Oshawa"," 149","Whitby",14,132,0,80,13,0,239,396
35099,"Whitby--Oshawa/Whitby--Oshawa"," 150","Whitby",18,119,2,76,19,0,234,392
35099,"Whitby--Oshawa/Whitby--Oshawa"," 151","Whitby",26,108,1,61,28,1,225,422
35099,"Whitby--Oshawa/Whitby--Oshawa"," 152","Whitby",18,54,0,61,58,2,193,478
35099,"Whitby--Oshawa/Whitby--Oshawa"," 153","Whitby",15,60,0,46,37,2,160,446
35099,"Whitby--Oshawa/Whitby--Oshawa"," 154","Whitby",15,101,3,48,26,0,193,346
35099,"Whitby--Oshawa/Whitby--Oshawa"," 155","Whitby",17,90,2,53,27,0,189,324
35099,"Whitby--Oshawa/Whitby--Oshawa"," 156","Whitby",20,53,0,24,25,3,125,305
35099,"Whitby--Oshawa/Whitby--Oshawa"," 157","Whitby",20,96,2,44,32,0,194,317
35099,"Whitby--Oshawa/Whitby--Oshawa"," 158","Whitby",20,79,3,62,43,2,209,384
35099,"Whitby--Oshawa/Whitby--Oshawa"," 159","Whitby",11,80,1,59,18,1,170,303
35099,"Whitby--Oshawa/Whitby--Oshawa"," 160","Whitby",26,68,1,50,33,1,179,434
35099,"Whitby--Oshawa/Whitby--Oshawa"," 161","Whitby",30,115,4,68,39,2,258,444
35099,"Whitby--Oshawa/Whitby--Oshawa"," 162","Whitby",24,121,1,74,29,2,251,379
35099,"Whitby--Oshawa/Whitby--Oshawa"," 163","Whitby",10,73,0,50,43,1,177,336
35099,"Whitby--Oshawa/Whitby--Oshawa"," 164","Whitby",11,63,0,32,39,0,145,388
35099,"Whitby--Oshawa/Whitby--Oshawa"," 165","Whitby",16,106,0,29,52,1,204,390
35099,"Whitby--Oshawa/Whitby--Oshawa"," 166","Whitby",3,58,1,18,17,1,98,275
35099,"Whitby--Oshawa/Whitby--Oshawa"," 167","Whitby",10,62,1,38,33,0,144,345
35099,"Whitby--Oshawa/Whitby--Oshawa"," 168","Whitby",15,108,0,59,32,1,215,413
35099,"Whitby--Oshawa/Whitby--Oshawa"," 169","Whitby",24,104,3,52,32,1,216,374
35099,"Whitby--Oshawa/Whitby--Oshawa"," 170","Whitby",21,134,1,64,44,0,264,460
35099,"Whitby--Oshawa/Whitby--Oshawa"," 171","Whitby",23,136,1,64,21,1,246,455
35099,"Whitby--Oshawa/Whitby--Oshawa"," 172","Whitby",22,111,3,75,36,0,247,432
35099,"Whitby--Oshawa/Whitby--Oshawa"," 173","Whitby",14,108,1,58,25,0,206,430
35099,"Whitby--Oshawa/Whitby--Oshawa"," 174","Whitby",21,112,2,67,51,1,254,533
35099,"Whitby--Oshawa/Whitby--Oshawa"," 175","Whitby",25,113,1,70,31,0,240,401
35099,"Whitby--Oshawa/Whitby--Oshawa"," 176","Whitby",19,154,0,58,41,0,272,426
35099,"Whitby--Oshawa/Whitby--Oshawa"," 177","Whitby",15,122,0,67,38,2,244,406
35099,"Whitby--Oshawa/Whitby--Oshawa"," 178","Whitby",16,91,0,36,34,1,178,344
35099,"Whitby--Oshawa/Whitby--Oshawa"," 179","Whitby",19,95,2,46,27,1,190,331
35099,"Whitby--Oshawa/Whitby--Oshawa"," 180","Whitby",13,81,3,37,32,0,166,346
35099,"Whitby--Oshawa/Whitby--Oshawa"," 181","Whitby",17,100,2,52,28,0,199,350
35099,"Whitby--Oshawa/Whitby--Oshawa"," 182","Whitby",33,118,0,71,27,1,250,447
35099,"Whitby--Oshawa/Whitby--Oshawa"," 183","Whitby",15,98,3,55,26,0,197,365
35099,"Whitby--Oshawa/Whitby--Oshawa"," 184","Whitby",30,148,1,59,28,2,268,466
35099,"Whitby--Oshawa/Whitby--Oshawa"," 185","Whitby",25,118,1,67,18,1,230,385
35099,"Whitby--Oshawa/Whitby--Oshawa"," 186","Whitby",23,120,0,68,21,0,232,403
35099,"Whitby--Oshawa/Whitby--Oshawa"," 187","Whitby",18,103,1,99,31,0,252,436
35099,"Whitby--Oshawa/Whitby--Oshawa"," 188","Whitby",23,85,2,55,24,0,189,326
35099,"Whitby--Oshawa/Whitby--Oshawa"," 189","Whitby",30,127,3,97,21,0,278,535
35099,"Whitby--Oshawa/Whitby--Oshawa"," 190","Whitby",21,81,0,53,25,0,180,322
35099,"Whitby--Oshawa/Whitby--Oshawa"," 191A","Whitby",15,62,1,30,24,1,133,335
35099,"Whitby--Oshawa/Whitby--Oshawa"," 191B","Whitby",18,163,1,80,27,0,289,437
35099,"Whitby--Oshawa/Whitby--Oshawa"," 192","Whitby",23,64,1,34,25,0,147,358
35099,"Whitby--Oshawa/Whitby--Oshawa"," 193","Oshawa",17,114,3,38,25,0,197,371
35099,"Whitby--Oshawa/Whitby--Oshawa"," 194","Oshawa",23,120,3,59,28,2,235,384
35099,"Whitby--Oshawa/Whitby--Oshawa"," 195","Oshawa",22,142,4,30,28,0,226,413
35099,"Whitby--Oshawa/Whitby--Oshawa"," 196A","Oshawa",Merged with No. 197/Fusionné avec le nº 197,,,,,,,247
35099,"Whitby--Oshawa/Whitby--Oshawa"," 196B","Oshawa",48,68,2,62,93,0,273,341
35099,"Whitby--Oshawa/Whitby--Oshawa"," 197","Oshawa",20,123,5,48,53,0,249,250
35099,"Whitby--Oshawa/Whitby--Oshawa"," 198","Oshawa",16,167,1,68,54,0,306,520
35099,"Whitby--Oshawa/Whitby--Oshawa"," 199","Oshawa",14,119,1,52,38,1,225,418
35099,"Whitby--Oshawa/Whitby--Oshawa"," 200","Oshawa",16,106,1,51,64,1,239,486
35099,"Whitby--Oshawa/Whitby--Oshawa"," 201","Oshawa",16,117,0,45,48,0,226,450
35099,"Whitby--Oshawa/Whitby--Oshawa"," 202","Oshawa",24,130,1,35,34,2,226,444
35099,"Whitby--Oshawa/Whitby--Oshawa"," 203","Oshawa",6,75,1,29,60,1,172,400
35099,"Whitby--Oshawa/Whitby--Oshawa"," 204","Oshawa",22,112,4,55,45,0,238,418
35099,"Whitby--Oshawa/Whitby--Oshawa"," 205","Oshawa",12,94,0,34,30,0,170,286
35099,"Whitby--Oshawa/Whitby--Oshawa"," 206","Oshawa",24,88,2,45,49,0,208,381
35099,"Whitby--Oshawa/Whitby--Oshawa"," 207","Oshawa",18,85,0,32,53,0,188,395
35099,"Whitby--Oshawa/Whitby--Oshawa"," 208","Oshawa",17,81,0,52,34,0,184,330
35099,"Whitby--Oshawa/Whitby--Oshawa"," 209","Oshawa",23,93,1,64,33,0,214,365
35099,"Whitby--Oshawa/Whitby--Oshawa"," 210","Oshawa",11,112,0,54,29,0,206,334
35099,"Whitby--Oshawa/Whitby--Oshawa"," 211","Oshawa",20,93,2,79,46,0,240,377
35099,"Whitby--Oshawa/Whitby--Oshawa"," 212","Oshawa",15,85,0,32,33,0,165,334
35099,"Whitby--Oshawa/Whitby--Oshawa"," 213","Oshawa",8,80,7,47,35,0,177,329
35099,"Whitby--Oshawa/Whitby--Oshawa"," 214","Oshawa",18,111,6,83,45,1,264,416
35099,"Whitby--Oshawa/Whitby--Oshawa"," 215","Oshawa",17,128,1,68,44,2,260,421
35099,"Whitby--Oshawa/Whitby--Oshawa"," 216","Oshawa",16,126,1,54,33,0,230,399
35099,"Whitby--Oshawa/Whitby--Oshawa"," 217","Oshawa",24,118,3,36,44,1,226,420
35099,"Whitby--Oshawa/Whitby--Oshawa"," 218","Oshawa",13,127,0,47,41,1,229,404
35099,"Whitby--Oshawa/Whitby--Oshawa"," 219","Oshawa",15,65,2,53,59,1,195,399
35099,"Whitby--Oshawa/Whitby--Oshawa"," 220","Oshawa",16,78,2,42,52,0,190,406
35099,"Whitby--Oshawa/Whitby--Oshawa"," 221","Oshawa",15,81,0,37,50,1,184,366
35099,"Whitby--Oshawa/Whitby--Oshawa"," 222","Oshawa",20,110,0,49,64,1,244,405
35099,"Whitby--Oshawa/Whitby--Oshawa"," 223","Oshawa",17,90,3,41,58,0,209,391
35099,"Whitby--Oshawa/Whitby--Oshawa"," 224","Oshawa",8,68,0,40,35,0,151,322
35099,"Whitby--Oshawa/Whitby--Oshawa"," 225","Oshawa",15,105,4,51,39,1,215,351
35099,"Whitby--Oshawa/Whitby--Oshawa"," 226","Oshawa",19,98,3,73,52,2,247,421
35099,"Whitby--Oshawa/Whitby--Oshawa"," 227","Oshawa",19,107,7,66,53,2,254,440
35099,"Whitby--Oshawa/Whitby--Oshawa"," 228","Oshawa",12,92,1,84,43,1,233,391
35099,"Whitby--Oshawa/Whitby--Oshawa"," 229","Oshawa",21,118,3,56,71,0,269,409
35099,"Whitby--Oshawa/Whitby--Oshawa"," 230","Oshawa",21,97,0,100,45,0,263,502
35099,"Whitby--Oshawa/Whitby--Oshawa"," 231","Oshawa",23,76,2,28,44,0,173,347
35099,"Whitby--Oshawa/Whitby--Oshawa"," 232","Oshawa",13,85,1,41,48,2,190,381
35099,"Whitby--Oshawa/Whitby--Oshawa"," 233","Oshawa",15,88,1,68,21,1,194,367
35099,"Whitby--Oshawa/Whitby--Oshawa"," 234","Oshawa",19,65,2,23,59,0,168,358
35099,"Whitby--Oshawa/Whitby--Oshawa"," 235","Oshawa",28,78,1,35,63,0,205,462
35099,"Whitby--Oshawa/Whitby--Oshawa"," 236","Oshawa",11,44,2,18,48,0,123,382
35099,"Whitby--Oshawa/Whitby--Oshawa"," 237","Oshawa",13,25,1,15,51,0,105,395
35099,"Whitby--Oshawa/Whitby--Oshawa"," 238","Oshawa",15,63,2,44,40,2,166,351
35099,"Whitby--Oshawa/Whitby--Oshawa"," 239","Oshawa",19,65,2,23,59,0,168,407
35099,"Whitby--Oshawa/Whitby--Oshawa"," 240","Oshawa",7,39,1,34,40,1,122,339
35099,"Whitby--Oshawa/Whitby--Oshawa"," 400","Whitby",8,52,2,22,7,3,94,129
35099,"Whitby--Oshawa/Whitby--Oshawa"," 401","Whitby",12,175,5,33,29,0,254,313
35099,"Whitby--Oshawa/Whitby--Oshawa"," 500","Mobile poll/Bureau itinérant",9,44,3,16,16,0,88,258
35099,"Whitby--Oshawa/Whitby--Oshawa"," 600","Whitby",23,260,0,85,25,3,396,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 601","Whitby",35,280,4,126,41,2,488,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 602","Whitby",32,269,1,106,27,1,436,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 603","Whitby",25,286,5,113,37,0,466,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 604","Whitby",37,290,3,141,52,1,524,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 605","Whitby",45,321,2,116,39,4,527,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 606","Whitby",33,304,1,115,39,0,492,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 607","Whitby",35,278,3,133,50,3,502,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 608","Whitby",45,238,2,104,40,0,429,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 609","Whitby",35,254,2,129,46,2,468,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 610","Oshawa",49,315,4,111,73,1,553,
35099,"Whitby--Oshawa/Whitby--Oshawa"," 611","Oshawa",42,356,2,150,87,6,643,
35099,"Whitby--Oshawa/Whitby--Oshawa",,Group 1/Groupe 1,7,53,0,30,7,2,99,194
35099,"Whitby--Oshawa/Whitby--Oshawa",,Group 2/Groupe 2,57,388,4,181,94,8,732,
