Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Kemp,Mary Louise Lorefice,Michael Harris MacKay,Peter Gordon MacKay,Elizabeth May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 51","Westville",0,39,1,61,37,4,142,241
12002,"Central Nova/Nova-Centre"," 52","Westville",0,57,0,76,27,0,160,268
12002,"Central Nova/Nova-Centre"," 53","Westville",0,39,1,65,39,0,144,245
12002,"Central Nova/Nova-Centre"," 54","Westville",0,58,1,60,59,1,179,297
12002,"Central Nova/Nova-Centre"," 55","Westville",0,57,0,63,58,1,179,321
12002,"Central Nova/Nova-Centre"," 56","Westville",1,59,0,72,40,0,172,314
12002,"Central Nova/Nova-Centre"," 57","Stellarton",1,31,1,86,65,1,185,357
12002,"Central Nova/Nova-Centre"," 58","Stellarton",0,51,1,60,31,2,145,298
12002,"Central Nova/Nova-Centre"," 59","Stellarton",2,30,1,52,39,1,125,243
12002,"Central Nova/Nova-Centre"," 60","Stellarton",1,26,1,87,52,1,168,288
12002,"Central Nova/Nova-Centre"," 61","Stellarton",2,31,1,102,61,1,198,398
12002,"Central Nova/Nova-Centre"," 62","Stellarton",0,44,5,88,44,1,182,356
12002,"Central Nova/Nova-Centre"," 63","Stellarton",0,30,1,88,50,0,169,292
12002,"Central Nova/Nova-Centre"," 64","Stellarton",0,21,3,121,49,0,194,324
12002,"Central Nova/Nova-Centre"," 65","Stellarton",0,21,0,86,64,0,171,275
12002,"Central Nova/Nova-Centre"," 66","Stellarton",0,44,3,125,67,0,239,387
12002,"Central Nova/Nova-Centre"," 67","Stellarton",0,30,1,77,43,0,151,373
12002,"Central Nova/Nova-Centre"," 67-1","Stellarton",0,5,1,142,36,1,185,289
12002,"Central Nova/Nova-Centre"," 68","New Glasgow",0,18,3,187,94,5,307,435
12002,"Central Nova/Nova-Centre"," 69","New Glasgow",0,18,1,61,46,1,127,217
12002,"Central Nova/Nova-Centre"," 69-1","New Glasgow",0,11,0,109,40,1,161,249
12002,"Central Nova/Nova-Centre"," 70","New Glasgow",0,26,2,159,71,7,265,448
12002,"Central Nova/Nova-Centre"," 71","New Glasgow",2,20,2,127,73,1,225,372
12002,"Central Nova/Nova-Centre"," 72","New Glasgow",1,21,1,96,74,1,194,357
12002,"Central Nova/Nova-Centre"," 73","New Glasgow",1,19,3,79,73,0,175,356
12002,"Central Nova/Nova-Centre"," 74","New Glasgow",0,38,3,101,75,2,219,398
12002,"Central Nova/Nova-Centre"," 75","New Glasgow",0,27,0,100,62,1,190,378
12002,"Central Nova/Nova-Centre"," 76","New Glasgow",2,29,1,110,60,0,202,357
12002,"Central Nova/Nova-Centre"," 77","New Glasgow",2,32,4,97,57,1,193,345
12002,"Central Nova/Nova-Centre"," 78","New Glasgow",1,27,2,109,65,0,204,335
12002,"Central Nova/Nova-Centre"," 79","New Glasgow",0,40,2,158,113,0,313,465
12002,"Central Nova/Nova-Centre"," 80","New Glasgow",0,29,0,75,80,1,185,395
12002,"Central Nova/Nova-Centre"," 81","New Glasgow",0,29,3,138,72,2,244,466
12002,"Central Nova/Nova-Centre"," 82","New Glasgow",0,21,1,69,41,2,134,319
12002,"Central Nova/Nova-Centre"," 83","New Glasgow",2,19,3,67,52,1,144,308
12002,"Central Nova/Nova-Centre"," 84A","New Glasgow",0,25,1,38,42,0,106,242
12002,"Central Nova/Nova-Centre"," 84B","New Glasgow",0,17,0,81,45,2,145,231
12002,"Central Nova/Nova-Centre"," 85","New Glasgow",1,32,2,105,42,4,186,340
12002,"Central Nova/Nova-Centre"," 86","New Glasgow",0,12,1,65,37,0,115,215
12002,"Central Nova/Nova-Centre"," 86-1","New Glasgow",1,12,6,68,14,3,104,125
12002,"Central Nova/Nova-Centre"," 87","New Glasgow",0,34,1,97,61,0,193,325
12002,"Central Nova/Nova-Centre"," 88A","Little Harbour",0,19,1,100,51,0,171,299
12002,"Central Nova/Nova-Centre"," 88B","Little Harbour",0,18,0,89,56,0,163,249
12002,"Central Nova/Nova-Centre"," 89","Hillside",2,55,1,90,82,1,231,406
12002,"Central Nova/Nova-Centre"," 90","Little Harbour",2,19,4,121,78,1,225,312
12002,"Central Nova/Nova-Centre"," 91","Linacy",1,48,1,95,40,0,185,314
12002,"Central Nova/Nova-Centre"," 92","Linacy",0,30,1,119,62,0,212,332
12002,"Central Nova/Nova-Centre"," 93","Walkerville",0,19,1,47,27,0,94,169
12002,"Central Nova/Nova-Centre"," 94","Plymouth",2,45,3,115,70,0,235,370
12002,"Central Nova/Nova-Centre"," 95","Mountville",0,50,2,139,65,3,259,397
12002,"Central Nova/Nova-Centre"," 96","Churchville",1,33,7,74,39,2,156,259
12002,"Central Nova/Nova-Centre"," 97","Bridgeville",1,56,3,81,36,1,178,282
12002,"Central Nova/Nova-Centre"," 98","Sunnybrae",1,23,0,32,15,0,71,137
12002,"Central Nova/Nova-Centre"," 99","Lismore",1,38,1,109,92,5,246,384
12002,"Central Nova/Nova-Centre"," 100","Merigomish",0,36,2,103,106,2,249,429
12002,"Central Nova/Nova-Centre"," 101","Kenzieville",1,31,1,64,46,3,146,257
12002,"Central Nova/Nova-Centre"," 102","Pine Tree",0,16,1,65,41,2,125,192
12002,"Central Nova/Nova-Centre"," 103","Thorburn",2,33,4,92,55,0,186,287
12002,"Central Nova/Nova-Centre"," 104","French River",0,15,0,62,20,0,97,205
12002,"Central Nova/Nova-Centre"," 105","Thorburn",1,53,2,146,71,0,273,451
12002,"Central Nova/Nova-Centre"," 106","McLellans Brook",0,44,0,109,79,2,234,356
12002,"Central Nova/Nova-Centre"," 107","McLellan Mountain",3,62,1,109,67,0,242,364
12002,"Central Nova/Nova-Centre"," 108","Blue Mountain",0,13,4,45,35,0,97,156
12002,"Central Nova/Nova-Centre"," 109","Garden of Eden",0,6,0,21,24,0,51,75
12002,"Central Nova/Nova-Centre"," 109-1","East River St. Mary's",0,6,0,33,14,0,53,71
12002,"Central Nova/Nova-Centre"," 110","Cape George",2,18,3,116,68,0,207,232
12002,"Central Nova/Nova-Centre"," 111","Morristown",0,41,1,142,101,2,287,398
12002,"Central Nova/Nova-Centre"," 112","Arisaig",2,19,2,58,54,2,137,203
12002,"Central Nova/Nova-Centre"," 113","Maryvale",0,45,5,94,86,2,232,263
12002,"Central Nova/Nova-Centre"," 114","North Grant",0,46,5,114,87,1,253,475
12002,"Central Nova/Nova-Centre"," 115A","Cloverville",0,15,1,64,58,0,138,217
12002,"Central Nova/Nova-Centre"," 115B","Cloverville",1,19,4,75,74,0,173,268
12002,"Central Nova/Nova-Centre"," 116A","James River",0,21,1,50,49,0,121,224
12002,"Central Nova/Nova-Centre"," 116B","James River",1,29,1,86,69,7,193,334
12002,"Central Nova/Nova-Centre"," 117","Clydesdale",2,60,4,177,149,3,395,496
12002,"Central Nova/Nova-Centre"," 118","Lower West River",0,44,3,88,108,1,244,396
12002,"Central Nova/Nova-Centre"," 119A","West River",0,23,2,77,70,6,178,263
12002,"Central Nova/Nova-Centre"," 119B","West River",0,41,1,109,78,4,233,328
12002,"Central Nova/Nova-Centre"," 120","Antigonish",0,17,0,40,48,3,108,179
12002,"Central Nova/Nova-Centre"," 121","Williams Point",0,35,3,89,91,2,220,357
12002,"Central Nova/Nova-Centre"," 121-1","Antigonish, Subd. A",0,33,4,75,63,0,175,232
12002,"Central Nova/Nova-Centre"," 122","Pitchers Farm",1,68,2,141,195,2,409,412
12002,"Central Nova/Nova-Centre"," 123","St. Andrews",2,54,3,144,96,4,303,408
12002,"Central Nova/Nova-Centre"," 124","St. Joseph",0,25,2,67,47,0,141,238
12002,"Central Nova/Nova-Centre"," 125","Lochaber",0,26,2,100,79,2,209,340
12002,"Central Nova/Nova-Centre"," 126A","Pomquet",2,11,1,58,54,2,128,252
12002,"Central Nova/Nova-Centre"," 126B","Pomquet",0,16,0,39,33,3,91,221
12002,"Central Nova/Nova-Centre"," 126-1","Antigonish, Subd. B",0,45,1,56,41,0,143,439
12002,"Central Nova/Nova-Centre"," 127","Pomquet",0,25,1,74,64,1,165,227
12002,"Central Nova/Nova-Centre"," 128","Pomquet",1,36,3,91,66,2,199,339
12002,"Central Nova/Nova-Centre"," 129","Bayfield",0,17,1,101,38,1,158,262
12002,"Central Nova/Nova-Centre"," 130","St. Andrews",6,60,5,137,110,0,318,467
12002,"Central Nova/Nova-Centre"," 131","St. Andrews",0,11,1,24,18,0,54,89
12002,"Central Nova/Nova-Centre"," 132","Antigonish",0,18,2,46,49,0,115,222
12002,"Central Nova/Nova-Centre"," 133","Antigonish",1,45,2,111,114,4,277,441
12002,"Central Nova/Nova-Centre"," 134","Antigonish",0,25,2,69,64,2,162,322
12002,"Central Nova/Nova-Centre"," 135","Antigonish",3,49,2,70,104,6,234,427
12002,"Central Nova/Nova-Centre"," 136","Antigonish",0,22,1,45,55,5,128,265
12002,"Central Nova/Nova-Centre"," 137","St. Andrews",4,50,2,77,120,5,258,449
12002,"Central Nova/Nova-Centre"," 138","Antigonish",0,23,1,59,73,3,159,295
12002,"Central Nova/Nova-Centre"," 139","Antigonish",0,22,0,100,69,1,192,309
12002,"Central Nova/Nova-Centre"," 140","Antigonish",2,16,0,19,49,2,88,205
12002,"Central Nova/Nova-Centre"," 140-1","Antigonish",1,27,4,75,108,5,220,350
12002,"Central Nova/Nova-Centre"," 141A","Antigonish",0,33,3,52,54,0,142,246
12002,"Central Nova/Nova-Centre"," 141B","Antigonish",0,33,4,52,54,0,143,242
12002,"Central Nova/Nova-Centre"," 142","Antigonish",1,53,0,78,134,1,267,463
12002,"Central Nova/Nova-Centre"," 143","Antigonish",2,53,4,109,167,7,342,346
12002,"Central Nova/Nova-Centre"," 144","East Havre Boucher",2,15,5,61,46,0,129,262
12002,"Central Nova/Nova-Centre"," 145","Havre Boucher",1,37,5,75,76,2,196,348
12002,"Central Nova/Nova-Centre"," 146","Cape Jack",1,26,2,51,48,0,128,236
12002,"Central Nova/Nova-Centre"," 147","Havre Boucher",3,31,2,74,79,3,192,306
12002,"Central Nova/Nova-Centre"," 148","Tracadie",0,12,4,45,42,1,104,188
12002,"Central Nova/Nova-Centre"," 149","Monastery",0,35,5,128,66,3,237,470
12002,"Central Nova/Nova-Centre"," 150","Tracadie",2,19,5,108,61,1,196,340
12002,"Central Nova/Nova-Centre"," 151","Paq'tnkek Reserve",2,37,1,11,32,0,83,167
12002,"Central Nova/Nova-Centre"," 152","Heatherton",2,41,9,120,70,4,246,426
12002,"Central Nova/Nova-Centre"," 153","Caledonia",0,6,0,17,3,0,26,47
12002,"Central Nova/Nova-Centre"," 154","Aspen",1,32,2,87,52,2,176,314
12002,"Central Nova/Nova-Centre"," 155","Goshen",1,27,3,110,75,2,218,288
12002,"Central Nova/Nova-Centre"," 156","Ecum Secum",3,58,5,48,23,0,137,267
12002,"Central Nova/Nova-Centre"," 157","Liscomb",5,33,4,65,32,2,141,199
12002,"Central Nova/Nova-Centre"," 158","Sherbrooke",1,47,3,81,53,3,188,328
12002,"Central Nova/Nova-Centre"," 159A","Sonora",1,27,2,88,42,1,161,206
12002,"Central Nova/Nova-Centre"," 159B","Sonora",0,23,1,57,8,0,89,130
12002,"Central Nova/Nova-Centre"," 160","Port Bickerton",0,36,1,82,32,0,151,247
12002,"Central Nova/Nova-Centre"," 161","Necum Teuch",0,31,0,45,25,1,102,189
12002,"Central Nova/Nova-Centre"," 162","Moser River",0,44,3,69,29,0,145,251
12002,"Central Nova/Nova-Centre"," 163","Port Dufferin--Beaver Harbour--West Quoddy",1,36,6,62,26,0,131,230
12002,"Central Nova/Nova-Centre"," 164","Sheet Harbour",2,66,2,106,66,1,243,442
12002,"Central Nova/Nova-Centre"," 165","Sheet Harbour",1,44,4,93,54,5,201,389
12002,"Central Nova/Nova-Centre"," 166","Sheet Harbour",2,40,3,53,42,0,140,246
12002,"Central Nova/Nova-Centre"," 167","Spry Bay",1,6,1,18,16,0,42,86
12002,"Central Nova/Nova-Centre"," 167-1","Mushaboom",1,26,1,32,13,0,73,129
12002,"Central Nova/Nova-Centre"," 168","Mooseland",0,11,0,12,14,0,37,47
12002,"Central Nova/Nova-Centre"," 169","Tangier--Spry Harbour",2,56,4,70,29,3,164,299
12002,"Central Nova/Nova-Centre"," 170","East Ship Harbour",4,39,1,49,49,2,144,231
12002,"Central Nova/Nova-Centre"," 171","Lake Charlotte",0,55,2,68,38,5,168,319
12002,"Central Nova/Nova-Centre"," 172","Ship Harbour",1,47,3,74,58,0,183,250
12002,"Central Nova/Nova-Centre"," 173","Clam Harbour",3,27,2,54,41,0,127,253
12002,"Central Nova/Nova-Centre"," 174","East Jeddore",1,53,5,81,39,0,179,342
12002,"Central Nova/Nova-Centre"," 500","Mobile poll/Bureau itinérant",1,13,2,54,20,5,95,173
12002,"Central Nova/Nova-Centre"," 501","Mobile poll/Bureau itinérant",1,5,2,23,10,0,41,55
12002,"Central Nova/Nova-Centre"," 502","Mobile poll/Bureau itinérant",4,14,3,34,4,4,63,203
12002,"Central Nova/Nova-Centre"," 503","Mobile poll/Bureau itinérant",0,15,9,37,14,4,79,145
12002,"Central Nova/Nova-Centre"," 504","Mobile poll/Bureau itinérant",0,9,2,15,5,0,31,40
12002,"Central Nova/Nova-Centre"," 505","Mobile poll/Bureau itinérant",0,0,2,6,51,0,59,111
12002,"Central Nova/Nova-Centre"," 600","River John",0,17,0,55,28,0,100,
12002,"Central Nova/Nova-Centre"," 601","Pictou",1,88,0,187,119,1,396,
12002,"Central Nova/Nova-Centre"," 602","Trenton",0,44,0,70,34,1,149,
12002,"Central Nova/Nova-Centre"," 603","Westville",1,65,2,105,70,1,244,
12002,"Central Nova/Nova-Centre"," 604","Plymouth",0,28,5,68,35,0,136,
12002,"Central Nova/Nova-Centre"," 605","New Glasgow",2,82,0,267,122,4,477,
12002,"Central Nova/Nova-Centre"," 606","Stellarton",0,41,1,102,34,2,180,
12002,"Central Nova/Nova-Centre"," 607","Thorburn",1,29,4,88,39,0,161,
12002,"Central Nova/Nova-Centre"," 608","Beech Hill",4,100,11,300,192,5,612,
12002,"Central Nova/Nova-Centre"," 609","Antigonish",0,91,3,153,173,8,428,
12002,"Central Nova/Nova-Centre"," 610","Tracadie",0,16,1,53,30,0,100,
12002,"Central Nova/Nova-Centre"," 611","Sherbrooke",0,17,1,49,19,1,87,
12002,"Central Nova/Nova-Centre"," 612","Sheet Harbour",4,25,2,78,28,1,138,
12002,"Central Nova/Nova-Centre"," 613","East Ship Harbour",0,22,1,12,13,1,49,
12002,"Central Nova/Nova-Centre"," 614","Little Harbour",0,6,0,50,27,0,83,
12002,"Central Nova/Nova-Centre",,Group 1/Groupe 1,3,25,4,107,35,6,180,338
12002,"Central Nova/Nova-Centre",,Group 2/Groupe 2,0,150,2,395,197,8,752,

