Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Ann Chambers,Ujjal Dosanjh,Csaba Gulyas,Wai Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Vancouver South/Vancouver-Sud"," 60","Vancouver",0,19,102,8,89,1,219,477
59034,"Vancouver South/Vancouver-Sud"," 60-1","Vancouver",0,21,52,4,77,0,154,356
59034,"Vancouver South/Vancouver-Sud"," 61","Vancouver",0,10,75,12,79,0,176,419
59034,"Vancouver South/Vancouver-Sud"," 62","Vancouver",0,38,49,25,70,0,182,469
59034,"Vancouver South/Vancouver-Sud"," 63","Vancouver",1,36,75,11,96,1,220,551
59034,"Vancouver South/Vancouver-Sud"," 64","Vancouver",1,50,83,12,83,2,231,462
59034,"Vancouver South/Vancouver-Sud"," 65","Vancouver",2,36,82,8,55,2,185,460
59034,"Vancouver South/Vancouver-Sud"," 66","Vancouver",1,20,74,9,91,1,196,438
59034,"Vancouver South/Vancouver-Sud"," 67","Vancouver",1,44,112,11,78,3,249,479
59034,"Vancouver South/Vancouver-Sud"," 68","Vancouver",2,50,92,12,71,0,227,428
59034,"Vancouver South/Vancouver-Sud"," 69","Vancouver",3,61,76,5,69,0,214,430
59034,"Vancouver South/Vancouver-Sud"," 69-1","Vancouver",0,41,40,11,55,1,148,342
59034,"Vancouver South/Vancouver-Sud"," 70","Vancouver",0,31,112,8,105,1,257,543
59034,"Vancouver South/Vancouver-Sud"," 71","Vancouver",2,70,117,16,86,2,293,569
59034,"Vancouver South/Vancouver-Sud"," 72","Vancouver",1,59,123,15,88,2,288,508
59034,"Vancouver South/Vancouver-Sud"," 73","Vancouver",2,55,129,3,71,3,263,584
59034,"Vancouver South/Vancouver-Sud"," 74","Vancouver",1,59,146,5,70,3,284,539
59034,"Vancouver South/Vancouver-Sud"," 75","Vancouver",1,38,96,8,56,0,199,429
59034,"Vancouver South/Vancouver-Sud"," 76","Vancouver",3,56,120,5,59,0,243,463
59034,"Vancouver South/Vancouver-Sud"," 77","Vancouver",1,47,130,6,82,2,268,489
59034,"Vancouver South/Vancouver-Sud"," 78","Vancouver",0,64,109,8,61,2,244,527
59034,"Vancouver South/Vancouver-Sud"," 79","Vancouver",0,58,99,12,73,1,243,449
59034,"Vancouver South/Vancouver-Sud"," 79-1","Vancouver",1,51,114,7,62,4,239,415
59034,"Vancouver South/Vancouver-Sud"," 80","Vancouver",0,47,89,8,96,2,242,511
59034,"Vancouver South/Vancouver-Sud"," 81","Vancouver",2,62,135,7,106,0,312,570
59034,"Vancouver South/Vancouver-Sud"," 82","Vancouver",1,59,114,13,55,1,243,585
59034,"Vancouver South/Vancouver-Sud"," 83","Vancouver",5,38,113,4,66,0,226,507
59034,"Vancouver South/Vancouver-Sud"," 84","Vancouver",1,55,95,10,118,4,283,572
59034,"Vancouver South/Vancouver-Sud"," 85","Vancouver",2,25,88,5,79,3,202,441
59034,"Vancouver South/Vancouver-Sud"," 86","Vancouver",2,41,117,8,111,3,282,557
59034,"Vancouver South/Vancouver-Sud"," 87","Vancouver",2,63,90,14,119,2,290,625
59034,"Vancouver South/Vancouver-Sud"," 88","Vancouver",1,61,65,7,69,3,206,516
59034,"Vancouver South/Vancouver-Sud"," 89","Vancouver",0,30,80,2,124,0,236,502
59034,"Vancouver South/Vancouver-Sud"," 90","Vancouver",1,23,66,6,98,1,195,511
59034,"Vancouver South/Vancouver-Sud"," 91","Vancouver",1,34,71,7,128,1,242,568
59034,"Vancouver South/Vancouver-Sud"," 92","Vancouver",0,35,65,9,110,1,220,514
59034,"Vancouver South/Vancouver-Sud"," 93","Vancouver",0,22,84,5,92,1,204,432
59034,"Vancouver South/Vancouver-Sud"," 94","Vancouver",0,41,121,2,79,3,246,531
59034,"Vancouver South/Vancouver-Sud"," 95","Vancouver",2,45,98,3,82,1,231,458
59034,"Vancouver South/Vancouver-Sud"," 96","Vancouver",4,51,102,12,128,0,297,597
59034,"Vancouver South/Vancouver-Sud"," 97","Vancouver",4,45,108,12,110,2,281,578
59034,"Vancouver South/Vancouver-Sud"," 98","Vancouver",1,33,101,6,100,0,241,463
59034,"Vancouver South/Vancouver-Sud"," 99","Vancouver",1,28,98,8,84,1,220,529
59034,"Vancouver South/Vancouver-Sud"," 100","Vancouver",0,51,122,20,84,2,279,611
59034,"Vancouver South/Vancouver-Sud"," 101","Vancouver",1,37,68,6,91,2,205,467
59034,"Vancouver South/Vancouver-Sud"," 102","Vancouver",1,69,117,6,61,0,254,584
59034,"Vancouver South/Vancouver-Sud"," 103","Vancouver",1,35,77,6,77,1,197,494
59034,"Vancouver South/Vancouver-Sud"," 104","Vancouver",1,33,55,4,59,0,152,474
59034,"Vancouver South/Vancouver-Sud"," 105","Vancouver",2,39,71,2,85,1,200,444
59034,"Vancouver South/Vancouver-Sud"," 106","Vancouver",1,29,93,5,123,4,255,565
59034,"Vancouver South/Vancouver-Sud"," 107","Vancouver",1,35,85,13,96,0,230,598
59034,"Vancouver South/Vancouver-Sud"," 108A","Vancouver",1,20,33,5,54,1,114,280
59034,"Vancouver South/Vancouver-Sud"," 108B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,104
59034,"Vancouver South/Vancouver-Sud"," 109","Vancouver",7,35,109,8,94,3,256,502
59034,"Vancouver South/Vancouver-Sud"," 110","Vancouver",1,36,74,8,92,0,211,474
59034,"Vancouver South/Vancouver-Sud"," 111","Vancouver",1,25,63,3,70,0,162,372
59034,"Vancouver South/Vancouver-Sud"," 112","Vancouver",2,32,77,7,70,0,188,395
59034,"Vancouver South/Vancouver-Sud"," 113","Vancouver",5,52,96,7,84,4,248,475
59034,"Vancouver South/Vancouver-Sud"," 114","Vancouver",4,34,37,3,52,0,130,334
59034,"Vancouver South/Vancouver-Sud"," 115","Vancouver",1,28,31,10,52,1,123,304
59034,"Vancouver South/Vancouver-Sud"," 116","Vancouver",0,19,57,6,62,0,144,333
59034,"Vancouver South/Vancouver-Sud"," 117","Vancouver",2,47,31,10,32,0,122,296
59034,"Vancouver South/Vancouver-Sud"," 118","Vancouver",0,21,99,3,104,3,230,476
59034,"Vancouver South/Vancouver-Sud"," 119","Vancouver",2,49,97,10,91,1,250,483
59034,"Vancouver South/Vancouver-Sud"," 120","Vancouver",1,39,62,7,74,0,183,436
59034,"Vancouver South/Vancouver-Sud"," 121","Vancouver",2,22,77,7,76,1,185,379
59034,"Vancouver South/Vancouver-Sud"," 122","Vancouver",0,39,99,10,149,1,298,587
59034,"Vancouver South/Vancouver-Sud"," 123","Vancouver",0,48,101,7,135,0,291,609
59034,"Vancouver South/Vancouver-Sud"," 124","Vancouver",1,53,64,12,91,0,221,452
59034,"Vancouver South/Vancouver-Sud"," 125","Vancouver",1,36,67,9,126,2,241,459
59034,"Vancouver South/Vancouver-Sud"," 126","Vancouver",2,43,68,7,103,1,224,494
59034,"Vancouver South/Vancouver-Sud"," 127","Vancouver",1,28,75,8,98,1,211,458
59034,"Vancouver South/Vancouver-Sud"," 128","Vancouver",1,56,109,15,137,0,318,585
59034,"Vancouver South/Vancouver-Sud"," 129","Vancouver",1,42,108,6,123,0,280,532
59034,"Vancouver South/Vancouver-Sud"," 130","Vancouver",2,53,85,10,120,1,271,586
59034,"Vancouver South/Vancouver-Sud"," 131","Vancouver",2,34,119,9,158,0,322,626
59034,"Vancouver South/Vancouver-Sud"," 132","Vancouver",0,44,114,9,125,2,294,551
59034,"Vancouver South/Vancouver-Sud"," 133","Vancouver",0,30,78,7,134,0,249,488
59034,"Vancouver South/Vancouver-Sud"," 134","Vancouver",1,22,126,11,90,0,250,480
59034,"Vancouver South/Vancouver-Sud"," 135","Vancouver",1,69,97,32,91,1,291,542
59034,"Vancouver South/Vancouver-Sud"," 136","Vancouver",1,27,76,16,53,3,176,377
59034,"Vancouver South/Vancouver-Sud"," 137","Vancouver",0,46,101,18,92,1,258,589
59034,"Vancouver South/Vancouver-Sud"," 138","Vancouver",2,45,102,33,66,0,248,497
59034,"Vancouver South/Vancouver-Sud"," 139","Vancouver",0,56,97,20,75,1,249,640
59034,"Vancouver South/Vancouver-Sud"," 140","Vancouver",0,39,84,4,99,1,227,457
59034,"Vancouver South/Vancouver-Sud"," 141","Vancouver",1,43,57,8,70,1,180,410
59034,"Vancouver South/Vancouver-Sud"," 142","Vancouver",1,49,79,3,85,1,218,443
59034,"Vancouver South/Vancouver-Sud"," 143","Vancouver",0,73,67,15,72,2,229,489
59034,"Vancouver South/Vancouver-Sud"," 144","Vancouver",2,39,87,13,95,0,236,474
59034,"Vancouver South/Vancouver-Sud"," 145","Vancouver",1,36,88,5,101,0,231,511
59034,"Vancouver South/Vancouver-Sud"," 146","Vancouver",1,40,63,6,104,0,214,474
59034,"Vancouver South/Vancouver-Sud"," 147","Vancouver",0,75,70,9,72,2,228,419
59034,"Vancouver South/Vancouver-Sud"," 148","Vancouver",2,35,94,15,99,3,248,447
59034,"Vancouver South/Vancouver-Sud"," 149","Vancouver",0,74,50,9,40,1,174,309
59034,"Vancouver South/Vancouver-Sud"," 150","Vancouver",1,62,64,11,56,0,194,426
59034,"Vancouver South/Vancouver-Sud"," 150-1","Vancouver",0,20,75,7,85,0,187,396
59034,"Vancouver South/Vancouver-Sud"," 151","Vancouver",2,32,82,17,84,0,217,448
59034,"Vancouver South/Vancouver-Sud"," 152","Vancouver",1,15,88,8,158,1,271,556
59034,"Vancouver South/Vancouver-Sud"," 153","Vancouver",1,56,92,21,88,1,259,455
59034,"Vancouver South/Vancouver-Sud"," 154","Vancouver",2,66,100,14,93,1,276,509
59034,"Vancouver South/Vancouver-Sud"," 155","Vancouver",0,67,95,17,95,1,275,446
59034,"Vancouver South/Vancouver-Sud"," 156","Vancouver",2,86,65,12,41,1,207,424
59034,"Vancouver South/Vancouver-Sud"," 157","Vancouver",0,101,92,29,60,0,282,486
59034,"Vancouver South/Vancouver-Sud"," 158","Vancouver",2,79,69,14,48,0,212,464
59034,"Vancouver South/Vancouver-Sud"," 159","Vancouver",0,30,67,10,63,0,170,358
59034,"Vancouver South/Vancouver-Sud"," 160","Vancouver",4,70,71,22,61,1,229,512
59034,"Vancouver South/Vancouver-Sud"," 500","Mobile poll/Bureau itinérant",2,17,20,2,21,0,62,88
59034,"Vancouver South/Vancouver-Sud"," 501","Mobile poll/Bureau itinérant",0,25,27,6,16,0,74,176
59034,"Vancouver South/Vancouver-Sud"," 502","Mobile poll/Bureau itinérant",2,28,55,6,93,2,186,119
59034,"Vancouver South/Vancouver-Sud"," 503","Mobile poll/Bureau itinérant",2,33,19,4,28,1,87,210
59034,"Vancouver South/Vancouver-Sud"," 504","Mobile poll/Bureau itinérant",4,25,35,5,30,4,103,198
59034,"Vancouver South/Vancouver-Sud"," 505","Mobile poll/Bureau itinérant",2,29,34,7,59,1,132,208
59034,"Vancouver South/Vancouver-Sud"," 506","Mobile poll/Bureau itinérant",0,17,11,2,17,1,48,105
59034,"Vancouver South/Vancouver-Sud"," 600","Vancouver",0,26,102,19,220,1,368,
59034,"Vancouver South/Vancouver-Sud"," 601","Vancouver",2,51,127,20,149,1,350,
59034,"Vancouver South/Vancouver-Sud"," 602","Vancouver",3,41,107,11,119,1,282,
59034,"Vancouver South/Vancouver-Sud"," 603","Vancouver",1,75,204,21,175,3,479,
59034,"Vancouver South/Vancouver-Sud"," 604","Vancouver",0,73,147,13,91,4,328,
59034,"Vancouver South/Vancouver-Sud"," 605","Vancouver",3,48,109,4,117,2,283,
59034,"Vancouver South/Vancouver-Sud"," 606","Vancouver",2,53,110,4,144,4,317,
59034,"Vancouver South/Vancouver-Sud"," 607","Vancouver",1,84,161,16,211,0,473,
59034,"Vancouver South/Vancouver-Sud"," 608","Vancouver",2,120,188,18,178,3,509,
59034,"Vancouver South/Vancouver-Sud",,Group 1/Groupe 1,0,6,23,7,22,4,62,106
59034,"Vancouver South/Vancouver-Sud",,Group 2/Groupe 2,1,68,201,33,236,9,548,

