Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abeed Monty Ahmad,Daniel Blanchard,Vinay Dey,Sanam S. Kang,Roger Richard,Devinder Shory,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 25-2B","Calgary",5,1,8,87,11,72,2,186,501
48004,"Calgary Northeast/Calgary-Nord-Est"," 25-3","Calgary",8,1,15,41,9,60,3,137,583
48004,"Calgary Northeast/Calgary-Nord-Est"," 26","Calgary",3,0,7,28,6,35,1,80,312
48004,"Calgary Northeast/Calgary-Nord-Est"," 26-1","Calgary",4,0,10,66,19,64,2,165,496
48004,"Calgary Northeast/Calgary-Nord-Est"," 27","Calgary",0,0,5,35,10,48,1,99,309
48004,"Calgary Northeast/Calgary-Nord-Est"," 27-1","Calgary",3,2,8,74,15,62,0,164,434
48004,"Calgary Northeast/Calgary-Nord-Est"," 28","Calgary",3,0,16,23,16,43,0,101,286
48004,"Calgary Northeast/Calgary-Nord-Est"," 28-1","Calgary",4,1,9,37,10,93,3,157,439
48004,"Calgary Northeast/Calgary-Nord-Est"," 29","Calgary",6,0,17,9,23,55,0,110,352
48004,"Calgary Northeast/Calgary-Nord-Est"," 29-1","Calgary",10,0,5,64,16,44,1,140,359
48004,"Calgary Northeast/Calgary-Nord-Est"," 29-2","Calgary",3,1,10,88,8,97,2,209,550
48004,"Calgary Northeast/Calgary-Nord-Est"," 29-3","Calgary",2,0,7,90,12,72,2,185,501
48004,"Calgary Northeast/Calgary-Nord-Est"," 30","Calgary",9,0,8,44,10,75,1,147,463
48004,"Calgary Northeast/Calgary-Nord-Est"," 31","Calgary",4,0,12,50,9,67,0,142,388
48004,"Calgary Northeast/Calgary-Nord-Est"," 31-1","Calgary",3,0,6,55,11,65,3,143,364
48004,"Calgary Northeast/Calgary-Nord-Est"," 32","Calgary",3,2,12,14,17,57,2,107,256
48004,"Calgary Northeast/Calgary-Nord-Est"," 33","Calgary",5,1,7,34,24,70,1,142,340
48004,"Calgary Northeast/Calgary-Nord-Est"," 34","Calgary",6,1,9,49,18,61,2,146,330
48004,"Calgary Northeast/Calgary-Nord-Est"," 35","Calgary",13,1,14,28,9,71,0,136,390
48004,"Calgary Northeast/Calgary-Nord-Est"," 35-1","Calgary",3,1,10,32,17,57,1,121,272
48004,"Calgary Northeast/Calgary-Nord-Est"," 36","Calgary",8,2,19,43,10,91,1,174,473
48004,"Calgary Northeast/Calgary-Nord-Est"," 37","Calgary",11,1,14,44,17,63,1,151,412
48004,"Calgary Northeast/Calgary-Nord-Est"," 38","Calgary",10,2,12,49,20,94,0,187,462
48004,"Calgary Northeast/Calgary-Nord-Est"," 39","Calgary",8,1,13,35,15,52,1,125,398
48004,"Calgary Northeast/Calgary-Nord-Est"," 40","Calgary",6,1,14,26,10,48,0,105,316
48004,"Calgary Northeast/Calgary-Nord-Est"," 41","Calgary",2,0,15,20,10,66,0,113,270
48004,"Calgary Northeast/Calgary-Nord-Est"," 42","Calgary",1,0,6,16,12,51,1,87,339
48004,"Calgary Northeast/Calgary-Nord-Est"," 43","Calgary",11,0,14,50,22,57,2,156,450
48004,"Calgary Northeast/Calgary-Nord-Est"," 44","Calgary",7,0,14,27,28,67,0,143,412
48004,"Calgary Northeast/Calgary-Nord-Est"," 45","Calgary",10,0,16,23,20,77,1,147,422
48004,"Calgary Northeast/Calgary-Nord-Est"," 46","Calgary",2,1,6,56,13,66,2,146,413
48004,"Calgary Northeast/Calgary-Nord-Est"," 46-1","Calgary",5,0,6,81,15,96,0,203,533
48004,"Calgary Northeast/Calgary-Nord-Est"," 47","Calgary",5,0,8,9,17,77,1,117,328
48004,"Calgary Northeast/Calgary-Nord-Est"," 48","Calgary",12,0,19,35,36,111,1,214,548
48004,"Calgary Northeast/Calgary-Nord-Est"," 49","Calgary",5,0,6,27,9,88,5,140,349
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-1","Calgary",13,0,15,42,22,135,0,227,580
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-2","Calgary",8,2,19,11,12,50,0,102,290
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-3","Calgary",7,2,11,78,9,80,1,188,523
48004,"Calgary Northeast/Calgary-Nord-Est"," 49-4","Calgary",9,1,16,60,3,42,0,131,470
48004,"Calgary Northeast/Calgary-Nord-Est"," 50","Calgary",3,1,8,83,16,72,0,183,526
48004,"Calgary Northeast/Calgary-Nord-Est"," 50-1","Calgary",4,1,8,39,16,68,0,136,294
48004,"Calgary Northeast/Calgary-Nord-Est"," 51","Calgary",3,0,5,25,16,58,0,107,291
48004,"Calgary Northeast/Calgary-Nord-Est"," 51-1","Calgary",2,0,8,25,24,59,0,118,349
48004,"Calgary Northeast/Calgary-Nord-Est"," 52","Calgary",2,1,9,45,9,78,3,147,471
48004,"Calgary Northeast/Calgary-Nord-Est"," 53","Calgary",12,1,8,50,30,100,3,204,501
48004,"Calgary Northeast/Calgary-Nord-Est"," 54","Calgary",8,0,9,71,18,117,3,226,550
48004,"Calgary Northeast/Calgary-Nord-Est"," 54-1","Calgary",3,0,6,53,38,102,0,202,462
48004,"Calgary Northeast/Calgary-Nord-Est"," 55","Calgary",4,2,9,63,36,77,0,191,472
48004,"Calgary Northeast/Calgary-Nord-Est"," 56","Calgary",12,0,6,18,9,23,0,68,215
48004,"Calgary Northeast/Calgary-Nord-Est"," 57","Calgary",5,1,15,11,9,60,0,101,382
48004,"Calgary Northeast/Calgary-Nord-Est"," 58","Calgary",11,0,16,37,14,72,0,150,415
48004,"Calgary Northeast/Calgary-Nord-Est"," 59","Calgary",13,0,22,34,13,63,1,146,406
48004,"Calgary Northeast/Calgary-Nord-Est"," 60","Calgary",10,0,21,30,8,60,0,129,349
48004,"Calgary Northeast/Calgary-Nord-Est"," 61","Calgary",5,0,20,37,23,51,1,137,382
48004,"Calgary Northeast/Calgary-Nord-Est"," 62","Calgary",12,0,8,19,18,60,0,117,340
48004,"Calgary Northeast/Calgary-Nord-Est"," 63","Calgary",6,3,11,19,19,94,1,153,454
48004,"Calgary Northeast/Calgary-Nord-Est"," 64","Calgary",14,2,16,34,11,86,4,167,393
48004,"Calgary Northeast/Calgary-Nord-Est"," 65","Calgary",6,0,12,32,22,62,0,134,376
48004,"Calgary Northeast/Calgary-Nord-Est"," 66","Calgary",8,0,6,17,20,71,1,123,356
48004,"Calgary Northeast/Calgary-Nord-Est"," 67","Calgary",9,0,7,26,13,53,1,109,374
48004,"Calgary Northeast/Calgary-Nord-Est"," 68","Calgary",7,2,14,18,9,61,0,111,326
48004,"Calgary Northeast/Calgary-Nord-Est"," 69","Calgary",2,3,3,90,14,94,1,207,495
48004,"Calgary Northeast/Calgary-Nord-Est"," 70","Calgary",12,3,11,23,11,56,1,117,328
48004,"Calgary Northeast/Calgary-Nord-Est"," 71","Calgary",6,1,14,34,13,70,0,138,398
48004,"Calgary Northeast/Calgary-Nord-Est"," 72","Calgary",13,1,16,49,21,81,0,181,494
48004,"Calgary Northeast/Calgary-Nord-Est"," 73","Calgary",3,0,7,23,6,34,0,73,241
48004,"Calgary Northeast/Calgary-Nord-Est"," 74","Calgary",7,0,14,30,6,45,2,104,228
48004,"Calgary Northeast/Calgary-Nord-Est"," 75","Calgary",12,1,10,24,11,64,1,123,333
48004,"Calgary Northeast/Calgary-Nord-Est"," 76","Calgary",14,0,18,16,12,93,2,155,471
48004,"Calgary Northeast/Calgary-Nord-Est"," 77","Calgary",5,1,18,14,13,38,1,90,308
48004,"Calgary Northeast/Calgary-Nord-Est"," 78","Calgary",5,0,20,30,23,65,0,143,360
48004,"Calgary Northeast/Calgary-Nord-Est"," 79","Calgary",10,0,11,22,7,45,0,95,221
48004,"Calgary Northeast/Calgary-Nord-Est"," 80","Calgary",8,2,17,34,18,86,2,167,464
48004,"Calgary Northeast/Calgary-Nord-Est"," 81","Calgary",10,1,13,18,25,64,1,132,387
48004,"Calgary Northeast/Calgary-Nord-Est"," 82","Calgary",11,0,11,32,22,71,3,150,435
48004,"Calgary Northeast/Calgary-Nord-Est"," 83","Calgary",7,1,11,55,39,83,1,197,471
48004,"Calgary Northeast/Calgary-Nord-Est"," 84","Calgary",18,2,21,24,12,69,0,146,368
48004,"Calgary Northeast/Calgary-Nord-Est"," 85","Calgary",3,0,9,20,9,42,0,83,288
48004,"Calgary Northeast/Calgary-Nord-Est"," 86","Calgary",6,1,14,35,23,70,0,149,409
48004,"Calgary Northeast/Calgary-Nord-Est"," 87","Calgary",18,1,15,46,36,92,0,208,498
48004,"Calgary Northeast/Calgary-Nord-Est"," 88","Calgary",8,1,16,29,12,58,1,125,301
48004,"Calgary Northeast/Calgary-Nord-Est"," 89","Calgary",4,2,17,35,17,56,2,133,373
48004,"Calgary Northeast/Calgary-Nord-Est"," 90","Calgary",10,1,9,19,33,61,0,133,354
48004,"Calgary Northeast/Calgary-Nord-Est"," 91","Calgary",7,0,5,31,46,98,2,189,450
48004,"Calgary Northeast/Calgary-Nord-Est"," 92","Calgary",7,1,21,38,34,65,3,169,400
48004,"Calgary Northeast/Calgary-Nord-Est"," 93","Calgary",9,0,4,24,7,46,1,91,282
48004,"Calgary Northeast/Calgary-Nord-Est"," 94","Calgary",7,2,2,26,21,49,3,110,331
48004,"Calgary Northeast/Calgary-Nord-Est"," 95","Calgary",9,0,14,24,20,63,0,130,404
48004,"Calgary Northeast/Calgary-Nord-Est"," 96","Calgary",7,1,17,33,27,57,0,142,330
48004,"Calgary Northeast/Calgary-Nord-Est"," 97","Calgary",6,1,16,34,31,84,0,172,436
48004,"Calgary Northeast/Calgary-Nord-Est"," 98","Calgary",3,1,22,30,40,80,3,179,474
48004,"Calgary Northeast/Calgary-Nord-Est"," 99","Calgary",7,0,7,13,19,63,0,109,327
48004,"Calgary Northeast/Calgary-Nord-Est"," 100","Calgary",11,1,10,13,28,57,0,120,325
48004,"Calgary Northeast/Calgary-Nord-Est"," 101","Calgary",14,0,14,34,40,74,0,176,388
48004,"Calgary Northeast/Calgary-Nord-Est"," 102","Calgary",11,0,22,25,37,105,1,201,474
48004,"Calgary Northeast/Calgary-Nord-Est"," 103","Calgary",7,3,13,30,21,79,0,153,353
48004,"Calgary Northeast/Calgary-Nord-Est"," 104","Calgary",9,1,12,10,32,80,0,144,410
48004,"Calgary Northeast/Calgary-Nord-Est"," 105","Calgary",6,1,16,15,8,28,0,74,258
48004,"Calgary Northeast/Calgary-Nord-Est"," 106","Calgary",6,0,9,12,24,60,0,111,318
48004,"Calgary Northeast/Calgary-Nord-Est"," 107","Calgary",6,0,15,24,32,100,0,177,408
48004,"Calgary Northeast/Calgary-Nord-Est"," 108","Calgary",8,2,25,31,25,80,1,172,362
48004,"Calgary Northeast/Calgary-Nord-Est"," 109","Calgary",9,2,18,26,23,76,0,154,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 110","Calgary",7,0,16,28,17,70,1,139,383
48004,"Calgary Northeast/Calgary-Nord-Est"," 111","Calgary",11,3,11,22,23,55,0,125,335
48004,"Calgary Northeast/Calgary-Nord-Est"," 112","Calgary",9,2,18,33,34,97,1,194,428
48004,"Calgary Northeast/Calgary-Nord-Est"," 113","Calgary",6,1,28,43,26,77,1,182,436
48004,"Calgary Northeast/Calgary-Nord-Est"," 114","Calgary",11,0,15,17,38,80,0,161,428
48004,"Calgary Northeast/Calgary-Nord-Est"," 115","Calgary",11,2,11,28,63,120,4,239,491
48004,"Calgary Northeast/Calgary-Nord-Est"," 116","Calgary",12,2,13,14,38,61,1,141,338
48004,"Calgary Northeast/Calgary-Nord-Est"," 117","Calgary",12,2,12,35,31,68,0,160,362
48004,"Calgary Northeast/Calgary-Nord-Est"," 118","Calgary",4,3,9,26,14,79,0,135,378
48004,"Calgary Northeast/Calgary-Nord-Est"," 119","Calgary",4,0,6,36,20,54,0,120,473
48004,"Calgary Northeast/Calgary-Nord-Est"," 120","Calgary",3,2,11,26,13,73,3,131,457
48004,"Calgary Northeast/Calgary-Nord-Est"," 121","Calgary",2,0,6,11,11,37,1,68,240
48004,"Calgary Northeast/Calgary-Nord-Est"," 121-1","Calgary",5,0,9,18,15,56,1,104,311
48004,"Calgary Northeast/Calgary-Nord-Est"," 122","Calgary",2,1,11,25,20,54,2,115,358
48004,"Calgary Northeast/Calgary-Nord-Est"," 123","Calgary",1,2,23,18,21,68,0,133,378
48004,"Calgary Northeast/Calgary-Nord-Est"," 124","Calgary",6,0,11,18,14,48,1,98,272
48004,"Calgary Northeast/Calgary-Nord-Est"," 124-1","Calgary",6,0,12,28,8,56,1,111,349
48004,"Calgary Northeast/Calgary-Nord-Est"," 125","Calgary",13,0,12,14,15,65,0,119,361
48004,"Calgary Northeast/Calgary-Nord-Est"," 126","Calgary",24,1,44,20,31,163,0,283,374
48004,"Calgary Northeast/Calgary-Nord-Est"," 127","Calgary",Merged with No. 126/Fusionné avec le nº 126,,,,,,,,284
48004,"Calgary Northeast/Calgary-Nord-Est"," 128","Calgary",8,1,21,21,6,65,0,122,445
48004,"Calgary Northeast/Calgary-Nord-Est"," 129","Calgary",13,1,17,9,12,65,2,119,420
48004,"Calgary Northeast/Calgary-Nord-Est"," 130","Calgary",15,3,13,50,24,95,1,201,495
48004,"Calgary Northeast/Calgary-Nord-Est"," 131","Calgary",14,0,11,24,15,72,0,136,347
48004,"Calgary Northeast/Calgary-Nord-Est"," 132","Calgary",10,2,18,31,17,81,2,161,422
48004,"Calgary Northeast/Calgary-Nord-Est"," 133","Calgary",7,2,18,23,31,104,0,185,403
48004,"Calgary Northeast/Calgary-Nord-Est"," 134","Calgary",13,1,29,34,37,123,0,237,542
48004,"Calgary Northeast/Calgary-Nord-Est"," 135","Calgary",10,2,21,30,26,90,1,180,372
48004,"Calgary Northeast/Calgary-Nord-Est"," 136","Calgary",9,6,26,43,24,81,0,189,457
48004,"Calgary Northeast/Calgary-Nord-Est"," 137","Calgary",4,1,7,9,6,25,0,52,258
48004,"Calgary Northeast/Calgary-Nord-Est"," 138","Calgary",3,0,16,19,8,50,1,97,251
48004,"Calgary Northeast/Calgary-Nord-Est"," 139","Calgary",9,1,12,10,6,20,0,58,218
48004,"Calgary Northeast/Calgary-Nord-Est"," 140","Calgary",11,0,8,33,17,74,1,144,386
48004,"Calgary Northeast/Calgary-Nord-Est"," 141","Calgary",10,0,12,18,15,78,0,133,291
48004,"Calgary Northeast/Calgary-Nord-Est"," 142","Calgary",20,1,13,38,45,93,1,211,501
48004,"Calgary Northeast/Calgary-Nord-Est"," 143","Calgary",13,4,15,28,29,79,3,171,467
48004,"Calgary Northeast/Calgary-Nord-Est"," 144","Calgary",7,0,18,38,22,73,0,158,412
48004,"Calgary Northeast/Calgary-Nord-Est"," 145","Calgary",8,2,30,50,15,88,1,194,447
48004,"Calgary Northeast/Calgary-Nord-Est"," 146","Calgary",12,1,8,28,34,85,0,168,417
48004,"Calgary Northeast/Calgary-Nord-Est"," 147","Calgary",10,0,11,13,12,55,1,102,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 148","Calgary",8,4,13,14,40,80,0,159,362
48004,"Calgary Northeast/Calgary-Nord-Est"," 149","Calgary",7,0,17,22,23,64,1,134,358
48004,"Calgary Northeast/Calgary-Nord-Est"," 150","Calgary",13,0,18,10,26,57,1,125,342
48004,"Calgary Northeast/Calgary-Nord-Est"," 151","Calgary",7,2,9,5,29,50,0,102,355
48004,"Calgary Northeast/Calgary-Nord-Est"," 152","Calgary",10,0,17,19,21,56,0,123,384
48004,"Calgary Northeast/Calgary-Nord-Est"," 152-1","Calgary",6,0,10,7,12,57,2,94,243
48004,"Calgary Northeast/Calgary-Nord-Est"," 153","Calgary",18,0,24,21,16,56,1,136,345
48004,"Calgary Northeast/Calgary-Nord-Est"," 154","Calgary",17,1,35,30,23,92,1,199,490
48004,"Calgary Northeast/Calgary-Nord-Est"," 155","Calgary",10,0,16,22,5,46,0,99,287
48004,"Calgary Northeast/Calgary-Nord-Est"," 156","Calgary",6,0,12,28,2,29,0,77,357
48004,"Calgary Northeast/Calgary-Nord-Est"," 157","Calgary",9,0,17,18,10,38,1,93,296
48004,"Calgary Northeast/Calgary-Nord-Est"," 158","Calgary",20,0,21,16,24,75,0,156,381
48004,"Calgary Northeast/Calgary-Nord-Est"," 159","Calgary",11,0,17,15,14,85,0,142,384
48004,"Calgary Northeast/Calgary-Nord-Est"," 160","Calgary",11,1,15,16,12,43,0,98,311
48004,"Calgary Northeast/Calgary-Nord-Est"," 161","Calgary",12,3,15,28,20,122,1,201,408
48004,"Calgary Northeast/Calgary-Nord-Est"," 162","Calgary",7,1,20,9,27,78,0,142,278
48004,"Calgary Northeast/Calgary-Nord-Est"," 163","Calgary",5,3,9,20,21,97,1,156,366
48004,"Calgary Northeast/Calgary-Nord-Est"," 164","Calgary",4,1,8,35,32,78,1,159,431
48004,"Calgary Northeast/Calgary-Nord-Est"," 165","Calgary",11,2,21,60,48,76,2,220,514
48004,"Calgary Northeast/Calgary-Nord-Est"," 166","Calgary",6,1,9,22,34,81,0,153,295
48004,"Calgary Northeast/Calgary-Nord-Est"," 167","Calgary",7,1,12,24,71,132,0,247,479
48004,"Calgary Northeast/Calgary-Nord-Est"," 168","Calgary",4,0,7,49,19,45,0,124,278
48004,"Calgary Northeast/Calgary-Nord-Est"," 168-1","Calgary",8,0,15,47,5,45,0,120,306
48004,"Calgary Northeast/Calgary-Nord-Est"," 169","Calgary",7,3,7,44,36,88,1,186,527
48004,"Calgary Northeast/Calgary-Nord-Est"," 170","Calgary",5,1,4,28,16,58,1,113,291
48004,"Calgary Northeast/Calgary-Nord-Est"," 170-1","Calgary",2,0,6,29,14,64,2,117,336
48004,"Calgary Northeast/Calgary-Nord-Est"," 400","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,121
48004,"Calgary Northeast/Calgary-Nord-Est"," 401","Mobile poll/Bureau itinérant",Merged with No. 501B/Fusionné avec le nº 501B,,,,,,,,175
48004,"Calgary Northeast/Calgary-Nord-Est"," 500","Mobile poll/Bureau itinérant",9,4,10,25,11,76,0,135,175
48004,"Calgary Northeast/Calgary-Nord-Est"," 501A","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,24
48004,"Calgary Northeast/Calgary-Nord-Est"," 501B ","Mobile poll/Bureau itinérant",4,3,11,14,24,93,3,152,85
48004,"Calgary Northeast/Calgary-Nord-Est"," 502 ","Mobile poll/Bureau itinérant",5,1,10,7,14,69,1,107,75
48004,"Calgary Northeast/Calgary-Nord-Est"," 600","Calgary",32,2,27,41,24,216,2,344,
48004,"Calgary Northeast/Calgary-Nord-Est"," 601","Calgary",17,1,27,18,32,229,0,324,
48004,"Calgary Northeast/Calgary-Nord-Est"," 602","Calgary",21,3,33,182,38,265,3,545,
48004,"Calgary Northeast/Calgary-Nord-Est"," 603","Calgary",4,1,24,127,24,175,3,358,
48004,"Calgary Northeast/Calgary-Nord-Est"," 604","Calgary",15,0,17,140,46,216,0,434,
48004,"Calgary Northeast/Calgary-Nord-Est"," 605","Calgary",15,0,17,48,32,123,0,235,
48004,"Calgary Northeast/Calgary-Nord-Est"," 606","Calgary",20,2,30,99,56,205,3,415,
48004,"Calgary Northeast/Calgary-Nord-Est"," 607","Calgary",9,2,22,33,27,108,3,204,
48004,"Calgary Northeast/Calgary-Nord-Est"," 608","Calgary",11,3,22,105,33,159,6,339,
48004,"Calgary Northeast/Calgary-Nord-Est"," 609","Calgary",10,2,22,39,46,222,3,344,
48004,"Calgary Northeast/Calgary-Nord-Est",,Group 1/Groupe 1,9,0,7,34,1,32,11,94,137
48004,"Calgary Northeast/Calgary-Nord-Est",,Group 2/Groupe 2,24,1,30,235,29,521,14,854,

