Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Eyking,Collin Harker,Wayne McKay,Kristen Rudderham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 116","Sydney",63,8,37,12,0,120,289
12010,"Sydney--Victoria/Sydney--Victoria"," 117","Sydney",79,38,37,23,1,178,334
12010,"Sydney--Victoria/Sydney--Victoria"," 118","Sydney",94,21,50,43,2,210,385
12010,"Sydney--Victoria/Sydney--Victoria"," 119","Sydney",87,7,40,17,0,151,284
12010,"Sydney--Victoria/Sydney--Victoria"," 120","Sydney",90,11,37,41,0,179,305
12010,"Sydney--Victoria/Sydney--Victoria"," 121","Sydney",115,15,61,30,0,221,367
12010,"Sydney--Victoria/Sydney--Victoria"," 122","Sydney",73,6,33,25,2,139,302
12010,"Sydney--Victoria/Sydney--Victoria"," 123","Sydney",52,6,35,18,1,112,226
12010,"Sydney--Victoria/Sydney--Victoria"," 124","Sydney",100,15,44,33,1,193,360
12010,"Sydney--Victoria/Sydney--Victoria"," 125","Sydney",107,10,43,46,1,207,331
12010,"Sydney--Victoria/Sydney--Victoria"," 126","Sydney",98,5,50,38,1,192,343
12010,"Sydney--Victoria/Sydney--Victoria"," 127","Sydney",112,3,57,48,1,221,365
12010,"Sydney--Victoria/Sydney--Victoria"," 128","Sydney",71,6,89,33,1,200,361
12010,"Sydney--Victoria/Sydney--Victoria"," 129","Sydney",67,9,73,11,1,161,354
12010,"Sydney--Victoria/Sydney--Victoria"," 130","Sydney",86,6,61,23,3,179,352
12010,"Sydney--Victoria/Sydney--Victoria"," 131","Sydney",40,6,34,5,1,86,302
12010,"Sydney--Victoria/Sydney--Victoria"," 132","Sydney",67,6,55,23,0,151,330
12010,"Sydney--Victoria/Sydney--Victoria"," 133","Sydney",53,6,62,22,1,144,319
12010,"Sydney--Victoria/Sydney--Victoria"," 134","Sydney",49,7,67,20,2,145,285
12010,"Sydney--Victoria/Sydney--Victoria"," 135","Sydney",43,8,66,7,1,125,278
12010,"Sydney--Victoria/Sydney--Victoria"," 136","Sydney",34,3,54,8,1,100,224
12010,"Sydney--Victoria/Sydney--Victoria"," 137","Sydney",54,10,42,9,1,116,251
12010,"Sydney--Victoria/Sydney--Victoria"," 138","Sydney",46,7,67,25,1,146,341
12010,"Sydney--Victoria/Sydney--Victoria"," 139","Sydney",50,5,63,16,4,138,333
12010,"Sydney--Victoria/Sydney--Victoria"," 140","Sydney",55,6,53,14,1,129,263
12010,"Sydney--Victoria/Sydney--Victoria"," 141","Sydney",61,4,48,19,1,133,269
12010,"Sydney--Victoria/Sydney--Victoria"," 142","Sydney",52,3,54,15,1,125,290
12010,"Sydney--Victoria/Sydney--Victoria"," 143","Sydney",78,10,76,30,2,196,451
12010,"Sydney--Victoria/Sydney--Victoria"," 144","Sydney",64,7,40,12,0,123,279
12010,"Sydney--Victoria/Sydney--Victoria"," 145","Sydney",57,4,38,21,1,121,311
12010,"Sydney--Victoria/Sydney--Victoria"," 146","New Victoria",65,9,81,28,1,184,417
12010,"Sydney--Victoria/Sydney--Victoria"," 147","New Victoria",68,1,15,11,1,96,277
12010,"Sydney--Victoria/Sydney--Victoria"," 148","New Victoria",61,6,56,28,0,151,300
12010,"Sydney--Victoria/Sydney--Victoria"," 149","South Bar",53,6,59,12,0,130,235
12010,"Sydney--Victoria/Sydney--Victoria"," 150","South Bar",89,12,67,19,2,189,360
12010,"Sydney--Victoria/Sydney--Victoria"," 151","Lingan Road",97,12,67,43,3,222,444
12010,"Sydney--Victoria/Sydney--Victoria"," 152","Scotchtown",120,7,89,61,1,278,487
12010,"Sydney--Victoria/Sydney--Victoria"," 153","Scotchtown",47,0,42,32,1,122,394
12010,"Sydney--Victoria/Sydney--Victoria"," 154","Scotchtown",80,13,61,31,0,185,372
12010,"Sydney--Victoria/Sydney--Victoria"," 155","Scotchtown",68,3,64,31,2,168,408
12010,"Sydney--Victoria/Sydney--Victoria"," 156","Lingan",132,11,95,34,2,274,474
12010,"Sydney--Victoria/Sydney--Victoria"," 157","New Waterford",78,16,80,37,0,211,426
12010,"Sydney--Victoria/Sydney--Victoria"," 158","New Waterford",63,9,84,23,4,183,395
12010,"Sydney--Victoria/Sydney--Victoria"," 159","New Waterford",40,3,45,6,2,96,268
12010,"Sydney--Victoria/Sydney--Victoria"," 160","New Waterford",65,7,62,30,4,168,415
12010,"Sydney--Victoria/Sydney--Victoria"," 161","New Waterford",87,3,69,25,7,191,352
12010,"Sydney--Victoria/Sydney--Victoria"," 162","New Waterford",48,3,61,30,1,143,329
12010,"Sydney--Victoria/Sydney--Victoria"," 163","New Waterford",36,4,45,13,2,100,224
12010,"Sydney--Victoria/Sydney--Victoria"," 164","New Waterford",75,6,43,22,0,146,331
12010,"Sydney--Victoria/Sydney--Victoria"," 165","New Waterford",51,8,51,19,2,131,332
12010,"Sydney--Victoria/Sydney--Victoria"," 166","New Waterford",82,6,40,32,2,162,326
12010,"Sydney--Victoria/Sydney--Victoria"," 167","New Waterford",81,7,55,15,1,159,402
12010,"Sydney--Victoria/Sydney--Victoria"," 168","New Waterford",57,1,38,12,4,112,278
12010,"Sydney--Victoria/Sydney--Victoria"," 169","New Waterford",87,9,69,34,3,202,383
12010,"Sydney--Victoria/Sydney--Victoria"," 170","New Waterford",53,3,54,25,0,135,338
12010,"Sydney--Victoria/Sydney--Victoria"," 171","New Waterford",91,6,57,37,1,192,374
12010,"Sydney--Victoria/Sydney--Victoria"," 400","Cape Breton",Void/Supprimé,,,,,,
12010,"Sydney--Victoria/Sydney--Victoria"," 401","Cape Breton",43,3,18,19,1,84,278
12010,"Sydney--Victoria/Sydney--Victoria"," 402","Sydney",53,2,16,17,2,90,126
12010,"Sydney--Victoria/Sydney--Victoria"," 500","Mobile poll/Bureau itinérant",14,1,3,11,3,32,72
12010,"Sydney--Victoria/Sydney--Victoria"," 501","Mobile poll/Bureau itinérant",20,3,4,10,1,38,81
12010,"Sydney--Victoria/Sydney--Victoria"," 502","Mobile poll/Bureau itinérant",55,6,11,19,0,91,155
12010,"Sydney--Victoria/Sydney--Victoria"," 503","Mobile poll/Bureau itinérant",46,4,14,22,6,92,229
12010,"Sydney--Victoria/Sydney--Victoria"," 600","Pleasant Bay",16,4,3,16,1,40,
12010,"Sydney--Victoria/Sydney--Victoria"," 601","Ingonish",36,6,8,15,0,65,
12010,"Sydney--Victoria/Sydney--Victoria"," 602","Englishtown",17,14,5,4,0,40,
12010,"Sydney--Victoria/Sydney--Victoria"," 603","Baddeck",115,14,14,85,0,228,
12010,"Sydney--Victoria/Sydney--Victoria"," 604","Florence",127,10,56,64,2,259,
12010,"Sydney--Victoria/Sydney--Victoria"," 605","Gannon Road",29,4,15,34,3,85,
12010,"Sydney--Victoria/Sydney--Victoria"," 606","Sydney Mines",257,22,93,125,3,500,
12010,"Sydney--Victoria/Sydney--Victoria"," 607","North Sydney",167,18,33,92,0,310,
12010,"Sydney--Victoria/Sydney--Victoria"," 608","Coxheath",85,7,18,45,0,155,
12010,"Sydney--Victoria/Sydney--Victoria"," 609","Coxheath 1",155,8,25,79,2,269,
12010,"Sydney--Victoria/Sydney--Victoria"," 610","Membertou 1",239,24,64,86,2,415,
12010,"Sydney--Victoria/Sydney--Victoria"," 611","Membertou 2",49,19,28,43,4,143,
12010,"Sydney--Victoria/Sydney--Victoria"," 612","Sydney",171,30,43,71,1,316,
12010,"Sydney--Victoria/Sydney--Victoria"," 613","Sydney",169,9,88,56,3,325,
12010,"Sydney--Victoria/Sydney--Victoria"," 614","New Victoria",125,3,71,30,0,229,
12010,"Sydney--Victoria/Sydney--Victoria"," 615","New Waterford",178,9,89,38,2,316,
12010,"Sydney--Victoria/Sydney--Victoria"," 616","Eskasoni",44,1,3,8,0,56,
12010,"Sydney--Victoria/Sydney--Victoria",,Group 1/Groupe 1,75,16,31,108,1,231,625
12010,"Sydney--Victoria/Sydney--Victoria",,Group 2/Groupe 2,347,20,140,87,8,602,

