Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Bouchard,Aubert Côté,Paul Crête,Claude Gaumond,Gaston Hervieux,Denis Laflamme,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 55","Saint-Patrice-de-la-Rivière-du-Loup",21,0,53,1,5,55,0,135,262
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 56","Saint-Antonin",25,0,111,4,7,61,1,209,355
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 56-1","Saint-Antonin",10,0,56,3,5,10,2,86,188
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 57","Saint-Antonin",31,1,146,4,20,65,2,269,517
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 57-1","Saint-Antonin",19,0,78,2,12,30,2,143,282
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 58","Saint-Antonin",29,0,138,6,22,55,4,254,484
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 59","Saint-Antonin",10,0,84,4,12,39,0,149,290
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 60","Notre-Dame-du-Portage",60,0,154,5,15,40,1,275,407
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 60-1","Notre-Dame-du-Portage",9,0,25,0,5,25,1,65,162
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 61","Notre-Dame-du-Portage",40,0,149,8,21,68,3,289,447
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 62","Saint-Antonin",40,0,170,6,11,64,1,292,533
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 63","Saint-Antonin",23,1,82,5,13,36,1,161,297
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 64","Saint-Alexandre-de-Kamouraska",27,0,109,3,12,40,0,191,357
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 65","Saint-Alexandre-de-Kamouraska",33,1,84,3,5,38,1,165,326
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 66","Saint-Alexandre-de-Kamouraska",Void/Supprimé,,,,,,,,
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 67","Saint-Alexandre-de-Kamouraska",24,0,99,5,15,35,0,178,353
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 68","Saint-Alexandre-de-Kamouraska",41,0,78,3,12,72,3,209,433
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 69","Saint-André",31,0,100,8,8,46,2,195,328
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 70","Saint-André",27,0,31,0,6,28,1,93,173
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 71","Saint-Joseph-de-Kamouraska",35,1,76,7,6,35,1,161,307
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 72","Saint-Germain",16,1,83,4,10,30,2,146,229
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 73","Sainte-Hélène",35,0,113,0,11,55,0,214,407
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 74","Sainte-Hélène",24,0,74,3,6,49,2,158,310
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 75","Kamouraska",15,0,113,6,2,23,1,160,336
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 76","Kamouraska",17,0,52,4,5,26,0,104,216
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 77","Saint-Pascal",19,0,82,0,13,42,2,158,338
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 78","Saint-Pascal",17,0,82,3,4,18,0,124,267
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 79","Saint-Pascal",27,1,77,4,7,42,0,158,342
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 80","Saint-Pascal",18,2,63,2,9,36,1,131,334
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 81","Saint-Pascal",28,1,68,1,11,42,0,151,330
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 82","Saint-Pascal",21,0,84,0,8,34,2,149,317
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 83","Saint-Pascal",20,1,81,2,9,43,1,157,302
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 84","Saint-Pascal",23,0,70,2,8,50,5,158,313
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 85","Saint-Pascal",22,0,69,4,4,25,2,126,258
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 86","Saint-Bruno-de-Kamouraska",19,7,116,4,10,36,1,193,421
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 87","Saint-Athanase",Void/Supprimé,,,,,,,,
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 88","Saint-Denis",26,2,120,1,14,59,1,223,396
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 89","Saint-Philippe-de-Néri",12,0,90,2,14,61,3,182,377
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 90","Saint-Philippe-de-Néri",17,0,87,2,7,34,1,148,342
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 91","Mont-Carmel",14,1,73,1,8,37,4,138,277
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 92","Mont-Carmel",18,0,111,2,7,39,1,178,347
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 93","Mont-Carmel",11,0,105,4,5,30,0,155,338
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 94","Rivière-Ouelle",9,0,50,1,6,17,0,83,142
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 95","Rivière-Ouelle",32,1,87,1,7,40,0,168,300
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 96","Rivière-Ouelle",21,0,90,4,6,42,1,164,325
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 97","Saint-Pacôme",27,0,114,3,13,51,1,209,384
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 98","Saint-Pacôme",7,0,102,2,6,21,1,139,222
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 99","Saint-Gabriel-Lalemant",11,0,85,2,1,22,1,122,272
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 100","Saint-Gabriel-Lalemant",23,0,97,4,6,24,1,155,397
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 101","Saint-Pacôme",15,1,144,3,6,50,1,220,421
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 102","Saint-Pacôme",9,1,116,3,4,40,4,177,321
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 103","La Pocatière",43,2,153,3,4,58,2,265,473
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 104","Sainte-Anne-de-la-Pocatière",22,0,104,5,8,28,2,169,402
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 105","Sainte-Anne-de-la-Pocatière",12,0,104,1,10,45,3,175,291
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 106","Saint-Onésime-d'Ixworth",7,0,40,1,3,18,1,70,178
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 107","La Pocatière",34,0,96,3,6,53,2,194,386
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 108","La Pocatière",28,0,81,5,6,53,0,173,340
24058,"Montmagny--L'Islet--Kamouraska--Rivière-du-Loup/Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"," 109","La Pocatière",24,2,103,2,7,34,1,173,366
