Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Bouchard,Jean Dorion,Ryan Hillier,Danielle Moreau,Serge Patenaude,Lise St-Denis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 19","Boucherville",40,106,51,4,0,44,1,246,402
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 20","Boucherville",48,135,69,22,1,57,2,334,491
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 21","Boucherville",41,116,74,11,0,47,2,291,479
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 22","Boucherville",37,105,49,6,1,49,2,249,379
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 23","Boucherville",39,98,56,11,0,37,2,243,397
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 24","Boucherville",63,127,69,8,0,52,6,325,502
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 25","Boucherville",50,121,91,7,0,38,2,309,461
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 26","Boucherville",68,120,100,10,1,51,4,354,500
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 27","Boucherville",54,95,87,7,0,42,1,286,412
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 28","Boucherville",37,102,43,2,0,24,1,209,313
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 29","Boucherville",37,82,51,7,0,21,2,200,307
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 30","Boucherville",28,75,52,4,0,26,1,186,297
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 31","Boucherville",53,99,57,10,1,40,3,263,388
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 32","Boucherville",14,114,60,10,0,42,6,246,381
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 33","Boucherville",40,104,71,13,1,30,4,263,407
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 34","Boucherville",49,124,90,11,1,52,4,331,450
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 35","Boucherville",28,104,57,3,0,37,0,229,333
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 36","Boucherville",34,106,47,13,1,35,1,237,364
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 37","Boucherville",35,120,43,5,0,44,1,248,416
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 38","Longueuil",17,80,45,5,1,30,3,181,292
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 39","Longueuil",25,94,63,11,1,30,1,225,357
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 40","Longueuil",36,93,26,5,0,24,3,187,338
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 41","Longueuil",42,116,29,5,0,25,3,220,356
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 42","Longueuil",23,116,37,11,1,33,4,225,388
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 43","Longueuil",23,119,49,9,1,32,4,237,429
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 44","Longueuil",15,62,22,3,0,24,2,128,310
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 45","Longueuil",24,85,27,6,0,22,2,166,516
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 46","Longueuil",19,97,33,5,0,23,5,182,379
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 47","Longueuil",27,113,68,8,0,37,0,253,389
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 48","Longueuil",37,120,68,15,2,44,3,289,476
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 49","Longueuil",28,98,41,9,1,30,4,211,305
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 50","Longueuil",29,121,53,14,0,34,2,253,399
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 51","Longueuil",26,110,50,15,1,38,3,243,390
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 52","Longueuil",40,104,79,16,0,31,1,271,372
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 53","Longueuil",35,104,43,12,0,42,2,238,397
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 54","Longueuil",42,133,82,13,1,44,2,317,459
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 55","Longueuil",33,102,73,8,0,35,1,252,393
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 56","Longueuil",45,95,79,12,2,28,1,262,423
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 57","Longueuil",30,108,79,9,1,25,0,252,392
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 58","Longueuil",31,126,82,13,0,30,4,286,390
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 59","Longueuil",29,123,35,8,1,33,3,232,365
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 60","Longueuil",12,100,35,10,2,38,3,200,434
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 61","Longueuil",8,60,23,7,1,22,1,122,259
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 62","Longueuil",23,107,39,15,0,41,3,228,409
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 63","Longueuil",30,91,31,6,0,25,2,185,377
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 64","Longueuil",70,72,98,11,1,27,1,280,452
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 64-1","Longueuil",74,93,84,12,0,23,2,288,406
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 64-2","Longueuil",Merged with No. 64-1/Fusionné avec le nº 64-1,,,,,,,,39
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 65A","Longueuil",22,84,27,0,0,31,4,168,366
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 65B","Longueuil",37,65,46,1,1,13,2,165,193
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 66","Longueuil",29,128,35,6,1,44,7,250,443
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 67","Longueuil",30,159,73,10,0,45,5,322,524
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 68","Longueuil",34,96,36,6,0,35,2,209,394
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 69","Longueuil",26,130,48,7,0,36,3,250,528
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 70","Longueuil",24,91,36,5,1,30,3,190,324
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 71","Longueuil",46,130,82,13,1,41,3,316,478
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 72","Longueuil",50,96,71,8,0,39,4,268,467
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 73","Longueuil",25,110,54,12,0,44,3,248,383
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 74","Longueuil",28,60,57,3,0,35,4,187,301
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 75","Longueuil",19,85,37,8,0,16,2,167,355
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 76","Longueuil",48,101,74,9,0,42,2,276,438
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 77","Longueuil",37,107,54,11,2,41,0,252,365
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 78","Longueuil",26,85,63,8,0,32,1,215,364
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 79","Longueuil",18,59,24,2,0,16,1,120,233
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80","Longueuil",44,47,73,4,0,9,1,178,201
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80-1","Longueuil",39,68,73,3,0,12,7,202,210
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80-2A","Longueuil",72,83,55,2,1,15,4,232,306
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80-2B","Longueuil",Merged with No. 80-4/Fusionné avec le nº 80-4,,,,,,,,137
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80-3","Longueuil",35,92,73,6,0,25,2,233,442
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80-4","Longueuil",43,77,58,3,2,25,1,209,125
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80-5","Longueuil",82,150,92,8,1,57,3,393,610
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 80-6","Longueuil",33,20,44,1,0,3,0,101,198
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 81","Longueuil",39,102,39,4,1,29,5,219,366
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 82","Longueuil",11,102,40,12,0,34,5,204,336
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 83","Longueuil",28,143,50,8,0,45,2,276,456
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 84","Longueuil",32,138,84,7,1,45,4,311,493
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 85","Longueuil",30,140,64,13,0,44,2,293,446
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 86","Longueuil",38,104,72,11,0,51,10,286,481
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 87","Longueuil",28,116,43,6,0,25,1,219,341
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 88","Longueuil",43,100,40,14,0,44,2,243,400
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 89","Longueuil",20,100,20,3,0,25,1,169,351
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 90","Longueuil",25,91,26,6,0,29,4,181,402
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 91","Longueuil",45,141,54,6,2,58,5,311,542
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 92","Longueuil",9,105,70,14,2,46,6,252,443
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 93","Longueuil",27,114,22,7,1,32,8,211,479
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 94","Longueuil",25,65,36,6,1,11,2,146,295
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 95","Longueuil",26,73,56,4,0,30,5,194,325
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 96","Longueuil",11,77,22,2,2,29,5,148,388
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 97A","Longueuil",11,77,16,3,1,22,0,130,372
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 97B","Longueuil",Merged with No. 80-1/Fusionné avec le nº 80-1,,,,,,,,56
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 98","Longueuil",28,114,37,7,2,37,0,225,382
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 99","Longueuil",20,77,22,6,1,22,12,160,341
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 100","Longueuil",18,108,15,6,1,26,3,177,314
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 101","Longueuil",19,77,31,3,0,28,0,158,355
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 102","Longueuil",25,116,44,10,2,22,7,226,400
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 103","Longueuil",15,57,16,5,0,19,3,115,315
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 104","Longueuil",28,100,23,7,0,40,1,199,458
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 105","Longueuil",17,73,19,5,0,26,2,142,300
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 106","Longueuil",22,107,30,12,0,31,0,202,368
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 107","Longueuil",12,67,38,4,0,34,4,159,358
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 108","Longueuil",17,82,18,10,0,17,3,147,418
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 109","Longueuil",23,92,36,8,0,38,1,198,332
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 110","Longueuil",22,121,40,9,0,39,3,234,444
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 111","Longueuil",27,109,57,6,0,19,1,219,386
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 112","Longueuil",22,25,34,1,0,1,1,84,410
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 113","Longueuil",23,93,59,6,0,44,4,229,326
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 114","Longueuil",30,93,22,7,0,26,1,179,360
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 115","Longueuil",27,89,22,10,1,30,4,183,457
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 116","Longueuil",19,90,34,5,0,25,7,180,441
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 117","Longueuil",16,46,16,6,1,22,1,108,294
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 118","Longueuil",19,78,35,5,0,21,5,163,378
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 119","Longueuil",20,94,32,5,1,34,2,188,496
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 120","Longueuil",22,82,28,4,0,22,4,162,404
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 121","Longueuil",44,86,59,7,0,28,6,230,398
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 122","Longueuil",22,81,24,2,0,21,1,151,331
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 123","Longueuil",39,74,52,3,0,20,4,192,371
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 124","Longueuil",23,66,29,6,0,20,3,147,316
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 125","Longueuil",25,78,31,3,0,19,2,158,326
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 126","Longueuil",17,83,33,11,1,18,2,165,359
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 127","Longueuil",28,105,36,4,1,25,2,201,366
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 128","Longueuil",29,98,25,6,2,28,2,190,403
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 129","Longueuil",24,83,19,3,0,22,7,158,328
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 130","Longueuil",15,90,15,5,1,22,6,154,308
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 131","Longueuil",20,73,23,6,3,25,5,155,435
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 132","Longueuil",22,99,31,12,1,32,3,200,457
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 133","Longueuil",10,50,31,10,0,23,3,127,437
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 134","Longueuil",21,91,25,9,1,33,4,184,372
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 135","Longueuil",24,79,50,3,0,19,2,177,340
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 136","Longueuil",37,140,67,5,0,50,5,304,498
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 137","Longueuil",37,139,70,7,0,63,6,322,522
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 137-1","Longueuil",32,108,45,9,0,45,0,239,411
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 138","Longueuil",32,139,54,11,2,47,1,286,440
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 139","Longueuil",22,93,51,7,0,28,5,206,317
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 140","Longueuil",19,82,42,5,0,21,3,172,367
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 141","Longueuil",32,80,40,5,0,24,3,184,327
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 142","Longueuil",38,100,33,8,0,29,2,210,334
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 143","Longueuil",5,68,17,4,0,16,0,110,396
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 144","Longueuil",21,55,37,7,0,17,1,138,434
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 145","Longueuil",9,68,13,9,0,23,5,127,441
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 146","Longueuil",47,132,49,6,1,53,4,292,434
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 147","Longueuil",45,127,53,6,0,38,7,276,455
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 148","Longueuil",27,123,49,8,1,35,1,244,351
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 149","Longueuil",27,126,58,11,1,41,1,265,462
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 150","Longueuil",36,143,70,6,1,48,8,312,477
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 151","Longueuil",33,90,39,2,2,26,3,195,288
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 152","Longueuil",32,78,56,3,1,38,8,216,372
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 153","Longueuil",34,110,56,5,0,38,3,246,432
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 154","Longueuil",20,45,14,3,0,18,3,103,365
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 155","Longueuil",6,37,14,0,0,8,1,66,243
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 156","Longueuil",6,39,31,9,0,28,4,117,310
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 157","Longueuil",3,48,13,3,0,11,2,80,221
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 158","Longueuil",45,123,58,10,1,39,7,283,652
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 159","Longueuil",36,117,65,13,0,45,8,284,448
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 160","Longueuil",13,59,34,2,0,30,2,140,285
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 161","Longueuil",18,57,18,4,1,27,4,129,240
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 162","Longueuil",Void/Supprimé,,,,,,,,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 163","Longueuil",26,118,43,7,3,23,4,224,375
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 164","Longueuil",31,118,33,8,0,23,4,217,409
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 165A","Longueuil",9,83,35,4,0,17,0,148,359
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 165B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,45
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 166","Longueuil",13,101,29,7,0,15,4,169,272
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 167","Longueuil",18,135,29,12,0,35,7,236,395
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 168","Longueuil",22,115,44,8,1,42,0,232,394
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 169","Longueuil",16,126,35,14,0,42,2,235,377
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 170","Longueuil",31,74,28,5,0,21,3,162,326
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 171","Longueuil",18,52,20,6,0,22,4,122,364
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 172","Longueuil",27,50,37,2,1,10,1,128,317
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 173","Longueuil",18,117,38,19,0,41,4,237,417
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 174","Longueuil",47,90,85,9,0,26,5,262,484
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 175","Longueuil",16,116,33,10,0,22,5,202,348
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 176","Longueuil",19,90,47,8,0,38,1,203,361
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 177","Longueuil",21,116,25,18,0,22,1,203,397
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 178","Longueuil",8,90,22,7,2,29,3,161,268
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 179","Longueuil",10,113,35,10,2,32,0,202,370
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 180","Longueuil",20,92,23,6,0,23,3,167,409
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 181","Longueuil",11,111,20,11,0,28,3,184,366
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 182","Longueuil",25,119,37,9,1,25,4,220,471
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 183","Longueuil",24,114,36,7,1,23,3,208,391
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 184","Longueuil",21,104,30,10,0,37,4,206,354
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 185","Longueuil",25,94,32,7,0,34,1,193,356
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 186","Longueuil",17,99,32,5,0,25,1,179,294
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 187","Longueuil",12,127,32,9,0,20,2,202,344
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 188","Longueuil",18,85,50,9,0,28,3,193,297
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 189","Longueuil",17,92,34,10,1,37,3,194,315
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 190","Longueuil",13,101,38,7,0,26,1,186,332
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 191","Longueuil",25,75,32,4,0,23,4,163,282
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 192","Longueuil",20,85,30,10,0,19,5,169,341
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 193","Longueuil",13,65,29,9,0,18,1,135,303
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 500","Mobile poll/Bureau itinérant",30,24,78,1,0,6,4,143,200
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 600","Boucherville",137,296,195,37,0,60,6,731,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 601","Boucherville",167,427,230,17,0,91,7,939,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 602","Longueuil",125,301,159,25,2,55,9,676,
24035,"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 603","Longueuil",149,297,159,13,1,65,3,687,
