Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Leahy,Andrew McKeever,Bev Oda,Bryan Ransom,Henry Zekveld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Durham/Durham"," 59","Scugog",32,20,159,51,2,2,266,506
35014,"Durham/Durham"," 60","Scugog",41,42,132,45,4,1,265,506
35014,"Durham/Durham"," 61","Scugog",47,40,148,50,1,0,286,539
35014,"Durham/Durham"," 62","Scugog",31,38,131,50,6,1,257,478
35014,"Durham/Durham"," 63","Scugog",45,17,169,63,7,0,301,531
35014,"Durham/Durham"," 64","Scugog",28,19,139,26,3,1,216,399
35014,"Durham/Durham"," 65","Scugog",23,16,105,31,1,0,176,347
35014,"Durham/Durham"," 66","Scugog",29,15,130,37,1,1,213,371
35014,"Durham/Durham"," 67","Scugog",38,32,163,55,8,0,296,517
35014,"Durham/Durham"," 68","Clarington",37,32,172,60,6,1,308,510
35014,"Durham/Durham"," 69","Clarington",28,19,159,57,3,0,266,434
35014,"Durham/Durham"," 70","Clarington",29,21,119,37,4,0,210,352
35014,"Durham/Durham"," 71","Clarington",19,23,173,62,1,3,281,450
35014,"Durham/Durham"," 72","Clarington",22,25,156,69,0,0,272,484
35014,"Durham/Durham"," 73","Clarington",30,24,164,67,9,2,296,502
35014,"Durham/Durham"," 74","Clarington",27,15,113,42,2,2,201,339
35014,"Durham/Durham"," 75","Clarington",17,15,96,51,3,0,182,331
35014,"Durham/Durham"," 76","Clarington",24,17,149,51,8,1,250,428
35014,"Durham/Durham"," 77","Clarington",19,10,98,48,6,0,181,311
35014,"Durham/Durham"," 78","Clarington",27,14,149,58,8,0,256,435
35014,"Durham/Durham"," 79","Clarington",20,15,89,34,4,0,162,350
35014,"Durham/Durham"," 80","Clarington",15,13,79,29,8,0,144,316
35014,"Durham/Durham"," 81","Clarington",21,20,72,41,1,1,156,309
35014,"Durham/Durham"," 82","Clarington",40,29,141,62,1,1,274,447
35014,"Durham/Durham"," 83","Clarington",31,26,97,41,5,2,202,423
35014,"Durham/Durham"," 84","Clarington",35,39,120,72,3,2,271,521
35014,"Durham/Durham"," 85","Clarington",24,43,101,30,1,0,199,392
35014,"Durham/Durham"," 86","Clarington",23,35,90,48,3,1,200,361
35014,"Durham/Durham"," 87","Clarington",18,32,181,83,2,0,316,548
35014,"Durham/Durham"," 88","Clarington",29,27,130,75,0,0,261,478
35014,"Durham/Durham"," 89","Clarington",22,60,122,55,3,1,263,487
35014,"Durham/Durham"," 90","Clarington",38,33,97,40,0,0,208,470
35014,"Durham/Durham"," 91","Clarington",17,31,132,59,1,1,241,481
35014,"Durham/Durham"," 92","Clarington",25,29,123,34,1,1,213,413
35014,"Durham/Durham"," 92-1","Clarington",33,32,115,41,2,1,224,450
35014,"Durham/Durham"," 93","Clarington",13,21,135,40,2,1,212,398
35014,"Durham/Durham"," 94","Clarington",15,14,51,39,1,0,120,273
35014,"Durham/Durham"," 95","Clarington",30,46,95,85,1,1,258,526
35014,"Durham/Durham"," 96","Clarington",26,26,132,59,3,0,246,444
35014,"Durham/Durham"," 97","Clarington",23,29,101,43,6,0,202,371
35014,"Durham/Durham"," 98","Clarington",17,33,103,39,0,0,192,389
35014,"Durham/Durham"," 99","Clarington",15,18,107,38,4,1,183,389
35014,"Durham/Durham"," 100","Clarington",17,40,92,43,2,2,196,426
35014,"Durham/Durham"," 101","Clarington",17,16,101,26,2,2,164,352
35014,"Durham/Durham"," 102","Clarington",27,20,143,79,2,1,272,501
35014,"Durham/Durham"," 103","Clarington",21,27,136,61,0,0,245,454
35014,"Durham/Durham"," 104","Clarington",25,33,95,53,0,1,207,387
35014,"Durham/Durham"," 105","Clarington",22,38,108,43,4,1,216,395
35014,"Durham/Durham"," 106","Clarington",34,39,106,73,1,0,253,535
35014,"Durham/Durham"," 107","Clarington",29,37,96,61,1,0,224,444
35014,"Durham/Durham"," 108","Clarington",9,27,85,42,1,0,164,360
35014,"Durham/Durham"," 109A","Clarington",22,20,88,37,0,0,167,282
35014,"Durham/Durham"," 109B","Clarington",18,11,110,48,1,0,188,306
35014,"Durham/Durham"," 110","Clarington",33,25,141,72,1,0,272,494
35014,"Durham/Durham"," 111","Clarington",19,18,162,72,4,0,275,403
35014,"Durham/Durham"," 112","Clarington",29,39,149,79,3,2,301,510
35014,"Durham/Durham"," 113","Clarington",23,32,84,46,1,0,186,411
35014,"Durham/Durham"," 114","Clarington",22,34,96,48,2,2,204,379
35014,"Durham/Durham"," 115","Clarington",6,9,74,25,0,1,115,239
35014,"Durham/Durham"," 115-1A","Clarington",18,22,85,49,3,1,178,350
35014,"Durham/Durham"," 115-1B","Clarington",13,28,74,53,0,0,168,353
35014,"Durham/Durham"," 115-1C","Clarington",15,28,80,40,2,0,165,384
35014,"Durham/Durham"," 116","Clarington",22,22,114,61,0,2,221,437
35014,"Durham/Durham"," 116-1","Clarington",11,17,97,25,3,1,154,272
35014,"Durham/Durham"," 116-2","Clarington",17,14,62,27,3,0,123,254
35014,"Durham/Durham"," 117","Clarington",23,38,138,70,2,4,275,532
35014,"Durham/Durham"," 118A","Clarington",22,30,120,48,2,1,223,426
35014,"Durham/Durham"," 118B","Clarington",12,29,116,42,3,0,202,389
35014,"Durham/Durham"," 118C","Clarington",27,41,99,52,4,0,223,417
35014,"Durham/Durham"," 119","Clarington",18,36,105,44,4,0,207,423
35014,"Durham/Durham"," 120","Clarington",30,39,168,60,0,0,297,529
35014,"Durham/Durham"," 121","Clarington",22,19,113,54,4,1,213,406
35014,"Durham/Durham"," 122","Clarington",31,31,91,53,3,0,209,481
35014,"Durham/Durham"," 123","Clarington",30,21,88,45,3,1,188,434
35014,"Durham/Durham"," 124","Clarington",Void/Supprimé,,,,,,,
35014,"Durham/Durham"," 125","Clarington",21,34,67,35,5,2,164,349
35014,"Durham/Durham"," 126","Clarington",26,14,116,39,2,0,197,410
35014,"Durham/Durham"," 127","Clarington",19,52,164,48,2,0,285,498
35014,"Durham/Durham"," 127-1","Clarington",28,57,144,46,1,0,276,509
35014,"Durham/Durham"," 128","Clarington",29,38,105,53,4,3,232,545
35014,"Durham/Durham"," 128-1","Clarington",11,13,50,22,1,0,97,195
35014,"Durham/Durham"," 129","Clarington",16,46,125,63,3,0,253,510
35014,"Durham/Durham"," 130","Clarington",39,29,89,58,2,1,218,427
35014,"Durham/Durham"," 131","Clarington",17,28,85,51,5,0,186,372
35014,"Durham/Durham"," 132","Clarington",32,43,131,56,2,1,265,507
35014,"Durham/Durham"," 133","Clarington",16,11,58,35,5,0,125,349
35014,"Durham/Durham"," 134","Clarington",23,26,111,33,4,0,197,410
35014,"Durham/Durham"," 135","Clarington",21,20,112,41,3,0,197,394
35014,"Durham/Durham"," 136","Clarington",27,38,95,38,5,0,203,406
35014,"Durham/Durham"," 137","Clarington",17,35,78,38,4,0,172,371
35014,"Durham/Durham"," 138","Clarington",43,20,118,40,1,1,223,433
35014,"Durham/Durham"," 139","Clarington",20,46,82,25,1,2,176,431
35014,"Durham/Durham"," 140","Clarington",22,31,118,39,2,1,213,428
35014,"Durham/Durham"," 140-1","Clarington",19,25,122,43,1,0,210,413
35014,"Durham/Durham"," 141","Clarington",7,25,54,8,0,1,95,232
35014,"Durham/Durham"," 141-1","Clarington",25,43,104,57,0,2,231,409
35014,"Durham/Durham"," 141-2","Clarington",19,39,89,30,0,0,177,324
35014,"Durham/Durham"," 142","Clarington",25,39,131,52,1,0,248,467
35014,"Durham/Durham"," 142-1","Clarington",22,21,99,43,1,1,187,370
35014,"Durham/Durham"," 143","Clarington",17,34,90,57,6,2,206,408
35014,"Durham/Durham"," 144","Clarington",16,35,101,54,0,2,208,426
35014,"Durham/Durham"," 145","Clarington",41,37,134,85,5,2,304,514
35014,"Durham/Durham"," 146","Clarington",21,43,85,50,2,0,201,428
35014,"Durham/Durham"," 147","Clarington",27,15,123,63,2,1,231,422
35014,"Durham/Durham"," 148","Clarington",22,30,124,82,0,2,260,489
35014,"Durham/Durham"," 149","Clarington",24,32,152,73,1,0,282,518
35014,"Durham/Durham"," 150","Clarington",29,38,124,57,2,1,251,495
35014,"Durham/Durham"," 151","Clarington",24,41,91,60,1,1,218,498
35014,"Durham/Durham"," 152","Clarington",35,28,101,61,2,1,228,446
35014,"Durham/Durham"," 153","Clarington",17,34,73,36,4,1,165,435
35014,"Durham/Durham"," 154","Clarington",44,41,89,39,1,2,216,447
35014,"Durham/Durham"," 155","Clarington",17,35,71,35,0,1,159,335
35014,"Durham/Durham"," 156","Clarington",16,34,88,36,1,1,176,359
35014,"Durham/Durham"," 157","Clarington",8,18,72,43,2,2,145,277
35014,"Durham/Durham"," 158","Clarington",21,19,94,53,3,0,190,367
35014,"Durham/Durham"," 159","Clarington",19,23,104,31,1,0,178,361
35014,"Durham/Durham"," 160","Clarington",15,50,101,42,3,2,213,482
35014,"Durham/Durham"," 161","Clarington",20,8,51,31,0,0,110,213
35014,"Durham/Durham"," 162","Clarington",5,13,60,14,2,0,94,201
35014,"Durham/Durham"," 163","Clarington",17,18,149,55,4,2,245,340
35014,"Durham/Durham"," 163-1","Clarington",22,21,183,75,2,2,305,433
35014,"Durham/Durham"," 164","Clarington",8,14,165,51,5,1,244,348
35014,"Durham/Durham"," 165","Clarington",15,22,166,72,3,0,278,371
35014,"Durham/Durham"," 166","Clarington",17,14,88,40,9,0,168,321
35014,"Durham/Durham"," 167","Clarington",21,13,138,70,9,0,251,385
35014,"Durham/Durham"," 168","Clarington",31,15,132,48,4,0,230,466
35014,"Durham/Durham"," 169","Clarington",34,29,148,65,3,1,280,464
35014,"Durham/Durham"," 170","Clarington",31,20,191,81,4,0,327,516
35014,"Durham/Durham"," 171","Clarington",49,33,162,83,4,1,332,533
35014,"Durham/Durham"," 172","Clarington",32,22,123,49,1,0,227,402
35014,"Durham/Durham"," 173","Clarington",26,16,63,25,3,2,135,224
35014,"Durham/Durham"," 174","Clarington",20,26,90,40,1,1,178,329
35014,"Durham/Durham"," 175","Clarington",26,27,123,48,5,0,229,363
35014,"Durham/Durham"," 176","Clarington",34,25,132,57,12,1,261,467
35014,"Durham/Durham"," 177","Clarington",28,19,116,72,0,1,236,394
35014,"Durham/Durham"," 178","Clarington",34,30,104,48,4,1,221,343
35014,"Durham/Durham"," 179","Clarington",23,32,115,42,3,0,215,387
35014,"Durham/Durham"," 180","Clarington",28,33,156,54,4,1,276,440
35014,"Durham/Durham"," 181A","Clarington",21,23,89,42,0,0,175,309
35014,"Durham/Durham"," 181B","Clarington",9,18,79,44,2,0,152,293
35014,"Durham/Durham"," 181-1A","Clarington",19,16,106,53,1,1,196,320
35014,"Durham/Durham"," 181-1B","Clarington",18,13,72,61,0,0,164,303
35014,"Durham/Durham"," 182","Clarington",16,21,82,43,2,0,164,280
35014,"Durham/Durham"," 183","Clarington",29,23,116,38,2,2,210,414
35014,"Durham/Durham"," 184","Clarington",22,29,80,38,6,2,177,281
35014,"Durham/Durham"," 185","Clarington",41,25,147,65,1,0,279,463
35014,"Durham/Durham"," 185-1","Clarington",18,22,126,47,1,0,214,365
35014,"Durham/Durham"," 186","Clarington",26,34,106,41,0,0,207,380
35014,"Durham/Durham"," 187","Clarington",29,22,93,48,4,3,199,398
35014,"Durham/Durham"," 188","Clarington",30,25,129,45,9,1,239,475
35014,"Durham/Durham"," 500","Mobile poll/Bureau itinérant",4,9,23,17,3,0,56,151
35014,"Durham/Durham"," 600","Uxbridge",71,23,363,113,6,0,576,
35014,"Durham/Durham"," 601","Uxbridge",58,22,345,123,1,1,550,
35014,"Durham/Durham"," 602","Scugog",71,38,522,178,8,1,818,
35014,"Durham/Durham"," 603","Blackstock",38,25,255,88,5,2,413,
35014,"Durham/Durham"," 604","Newcastle",39,36,266,101,9,0,451,
35014,"Durham/Durham"," 605","Bowmanville",50,42,340,128,8,2,570,
35014,"Durham/Durham"," 606","Bowmanville",50,80,366,159,5,3,663,
35014,"Durham/Durham"," 607","Courtice",32,66,289,97,3,1,488,
35014,"Durham/Durham"," 608","Courtice",43,51,292,85,5,1,477,
35014,"Durham/Durham"," 609","Courtice",34,38,210,77,5,0,364,
35014,"Durham/Durham",,Group 1/Groupe 1,9,5,34,28,0,5,81,150
35014,"Durham/Durham",,Group 2/Groupe 2,34,43,329,142,12,8,568,

