Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ralph Goodale,Michelle Hunter,Stephen Moore,George-Richard Wooldridge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Wascana/Wascana"," 129","Regina",103,59,25,6,1,194,289
47013,"Wascana/Wascana"," 130","Regina",112,55,30,6,0,203,348
47013,"Wascana/Wascana"," 131","Regina",100,70,30,10,0,210,322
47013,"Wascana/Wascana"," 132","Regina",112,58,27,21,1,219,345
47013,"Wascana/Wascana"," 133","Regina",146,75,30,9,4,264,410
47013,"Wascana/Wascana"," 134","Regina",139,66,20,15,0,240,337
47013,"Wascana/Wascana"," 135","Regina",140,61,25,11,0,237,347
47013,"Wascana/Wascana"," 136","Regina",120,67,20,11,1,219,329
47013,"Wascana/Wascana"," 137","Estlin--Richardson",43,100,14,1,0,158,205
47013,"Wascana/Wascana"," 138","Kronau--Lajord",93,155,36,14,3,301,552
47013,"Wascana/Wascana"," 139","Riceton--Gray",63,103,22,6,1,195,275
47013,"Wascana/Wascana"," 140","Vibank",50,90,24,12,1,177,294
47013,"Wascana/Wascana"," 141","Vibank--Odessa",73,124,36,3,0,236,425
47013,"Wascana/Wascana"," 142","Sedley",60,105,24,11,0,200,358
47013,"Wascana/Wascana"," 143","Francis",27,80,21,9,0,137,220
47013,"Wascana/Wascana"," 144","Kendal--Montmartre",25,61,10,6,1,103,201
47013,"Wascana/Wascana"," 145","Candiac--Montmartre",17,92,7,5,0,121,179
47013,"Wascana/Wascana"," 146","Montmartre",73,138,31,7,2,251,415
47013,"Wascana/Wascana"," 147","Carry the Kettle Nakoda First Nation 76-15",82,1,7,0,0,90,341
47013,"Wascana/Wascana"," 400","Regina",47,35,34,5,0,121,173
47013,"Wascana/Wascana"," 401","Regina",36,37,24,3,0,100,124
47013,"Wascana/Wascana"," 402","Regina",43,19,22,2,2,88,120
47013,"Wascana/Wascana"," 403","Regina",42,12,22,1,2,79,128
47013,"Wascana/Wascana"," 404","Regina",35,33,9,1,1,79,91
47013,"Wascana/Wascana"," 405","Regina",39,24,16,1,0,80,101
47013,"Wascana/Wascana"," 406","Regina",40,22,35,6,1,104,153
47013,"Wascana/Wascana"," 407","Regina",71,32,25,2,1,131,154
47013,"Wascana/Wascana"," 408","Regina",35,18,29,2,3,87,107
47013,"Wascana/Wascana"," 409","Regina",36,38,23,2,1,100,140
47013,"Wascana/Wascana"," 410","Regina",57,43,9,3,0,112,135
47013,"Wascana/Wascana"," 411","Regina",76,31,15,0,1,123,147
47013,"Wascana/Wascana"," 412","Regina",29,12,22,1,2,66,72
47013,"Wascana/Wascana"," 413","Regina",89,23,21,0,0,133,162
47013,"Wascana/Wascana"," 414","Regina",59,28,11,1,1,100,126
47013,"Wascana/Wascana"," 415","Regina",57,24,27,3,2,113,143
47013,"Wascana/Wascana"," 416","Mobile poll/Bureau itinérant",36,24,10,1,1,72,76
47013,"Wascana/Wascana"," 500","Mobile poll/Bureau itinérant",83,34,41,8,0,166,321
47013,"Wascana/Wascana"," 600","Regina",168,98,56,15,0,337,
47013,"Wascana/Wascana"," 601","Regina",89,82,40,9,0,220,
47013,"Wascana/Wascana"," 602","Regina",93,128,40,9,0,270,
47013,"Wascana/Wascana"," 603","Regina",141,93,50,19,1,304,
47013,"Wascana/Wascana"," 604","Regina",282,202,39,7,1,531,
47013,"Wascana/Wascana"," 605","Regina",190,104,32,7,2,335,
47013,"Wascana/Wascana"," 606","Regina",298,271,33,7,0,609,
47013,"Wascana/Wascana"," 607","Regina",176,104,30,9,0,319,
47013,"Wascana/Wascana"," 608","Riceton--Kronau--Lajord",25,33,4,0,0,62,
47013,"Wascana/Wascana"," 609","Vibank--Odessa--Sedley--Francis",18,32,11,3,0,64,
47013,"Wascana/Wascana"," 610","Kendal--Montmartre",9,31,6,1,0,47,
47013,"Wascana/Wascana"," 611","Carry the Kettle Nakoda First Nation 76-15",19,1,1,2,0,23,
47013,"Wascana/Wascana",,Group 1/Groupe 1,52,38,15,10,10,125,186
47013,"Wascana/Wascana",,Group 2/Groupe 2,238,154,84,14,5,495,

