Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Hrynkow,Jim Maloway,Wes Penner,Robert Scott,Thomas Steen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 52","Winnipeg",15,73,11,1,62,0,162,287
46005,"Elmwood--Transcona/Elmwood--Transcona"," 53","Winnipeg",3,88,8,4,42,1,146,374
46005,"Elmwood--Transcona/Elmwood--Transcona"," 54","Winnipeg",2,37,8,2,58,0,107,192
46005,"Elmwood--Transcona/Elmwood--Transcona"," 55","Winnipeg",5,70,13,1,69,0,158,359
46005,"Elmwood--Transcona/Elmwood--Transcona"," 56","Winnipeg",4,29,6,1,29,0,69,181
46005,"Elmwood--Transcona/Elmwood--Transcona"," 57","Winnipeg",8,93,21,1,52,0,175,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 58","Winnipeg",5,107,6,0,56,5,179,438
46005,"Elmwood--Transcona/Elmwood--Transcona"," 59","Winnipeg",7,88,9,0,63,0,167,292
46005,"Elmwood--Transcona/Elmwood--Transcona"," 60","Winnipeg",9,116,18,3,105,0,251,444
46005,"Elmwood--Transcona/Elmwood--Transcona"," 61","Winnipeg",2,78,3,4,42,3,132,327
46005,"Elmwood--Transcona/Elmwood--Transcona"," 62","Winnipeg",4,66,20,1,132,0,223,408
46005,"Elmwood--Transcona/Elmwood--Transcona"," 62-1A","Winnipeg",15,114,13,1,118,0,261,449
46005,"Elmwood--Transcona/Elmwood--Transcona"," 62-1B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,75
46005,"Elmwood--Transcona/Elmwood--Transcona"," 62-1C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,102
46005,"Elmwood--Transcona/Elmwood--Transcona"," 63","Winnipeg",7,49,10,1,57,0,124,223
46005,"Elmwood--Transcona/Elmwood--Transcona"," 64","Winnipeg",37,100,17,2,91,1,248,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 65","Winnipeg",23,79,14,1,62,0,179,327
46005,"Elmwood--Transcona/Elmwood--Transcona"," 66","Winnipeg",20,85,27,2,56,0,190,390
46005,"Elmwood--Transcona/Elmwood--Transcona"," 67","Winnipeg",35,82,6,2,70,0,195,359
46005,"Elmwood--Transcona/Elmwood--Transcona"," 68","Winnipeg",9,73,12,1,33,1,129,305
46005,"Elmwood--Transcona/Elmwood--Transcona"," 69","Winnipeg",13,69,14,1,45,1,143,425
46005,"Elmwood--Transcona/Elmwood--Transcona"," 70","Winnipeg",5,89,4,2,43,1,144,381
46005,"Elmwood--Transcona/Elmwood--Transcona"," 71","Winnipeg",1,66,5,0,25,0,97,311
46005,"Elmwood--Transcona/Elmwood--Transcona"," 72","Winnipeg",5,47,6,4,20,0,82,269
46005,"Elmwood--Transcona/Elmwood--Transcona"," 73","Winnipeg",8,40,8,1,37,1,95,215
46005,"Elmwood--Transcona/Elmwood--Transcona"," 74","Winnipeg",4,85,14,0,34,2,139,337
46005,"Elmwood--Transcona/Elmwood--Transcona"," 75","Winnipeg",6,85,12,1,48,1,153,429
46005,"Elmwood--Transcona/Elmwood--Transcona"," 76","Winnipeg",6,69,11,0,39,0,125,344
46005,"Elmwood--Transcona/Elmwood--Transcona"," 77","Winnipeg",6,74,7,4,46,1,138,440
46005,"Elmwood--Transcona/Elmwood--Transcona"," 78","Winnipeg",7,46,3,0,26,0,82,315
46005,"Elmwood--Transcona/Elmwood--Transcona"," 79","Winnipeg",4,61,10,0,30,1,106,326
46005,"Elmwood--Transcona/Elmwood--Transcona"," 80","Winnipeg",5,46,3,0,40,0,94,297
46005,"Elmwood--Transcona/Elmwood--Transcona"," 81","Winnipeg",4,51,10,1,43,1,110,335
46005,"Elmwood--Transcona/Elmwood--Transcona"," 82","Winnipeg",3,34,7,1,26,0,71,218
46005,"Elmwood--Transcona/Elmwood--Transcona"," 83","Winnipeg",9,57,7,2,42,1,118,302
46005,"Elmwood--Transcona/Elmwood--Transcona"," 84","Winnipeg",13,67,5,0,57,2,144,351
46005,"Elmwood--Transcona/Elmwood--Transcona"," 85","Winnipeg",4,69,10,1,49,0,133,300
46005,"Elmwood--Transcona/Elmwood--Transcona"," 86","Winnipeg",11,54,8,3,52,0,128,334
46005,"Elmwood--Transcona/Elmwood--Transcona"," 87","Winnipeg",9,66,10,1,74,0,160,337
46005,"Elmwood--Transcona/Elmwood--Transcona"," 88","Winnipeg",8,48,11,1,65,3,136,285
46005,"Elmwood--Transcona/Elmwood--Transcona"," 89","Winnipeg",8,71,10,2,87,0,178,323
46005,"Elmwood--Transcona/Elmwood--Transcona"," 90","Winnipeg",7,66,7,1,49,0,130,333
46005,"Elmwood--Transcona/Elmwood--Transcona"," 91","Winnipeg",7,85,16,0,53,0,161,363
46005,"Elmwood--Transcona/Elmwood--Transcona"," 92","Winnipeg",2,61,2,0,30,1,96,263
46005,"Elmwood--Transcona/Elmwood--Transcona"," 93","Winnipeg",10,90,20,0,58,0,178,373
46005,"Elmwood--Transcona/Elmwood--Transcona"," 94","Winnipeg",11,96,12,1,66,0,186,422
46005,"Elmwood--Transcona/Elmwood--Transcona"," 95","Winnipeg",7,62,3,1,83,0,156,301
46005,"Elmwood--Transcona/Elmwood--Transcona"," 96","Winnipeg",8,65,13,2,60,2,150,268
46005,"Elmwood--Transcona/Elmwood--Transcona"," 97","Winnipeg",9,73,6,0,21,0,109,357
