Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,Bill Greenberg,Paul Taillefer,Larry Verner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Timmins--James Bay/Timmins--Baie James"," 501","Mobile poll/Bureau itinérant",38,14,17,1,0,70,118
35092,"Timmins--James Bay/Timmins--Baie James"," 502","Mobile poll/Bureau itinérant",11,4,5,1,0,21,38
35092,"Timmins--James Bay/Timmins--Baie James"," 600","Moosonee",19,14,8,10,0,51,
35092,"Timmins--James Bay/Timmins--Baie James"," 601","Cochrane",260,99,130,17,1,507,
35092,"Timmins--James Bay/Timmins--Baie James"," 602","Cochrane",87,53,15,9,1,165,
35092,"Timmins--James Bay/Timmins--Baie James"," 603","Matheson",370,115,128,16,1,630,
35092,"Timmins--James Bay/Timmins--Baie James"," 604","Iroquois Falls",199,79,153,13,2,446,
35092,"Timmins--James Bay/Timmins--Baie James"," 605","Timmins",252,131,233,14,0,630,
35092,"Timmins--James Bay/Timmins--Baie James"," 606","Timmins",314,102,169,14,2,601,
35092,"Timmins--James Bay/Timmins--Baie James"," 607","Timmins",358,90,176,15,2,641,
35092,"Timmins--James Bay/Timmins--Baie James"," 608","Timmins",317,162,93,13,0,585,
35092,"Timmins--James Bay/Timmins--Baie James"," 609","Kirkland Lake",329,106,44,12,0,491,
35092,"Timmins--James Bay/Timmins--Baie James"," 610","Kirkland Lake",422,101,65,13,7,608,
35092,"Timmins--James Bay/Timmins--Baie James"," 611","Timiskaming",141,81,30,5,1,258,
35092,"Timmins--James Bay/Timmins--Baie James",,Group 1/Groupe 1,43,41,27,6,3,120,217
35092,"Timmins--James Bay/Timmins--Baie James",,Group 2/Groupe 2,290,91,136,13,8,538,

