Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Andrew Carrière,Brendan Daniel Hughes,Bruce Hyer,Don McArthur,Bev Sarafin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 45A","Thunder Bay",0,8,42,19,35,0,104,219
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 45B","Thunder Bay",1,8,26,30,42,0,107,227
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 46","Thunder Bay",2,9,49,33,51,1,145,295
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 46-1","Thunder Bay",0,6,27,43,33,0,109,231
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 47","Thunder Bay",1,24,51,52,48,0,176,425
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 48","Thunder Bay",0,12,61,63,61,0,197,418
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 49","Thunder Bay",3,12,65,34,53,0,167,378
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 50A","Thunder Bay",1,8,46,34,43,2,134,301
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 50B","Thunder Bay",1,8,41,40,74,0,164,303
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 51","Thunder Bay",1,6,47,38,60,0,152,314
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 52","Thunder Bay",8,2,57,35,46,0,148,396
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 53","Thunder Bay",0,6,61,28,31,0,126,338
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 54","Thunder Bay",0,5,88,16,17,0,126,287
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 55","Thunder Bay",0,9,85,56,50,0,200,445
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 56","Thunder Bay",0,10,54,43,37,0,144,367
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 57","Thunder Bay",3,7,98,30,46,0,184,424
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 58","Thunder Bay",3,11,68,45,48,2,177,396
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 59","Thunder Bay",1,26,77,92,54,1,251,479
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 60A","Thunder Bay",1,13,64,82,76,0,236,413
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 60B","Mobile poll/Bureau itinérant",Merged with No. 84B/Fusionné avec le nº 84B,,,,,,,29
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 61","Thunder Bay",2,8,41,61,57,0,169,363
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 61-1","Thunder Bay",0,12,70,80,74,0,236,453
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 62","Thunder Bay",2,19,47,43,63,0,174,273
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 63","Thunder Bay",4,13,58,59,53,3,190,358
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 64","Thunder Bay",2,9,62,70,54,1,198,410
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 65","Thunder Bay",2,11,76,53,54,0,196,371
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 66","Thunder Bay",1,3,84,28,18,1,135,405
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 67","Thunder Bay",0,6,73,71,58,0,208,345
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 68","Thunder Bay",2,9,69,71,38,0,189,372
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 69","Thunder Bay",3,16,72,45,45,0,181,373
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 70","Thunder Bay",0,8,66,60,46,2,182,328
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 71","Thunder Bay",1,6,41,52,32,0,132,254
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 72","Thunder Bay",1,10,56,42,43,1,153,315
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 73","Thunder Bay",0,6,57,46,34,0,143,289
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 74","Thunder Bay",0,13,66,46,38,0,163,332
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 75","Thunder Bay",2,10,71,30,34,0,147,315
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 76","Thunder Bay",1,12,64,49,81,0,207,391
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 77","Thunder Bay",1,4,73,37,71,0,186,376
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 78","Thunder Bay",0,14,97,44,38,0,193,422
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 79","Thunder Bay",0,4,96,40,32,0,172,342
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 80","Thunder Bay",3,7,75,37,26,0,148,354
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 81","Thunder Bay",1,6,77,35,33,0,152,304
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 82","Thunder Bay",1,23,76,39,35,0,174,364
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 83","Thunder Bay",1,9,75,22,33,2,142,244
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 84A","Thunder Bay",0,11,67,42,55,0,175,374
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 84B","Mobile poll/Bureau itinérant",1,2,29,19,16,0,67,70
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 85","Thunder Bay",0,9,69,50,54,0,182,360
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 86","Thunder Bay",1,13,105,29,56,2,206,400
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 87","Thunder Bay",3,9,87,47,41,0,187,348
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 88","Thunder Bay",1,13,75,57,37,0,183,388
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 89","Thunder Bay",1,11,63,49,56,1,181,353
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 90","Thunder Bay",1,5,53,32,32,0,123,294
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 91A","Thunder Bay",1,9,44,31,22,2,109,249
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 91B","Thunder Bay",0,5,56,29,32,0,122,241
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 92","Thunder Bay",0,12,45,29,52,2,140,312
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 93","Thunder Bay",2,7,111,49,44,4,217,399
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 94","Thunder Bay",0,10,61,50,61,0,182,325
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 95","Thunder Bay",0,16,67,78,73,0,234,407
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 96","Thunder Bay",3,9,71,40,37,4,164,381
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 97","Thunder Bay",0,20,68,58,31,1,178,356
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 98","Thunder Bay",2,17,82,51,30,0,182,373
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 99","Thunder Bay",2,25,87,72,53,0,239,420
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 100","Thunder Bay",3,11,41,30,15,0,100,262
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 101","Thunder Bay",1,18,51,30,18,1,119,352
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 102","Thunder Bay",1,18,58,46,23,1,147,345
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 103","Thunder Bay",1,21,75,38,39,1,175,420
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 104","Thunder Bay",1,21,106,91,58,2,279,451
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 105","Thunder Bay",1,14,63,49,55,2,184,317
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 106","Thunder Bay",3,13,86,59,37,0,198,366
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 107","Thunder Bay",2,8,103,36,39,0,188,387
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 108","Thunder Bay",3,10,72,40,25,0,150,315
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 109","Thunder Bay",2,14,71,37,46,0,170,359
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 110","Thunder Bay",1,11,75,45,38,0,170,327
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 111","Thunder Bay",0,5,66,31,18,0,120,301
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 112","Thunder Bay",0,6,65,28,33,0,132,349
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 113","Thunder Bay",2,4,33,43,24,0,106,217
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 114","Thunder Bay",0,4,47,23,16,0,90,271
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 115","Thunder Bay",1,10,71,43,56,0,181,338
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 116A","Thunder Bay",0,12,38,37,42,2,131,263
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 116B","Thunder Bay",0,3,26,38,41,0,108,230
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 117","Thunder Bay",3,9,36,57,32,1,138,292
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 118","Thunder Bay",1,7,47,62,62,1,180,325
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 119A","Thunder Bay",0,8,30,62,47,0,147,251
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 119B","Thunder Bay",0,5,22,44,30,0,101,199
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 120A","Thunder Bay",0,7,41,35,65,1,149,359
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 120B","Thunder Bay",1,11,27,68,77,1,185,284
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 121","Thunder Bay",2,22,59,36,37,0,156,388
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 122","Thunder Bay",0,14,64,46,30,1,155,331
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 123","Thunder Bay",3,21,59,40,27,2,152,293
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 124","Thunder Bay",0,10,43,28,30,2,113,221
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 125","Thunder Bay",1,17,56,32,23,1,130,277
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 126","Thunder Bay",0,15,45,25,23,3,111,222
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 127","Thunder Bay",0,10,76,43,44,0,173,428
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 128","Thunder Bay",1,13,31,38,22,1,106,211
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 129","Thunder Bay",0,6,52,28,17,0,103,303
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 130","Thunder Bay",0,2,19,37,19,0,77,130
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 131","Thunder Bay",1,14,68,46,55,2,186,342
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 132","Thunder Bay",0,1,47,11,15,0,74,134
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 133","Thunder Bay",0,15,84,24,38,1,162,346
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 134","Thunder Bay",1,9,71,28,25,0,134,333
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 135","Thunder Bay",1,8,72,46,10,0,137,352
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 136","Thunder Bay",1,10,69,50,25,0,155,330
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 137","Thunder Bay",0,6,46,70,65,0,187,325
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 137-1","Thunder Bay",5,15,60,69,81,2,232,409
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 138A","Thunder Bay",1,10,43,28,30,1,113,264
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 138B","Thunder Bay",1,3,34,33,28,0,99,241
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 139","Thunder Bay",2,4,41,74,47,0,168,329
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 140","Thunder Bay",2,9,56,58,71,1,197,402
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 141","Thunder Bay",0,13,24,47,60,0,144,294
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 142","Thunder Bay",0,16,34,56,75,1,182,355
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 143","Thunder Bay",0,8,20,39,33,0,100,186
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 144","Thunder Bay",0,8,64,48,44,1,165,363
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 145","Thunder Bay",0,5,36,52,47,1,141,293
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 146","Thunder Bay",1,20,58,44,42,0,165,386
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 147A","Thunder Bay",2,8,61,30,18,0,119,242
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 147B","Thunder Bay",1,10,44,22,19,0,96,205
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 148","Thunder Bay",0,12,70,44,37,4,167,360
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 149","Thunder Bay",3,29,67,43,37,0,179,338
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 150A","Thunder Bay",2,15,54,38,13,2,124,244
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 150B","Thunder Bay",3,14,58,26,26,0,127,235
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 151","Thunder Bay",0,17,74,40,36,0,167,344
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 152A","Thunder Bay",1,18,58,49,48,2,176,315
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 152B","Thunder Bay",2,14,46,53,43,0,158,267
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 153","Thunder Bay",1,12,80,43,33,0,169,400
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 154","Thunder Bay",0,25,68,62,31,0,186,332
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 155","Thunder Bay",2,19,53,59,36,0,169,309
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 156","Thunder Bay",1,18,58,104,67,1,249,418
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 157","Thunder Bay",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 158","Thunder Bay",0,22,47,27,18,5,119,254
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 159","Thunder Bay",3,22,49,44,43,1,162,321
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 160","Thunder Bay",0,24,54,76,71,0,225,396
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 161","Thunder Bay",2,24,90,44,21,0,181,379
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 162","Thunder Bay",5,24,74,32,17,2,154,323
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 163","Rossport",4,6,16,32,11,0,69,135
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 163-1","Pays Plat 51",3,2,19,11,1,0,36,48
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 164","Schreiber",8,2,34,67,14,1,126,249
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 165","Schreiber",3,1,19,51,6,1,81,172
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 166","Schreiber",5,2,18,85,23,2,135,283
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 167","Schreiber",2,1,22,70,24,0,119,237
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 168","Terrace Bay",5,5,57,70,31,0,168,304
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 169","Terrace Bay",3,11,48,90,40,1,193,366
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 170A","Terrace Bay",1,2,25,32,18,0,78,204
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 170B","Mobile poll/Bureau itinérant",Merged with No. 176B/Fusionné avec le nº 176B,,,,,,,12
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 171","Terrace Bay",3,5,43,82,31,1,165,337
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 172","Heron Bay",Merged with No. 174/Fusionné avec le nº 174,,,,,,,21
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 172-1","Jackfish",Merged with No. 170A/Fusionné avec le nº 170A,,,,,,,10
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 173","Pic River",5,21,34,61,4,0,125,267
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 174","Marathon",3,2,44,33,14,0,96,316
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 175","Marathon",5,8,61,24,23,0,121,314
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 176A","Marathon",0,7,31,42,32,0,112,302
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 176B ","Mobile poll/Bureau itinérant",0,0,6,5,5,0,16,13
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 177","Marathon",2,2,47,39,34,0,124,289
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 178","Marathon",2,9,63,32,38,0,144,396
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 179","Marathon",3,9,38,29,50,0,129,303
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 180","Marathon",4,13,74,45,44,0,180,433
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 181","Marathon",3,5,44,33,32,0,117,348
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 400","Thunder Bay",5,124,159,95,86,6,475,533
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 401","Thunder Bay",1,5,15,18,14,0,53,118
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 402","Thunder Bay",Void/Supprimé,,,,,,,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 403","Thunder Bay",1,4,28,49,46,0,128,184
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 500","Mobile poll/Bureau itinérant",3,4,24,31,12,1,75,130
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 501","Mobile poll/Bureau itinérant",1,3,21,47,25,1,98,178
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 502","Mobile poll/Bureau itinérant",1,3,11,23,17,0,55,130
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 503","Mobile poll/Bureau itinérant",1,3,26,47,36,0,113,169
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 600","Armstrong",0,3,10,4,23,0,40,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 601","Nipigon",0,10,83,55,61,2,211,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 602","Beardmore",1,3,11,12,14,0,41,
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 603","Nakina",0,1,11,24,6,0,42,
