Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rod Bruinooge,David Cosby,John Loewen,Heidi Loewen-Steffano,Sean Robert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 56","Winnipeg",123,7,86,0,12,1,229,348
46013,"Winnipeg South/Winnipeg-Sud"," 57","Winnipeg",107,15,57,2,16,5,202,417
46013,"Winnipeg South/Winnipeg-Sud"," 58","Winnipeg",103,19,75,2,22,2,223,428
46013,"Winnipeg South/Winnipeg-Sud"," 59","Winnipeg",84,12,64,1,19,0,180,325
46013,"Winnipeg South/Winnipeg-Sud"," 60A","Winnipeg",45,8,34,1,10,1,99,136
46013,"Winnipeg South/Winnipeg-Sud"," 60B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,44
46013,"Winnipeg South/Winnipeg-Sud"," 61","Winnipeg",124,8,72,6,45,2,257,370
46013,"Winnipeg South/Winnipeg-Sud"," 62","Winnipeg",Void/Supprimé,,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 63A","Winnipeg",88,8,40,3,25,2,166,238
46013,"Winnipeg South/Winnipeg-Sud"," 63B","Winnipeg",88,7,54,1,25,2,177,267
46013,"Winnipeg South/Winnipeg-Sud"," 64","Winnipeg",68,6,55,0,17,0,146,290
46013,"Winnipeg South/Winnipeg-Sud"," 65","Winnipeg",Void/Supprimé,,,,,,,
46013,"Winnipeg South/Winnipeg-Sud"," 66","Winnipeg",36,2,38,0,16,1,93,148
46013,"Winnipeg South/Winnipeg-Sud"," 67","Winnipeg",107,7,103,2,19,2,240,347
46013,"Winnipeg South/Winnipeg-Sud"," 68","Winnipeg",135,6,75,3,56,1,276,452
46013,"Winnipeg South/Winnipeg-Sud"," 69","Winnipeg",44,5,36,3,22,0,110,275
46013,"Winnipeg South/Winnipeg-Sud"," 70","Winnipeg",33,8,37,1,35,1,115,340
46013,"Winnipeg South/Winnipeg-Sud"," 71","Winnipeg",42,8,42,0,30,0,122,314
46013,"Winnipeg South/Winnipeg-Sud"," 72","Winnipeg",90,6,77,0,44,0,217,422
46013,"Winnipeg South/Winnipeg-Sud"," 73","Winnipeg",35,9,38,1,21,0,104,287
46013,"Winnipeg South/Winnipeg-Sud"," 74","Winnipeg",45,9,41,0,25,0,120,314
46013,"Winnipeg South/Winnipeg-Sud"," 75","Winnipeg",69,10,84,0,9,0,172,364
46013,"Winnipeg South/Winnipeg-Sud"," 76","Winnipeg",82,29,79,3,74,2,269,364
46013,"Winnipeg South/Winnipeg-Sud"," 77","Winnipeg",62,3,104,1,30,1,201,447
46013,"Winnipeg South/Winnipeg-Sud"," 78","Winnipeg",83,7,106,0,40,3,239,391
46013,"Winnipeg South/Winnipeg-Sud"," 79","Winnipeg",78,14,72,3,18,2,187,339
46013,"Winnipeg South/Winnipeg-Sud"," 80","Winnipeg",87,9,54,0,33,0,183,389
