Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Laird,Marnie Mellish,Paddy Torsney,Mike Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Burlington/Burlington"," 54","Burlington",15,8,99,154,0,276,424
35010,"Burlington/Burlington"," 55","Burlington",5,12,84,113,0,214,344
35010,"Burlington/Burlington"," 56","Burlington",19,16,94,121,1,251,359
35010,"Burlington/Burlington"," 57","Burlington",5,13,94,109,2,223,354
35010,"Burlington/Burlington"," 58","Burlington",4,8,48,100,1,161,309
35010,"Burlington/Burlington"," 59A","Burlington",33,21,68,98,0,220,396
35010,"Burlington/Burlington"," 59B","Burlington",34,11,72,81,3,201,367
35010,"Burlington/Burlington"," 60","Burlington",41,14,116,149,0,320,499
35010,"Burlington/Burlington"," 61","Burlington",34,24,57,78,0,193,321
35010,"Burlington/Burlington"," 62","Burlington",25,13,65,127,2,232,367
35010,"Burlington/Burlington"," 63","Burlington",22,9,33,71,1,136,240
35010,"Burlington/Burlington"," 64","Burlington",36,12,47,80,0,175,314
35010,"Burlington/Burlington"," 65","Burlington",24,22,57,93,1,197,323
35010,"Burlington/Burlington"," 66","Burlington",40,21,56,136,0,253,439
35010,"Burlington/Burlington"," 67","Burlington",18,10,35,80,1,144,236
35010,"Burlington/Burlington"," 68","Burlington",20,10,58,67,0,155,246
35010,"Burlington/Burlington"," 69","Burlington",41,15,48,104,1,209,381
35010,"Burlington/Burlington"," 70","Burlington",27,16,38,79,0,160,309
35010,"Burlington/Burlington"," 71","Burlington",27,10,114,95,1,247,407
35010,"Burlington/Burlington"," 72","Burlington",19,15,81,113,0,228,376
35010,"Burlington/Burlington"," 73","Burlington",16,16,62,95,0,189,290
35010,"Burlington/Burlington"," 74","Burlington",27,4,46,87,0,164,261
35010,"Burlington/Burlington"," 75","Burlington",21,14,72,60,0,167,290
35010,"Burlington/Burlington"," 76","Burlington",11,5,50,79,0,145,237
35010,"Burlington/Burlington"," 77","Burlington",15,22,113,143,0,293,412
35010,"Burlington/Burlington"," 78","Burlington",28,28,98,134,0,288,449
35010,"Burlington/Burlington"," 79","Burlington",31,6,34,24,0,95,295
35010,"Burlington/Burlington"," 80","Burlington",33,19,48,93,0,193,367
35010,"Burlington/Burlington"," 81","Burlington",24,16,72,134,1,247,416
35010,"Burlington/Burlington"," 82","Burlington",15,12,65,140,2,234,356
35010,"Burlington/Burlington"," 83","Burlington",17,10,88,101,3,219,334
35010,"Burlington/Burlington"," 84","Burlington",36,19,66,72,2,195,364
35010,"Burlington/Burlington"," 85","Burlington",37,6,44,100,2,189,293
35010,"Burlington/Burlington"," 86","Burlington",32,26,75,87,0,220,424
35010,"Burlington/Burlington"," 87","Burlington",11,25,110,127,2,275,422
35010,"Burlington/Burlington"," 88","Burlington",13,17,47,90,0,167,276
35010,"Burlington/Burlington"," 89","Burlington",17,15,81,126,0,239,384
35010,"Burlington/Burlington"," 90","Burlington",14,21,67,126,0,228,366
35010,"Burlington/Burlington"," 91","Burlington",8,11,69,119,1,208,384
35010,"Burlington/Burlington"," 92A","Burlington",9,11,56,97,0,173,298
35010,"Burlington/Burlington"," 92B","Mobile poll/Bureau itinérant",Merged with No. 509/Fusionné avec le nº 509,,,,,,80
35010,"Burlington/Burlington"," 93","Burlington",8,19,95,164,0,286,471
35010,"Burlington/Burlington"," 94","Burlington",14,18,100,145,1,278,433
35010,"Burlington/Burlington"," 95A","Burlington",21,7,25,62,1,116,244
35010,"Burlington/Burlington"," 95B","Burlington",18,11,44,59,0,132,250
35010,"Burlington/Burlington"," 96A","Burlington",28,9,40,75,1,153,267
35010,"Burlington/Burlington"," 96B","Burlington",25,5,44,76,0,150,256
35010,"Burlington/Burlington"," 97","Burlington",41,26,63,101,0,231,435
35010,"Burlington/Burlington"," 98","Burlington",31,16,73,129,0,249,420
35010,"Burlington/Burlington"," 99","Burlington",29,28,109,123,0,289,440
35010,"Burlington/Burlington"," 100","Burlington",29,30,66,134,0,259,444
35010,"Burlington/Burlington"," 101","Burlington",32,18,66,119,0,235,414
35010,"Burlington/Burlington"," 102","Burlington",24,11,36,72,0,143,266
35010,"Burlington/Burlington"," 103","Burlington",32,16,32,56,3,139,279
35010,"Burlington/Burlington"," 104","Burlington",38,14,66,120,0,238,399
35010,"Burlington/Burlington"," 105","Burlington",39,22,86,110,2,259,452
35010,"Burlington/Burlington"," 106","Burlington",22,11,76,118,0,227,418
35010,"Burlington/Burlington"," 107","Burlington",9,12,28,55,4,108,176
35010,"Burlington/Burlington"," 108","Burlington",21,21,70,92,0,204,387
35010,"Burlington/Burlington"," 109","Burlington",21,9,52,104,0,186,336
35010,"Burlington/Burlington"," 110","Burlington",31,23,103,103,4,264,456
35010,"Burlington/Burlington"," 111","Burlington",28,20,67,105,0,220,361
35010,"Burlington/Burlington"," 112","Burlington",26,12,60,52,0,150,216
35010,"Burlington/Burlington"," 113","Burlington",26,13,59,79,0,177,313
35010,"Burlington/Burlington"," 114","Burlington",41,26,64,119,1,251,443
35010,"Burlington/Burlington"," 115","Burlington",25,9,35,62,0,131,258
35010,"Burlington/Burlington"," 116","Burlington",25,15,46,96,0,182,329
35010,"Burlington/Burlington"," 117","Burlington",37,22,54,93,2,208,374
35010,"Burlington/Burlington"," 118","Burlington",37,17,78,78,1,211,389
35010,"Burlington/Burlington"," 119","Burlington",39,18,39,72,0,168,319
35010,"Burlington/Burlington"," 120","Burlington",31,14,52,75,2,174,312
35010,"Burlington/Burlington"," 121","Burlington",34,16,45,102,0,197,315
35010,"Burlington/Burlington"," 122","Burlington",17,8,61,118,0,204,382
35010,"Burlington/Burlington"," 123","Burlington",32,18,88,90,0,228,371
35010,"Burlington/Burlington"," 124","Burlington",29,16,47,89,0,181,271
35010,"Burlington/Burlington"," 125","Burlington",36,20,59,107,1,223,343
35010,"Burlington/Burlington"," 126","Burlington",27,11,73,63,1,175,325
35010,"Burlington/Burlington"," 127","Burlington",19,14,55,86,0,174,269
35010,"Burlington/Burlington"," 128","Burlington",47,17,47,66,1,178,381
35010,"Burlington/Burlington"," 129","Burlington",26,10,48,84,2,170,280
35010,"Burlington/Burlington"," 130","Burlington",34,7,80,104,1,226,450
35010,"Burlington/Burlington"," 131","Burlington",14,5,56,109,0,184,335
35010,"Burlington/Burlington"," 132","Burlington",34,9,42,58,3,146,404
35010,"Burlington/Burlington"," 133","Burlington",20,9,35,67,1,132,250
35010,"Burlington/Burlington"," 134","Burlington",37,19,46,92,1,195,361
35010,"Burlington/Burlington"," 135","Burlington",17,14,52,81,0,164,308
35010,"Burlington/Burlington"," 136","Burlington",42,18,41,125,1,227,455
35010,"Burlington/Burlington"," 137","Burlington",62,16,60,83,0,221,482
35010,"Burlington/Burlington"," 138","Burlington",24,14,33,72,0,143,225
35010,"Burlington/Burlington"," 139","Burlington",29,14,34,44,1,122,267
35010,"Burlington/Burlington"," 140","Burlington",31,18,72,86,0,207,354
35010,"Burlington/Burlington"," 141","Burlington",24,22,55,90,0,191,312
35010,"Burlington/Burlington"," 142A","Burlington",30,15,36,70,0,151,272
35010,"Burlington/Burlington"," 142B","Burlington",17,12,42,67,0,138,308
35010,"Burlington/Burlington"," 143A","Burlington",36,7,38,67,0,148,281
35010,"Burlington/Burlington"," 143B","Burlington",12,18,56,63,0,149,278
35010,"Burlington/Burlington"," 144","Burlington",15,16,92,123,0,246,391
35010,"Burlington/Burlington"," 145","Burlington",14,15,67,72,1,169,299
35010,"Burlington/Burlington"," 146","Burlington",29,12,78,70,2,191,339
35010,"Burlington/Burlington"," 147","Burlington",25,15,89,92,0,221,417
35010,"Burlington/Burlington"," 148","Burlington",22,19,40,90,0,171,312
35010,"Burlington/Burlington"," 149","Burlington",22,8,84,82,1,197,309
35010,"Burlington/Burlington"," 150","Burlington",9,12,78,65,0,164,235
35010,"Burlington/Burlington"," 151","Burlington",19,17,88,105,0,229,348
35010,"Burlington/Burlington"," 152","Burlington",18,19,90,115,1,243,380
35010,"Burlington/Burlington"," 153","Burlington",22,17,76,50,2,167,280
35010,"Burlington/Burlington"," 154","Burlington",19,13,52,55,0,139,213
35010,"Burlington/Burlington"," 155","Burlington",19,23,88,96,0,226,398
35010,"Burlington/Burlington"," 156","Burlington",34,12,46,60,2,154,419
35010,"Burlington/Burlington"," 157","Burlington",17,6,27,52,1,103,248
35010,"Burlington/Burlington"," 158","Burlington",16,14,67,71,0,168,295
35010,"Burlington/Burlington"," 159","Burlington",11,7,111,92,1,222,333
35010,"Burlington/Burlington"," 160","Burlington",5,9,36,69,0,119,228
35010,"Burlington/Burlington"," 161","Burlington",36,19,67,87,4,213,417
35010,"Burlington/Burlington"," 162","Burlington",26,14,63,72,1,176,316
35010,"Burlington/Burlington"," 163","Burlington",24,21,96,101,1,243,414
35010,"Burlington/Burlington"," 164","Burlington",16,5,42,50,0,113,228
35010,"Burlington/Burlington"," 165","Burlington",19,18,62,84,2,185,368
35010,"Burlington/Burlington"," 166","Burlington",10,8,73,155,1,247,469
35010,"Burlington/Burlington"," 167","Burlington",12,7,74,113,1,207,361
35010,"Burlington/Burlington"," 168","Burlington",24,16,100,133,1,274,467
35010,"Burlington/Burlington"," 169","Burlington",14,8,75,88,1,186,293
35010,"Burlington/Burlington"," 170","Burlington",6,11,60,58,0,135,259
35010,"Burlington/Burlington"," 171","Burlington",24,13,43,62,0,142,345
35010,"Burlington/Burlington"," 172","Burlington",15,9,43,93,1,161,265
35010,"Burlington/Burlington"," 173","Burlington",24,19,62,115,0,220,402
35010,"Burlington/Burlington"," 174","Burlington",12,6,113,145,1,277,415
35010,"Burlington/Burlington"," 175","Burlington",10,8,106,120,0,244,370
35010,"Burlington/Burlington"," 176A","Burlington",8,6,64,102,0,180,281
35010,"Burlington/Burlington"," 176B","Burlington",9,9,47,98,1,164,261
35010,"Burlington/Burlington"," 177","Burlington",8,13,60,91,2,174,270
35010,"Burlington/Burlington"," 178","Burlington",10,3,54,99,0,166,259
35010,"Burlington/Burlington"," 179","Burlington",7,10,57,85,1,160,244
35010,"Burlington/Burlington"," 180","Burlington",42,10,55,93,1,201,449
35010,"Burlington/Burlington"," 181","Burlington",25,27,33,90,2,177,367
35010,"Burlington/Burlington"," 182","Burlington",17,8,64,101,0,190,374
35010,"Burlington/Burlington"," 183","Burlington",9,6,50,61,0,126,224
35010,"Burlington/Burlington"," 184","Burlington",15,4,30,36,0,85,290
35010,"Burlington/Burlington"," 185","Burlington",24,25,40,56,0,145,324
35010,"Burlington/Burlington"," 186","Burlington",24,17,59,48,1,149,291
35010,"Burlington/Burlington"," 187","Burlington",14,13,105,111,0,243,382
35010,"Burlington/Burlington"," 188","Burlington",19,16,79,88,4,206,401
35010,"Burlington/Burlington"," 189","Burlington",28,12,92,113,0,245,458
35010,"Burlington/Burlington"," 190","Burlington",15,10,57,68,2,152,287
35010,"Burlington/Burlington"," 191","Burlington",30,17,43,53,1,144,341
35010,"Burlington/Burlington"," 192","Burlington",28,14,65,78,2,187,424
35010,"Burlington/Burlington"," 193","Burlington",29,14,44,42,0,129,323
35010,"Burlington/Burlington"," 194","Burlington",25,19,103,111,1,259,473
35010,"Burlington/Burlington"," 195A","Burlington",18,6,52,75,0,151,258
35010,"Burlington/Burlington"," 195B","Burlington",22,5,50,59,1,137,240
35010,"Burlington/Burlington"," 196","Burlington",19,12,54,83,0,168,327
35010,"Burlington/Burlington"," 197","Burlington",14,19,68,52,0,153,361
35010,"Burlington/Burlington"," 198","Burlington",13,9,86,126,0,234,371
35010,"Burlington/Burlington"," 199","Burlington",26,15,39,43,0,123,301
35010,"Burlington/Burlington"," 200","Burlington",29,16,88,142,1,276,443
35010,"Burlington/Burlington"," 201","Burlington",1,4,45,58,0,108,188
35010,"Burlington/Burlington"," 202","Burlington",27,6,49,100,0,182,376
35010,"Burlington/Burlington"," 203","Burlington",15,6,54,65,0,140,167
35010,"Burlington/Burlington"," 204","Burlington",Merged with No. 203/Fusionné avec le nº 203,,,,,,120
35010,"Burlington/Burlington"," 205","Burlington",21,16,80,72,0,189,362
35010,"Burlington/Burlington"," 206","Burlington",24,11,43,92,0,170,293
35010,"Burlington/Burlington"," 207","Burlington",25,10,48,84,1,168,358
35010,"Burlington/Burlington"," 208","Burlington",47,18,52,84,1,202,330
35010,"Burlington/Burlington"," 209","Burlington",30,12,78,101,1,222,352
35010,"Burlington/Burlington"," 210","Burlington",26,14,57,115,0,212,428
35010,"Burlington/Burlington"," 211","Burlington",20,11,60,81,0,172,287
35010,"Burlington/Burlington"," 212","Burlington",19,25,109,133,1,287,455
35010,"Burlington/Burlington"," 213","Burlington",41,20,34,79,1,175,470
35010,"Burlington/Burlington"," 214A","Burlington",22,7,36,38,1,104,302
35010,"Burlington/Burlington"," 214B","Burlington",26,6,32,31,1,96,294
35010,"Burlington/Burlington"," 215","Burlington",53,15,53,62,0,183,496
35010,"Burlington/Burlington"," 216","Burlington",22,17,95,94,2,230,390
35010,"Burlington/Burlington"," 217","Burlington",11,13,78,141,1,244,390
35010,"Burlington/Burlington"," 218","Burlington",19,15,88,92,0,214,378
35010,"Burlington/Burlington"," 219","Burlington",26,14,53,114,2,209,414
35010,"Burlington/Burlington"," 220","Burlington",28,18,67,130,1,244,417
35010,"Burlington/Burlington"," 221","Burlington",11,10,64,120,0,205,347
35010,"Burlington/Burlington"," 222","Burlington",14,16,97,120,1,248,402
35010,"Burlington/Burlington"," 223","Burlington",24,24,88,105,0,241,405
35010,"Burlington/Burlington"," 224","Burlington",21,16,94,79,0,210,368
35010,"Burlington/Burlington"," 225","Burlington",46,18,98,138,1,301,510
35010,"Burlington/Burlington"," 226","Burlington",37,24,55,136,3,255,430
35010,"Burlington/Burlington"," 227","Burlington",40,21,63,112,0,236,505
35010,"Burlington/Burlington"," 228","Burlington",7,4,47,72,1,131,291
35010,"Burlington/Burlington"," 229","Burlington",11,17,59,126,1,214,394
35010,"Burlington/Burlington"," 230","Burlington",11,8,89,122,0,230,424
35010,"Burlington/Burlington"," 231A","Burlington",11,12,73,119,1,216,358
35010,"Burlington/Burlington"," 231B","Burlington",12,12,66,95,0,185,353
35010,"Burlington/Burlington"," 232A","Burlington",15,12,69,78,1,175,281
35010,"Burlington/Burlington"," 232B","Burlington",20,16,49,81,1,167,292
35010,"Burlington/Burlington"," 400","Burlington",9,6,62,87,0,164,216
35010,"Burlington/Burlington"," 401","Burlington",20,15,84,107,1,227,313
35010,"Burlington/Burlington"," 402","Burlington",25,14,104,137,0,280,395
35010,"Burlington/Burlington"," 403","Burlington",25,10,72,85,1,193,287
35010,"Burlington/Burlington"," 404","Burlington",26,8,66,92,0,192,272
35010,"Burlington/Burlington"," 405","Burlington",34,12,74,89,1,210,274
35010,"Burlington/Burlington"," 406","Burlington",37,11,69,84,1,202,288
35010,"Burlington/Burlington"," 407","Burlington",46,14,37,71,4,172,253
35010,"Burlington/Burlington"," 408","Burlington",12,7,49,73,0,141,181
35010,"Burlington/Burlington"," 409","Burlington",6,14,70,94,1,185,246
35010,"Burlington/Burlington"," 410","Burlington",2,9,48,94,1,154,197
35010,"Burlington/Burlington"," 411","Burlington",31,9,39,56,2,137,225
35010,"Burlington/Burlington"," 412","Burlington",24,13,58,50,0,145,230
35010,"Burlington/Burlington"," 413","Burlington",13,7,42,55,0,117,212
35010,"Burlington/Burlington"," 414","Burlington",6,2,33,48,1,90,156
35010,"Burlington/Burlington"," 415","Burlington",28,4,49,61,0,142,235
35010,"Burlington/Burlington"," 500","Mobile poll/Bureau itinérant",17,6,48,80,2,153,222
35010,"Burlington/Burlington"," 501","Mobile poll/Bureau itinérant",6,4,20,31,1,62,162
35010,"Burlington/Burlington"," 502","Mobile poll/Bureau itinérant",16,16,43,66,0,141,193
35010,"Burlington/Burlington"," 503","Mobile poll/Bureau itinérant",6,6,43,41,3,99,272
35010,"Burlington/Burlington"," 504","Mobile poll/Bureau itinérant",23,4,29,50,1,107,164
35010,"Burlington/Burlington"," 505","Mobile poll/Bureau itinérant",21,5,35,53,2,116,214
35010,"Burlington/Burlington"," 506","Mobile poll/Bureau itinérant",8,7,41,49,1,106,255
35010,"Burlington/Burlington"," 507","Mobile poll/Bureau itinérant",9,2,33,60,1,105,237
35010,"Burlington/Burlington"," 508","Mobile poll/Bureau itinérant",11,4,46,65,0,126,203
35010,"Burlington/Burlington"," 509","Mobile poll/Bureau itinérant",12,3,23,38,1,77,153
35010,"Burlington/Burlington"," 510","Mobile poll/Bureau itinérant",14,6,92,48,0,160,231
35010,"Burlington/Burlington"," 600","Burlington",27,27,114,213,3,384,
35010,"Burlington/Burlington"," 601","Burlington",37,38,217,393,2,687,
35010,"Burlington/Burlington"," 602","Burlington",35,25,208,331,0,599,
35010,"Burlington/Burlington"," 603","Burlington",19,8,63,123,2,215,
35010,"Burlington/Burlington"," 604","Burlington",32,36,240,328,2,638,
35010,"Burlington/Burlington"," 605","Burlington",52,23,160,246,19,500,
35010,"Burlington/Burlington"," 606","Burlington",48,23,135,308,2,516,
35010,"Burlington/Burlington"," 607","Burlington",33,38,191,201,1,464,
35010,"Burlington/Burlington"," 608","Burlington",43,30,182,246,1,502,
35010,"Burlington/Burlington"," 609","Burlington",22,20,150,270,2,464,
35010,"Burlington/Burlington"," 610","Burlington",40,30,176,264,0,510,
35010,"Burlington/Burlington"," 611","Burlington",35,30,142,239,2,448,
35010,"Burlington/Burlington"," 612","Burlington",36,33,202,335,0,606,
35010,"Burlington/Burlington",,Group 1/Groupe 1,12,14,27,54,5,112,201
35010,"Burlington/Burlington",,Group 2/Groupe 2,60,38,330,394,4,826,

