Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Niki Ashton,Wally Daudrich,Saara Harvie,Tina Keeper,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46003,"Churchill/Churchill"," 43A","Split Lake",Merged with No. 42A/Fusionné avec le nº 42A,,,,,,203
46003,"Churchill/Churchill"," 43B","Split Lake",Merged with No. 42B/Fusionné avec le nº 42B,,,,,,192
46003,"Churchill/Churchill"," 44","Ilford",31,0,0,3,0,34,78
46003,"Churchill/Churchill"," 45","Gillam",119,40,9,43,1,212,496
46003,"Churchill/Churchill"," 46","Gillam",71,19,3,18,0,111,272
46003,"Churchill/Churchill"," 47","Bird",36,0,0,10,0,46,57
46003,"Churchill/Churchill"," 48","Shamattawa",22,4,4,78,0,108,436
46003,"Churchill/Churchill"," 49","Gods River",67,1,1,46,0,115,273
46003,"Churchill/Churchill"," 50","Gods Lake Narrows",15,10,1,9,0,35,77
46003,"Churchill/Churchill"," 51","Gods Lake Narrows",37,10,0,22,0,69,500
46003,"Churchill/Churchill"," 52A","Oxford House",Merged with No. 53A/Fusionné avec le nº 53A,,,,,,167
46003,"Churchill/Churchill"," 52B","Oxford House",Merged with No. 53B/Fusionné avec le nº 53B,,,,,,188
46003,"Churchill/Churchill"," 53A","Oxford House",54,4,1,39,1,99,282
46003,"Churchill/Churchill"," 53B","Oxford House",82,1,1,38,0,122,295
46003,"Churchill/Churchill"," 54A","Cross Lake",Merged with No. 55A/Fusionné avec le nº 55A,,,,,,164
46003,"Churchill/Churchill"," 54B","Cross Lake",Merged with No. 55B/Fusionné avec le nº 55B,,,,,,188
46003,"Churchill/Churchill"," 54C","Cross Lake",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,166
46003,"Churchill/Churchill"," 54D","Cross Lake",Merged with No. 55D/Fusionné avec le nº 55D,,,,,,134
46003,"Churchill/Churchill"," 55A","Cross Lake",100,9,1,47,1,158,317
46003,"Churchill/Churchill"," 55B","Cross Lake",117,1,0,36,1,155,389
46003,"Churchill/Churchill"," 55C","Cross Lake",98,9,0,23,1,131,305
46003,"Churchill/Churchill"," 55D","Cross Lake",92,2,1,27,1,123,234
46003,"Churchill/Churchill"," 56A","Cross Lake",Merged with No. 55A/Fusionné avec le nº 55A,,,,,,117
46003,"Churchill/Churchill"," 56B","Cross Lake",Merged with No. 55B/Fusionné avec le nº 55B,,,,,,113
46003,"Churchill/Churchill"," 56C","Cross Lake",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,125
46003,"Churchill/Churchill"," 56D","Cross Lake",Merged with No. 55D/Fusionné avec le nº 55D,,,,,,72
46003,"Churchill/Churchill"," 57A","Cross Lake",Merged with No. 55A/Fusionné avec le nº 55A,,,,,,3
46003,"Churchill/Churchill"," 57B","Cross Lake",Merged with No. 55B/Fusionné avec le nº 55B,,,,,,1
46003,"Churchill/Churchill"," 57C","Cross Lake",Merged with No. 55C/Fusionné avec le nº 55C,,,,,,2
46003,"Churchill/Churchill"," 58","Sherridon",10,2,0,9,0,21,68
46003,"Churchill/Churchill"," 59A","Cranberry Portage",70,21,6,29,1,127,182
46003,"Churchill/Churchill"," 59B","Cranberry Portage",46,32,4,26,0,108,174
46003,"Churchill/Churchill"," 60A","Cranberry Portage",Merged with No. 59A/Fusionné avec le nº 59A,,,,,,62
46003,"Churchill/Churchill"," 60B","Cranberry Portage",Merged with No. 59B/Fusionné avec le nº 59B,,,,,,66
46003,"Churchill/Churchill"," 61","Snow Lake",64,60,11,30,2,167,426
46003,"Churchill/Churchill"," 62","Snow Lake",46,31,3,19,0,99,270
46003,"Churchill/Churchill"," 63","Snow Lake",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 64","Flin Flon",77,71,12,41,1,202,388
46003,"Churchill/Churchill"," 65","Flin Flon",96,108,21,69,2,296,637
46003,"Churchill/Churchill"," 66","Flin Flon",73,39,9,47,1,169,436
46003,"Churchill/Churchill"," 67","Flin Flon",69,75,12,52,0,208,385
46003,"Churchill/Churchill"," 68","Flin Flon",70,69,10,32,0,181,369
46003,"Churchill/Churchill"," 69","Flin Flon",74,59,14,11,0,158,301
46003,"Churchill/Churchill"," 70","Flin Flon",69,38,11,36,1,155,350
46003,"Churchill/Churchill"," 71","Flin Flon",68,58,6,30,1,163,389
46003,"Churchill/Churchill"," 72","Flin Flon",56,28,2,21,1,108,271
46003,"Churchill/Churchill"," 73","Flin Flon",40,26,2,18,1,87,218
46003,"Churchill/Churchill"," 74","Flin Flon",61,37,7,37,1,143,359
46003,"Churchill/Churchill"," 75","Flin Flon",65,58,11,16,2,152,363
46003,"Churchill/Churchill"," 76","Wanless",52,46,3,19,0,120,198
46003,"Churchill/Churchill"," 77","Cormorant",67,8,1,10,0,86,242
46003,"Churchill/Churchill"," 78","Clearwater Lake",57,64,13,37,0,171,278
46003,"Churchill/Churchill"," 79","Umpherville",42,13,0,29,0,84,210
46003,"Churchill/Churchill"," 80","Pasquia Settlement",33,60,5,8,1,107,235
46003,"Churchill/Churchill"," 81","Opaskwayak",92,2,2,67,0,163,434
46003,"Churchill/Churchill"," 82A","Opaskwayak",77,5,1,47,0,130,453
46003,"Churchill/Churchill"," 82B","Opaskwayak",98,0,1,42,0,141,439
46003,"Churchill/Churchill"," 83","The Pas",46,43,5,23,1,118,319
46003,"Churchill/Churchill"," 84","The Pas",68,37,4,21,0,130,297
46003,"Churchill/Churchill"," 85","The Pas",99,62,10,36,0,207,456
46003,"Churchill/Churchill"," 86","The Pas",73,58,6,25,1,163,362
46003,"Churchill/Churchill"," 87","The Pas",72,78,6,28,0,184,413
46003,"Churchill/Churchill"," 88","The Pas",73,44,6,22,1,146,308
46003,"Churchill/Churchill"," 89","The Pas",65,29,4,22,0,120,259
46003,"Churchill/Churchill"," 90","Opaskwayak",11,3,0,9,0,23,94
46003,"Churchill/Churchill"," 91","The Pas",75,43,4,40,0,162,422
46003,"Churchill/Churchill"," 92","The Pas",149,59,7,59,1,275,606
46003,"Churchill/Churchill"," 93","The Pas",51,29,3,28,0,111,264
46003,"Churchill/Churchill"," 94","The Pas",92,56,5,38,1,192,427
46003,"Churchill/Churchill"," 95","Ralls Island",50,60,6,18,0,134,257
46003,"Churchill/Churchill"," 96","Youngs Point",65,54,2,16,2,139,308
46003,"Churchill/Churchill"," 97","Moose Lake",119,2,1,84,2,208,553
46003,"Churchill/Churchill"," 98","Easterville",135,8,2,54,0,199,518
46003,"Churchill/Churchill"," 99","Grand Rapids",96,13,4,35,0,148,428
46003,"Churchill/Churchill"," 100","Grand Rapids",74,3,2,17,0,96,221
46003,"Churchill/Churchill"," 101A","Norway House",62,7,6,67,1,143,258
46003,"Churchill/Churchill"," 101B","Norway House",51,9,0,52,0,112,209
46003,"Churchill/Churchill"," 101C","Norway House",55,11,3,50,0,119,210
46003,"Churchill/Churchill"," 101D","Norway House",80,16,0,53,1,150,251
46003,"Churchill/Churchill"," 102A","Norway House",Merged with No. 101A/Fusionné avec le nº 101A,,,,,,149
46003,"Churchill/Churchill"," 102B","Norway House",Merged with No. 101B/Fusionné avec le nº 101B,,,,,,112
46003,"Churchill/Churchill"," 102C","Norway House",Merged with No. 101C/Fusionné avec le nº 101C,,,,,,128
46003,"Churchill/Churchill"," 102D","Norway House",Merged with No. 101D/Fusionné avec le nº 101D,,,,,,118
46003,"Churchill/Churchill"," 103A","Norway House",Merged with No. 101A/Fusionné avec le nº 101A,,,,,,151
46003,"Churchill/Churchill"," 103B","Norway House",Merged with No. 101B/Fusionné avec le nº 101B,,,,,,147
46003,"Churchill/Churchill"," 103C","Norway House",Merged with No. 101C/Fusionné avec le nº 101C,,,,,,168
46003,"Churchill/Churchill"," 103D","Norway House",Merged with No. 101D/Fusionné avec le nº 101D,,,,,,146
46003,"Churchill/Churchill"," 104A","Norway House",Merged with No. 101A/Fusionné avec le nº 101A,,,,,,134
46003,"Churchill/Churchill"," 104B","Norway House",Merged with No. 101B/Fusionné avec le nº 101B,,,,,,65
46003,"Churchill/Churchill"," 104C","Norway House",Merged with No. 101C/Fusionné avec le nº 101C,,,,,,71
46003,"Churchill/Churchill"," 104D","Norway House",Merged with No. 101D/Fusionné avec le nº 101D,,,,,,73
46003,"Churchill/Churchill"," 105","Norway House",19,2,0,14,0,35,247
46003,"Churchill/Churchill"," 106","Norway House",34,6,2,25,0,67,228
46003,"Churchill/Churchill"," 107","Waasagomach",20,1,1,84,0,106,612
46003,"Churchill/Churchill"," 108","Garden Hill",15,6,0,122,0,143,388
46003,"Churchill/Churchill"," 109","Red Sucker Lake",37,2,3,50,0,92,366
46003,"Churchill/Churchill"," 110","Garden Hill",10,2,3,80,0,95,715
46003,"Churchill/Churchill"," 111","Island Lake",5,12,2,7,0,26,64
46003,"Churchill/Churchill"," 111-1","Island Lake",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 112A","St. Theresa Point",67,1,3,81,0,152,781
46003,"Churchill/Churchill"," 112B","St. Theresa Point",71,5,1,79,1,157,564
46003,"Churchill/Churchill"," 113","Poplar River",50,6,3,78,1,138,432
46003,"Churchill/Churchill"," 114","Poplar River",Void/Supprimé,,,,,,
46003,"Churchill/Churchill"," 115","Berens River",64,10,1,50,2,127,593
46003,"Churchill/Churchill"," 116","Pauingassi First Nation",128,4,0,25,1,158,212
46003,"Churchill/Churchill"," 117","Bloodvein",29,0,0,18,0,47,314
46003,"Churchill/Churchill"," 118","Little Grand Rapids",180,10,2,60,1,253,414
46003,"Churchill/Churchill"," 119","Hollow Water",78,13,3,63,0,157,357
46003,"Churchill/Churchill"," 120","Manigotagan",26,19,2,30,0,77,148
46003,"Churchill/Churchill"," 121","Bissett",12,55,1,4,0,72,97
46003,"Churchill/Churchill"," 122","Little Black River",45,0,3,33,0,81,191
46003,"Churchill/Churchill"," 123","Fort Alexander",27,6,0,86,0,119,359
46003,"Churchill/Churchill"," 124","Fort Alexander",49,6,4,199,0,258,724
46003,"Churchill/Churchill"," 500 ","Mobile poll/Bureau itinérant",18,6,3,11,1,39,50
46003,"Churchill/Churchill"," 501","Mobile poll/Bureau itinérant",13,6,0,8,1,28,58
46003,"Churchill/Churchill"," 502","Mobile poll/Bureau itinérant",11,5,3,10,0,29,41
46003,"Churchill/Churchill"," 600","Churchill",2,2,2,8,0,14,
46003,"Churchill/Churchill"," 601","South Indian Lake",5,3,0,4,0,12,
46003,"Churchill/Churchill"," 602","Lynn Lake--Leaf Rapids",17,9,2,14,0,42,
46003,"Churchill/Churchill"," 603","Nelson House",10,0,0,8,0,18,
46003,"Churchill/Churchill"," 604","Flin Flon",84,67,17,41,0,209,
46003,"Churchill/Churchill"," 605","Snow Lake",28,23,5,9,0,65,
46003,"Churchill/Churchill"," 606","Split Lake--Brochet 197",3,13,1,7,0,24,
46003,"Churchill/Churchill"," 607","Thompson",115,97,19,57,2,290,
46003,"Churchill/Churchill"," 608","Gillam",13,8,1,10,0,32,
46003,"Churchill/Churchill"," 609","Cross Lake--Gods Lake Narrows",5,0,0,3,0,8,
46003,"Churchill/Churchill"," 610","The Pas--Opaskwayak",34,32,2,26,0,94,
46003,"Churchill/Churchill"," 611","The Pas",82,58,10,37,0,187,
46003,"Churchill/Churchill"," 612","Grand Rapids",51,7,5,16,1,80,
46003,"Churchill/Churchill"," 613","Norway House",9,2,1,12,0,24,
46003,"Churchill/Churchill"," 614","Norway House",5,5,0,7,0,17,
46003,"Churchill/Churchill"," 615","Bloodvein",2,0,0,15,0,17,
46003,"Churchill/Churchill"," 616","Fort Alexander",25,0,0,18,0,43,
46003,"Churchill/Churchill"," 617","Lac Brochet",10,1,1,38,0,50,
46003,"Churchill/Churchill"," 618","Norway House",3,1,0,10,0,14,
46003,"Churchill/Churchill"," 619","Gods Lake Narrows",1,0,0,4,0,5,
46003,"Churchill/Churchill",,Group 1/Groupe 1,29,15,4,71,7,126,176
46003,"Churchill/Churchill",,Group 2/Groupe 2,92,57,9,92,8,258,

