Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marlin Belt,Bob Deptuck,Raquel Fletcher,Ed Komarnicki,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 30","Glenavon",10,8,22,184,0,224,354
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 31","Milestone",26,14,28,101,0,169,258
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 32","Milestone",29,15,49,182,1,276,442
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 33","Lang",12,6,24,68,0,110,176
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 34","Yellow Grass",16,11,50,174,1,252,376
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 35","Cedoux",12,12,27,95,0,146,249
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 36","McTaggart",13,7,28,122,1,171,339
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 37","Fillmore",11,5,21,116,0,153,198
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 38","Fillmore",6,9,31,84,0,130,204
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 39","Creelman",4,10,8,71,0,93,145
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 40","Handsworth",2,1,9,70,0,82,160
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 41","Kennedy",11,7,21,100,0,139,262
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 42","Kenosee Park",16,26,26,159,0,227,361
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 42-1","Wawota",9,19,28,177,0,233,395
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 43","Wawota",14,8,18,139,1,180,313
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 44","Fairlight",4,6,10,85,0,105,219
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 45","Fleming",9,8,15,43,0,75,127
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 46","Maryfield",2,3,7,87,0,99,153
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 47","Maryfield",11,15,21,113,0,160,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 48","Antler",8,3,6,93,0,110,171
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 49","Wauchope",15,14,19,148,0,196,340
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 50","Redvers",21,10,16,133,1,181,322
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 51","Redvers",19,15,21,173,1,229,394
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 52","Manor",8,17,19,146,3,193,336
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 53","Carlyle",6,9,18,126,1,160,236
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 54","Carlyle",17,21,32,181,0,251,655
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 55","Carlyle",13,11,27,118,0,169,322
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 56","Carlyle",9,5,15,70,0,99,216
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 57","White Bear 70",19,6,30,24,0,79,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 58","Arcola",14,26,41,207,1,289,510
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 59","Kisbey",12,12,18,90,1,133,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 60","Heward",16,13,42,161,1,233,356
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 61","Stoughton",18,15,56,183,0,272,511
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 62","Griffin",4,11,30,100,0,145,239
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 63","North Weyburn",11,19,44,165,2,241,414
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 64","Weyburn",16,8,28,170,0,222,371
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 65","Weyburn",8,5,25,136,0,174,329
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 66","Weyburn",10,8,36,86,2,142,277
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 67","Weyburn",6,8,43,70,0,127,243
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 68","Weyburn",7,11,23,66,0,107,264
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 69","Weyburn",6,10,25,84,0,125,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 70","Weyburn",12,9,36,99,0,156,349
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 71","Weyburn",18,9,50,93,1,171,362
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 72","Weyburn",18,11,32,100,2,163,369
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 73","Weyburn",15,17,44,102,0,178,298
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 74","Weyburn",14,8,32,95,1,150,283
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 75","Weyburn",12,17,59,102,0,190,418
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 76","Weyburn",16,12,46,75,0,149,367
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 77","Weyburn",16,9,43,151,3,222,401
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 78","Weyburn",23,12,68,231,2,336,580
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 79","Weyburn",5,12,48,97,1,163,381
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 80","Weyburn",5,14,43,93,0,155,325
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 81","Weyburn",8,12,29,95,0,144,304
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 82","Weyburn",13,5,48,154,0,220,425
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 83","Weyburn",17,12,50,167,0,246,441
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 84","Khedive",12,10,21,110,3,156,243
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 85","Pangman",14,16,54,82,0,166,240
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 86","Ogema",15,6,12,90,0,123,207
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 87","Ogema",11,7,37,107,1,163,265
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 88","Kayville",7,3,10,51,2,73,136
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 89","Viceroy",14,7,10,70,0,101,204
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 90","Coronach",15,8,48,107,1,179,303
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 91","Coronach",28,12,45,132,3,220,379
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 92","Big Beaver",4,5,9,69,0,87,148
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 93","Bengough",3,5,7,79,0,94,191
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 94","Bengough",18,11,19,99,0,147,289
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 95","Ceylon",5,13,27,115,0,160,272
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 96","Minton",9,2,11,97,0,119,208
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 97","Lake Alma",4,5,12,125,0,146,207
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 98","Radville",5,10,16,112,0,143,208
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 99","Radville",21,12,44,183,1,261,471
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 100","Radville",1,3,10,39,0,53,110
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 101","Goodwater",5,10,18,111,0,144,227
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 102","Oungre",5,6,9,131,1,152,234
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 103","Torquay",15,5,21,155,0,196,310
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 104","Macoun",6,8,17,92,0,123,208
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 105","Halbrite",8,7,25,102,0,142,252
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 106","Midale",9,16,43,161,0,229,438
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 107","Benson",7,9,12,133,0,161,286
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 108","Hitchcock",5,7,20,109,0,141,301
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 109","Shand",13,14,34,185,1,247,386
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 110","Estevan",14,6,24,179,0,223,438
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 111","Estevan",13,7,21,169,0,210,400
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 112","Estevan",16,9,34,139,1,199,408
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 113","Estevan",18,9,30,95,0,152,323
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 114","Estevan",5,3,29,126,1,164,328
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 115","Estevan",2,3,33,102,0,140,291
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 116","Estevan",4,7,25,90,0,126,283
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 117","Estevan",1,10,22,93,0,126,359
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 118","Estevan",9,7,31,104,0,151,349
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 119","Estevan",6,4,30,160,0,200,339
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 120","Estevan",11,6,36,198,1,252,441
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 121","Estevan",4,10,35,88,0,137,305
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 122","Estevan",10,10,47,141,0,208,403
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 123","Estevan",4,1,18,57,0,80,274
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 124","Estevan",12,8,40,124,0,184,406
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 125","Estevan",7,20,50,133,0,210,412
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 126","Estevan",12,10,42,103,0,167,372
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 127","Estevan",14,8,16,83,1,122,285
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 128","Estevan",6,4,26,72,0,108,305
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 129A","Estevan",13,8,34,134,0,189,358
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 129B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,40
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 130","Estevan",9,7,19,70,2,107,237
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 131","Bienfait",11,13,58,172,0,254,544
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 132","Bienfait",1,7,20,90,0,118,224
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 133","Lampman",9,2,16,138,0,165,255
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 134","Browning",4,3,3,68,0,78,104
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 135","Lampman",15,11,24,176,0,226,397
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 136","Alameda",15,28,26,154,0,223,364
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 137","Frobisher",10,15,19,86,0,130,233
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 138","North Portal",9,5,19,66,0,99,161
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 139","Glen Ewen",5,14,14,140,0,173,337
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 140","Oxbow",5,16,28,130,0,179,409
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 141","Oxbow",6,8,16,102,0,132,281
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 142","Oxbow",6,5,8,88,0,107,161
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 143","Alida",7,14,11,139,0,171,314
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 144","Carnduff",4,6,11,79,0,100,175
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 145","Carnduff",11,5,23,100,1,140,277
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 146","Carnduff",10,15,37,222,1,285,523
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 147","Carievale",1,5,13,132,1,152,276
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 148","Storthoaks",5,4,11,87,0,107,184
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 149","Gainsborough",10,14,18,139,0,181,301
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 500","Mobile poll/Bureau itinérant",4,0,10,15,2,31,66
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 501","Mobile poll/Bureau itinérant",2,1,5,9,1,18,39
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 502","Mobile poll/Bureau itinérant",9,2,18,18,0,47,75
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 503","Mobile poll/Bureau itinérant",9,1,14,21,1,46,79
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 504","Mobile poll/Bureau itinérant",9,3,18,22,1,53,75
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 505","Mobile poll/Bureau itinérant",17,4,13,47,1,82,128
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 506","Mobile poll/Bureau itinérant",7,1,12,29,0,49,64
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 507","Mobile poll/Bureau itinérant",8,6,12,36,2,64,98
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 600","Grenfell",10,9,16,78,0,113,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 601","Whitewood",9,5,17,71,0,102,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 602","Moosomin",11,18,26,112,0,167,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 603","Bengough",15,1,16,56,0,88,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 604","Coronach",2,3,6,29,0,40,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 605","Milestone",6,0,6,43,0,55,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 606","Radville",2,0,10,54,0,66,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 607","Weyburn",38,22,128,300,1,489,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 608","Weyburn",7,6,22,99,1,135,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 609","Estevan",18,9,48,187,0,262,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 610","Estevan",2,0,11,58,0,71,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 611","Lampman",9,4,9,52,0,74,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 612","Oxbow",0,6,5,61,0,72,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 613","Carnduff",1,4,8,42,1,56,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 614","Redvers",5,2,6,47,0,60,
47012,"Souris--Moose Mountain/Souris--Moose Mountain"," 615","Wawota",1,8,2,23,0,34,
47012,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 1/Groupe 1,12,4,6,28,5,55,100
47012,"Souris--Moose Mountain/Souris--Moose Mountain",,Group 2/Groupe 2,43,22,69,301,4,439,

