Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bellemare,Nicolas Dufour,Paul W. Fournier,Bruno Royer,Robert Semegen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Repentigny/Repentigny"," 142","Repentigny",43,122,5,26,28,7,231,365
24053,"Repentigny/Repentigny"," 143","Repentigny",20,88,6,25,26,4,169,324
24053,"Repentigny/Repentigny"," 144","Repentigny",27,123,3,22,32,3,210,352
24053,"Repentigny/Repentigny"," 145","Repentigny",28,112,6,14,19,0,179,314
24053,"Repentigny/Repentigny"," 146","Repentigny",14,54,2,22,13,4,109,303
24053,"Repentigny/Repentigny"," 147A","Repentigny",19,68,2,25,41,2,157,297
24053,"Repentigny/Repentigny"," 147B","Repentigny",10,67,2,57,48,0,184,337
24053,"Repentigny/Repentigny"," 148","Repentigny",19,87,1,26,17,2,152,255
24053,"Repentigny/Repentigny"," 149","Repentigny",44,71,8,39,22,1,185,308
24053,"Repentigny/Repentigny"," 150","Repentigny",21,76,5,31,33,1,167,297
24053,"Repentigny/Repentigny"," 151","Repentigny",48,100,4,52,35,0,239,369
24053,"Repentigny/Repentigny"," 152","Repentigny",41,133,1,35,46,4,260,428
24053,"Repentigny/Repentigny"," 153","Repentigny",48,132,7,41,43,3,274,418
24053,"Repentigny/Repentigny"," 154","Repentigny",39,140,4,17,37,9,246,418
24053,"Repentigny/Repentigny"," 155","Repentigny",55,142,9,37,36,3,282,439
24053,"Repentigny/Repentigny"," 156","Repentigny",38,96,6,29,60,2,231,363
24053,"Repentigny/Repentigny"," 157","Repentigny",45,150,7,38,45,4,289,467
24053,"Repentigny/Repentigny"," 158","Repentigny",45,143,9,39,44,3,283,438
24053,"Repentigny/Repentigny"," 159","Repentigny",45,125,10,31,43,3,257,414
24053,"Repentigny/Repentigny"," 160","Repentigny",33,131,6,34,37,5,246,381
24053,"Repentigny/Repentigny"," 161","Repentigny",44,120,12,38,27,6,247,381
24053,"Repentigny/Repentigny"," 162","Repentigny",27,124,5,26,29,0,211,349
24053,"Repentigny/Repentigny"," 163","Repentigny",34,88,5,39,34,3,203,340
24053,"Repentigny/Repentigny"," 164","Repentigny",38,117,4,41,37,4,241,347
24053,"Repentigny/Repentigny"," 165","Repentigny",26,104,8,21,26,3,188,303
24053,"Repentigny/Repentigny"," 166","Repentigny",43,96,4,49,67,8,267,475
24053,"Repentigny/Repentigny"," 167","Repentigny",28,97,8,45,30,5,213,357
24053,"Repentigny/Repentigny"," 168","Repentigny",21,130,3,21,33,3,211,385
24053,"Repentigny/Repentigny"," 169","Repentigny",22,90,5,25,41,4,187,382
24053,"Repentigny/Repentigny"," 170","Repentigny",31,110,8,38,35,8,230,426
24053,"Repentigny/Repentigny"," 171","Repentigny",23,68,3,60,53,5,212,421
24053,"Repentigny/Repentigny"," 172","Repentigny",34,95,5,24,55,4,217,410
24053,"Repentigny/Repentigny"," 173","Repentigny",46,112,11,39,45,3,256,378
24053,"Repentigny/Repentigny"," 174","Repentigny",41,132,16,18,40,1,248,347
24053,"Repentigny/Repentigny"," 175","Repentigny",29,92,4,27,36,1,189,318
24053,"Repentigny/Repentigny"," 176","Repentigny",32,121,10,31,34,4,232,355
24053,"Repentigny/Repentigny"," 177","Repentigny",39,106,12,41,53,1,252,370
24053,"Repentigny/Repentigny"," 178","Repentigny",31,101,14,18,48,2,214,354
24053,"Repentigny/Repentigny"," 179A","Repentigny",31,115,10,23,43,5,227,396
24053,"Repentigny/Repentigny"," 179B","Mobile poll/Bureau itinérant",Merged with No. 136B/Fusionné avec le nº 136B,,,,,,,25
24053,"Repentigny/Repentigny"," 180","Repentigny",25,101,9,18,20,1,174,384
24053,"Repentigny/Repentigny"," 181","Charlemagne",32,160,9,54,41,4,300,578
24053,"Repentigny/Repentigny"," 182","Charlemagne",34,125,7,20,25,6,217,397
24053,"Repentigny/Repentigny"," 183","Charlemagne",39,98,5,19,27,4,192,314
24053,"Repentigny/Repentigny"," 184","Charlemagne",22,132,6,14,16,14,204,370
24053,"Repentigny/Repentigny"," 185","Charlemagne",52,143,6,41,35,4,281,488
24053,"Repentigny/Repentigny"," 186","Charlemagne",61,167,3,28,40,8,307,470
24053,"Repentigny/Repentigny"," 187","Charlemagne",47,183,10,26,22,1,289,480
24053,"Repentigny/Repentigny"," 188","Charlemagne",17,107,6,24,7,0,161,334
24053,"Repentigny/Repentigny"," 189","Charlemagne",22,104,2,17,23,8,176,302
24053,"Repentigny/Repentigny"," 190","Charlemagne",28,99,5,14,18,4,168,297
24053,"Repentigny/Repentigny"," 191","Charlemagne",37,125,2,25,25,1,215,383
24053,"Repentigny/Repentigny"," 192","Charlemagne",19,110,3,25,26,5,188,396
24053,"Repentigny/Repentigny"," 400","Repentigny",18,82,5,73,93,4,275,340
24053,"Repentigny/Repentigny"," 401","Repentigny",52,181,0,131,97,7,468,573
24053,"Repentigny/Repentigny"," 500","Mobile poll/Bureau itinérant",9,51,4,27,44,4,139,237
24053,"Repentigny/Repentigny"," 501","Mobile poll/Bureau itinérant",0,16,3,9,10,2,40,93
24053,"Repentigny/Repentigny"," 600","Saint-Gérard-Majella",16,111,5,25,21,3,181,
24053,"Repentigny/Repentigny"," 601","L'Épiphanie",35,227,5,68,33,5,373,
24053,"Repentigny/Repentigny"," 602","L'Assomption",84,446,25,172,108,9,844,
24053,"Repentigny/Repentigny"," 603","Saint-Sulpice",11,62,1,21,18,0,113,
24053,"Repentigny/Repentigny"," 604","Le Gardeur",56,260,11,95,56,6,484,
24053,"Repentigny/Repentigny"," 605","Le Gardeur",46,256,15,88,68,11,484,
24053,"Repentigny/Repentigny"," 606","Repentigny",66,273,12,121,86,13,571,
24053,"Repentigny/Repentigny"," 607","Repentigny",54,208,13,67,41,3,386,
24053,"Repentigny/Repentigny"," 608","Repentigny",51,224,19,94,65,3,456,
24053,"Repentigny/Repentigny"," 609","Repentigny",45,186,11,91,75,4,412,
24053,"Repentigny/Repentigny"," 610","Repentigny",69,258,3,151,103,8,592,
24053,"Repentigny/Repentigny"," 611","Repentigny",53,215,6,80,92,3,449,
24053,"Repentigny/Repentigny"," 612","Repentigny",46,248,17,125,98,3,537,
24053,"Repentigny/Repentigny"," 613","Charlemagne",34,229,10,63,57,5,398,
24053,"Repentigny/Repentigny",,Group 1/Groupe 1,6,23,1,24,18,2,74,175
24053,"Repentigny/Repentigny",,Group 2/Groupe 2,37,256,6,95,53,4,451,

