Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Zahia El-Masri,Agop Evereklian,Raymonde Folco,Mohamedali Jetha,Brent Neil,Sylvain A. Trottier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Laval--Les Îles/Laval--Les Îles"," 43","Laval",30,30,63,93,15,0,5,236,413
24033,"Laval--Les Îles/Laval--Les Îles"," 44","Laval",35,27,93,111,10,3,6,285,423
24033,"Laval--Les Îles/Laval--Les Îles"," 45","Laval",31,36,103,130,7,4,8,319,502
24033,"Laval--Les Îles/Laval--Les Îles"," 46","Laval",23,38,64,66,7,1,2,201,341
24033,"Laval--Les Îles/Laval--Les Îles"," 47","Laval",21,40,53,65,5,1,5,190,342
24033,"Laval--Les Îles/Laval--Les Îles"," 48","Laval",26,28,45,41,6,1,1,148,260
24033,"Laval--Les Îles/Laval--Les Îles"," 49","Laval",36,32,65,75,6,1,5,220,378
24033,"Laval--Les Îles/Laval--Les Îles"," 50","Laval",39,33,73,97,4,1,2,249,376
24033,"Laval--Les Îles/Laval--Les Îles"," 51","Laval",53,49,115,102,19,1,1,340,528
24033,"Laval--Les Îles/Laval--Les Îles"," 52","Laval",36,44,98,78,7,0,4,267,396
24033,"Laval--Les Îles/Laval--Les Îles"," 53","Laval",26,37,82,70,8,1,7,231,373
24033,"Laval--Les Îles/Laval--Les Îles"," 54","Laval",59,84,146,117,16,1,5,428,756
24033,"Laval--Les Îles/Laval--Les Îles"," 55","Laval",44,46,66,157,8,3,5,329,623
24033,"Laval--Les Îles/Laval--Les Îles"," 56","Laval",Void/Supprimé,,,,,,,,
24033,"Laval--Les Îles/Laval--Les Îles"," 57","Laval",14,53,109,23,7,0,1,207,373
24033,"Laval--Les Îles/Laval--Les Îles"," 58","Laval",43,47,134,97,13,1,1,336,569
24033,"Laval--Les Îles/Laval--Les Îles"," 59","Laval",36,18,110,97,14,3,0,278,498
24033,"Laval--Les Îles/Laval--Les Îles"," 60","Laval",40,55,130,85,9,0,3,322,518
24033,"Laval--Les Îles/Laval--Les Îles"," 61","Laval",28,43,77,76,16,2,6,248,430
24033,"Laval--Les Îles/Laval--Les Îles"," 62","Laval",29,28,76,60,11,2,4,210,410
24033,"Laval--Les Îles/Laval--Les Îles"," 63","Laval",23,40,77,72,18,1,2,233,406
24033,"Laval--Les Îles/Laval--Les Îles"," 64","Laval",37,36,112,83,14,1,4,287,415
24033,"Laval--Les Îles/Laval--Les Îles"," 65","Laval",16,27,59,42,5,0,4,153,282
24033,"Laval--Les Îles/Laval--Les Îles"," 66","Laval",20,40,88,36,3,1,0,188,331
24033,"Laval--Les Îles/Laval--Les Îles"," 66-1","Laval",8,34,129,26,8,0,1,206,338
24033,"Laval--Les Îles/Laval--Les Îles"," 67","Laval",31,36,101,62,7,0,0,237,480
24033,"Laval--Les Îles/Laval--Les Îles"," 67-1","Laval",41,43,86,46,4,2,3,225,425
24033,"Laval--Les Îles/Laval--Les Îles"," 68","Laval",28,26,74,84,5,1,2,220,424
24033,"Laval--Les Îles/Laval--Les Îles"," 69","Laval",22,47,85,50,9,1,7,221,418
24033,"Laval--Les Îles/Laval--Les Îles"," 70","Laval",21,29,56,70,9,3,3,191,305
24033,"Laval--Les Îles/Laval--Les Îles"," 71","Laval",11,39,74,37,6,0,2,169,271
24033,"Laval--Les Îles/Laval--Les Îles"," 72","Laval",12,19,40,60,6,0,2,139,252
24033,"Laval--Les Îles/Laval--Les Îles"," 73","Laval",13,21,59,47,5,4,0,149,288
24033,"Laval--Les Îles/Laval--Les Îles"," 74","Laval",14,32,65,43,3,2,0,159,289
24033,"Laval--Les Îles/Laval--Les Îles"," 74-1","Laval",16,31,84,37,13,0,3,184,295
24033,"Laval--Les Îles/Laval--Les Îles"," 75","Laval",45,35,85,80,6,7,6,264,421
24033,"Laval--Les Îles/Laval--Les Îles"," 76","Laval",31,33,62,76,11,6,4,223,381
24033,"Laval--Les Îles/Laval--Les Îles"," 77","Laval",40,57,123,76,7,5,6,314,536
24033,"Laval--Les Îles/Laval--Les Îles"," 78","Laval",20,39,62,96,11,3,10,241,399
24033,"Laval--Les Îles/Laval--Les Îles"," 79","Laval",35,28,80,69,11,1,1,225,365
24033,"Laval--Les Îles/Laval--Les Îles"," 80","Laval",43,50,129,61,2,0,3,288,499
24033,"Laval--Les Îles/Laval--Les Îles"," 81","Laval",33,55,91,70,10,2,8,269,440
24033,"Laval--Les Îles/Laval--Les Îles"," 82","Laval",35,39,102,74,7,1,6,264,402
