Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie Crawford,Sharon Howarth,Andrew Lang,Jack Layton,Christina Perreault,John Richardson,Marcell Rodden,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Toronto--Danforth/Toronto--Danforth"," 124","Toronto",1,41,82,88,26,1,2,0,2,243,415
35094,"Toronto--Danforth/Toronto--Danforth"," 125","Toronto",1,27,71,88,21,0,0,0,1,209,424
35094,"Toronto--Danforth/Toronto--Danforth"," 126","Toronto",1,30,79,103,17,1,0,1,0,232,497
35094,"Toronto--Danforth/Toronto--Danforth"," 127","Toronto",1,22,109,114,28,0,1,0,0,275,438
35094,"Toronto--Danforth/Toronto--Danforth"," 128","Toronto",0,28,60,61,19,0,1,1,1,171,313
35094,"Toronto--Danforth/Toronto--Danforth"," 129","Toronto",0,36,79,109,17,0,0,1,1,243,502
35094,"Toronto--Danforth/Toronto--Danforth"," 130","Toronto",3,12,71,188,22,1,1,0,3,301,524
35094,"Toronto--Danforth/Toronto--Danforth"," 131","Toronto",0,39,57,96,29,0,0,1,5,227,445
35094,"Toronto--Danforth/Toronto--Danforth"," 132","Toronto",1,20,28,64,8,0,0,0,0,121,254
35094,"Toronto--Danforth/Toronto--Danforth"," 133","Toronto",0,17,43,101,12,0,0,0,1,174,323
35094,"Toronto--Danforth/Toronto--Danforth"," 134","Toronto",2,41,70,128,23,1,1,1,0,267,473
35094,"Toronto--Danforth/Toronto--Danforth"," 135","Toronto",1,68,69,115,23,0,0,0,1,277,459
35094,"Toronto--Danforth/Toronto--Danforth"," 136","Toronto",2,49,73,160,33,0,0,0,0,317,630
35094,"Toronto--Danforth/Toronto--Danforth"," 137","Toronto",1,19,41,110,20,0,0,0,1,192,487
35094,"Toronto--Danforth/Toronto--Danforth"," 138","Toronto",1,31,68,139,33,2,1,0,1,276,596
35094,"Toronto--Danforth/Toronto--Danforth"," 139","Toronto",0,22,52,91,11,1,1,0,0,178,344
35094,"Toronto--Danforth/Toronto--Danforth"," 140","Toronto",0,41,72,121,18,1,0,0,0,253,527
35094,"Toronto--Danforth/Toronto--Danforth"," 141","Toronto",7,25,54,103,31,1,0,1,2,224,434
35094,"Toronto--Danforth/Toronto--Danforth"," 142","Toronto",2,13,65,100,19,0,0,0,1,200,312
35094,"Toronto--Danforth/Toronto--Danforth"," 143","Toronto",1,26,60,151,22,2,0,0,4,266,546
35094,"Toronto--Danforth/Toronto--Danforth"," 144","Toronto",3,39,75,147,16,2,1,0,0,283,529
35094,"Toronto--Danforth/Toronto--Danforth"," 145","Toronto",0,47,78,89,21,1,0,0,0,236,413
35094,"Toronto--Danforth/Toronto--Danforth"," 146","Toronto",3,34,92,176,34,2,1,1,3,346,569
35094,"Toronto--Danforth/Toronto--Danforth"," 147A","Toronto",1,44,68,110,31,2,2,1,0,259,453
35094,"Toronto--Danforth/Toronto--Danforth"," 147B","Toronto",0,36,66,127,27,0,0,0,0,256,416
35094,"Toronto--Danforth/Toronto--Danforth"," 148","Toronto",5,27,92,130,27,0,0,2,0,283,485
35094,"Toronto--Danforth/Toronto--Danforth"," 149","Toronto",1,40,68,111,22,1,1,0,0,244,447
35094,"Toronto--Danforth/Toronto--Danforth"," 150","Toronto",2,37,60,124,28,2,0,0,2,255,457
35094,"Toronto--Danforth/Toronto--Danforth"," 151","Toronto",0,28,64,105,31,0,1,0,1,230,420
35094,"Toronto--Danforth/Toronto--Danforth"," 152","Toronto",2,24,68,134,25,1,0,0,2,256,556
35094,"Toronto--Danforth/Toronto--Danforth"," 153","Toronto",2,33,71,131,25,1,0,0,2,265,441
35094,"Toronto--Danforth/Toronto--Danforth"," 154","Toronto",3,11,58,83,14,1,0,0,4,174,366
35094,"Toronto--Danforth/Toronto--Danforth"," 155","Toronto",1,41,47,138,26,1,0,0,0,254,578
35094,"Toronto--Danforth/Toronto--Danforth"," 156","Toronto",4,24,48,96,26,0,0,0,0,198,461
35094,"Toronto--Danforth/Toronto--Danforth"," 157","Toronto",1,35,74,112,20,1,0,3,1,247,448
35094,"Toronto--Danforth/Toronto--Danforth"," 158","Toronto",0,18,28,60,15,0,1,0,0,122,337
35094,"Toronto--Danforth/Toronto--Danforth"," 159","Toronto",2,39,49,132,28,0,0,0,2,252,432
35094,"Toronto--Danforth/Toronto--Danforth"," 160","Toronto",1,27,42,107,24,0,1,1,1,204,368
35094,"Toronto--Danforth/Toronto--Danforth"," 161","Toronto",0,25,53,95,22,1,0,0,0,196,371
35094,"Toronto--Danforth/Toronto--Danforth"," 162","Toronto",0,31,38,60,20,0,0,0,1,150,248
35094,"Toronto--Danforth/Toronto--Danforth"," 163","Toronto",2,32,48,168,20,0,1,1,0,272,523
35094,"Toronto--Danforth/Toronto--Danforth"," 164","Toronto",3,12,48,103,26,1,1,0,2,196,454
