Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Jean,John Malcolm,Shawn Reimer,Dylan Richards,Jacob Strydhorst,Mark Voyageur,John Webb,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 143B","Boyle",Merged with No. 144/Fusionné avec le nº 144,,,,,,,,,198
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 144","Boyle",156,2,2,9,0,21,7,0,197,241
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 145","Perryvale",160,0,2,14,2,19,9,1,207,425
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 146","Ellscott",121,1,2,5,2,9,9,0,149,360
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 147","Rochester",130,2,1,21,1,27,14,0,196,409
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 148","Breynat",109,1,0,5,2,21,6,0,144,286
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 149A","Plamondon",123,0,1,5,1,23,27,0,180,423
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 149B","Plamondon",Merged with No. 154/Fusionné avec le nº 154,,,,,,,,,201
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 150","Owl River",61,2,0,4,0,3,8,0,78,245
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 151","Plamondon",Void/Supprimé,,,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 152","Plamondon",Void/Supprimé,,,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 153","Plamondon",Void/Supprimé,,,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 154","Plamondon",141,0,1,8,2,17,12,0,181,272
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 155","Lac La Biche Mission",110,0,2,8,4,12,13,1,150,359
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 156","Lac La Biche",75,3,1,4,0,13,9,0,105,236
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 157","Lac La Biche",70,2,0,8,1,20,9,1,111,356
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 158","Lac La Biche",38,1,1,10,1,15,15,1,82,283
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 159","Lac La Biche",77,0,0,16,1,7,12,0,113,279
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 160","Lac La Biche",43,1,0,10,2,20,13,0,89,278
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 161A","Lac La Biche",70,1,0,8,2,12,12,0,105,362
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 161B","Lac La Biche",86,1,2,8,3,19,15,1,135,356
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 162","Lac La Biche",Merged with No. 163/Fusionné avec le nº 163,,,,,,,,,299
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 163","Barnegat",167,1,1,14,5,36,20,1,245,302
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 164","Beaver Lake",143,0,2,17,3,29,19,1,214,518
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 165","Hylo",109,0,1,6,9,19,14,0,158,346
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 166","Beaver Lake 131",74,3,0,2,0,17,15,0,111,349
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 400","Fort McMurray",Void/Supprimé,,,,,,,,,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 500","Mobile poll/Bureau itinérant",33,3,5,2,0,2,8,0,53,109
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 501","Mobile poll/Bureau itinérant",43,1,0,1,1,8,5,4,63,71
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 502","Mobile poll/Bureau itinérant",27,2,1,1,0,1,2,0,34,60
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 503","Mobile poll/Bureau itinérant",50,1,1,1,0,8,8,2,71,113
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 504","Mobile poll/Bureau itinérant",25,0,2,2,1,1,9,0,40,51
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 505","Mobile poll/Bureau itinérant",19,0,2,1,0,1,2,0,25,38
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 600","Loon Lake--Wabasca",12,1,0,1,0,5,4,0,23,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 601","Fort Chipewyan",14,2,1,2,0,15,3,0,37,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 602","Fort McMurray",92,0,2,7,4,16,23,1,145,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 603","Fort McMurray",233,1,3,22,0,23,40,1,323,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 604","Fort McMurray",256,2,5,19,4,43,44,1,374,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 605","Fort McMurray",117,0,3,13,1,19,20,2,175,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 606","Fort McMurray",90,0,4,11,0,11,14,0,130,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 607","High Prairie",149,1,0,9,1,18,7,0,185,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 608","Slave Lake",177,1,2,16,1,21,10,0,228,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 609","Athabasca",333,2,3,31,0,40,25,0,434,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 610","Boyle",125,0,0,6,0,7,10,1,149,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca"," 611","Lac La Biche",197,2,0,18,1,26,21,0,265,
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca",,Group 1/Groupe 1,23,3,0,9,0,11,38,5,89,115
48001,"Fort McMurray--Athabasca/Fort McMurray--Athabasca",,Group 2/Groupe 2,195,2,4,27,0,32,31,6,297,

