Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Ballantyne,Rob Clarke,Brian Morin,George Morin,David Orchard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43A","Buffalo Narrows",0,38,23,2,49,0,112,281
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43B","Buffalo Narrows",1,29,33,1,36,0,100,293
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44","Île-à-la-Crosse",2,32,30,5,55,0,124,365
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45","Île-à-la-Crosse",0,27,33,3,53,0,116,268
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 46","Île-à-la-Crosse",0,33,20,2,60,0,115,274
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47","Patuanak",4,8,76,0,34,0,122,390
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48A","Beauval",0,24,26,1,32,0,83,314
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48B","Beauval",2,39,21,1,31,0,94,310
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49A","Beauval",Merged with No. 48A/Fusionné avec le nº 48A,,,,,,,13
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49B","Beauval",Merged with No. 48B/Fusionné avec le nº 48B,,,,,,,26
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50","Canoe Narrows",3,37,9,3,181,0,233,440
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51","Cole Bay",2,12,17,1,28,1,61,113
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52","Pinehouse",0,23,10,3,171,0,207,547
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53","Sandy Bay",3,10,22,18,52,0,105,322
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54","Sandy Bay",3,7,16,18,47,0,91,297
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55","Pelican Narrows",3,5,4,3,246,1,262,411
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 56","Pelican Narrows 184B",Merged with No. 57/Fusionné avec le nº 57,,,,,,,178
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 57","Pelican Narrows",5,14,13,2,201,5,240,553
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58A","Deschambault Lake",6,7,12,3,56,1,85,273
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58B","Deschambault Lake",1,5,6,1,57,0,70,225
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59","Creighton",1,39,23,2,17,0,82,208
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60","Creighton",1,89,48,10,16,1,165,417
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 61","Creighton",1,49,21,2,9,0,82,212
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62","Creighton",0,105,60,5,20,1,191,442
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63","Denare Beach",2,62,15,8,18,0,105,276
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64","Denare Beach",1,73,16,8,28,1,127,330
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 65","Sturgeon Landing",0,2,3,0,2,0,7,32
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66","Northern Pine",0,114,4,7,4,0,129,216
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67A","Pierceland",1,106,9,2,10,0,128,296
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67B","Pierceland",1,95,8,0,11,0,115,301
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 68","Beacon Hill",0,24,7,2,6,0,39,145
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69","Big Island Lake Cree Territory",2,6,13,0,11,0,32,172
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70","Goodsoil",0,138,24,5,25,1,193,402
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 71","Goodsoil",2,82,4,0,23,0,111,191
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72A","Mudie Lake",Merged with No. 73A/Fusionné avec le nº 73A,,,,,,,106
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72B","Mudie Lake",Merged with No. 73B/Fusionné avec le nº 73B,,,,,,,8
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 73A","Little Fishing Lake",0,28,0,0,2,0,30,164
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 73B","Little Fishing Lake",3,4,3,1,56,1,68,106
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 74","Makwa Lake",0,47,12,3,8,0,70,213
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 75","Loon Lake",2,26,17,1,71,0,117,199
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76A","Loon Lake",0,32,8,5,7,0,52,254
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76B","Loon Lake",0,55,10,2,10,0,77,236
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 77","Barthel",0,61,4,1,4,0,70,120
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 78","Makwa",0,103,13,2,5,0,123,221
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 79","Dorintosh--Greig Lake",0,130,30,7,34,1,202,407
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 80","Waterhen Lake",2,27,31,4,104,0,168,362
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 81","Green Lake",0,24,41,5,35,0,105,349
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 82","Doré Lake",0,30,3,1,3,0,37,54
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83","Rapid View",1,147,18,1,10,1,178,373
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 84","Four Corners",0,117,23,4,12,1,157,316
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 85","Flying Dust First Nation 105 (Meadow Lake 105)",1,47,35,3,36,1,123,354
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 86","Flying Dust First Nation 105 (Meadow Lake 105)",0,86,10,0,16,0,112,269
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87","Meadow Lake 105A",0,105,13,5,19,1,143,302
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88A","Meadow Lake",2,64,23,3,8,0,100,284
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88B","Meadow Lake",0,49,8,3,11,0,71,271
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 89","Meadow Lake",0,109,19,12,18,0,158,363
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 90","Meadow Lake",0,86,29,6,28,0,149,336
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 91","Meadow Lake",0,55,11,3,12,0,81,258
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 92","Meadow Lake",2,55,24,6,10,1,98,266
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 93","Meadow Lake",2,97,35,6,33,0,173,405
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 94","Meadow Lake",0,94,26,2,23,0,145,394
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 95","Meadow Lake",1,65,11,5,13,1,96,178
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 96A","Meadow Lake",1,62,12,2,11,0,88,210
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 96B","Meadow Lake",0,74,10,3,15,0,102,200
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 97","Meadow Lake",1,51,10,6,15,0,83,202
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 98","Cabana",0,108,14,2,19,1,144,337
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 99","Neeb",0,22,5,0,4,0,31,76
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 100A","Chitek Lake ",Merged with No. 101A/Fusionné avec le nº 101A,,,,,,,7
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 100B","Chitek Lake ",Merged with No. 101B/Fusionné avec le nº 101B,,,,,,,18
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 101A","Chitek Lake ",1,51,6,3,48,0,109,240
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 101B","Chitek Lake ",1,55,20,0,40,0,116,208
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 102","Leoville",0,61,5,0,8,0,74,121
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 103","Ranger",0,38,10,1,7,0,56,111
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 104","Bapaume",0,69,9,5,8,0,91,169
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 105","Witchekan Lake 117",3,19,9,1,67,0,99,183
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 106","Laventure",1,123,5,1,14,0,144,241
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 107","Shell Lake",0,118,20,3,5,1,147,246
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 108","Leoville",1,88,15,2,30,1,137,383
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 109","Spiritwood",1,76,17,7,19,0,120,386
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 110","Spiritwood",0,152,30,2,20,0,204,366
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 111","Ahtahkakoop 104",2,14,20,3,89,0,128,301
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112A","Shell Lake",0,77,22,6,6,1,112,347
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 112B","Shell Lake",1,62,14,7,15,0,99,287
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 113","Mistawasis 103",2,19,19,8,65,0,113,117
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 114","Big River 118",2,4,8,7,267,3,291,437
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 115","Big River No. 555",1,114,8,4,15,0,142,249
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 116A","Big River",Merged with No. 117A/Fusionné avec le nº 117A,,,,,,,52
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 116B","Big River",Merged with No. 117B/Fusionné avec le nº 117B,,,,,,,43
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 117A","Big River",0,87,15,8,12,0,122,221
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 117B","Big River",0,91,18,13,20,0,142,252
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 118","Big River No. 555",2,121,14,4,8,1,150,272
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 119","Victoire",0,34,2,2,8,0,46,218
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 120A","Debden",Merged with No. 121A/Fusionné avec le nº 121A,,,,,,,184
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 120B","Debden",Merged with No. 121B/Fusionné avec le nº 121B,,,,,,,119
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121A","Debden",2,67,10,3,26,0,108,257
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 121B","Debden",2,142,20,4,21,1,190,281
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 122","Park Valley",0,56,6,3,6,0,71,134
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 123","Canwood",0,86,12,8,6,0,112,156
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 124","Canwood",2,163,39,6,20,0,230,499
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 125","Canwood",0,81,7,4,5,1,98,150
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 126","Montreal Lake 106--Timber Bay",2,14,10,8,43,0,77,296
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 127","Montreal Lake",5,4,11,6,55,0,81,278
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 128","Weyakwin",0,29,19,5,16,0,69,144
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 129","Sturgeon Valley",1,128,15,10,15,1,170,250
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 130","Sturgeon Lake",2,6,17,2,131,1,159,246
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 131","Sturgeon Lake 101",2,4,8,2,81,0,97,172
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 132","Little Red River 106C",5,13,23,7,86,0,134,274
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133","Waskesiu Lake",0,41,17,4,20,0,82,143
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 134","Emma Lake",2,67,21,5,26,0,121,217
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 135A","Christopher Lake",Merged with No. 136A/Fusionné avec le nº 136A,,,,,,,25
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 135B","Christopher Lake",Merged with No. 136B/Fusionné avec le nº 136B,,,,,,,21
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 136A","Christopher Lake",0,113,46,11,31,1,202,425
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 136B","Christopher Lake",0,138,46,10,37,0,231,442
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 137","Little Bear Lake",0,54,5,0,6,0,65,82
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 138A","Candle Lake",0,123,43,8,25,1,200,258
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 138B","Candle Lake",1,132,39,5,23,0,200,246
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 139A","Candle Lake",Merged with No. 138A/Fusionné avec le nº 138A,,,,,,,61
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 139B","Candle Lake",Merged with No. 138B/Fusionné avec le nº 138B,,,,,,,51
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 140","Choiceland",1,82,19,6,33,0,141,235
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 141","Shipman",0,17,2,2,4,0,25,55
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 142","Smeaton",0,108,13,4,15,0,140,316
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 143","Garrick",1,56,13,3,8,0,81,133
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 144","Love",0,96,17,7,5,0,125,191
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 145","Cherry Ridge",1,166,29,13,17,0,226,338
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 146","Choiceland",0,106,32,3,24,1,166,343
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 147","White Fox",1,82,34,10,7,1,135,316
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 148","Cumberland House",1,4,17,2,19,0,43,123
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 149","Cumberland House",2,20,47,6,74,2,151,567
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 150","Cumberland 20",1,2,5,2,45,0,55,173
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 151","Red Earth 29",4,24,12,11,84,0,135,412
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 152","Shoal Lake--Ruby Lake",4,46,22,12,56,1,141,272
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 500","Mobile poll/Bureau itinérant",2,10,8,1,8,1,30,45
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 501","Mobile poll/Bureau itinérant",0,8,5,0,5,1,19,29
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 502","Mobile poll/Bureau itinérant",5,19,8,2,10,0,44,90
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 600","Stony Rapids",0,4,6,0,0,0,10,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 601","Wollaston Lake",3,7,9,0,14,0,33,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 602","La Loche",2,18,43,2,9,0,74,
