Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Boughen,Cal Johnston,Don Mitchell,Larissa Shasko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Palliser/Palliser"," 73","Keystown",94,12,21,6,0,133,237
47005,"Palliser/Palliser"," 74","Pense",156,17,52,9,0,234,380
47005,"Palliser/Palliser"," 75","Regina",137,56,67,16,1,277,430
47005,"Palliser/Palliser"," 76","Briercrest",131,18,26,3,1,179,252
47005,"Palliser/Palliser"," 77","Rouleau",157,25,45,18,1,246,402
47005,"Palliser/Palliser"," 78","Wilcox",126,20,18,7,0,171,288
47005,"Palliser/Palliser"," 79","Regina",29,38,82,13,2,164,335
47005,"Palliser/Palliser"," 80","Regina",43,38,94,26,1,202,346
47005,"Palliser/Palliser"," 81","Regina",30,23,83,9,1,146,338
47005,"Palliser/Palliser"," 82","Regina",45,41,113,16,0,215,393
47005,"Palliser/Palliser"," 83","Regina",48,41,157,14,0,260,411
47005,"Palliser/Palliser"," 84","Regina",50,80,134,12,0,276,412
47005,"Palliser/Palliser"," 85","Regina",49,46,99,22,0,216,413
47005,"Palliser/Palliser"," 86","Regina",35,58,136,26,1,256,411
47005,"Palliser/Palliser"," 87A","Regina",43,49,91,11,1,195,375
47005,"Palliser/Palliser"," 87B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,36
47005,"Palliser/Palliser"," 88","Regina",46,58,126,24,0,254,434
47005,"Palliser/Palliser"," 89","Regina",60,91,135,26,0,312,456
47005,"Palliser/Palliser"," 90","Regina",63,48,146,28,0,285,482
47005,"Palliser/Palliser"," 91","Regina",58,65,124,26,4,277,430
47005,"Palliser/Palliser"," 92","Regina",63,45,88,17,0,213,369
47005,"Palliser/Palliser"," 93","Regina",62,61,108,5,0,236,382
47005,"Palliser/Palliser"," 94","Regina",59,61,87,19,0,226,343
47005,"Palliser/Palliser"," 95","Regina",65,90,97,13,0,265,388
47005,"Palliser/Palliser"," 96","Regina",73,58,82,9,0,222,310
47005,"Palliser/Palliser"," 97","Regina",72,88,67,12,0,239,337
47005,"Palliser/Palliser"," 98","Regina",66,52,67,16,1,202,326
47005,"Palliser/Palliser"," 99","Regina",47,33,96,13,0,189,331
47005,"Palliser/Palliser"," 100","Regina",64,70,66,21,1,222,350
47005,"Palliser/Palliser"," 101","Regina",100,70,92,16,0,278,426
47005,"Palliser/Palliser"," 102","Regina",59,59,72,12,3,205,314
47005,"Palliser/Palliser"," 103","Regina",58,63,75,8,1,205,347
47005,"Palliser/Palliser"," 104","Regina",77,72,84,13,0,246,340
47005,"Palliser/Palliser"," 105","Regina",104,63,62,7,0,236,346
47005,"Palliser/Palliser"," 106","Regina",93,68,70,18,1,250,392
47005,"Palliser/Palliser"," 107","Regina",76,80,89,9,1,255,366
47005,"Palliser/Palliser"," 108","Regina",100,73,67,14,2,256,393
47005,"Palliser/Palliser"," 109","Regina",49,42,73,4,0,168,347
47005,"Palliser/Palliser"," 110","Regina",28,42,59,10,0,139,331
47005,"Palliser/Palliser"," 111","Regina",83,53,54,16,0,206,311
47005,"Palliser/Palliser"," 112","Regina",69,70,67,11,0,217,359
47005,"Palliser/Palliser"," 113","Regina",97,95,61,11,1,265,409
47005,"Palliser/Palliser"," 114","Regina",50,28,52,13,0,143,317
47005,"Palliser/Palliser"," 115","Regina",62,74,50,8,0,194,352
47005,"Palliser/Palliser"," 116","Regina",120,61,69,5,2,257,407
47005,"Palliser/Palliser"," 117","Regina",108,45,69,11,0,233,349
47005,"Palliser/Palliser"," 118","Regina",82,65,49,8,0,204,355
47005,"Palliser/Palliser"," 119","Regina",99,76,82,14,0,271,407
47005,"Palliser/Palliser"," 120","Regina",74,71,48,10,0,203,340
47005,"Palliser/Palliser"," 121","Regina",99,73,52,7,0,231,415
47005,"Palliser/Palliser"," 122","Regina",88,55,58,11,0,212,375
47005,"Palliser/Palliser"," 123","Regina",86,69,47,5,0,207,380
47005,"Palliser/Palliser"," 124","Regina",99,63,56,6,1,225,345
47005,"Palliser/Palliser"," 125","Regina",88,55,62,5,0,210,351
47005,"Palliser/Palliser"," 126","Regina",126,65,35,9,0,235,349
47005,"Palliser/Palliser"," 127","Regina",118,79,88,10,1,296,550
47005,"Palliser/Palliser"," 128","Regina",125,82,59,11,1,278,431
47005,"Palliser/Palliser"," 129","Regina",66,38,25,3,1,133,246
47005,"Palliser/Palliser"," 130","Regina",113,82,74,4,0,273,425
47005,"Palliser/Palliser"," 131","Old Wives",63,7,16,1,0,87,192
47005,"Palliser/Palliser"," 132","Mossbank",106,18,55,10,1,190,306
47005,"Palliser/Palliser"," 133","Ardill",48,8,17,1,0,74,138
47005,"Palliser/Palliser"," 134","Avonlea",109,22,15,9,4,159,278
47005,"Palliser/Palliser"," 135","Avonlea",142,20,36,3,0,201,309
47005,"Palliser/Palliser"," 500","Mobile poll/Bureau itinérant",23,11,17,1,2,54,137
47005,"Palliser/Palliser"," 501","Mobile poll/Bureau itinérant",34,8,37,2,1,82,142
47005,"Palliser/Palliser"," 502","Mobile poll/Bureau itinérant",36,9,37,3,3,88,364
47005,"Palliser/Palliser"," 503","Mobile poll/Bureau itinérant",28,16,47,3,1,95,182
47005,"Palliser/Palliser"," 504","Mobile poll/Bureau itinérant",17,29,18,3,0,67,165
47005,"Palliser/Palliser"," 505","Mobile poll/Bureau itinérant",48,37,30,2,0,117,124
47005,"Palliser/Palliser"," 506","Mobile poll/Bureau itinérant",36,37,36,4,2,115,447
47005,"Palliser/Palliser"," 507","Mobile poll/Bureau itinérant",94,30,64,4,2,194,250
47005,"Palliser/Palliser"," 600","Caronport",80,2,13,4,1,100,
47005,"Palliser/Palliser"," 601","Moose Jaw",346,72,197,24,7,646,
47005,"Palliser/Palliser"," 602","Moose Jaw",196,33,157,15,0,401,
47005,"Palliser/Palliser"," 603","Moose Jaw",168,31,170,17,2,388,
47005,"Palliser/Palliser"," 604","Rouleau",63,12,10,7,0,92,
47005,"Palliser/Palliser"," 605","Regina",103,89,183,18,0,393,
47005,"Palliser/Palliser"," 606","Regina",169,126,120,10,0,425,
47005,"Palliser/Palliser"," 607","Regina",247,170,117,18,3,555,
47005,"Palliser/Palliser"," 608","Crestwynd",35,1,9,1,0,46,
47005,"Palliser/Palliser",,Group 1/Groupe 1,60,22,32,6,4,124,260
47005,"Palliser/Palliser",,Group 2/Groupe 2,308,156,253,33,5,755,

