Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Atamanenko,Brenda Jagpal,Andy Morel,Brian Sproule,Rob Zandee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 24-1","Oliver",45,10,18,0,73,0,146,257
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 25","Oliver",51,13,16,1,96,2,179,316
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 26","Oliver",60,9,25,0,76,0,170,303
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 27","Oliver",76,27,20,1,138,2,264,424
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 28","Oliver",67,52,20,0,128,1,268,384
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 29","Oliver",67,28,18,0,124,1,238,393
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 30","Oliver",68,20,26,0,118,0,232,494
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 31","Oliver",55,12,6,1,112,0,186,361
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 32","Oliver",48,35,9,0,92,3,187,338
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 33","Osoyoos",54,28,17,0,199,8,306,471
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 34","Oliver",71,20,23,2,171,0,287,511
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 35","Oliver",35,4,13,1,31,0,84,187
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 36","Osoyoos",60,42,13,0,170,3,288,582
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 37","Osoyoos",Void/Supprimé,,,,,,,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 38","Osoyoos",64,24,15,0,94,0,197,450
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 39","Osoyoos",46,17,7,0,116,0,186,396
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 40","Osoyoos",53,13,8,0,101,0,175,396
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 41","Osoyoos",68,14,18,0,113,1,214,406
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 41-1A","Osoyoos",23,6,5,0,49,0,83,179
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 41-1B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,10
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 42","Osoyoos",40,10,17,0,102,0,169,370
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 43A","Osoyoos",35,22,13,2,85,0,157,322
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 43B","Osoyoos",35,13,15,0,99,0,162,313
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 44","Osoyoos",46,25,8,0,115,0,194,379
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 45","Osoyoos",63,26,13,0,113,0,215,414
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 46","Osoyoos",76,28,15,0,118,3,240,439
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 47","Osoyoos",30,11,8,0,114,1,164,302
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 48A","Bridesville",29,9,15,0,49,0,102,183
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 48B","Bridesville",Merged with No. 46/Fusionné avec le nº 46,,,,,,,47
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 48C","Bridesville",Merged with No. 35/Fusionné avec le nº 35,,,,,,,44
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 49","Beaverdell",46,13,22,0,79,1,161,318
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 49-1","Beaverdell",10,6,18,0,21,0,55,78
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 50","Westbridge",43,10,20,0,72,0,145,242
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 51","Greenwood",109,7,30,1,127,0,274,495
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 52","Rock Creek",100,17,33,0,132,0,282,428
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 53","Greenwood",70,21,21,0,76,2,190,301
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 54","West Midway",111,26,27,3,147,0,314,527
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 55","Grand Forks",58,4,13,0,67,0,142,274
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 55-1","Grand Forks",70,11,23,1,61,0,166,340
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 56","Grand Forks",Void/Supprimé,,,,,,,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 57","Grand Forks",79,13,30,0,74,0,196,440
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 58","Grand Forks",109,14,15,0,86,0,224,427
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 59","Grand Forks",102,10,22,0,116,1,251,474
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 60","Grand Forks",49,9,14,0,39,0,111,282
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 60-1","Grand Forks",50,4,15,1,47,0,117,276
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 61","Grand Forks",107,18,35,0,104,1,265,516
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 62","Grand Forks",105,6,13,0,80,0,204,444
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 63","Grand Forks",110,16,18,0,51,1,196,403
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 64","Grand Forks",49,3,12,0,52,0,116,226
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 65","Grand Forks",88,11,23,0,68,2,192,375
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 66","Grand Forks",87,8,12,1,51,0,159,302
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 67","Grand Forks",61,5,19,1,50,0,136,335
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 68","Grand Forks",85,5,24,1,75,0,190,403
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 69","Christina Lake",48,14,23,1,51,0,137,221
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 70","Christina Lake",76,11,33,0,128,0,248,390
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 71","Deer Park",85,3,12,0,52,0,152,255
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 72","Castlegar",127,13,10,0,52,0,202,412
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 73","Christina Lake",124,13,28,0,152,0,317,503
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 74","Rossland",55,5,22,1,42,0,125,298
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 75","Rossland",63,13,28,0,18,0,122,252
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 76","Rossland",113,26,32,2,43,0,216,358
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 77","Rossland",99,24,42,0,43,0,208,341
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 78","Rossland",123,16,41,0,36,0,216,359
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 79","Rossland",105,23,43,0,36,0,207,377
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 80","Rossland",77,17,49,0,43,4,190,302
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 81","Rossland",155,30,63,1,63,1,313,477
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 82","Vallican",226,4,44,1,26,1,302,516
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 83","Pass Creek",131,5,18,0,31,0,185,288
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 84","Slocan Park",185,5,20,0,41,0,251,435
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 85","Winlaw",149,8,24,1,29,1,212,337
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 86","Crescent Valley",206,14,41,0,46,0,307,620
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 87","Crescent Valley",103,10,13,0,37,0,163,301
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 88","Shoreacres",128,8,23,0,38,0,197,297
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 89","South Slocan",193,11,37,1,98,3,343,576
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 90","Taghum",133,15,28,1,62,1,240,376
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 91","Castlegar",99,10,15,1,32,0,157,323
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 92","Robson",182,7,24,0,73,2,288,514
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 93","Robson",Void/Supprimé,,,,,,,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 94","Robson",142,9,18,0,62,0,231,393
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 95","Raspberry",102,5,16,0,39,0,162,312
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 96","Castlegar",118,6,14,1,33,2,174,307
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 97","Castlegar",126,8,17,0,31,1,183,320
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 98","Castlegar",109,7,12,0,36,0,164,335
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 99","Castlegar",121,1,16,0,49,0,187,376
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 100","Castlegar",124,5,10,0,47,1,187,357
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 101","Castlegar",151,12,10,0,88,0,261,458
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 102","Castlegar",82,7,12,0,41,0,142,297
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 103","Castlegar",96,3,13,0,48,0,160,302
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 104","Castlegar",96,13,9,0,53,0,171,302
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 105","Castlegar",81,6,8,0,40,0,135,253
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 106","Castlegar",97,5,7,0,66,0,175,307
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 107","Castlegar",95,21,18,0,105,0,239,398
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 107-1","Castlegar",60,5,3,0,57,0,125,249
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 108","Castlegar",92,13,10,0,54,0,169,315
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 109","Blueberry Creek",131,4,11,0,74,2,222,379
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 110","Blueberry Creek",48,3,5,0,43,0,99,142
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 111A","China Creek",87,10,9,0,64,1,171,318
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 111B","China Creek",95,10,17,0,59,1,182,334
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 112","Oasis",87,3,12,0,57,0,159,269
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 113","Columbia Gardens",129,20,19,0,119,0,287,467
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 114","Warfield",74,10,16,1,44,0,145,245
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 115","Warfield",80,5,10,0,50,0,145,227
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 116","Warfield",123,26,15,1,82,0,247,359
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 117","Warfield",57,17,13,0,34,0,121,185
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 118","Warfield",86,12,15,0,28,0,141,241
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 119","Trail",86,18,12,0,60,0,176,391
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 120","Trail",90,6,9,0,38,0,143,274
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 121","Trail",77,24,13,0,57,0,171,316
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 122","Trail",102,20,16,1,43,1,183,388
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 123","Trail",94,13,20,2,58,0,187,412
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 124","Trail",67,4,14,0,56,2,143,312
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 125","Trail",72,13,12,1,34,0,132,381
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 126","Trail",116,9,22,0,64,2,213,425
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 127","Trail",102,17,15,0,43,0,177,365
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 128","Trail",129,10,16,1,51,1,208,429
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 129","Trail",129,32,12,1,95,0,269,476
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 130","Trail",98,16,22,0,78,2,216,384
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 131","Trail",116,14,10,0,59,0,199,364
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 132","Trail",100,33,13,0,94,1,241,381
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 133","Casino",82,6,8,0,26,1,123,264
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 134","Hills",160,11,38,0,77,1,287,445
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 135","New Denver",Void/Supprimé,,,,,,,
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 136","Lardeau",67,2,26,0,12,0,107,182
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 137","Slocan",212,15,47,0,33,0,307,462
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 138","New Denver",74,8,19,0,25,0,126,235
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 139","Silverton",90,5,15,0,50,0,160,278
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 140","Mirror Lake",150,22,44,0,112,0,328,583
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 141","Retallack",164,14,38,0,83,1,300,542
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 142","Shutty Bench",69,13,16,0,64,2,164,271
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 143","Appledale",139,7,28,0,15,0,189,295
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 144","Willow Point",123,17,20,0,80,0,240,423
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 144-1","Willow Point",55,9,9,0,11,0,84,137
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 145","Willow Point",116,13,25,0,52,0,206,361
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 146","Longbeach",103,35,40,0,137,0,315,472
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 147","Balfour",159,19,35,0,135,0,348,562
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 147-1","Balfour",16,2,6,1,20,0,45,74
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 148","Willow Point",140,17,23,0,67,0,247,487
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 148-1","Willow Point",102,10,12,1,44,0,169,283
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 149","Nelson",127,25,32,0,99,1,284,527
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 150","Thrums",55,5,6,0,25,0,91,160
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 151","Tarrys",188,13,18,2,52,1,274,437
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 152","Blewett",54,5,6,0,22,0,87,129
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 152-1A","Blewett",163,18,42,0,39,0,262,418
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 152-1B","Blewett",140,14,31,1,46,1,233,410
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 153","Nelson",120,21,25,2,69,0,237,420
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 154","Procter",185,17,48,0,96,0,346,498
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 155A","Nelson",113,18,30,0,89,0,250,452
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 155B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,41
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 156","Nelson",147,19,35,1,66,0,268,497
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 157","Nelson",117,22,32,0,62,2,235,395
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 158","Nelson",157,18,35,0,71,0,281,457
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 159","Nelson",213,17,39,0,58,0,327,541
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 160","Nelson",152,21,25,0,56,0,254,410
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 161","Nelson",101,10,18,0,15,0,144,280
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 162","Nelson",167,16,36,1,18,0,238,415
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 163","Nelson",108,11,29,0,25,0,173,330
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 164","Nelson",104,13,34,1,54,1,207,354
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 165","Nelson",189,13,38,0,38,0,278,438
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 166","Nelson",164,16,17,1,78,1,277,486
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 167","Nelson",159,10,28,0,45,1,243,392
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 168","Nelson",138,14,28,0,29,0,209,351
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 169","Nelson",162,8,25,0,35,0,230,363
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 170","Nelson",116,3,20,0,27,0,166,285
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 171","Nelson",143,18,30,1,57,1,250,462
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 172","Nelson",191,21,27,0,52,1,292,446
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 173A","Ootischenia",118,12,28,1,99,0,258,447
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 173B","Ootischenia",151,12,27,0,68,0,258,426
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 173-1","Ootischenia",52,1,6,0,33,0,92,180
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 174","Erie",51,8,6,0,31,1,97,175
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 175","Ymir",141,11,27,0,22,0,201,297
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 176","Park Siding",60,6,6,0,37,0,109,176
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 177","Montrose",50,8,5,0,22,0,85,186
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 178","Montrose",101,24,16,0,63,0,204,317
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 179","Montrose",104,26,5,0,59,1,195,282
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 180","Montrose",73,19,8,0,45,1,146,237
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 181","Fruitvale",89,7,24,1,65,1,187,315
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 182","Fruitvale",140,24,17,0,72,0,253,381
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 183","Fruitvale",107,18,16,0,59,0,200,394
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 183-1","Fruitvale",94,14,11,1,58,1,179,315
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 184","Fruitvale",133,15,13,0,58,0,219,427
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 185","Fruitvale",84,6,8,0,56,1,155,225
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 186","Fruitvale",140,11,23,0,64,0,238,378
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 187","Salmo",56,9,16,0,39,1,121,237
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 188","Salmo",83,10,12,0,71,1,177,316
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 189","Salmo",94,14,19,0,62,0,189,376
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 190","Salmo",123,23,31,2,87,0,266,487
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 500","Mobile poll/Bureau itinérant",7,4,5,1,20,4,41,52
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 501","Mobile poll/Bureau itinérant",22,7,1,1,10,1,42,91
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 502","Mobile poll/Bureau itinérant",24,14,4,0,36,6,84,181
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 503","Mobile poll/Bureau itinérant",5,8,6,1,14,0,34,41
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 504","Mobile poll/Bureau itinérant",48,8,9,1,13,0,79,130
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 505","Mobile poll/Bureau itinérant",17,8,9,0,7,2,43,96
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 506","Mobile poll/Bureau itinérant",12,10,3,1,6,1,33,68
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 507","Mobile poll/Bureau itinérant",11,6,1,1,7,0,26,36
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 508","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,18
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 509","Mobile poll/Bureau itinérant",27,8,5,0,24,0,64,48
59026,"British Columbia Southern Interior/Colombie-Britannique-Southern Interior"," 510","Mobile poll/Bureau itinérant",Merged with No. 509/Fusionné avec le nº 509,,,,,,,58
