Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Larsen,Megan Leslie,Catherine Meade,Tony Seed,Darryl Whetter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Halifax/Halifax"," 36","Halifax",50,88,61,0,12,0,211,292
12004,"Halifax/Halifax"," 37","Halifax",35,93,42,1,17,1,189,342
12004,"Halifax/Halifax"," 38","Halifax",34,62,70,2,12,1,181,288
12004,"Halifax/Halifax"," 39","Halifax",41,106,54,1,16,0,218,379
12004,"Halifax/Halifax"," 40","Halifax",31,104,64,1,23,0,223,359
12004,"Halifax/Halifax"," 41","Halifax",36,75,61,1,12,1,186,314
12004,"Halifax/Halifax"," 42","Halifax",41,109,85,0,20,1,256,384
12004,"Halifax/Halifax"," 43","Halifax",36,90,80,0,15,1,222,299
12004,"Halifax/Halifax"," 44","Halifax",30,100,43,2,20,1,196,352
12004,"Halifax/Halifax"," 45","Halifax",32,81,45,1,18,1,178,314
12004,"Halifax/Halifax"," 46","Halifax",31,116,78,0,23,0,248,372
12004,"Halifax/Halifax"," 47","Halifax",32,81,63,0,26,0,202,386
12004,"Halifax/Halifax"," 48","Halifax",18,116,64,1,24,1,224,407
12004,"Halifax/Halifax"," 49","Halifax",20,122,51,1,35,0,229,394
12004,"Halifax/Halifax"," 50A","Halifax",51,105,61,1,24,5,247,399
12004,"Halifax/Halifax"," 50B","Halifax",25,97,52,1,12,2,189,328
12004,"Halifax/Halifax"," 51","Halifax",14,116,40,2,24,0,196,413
12004,"Halifax/Halifax"," 51-1","Halifax",12,77,12,0,21,0,122,231
12004,"Halifax/Halifax"," 52","Halifax",6,55,18,1,7,0,87,332
12004,"Halifax/Halifax"," 52-1","Halifax",4,50,16,0,11,1,82,227
12004,"Halifax/Halifax"," 53","Halifax",25,28,25,1,6,2,87,316
12004,"Halifax/Halifax"," 54","Halifax",10,86,27,3,20,0,146,248
12004,"Halifax/Halifax"," 54-1","Halifax",21,78,27,1,16,1,144,207
12004,"Halifax/Halifax"," 55","Halifax",17,126,33,0,31,0,207,437
12004,"Halifax/Halifax"," 56","Halifax",25,76,38,1,13,0,153,291
12004,"Halifax/Halifax"," 56-1","Halifax",55,54,42,2,12,4,169,320
12004,"Halifax/Halifax"," 57","Halifax",13,58,23,1,14,1,110,394
12004,"Halifax/Halifax"," 58","Halifax",11,110,41,4,16,2,184,470
12004,"Halifax/Halifax"," 59","Halifax",17,80,54,1,16,0,168,290
12004,"Halifax/Halifax"," 60","Halifax",11,83,29,1,14,0,138,314
12004,"Halifax/Halifax"," 61","Halifax",8,99,31,1,20,3,162,324
12004,"Halifax/Halifax"," 62","Halifax",Void/Supprimé,,,,,,,
12004,"Halifax/Halifax"," 63","Halifax",9,83,57,0,24,0,173,285
12004,"Halifax/Halifax"," 64","Halifax",24,85,61,2,21,0,193,347
12004,"Halifax/Halifax"," 65","Halifax",9,155,44,2,39,0,249,384
12004,"Halifax/Halifax"," 66","Halifax",21,125,71,2,20,2,241,427
12004,"Halifax/Halifax"," 67","Halifax",38,96,52,1,34,2,223,431
12004,"Halifax/Halifax"," 68","Halifax",18,100,47,1,24,0,190,347
12004,"Halifax/Halifax"," 69","Halifax",13,66,38,1,18,2,138,253
12004,"Halifax/Halifax"," 70","Halifax",16,76,40,1,24,0,157,296
12004,"Halifax/Halifax"," 70-1","Halifax",12,72,18,0,31,1,134,229
12004,"Halifax/Halifax"," 70-2","Halifax",8,63,23,3,11,1,109,242
12004,"Halifax/Halifax"," 71","Halifax",13,69,46,0,19,1,148,278
12004,"Halifax/Halifax"," 71-1","Halifax",20,91,43,0,22,0,176,306
12004,"Halifax/Halifax"," 72","Halifax",33,83,45,0,24,0,185,280
12004,"Halifax/Halifax"," 72-1","Halifax",17,64,35,0,19,0,135,270
12004,"Halifax/Halifax"," 73","Halifax",34,90,54,0,25,0,203,321
12004,"Halifax/Halifax"," 73-1","Halifax",21,37,44,0,11,0,113,189
12004,"Halifax/Halifax"," 74","Halifax",85,60,101,0,16,0,262,376
12004,"Halifax/Halifax"," 75","Halifax",45,51,45,0,22,0,163,282
12004,"Halifax/Halifax"," 76","Halifax",66,122,91,1,22,0,302,408
12004,"Halifax/Halifax"," 77","Halifax",32,91,67,0,23,1,214,386
12004,"Halifax/Halifax"," 78","Halifax",51,51,83,0,11,1,197,318
12004,"Halifax/Halifax"," 79","Halifax",45,41,80,0,19,0,185,276
12004,"Halifax/Halifax"," 79-1","Halifax",40,26,46,0,8,0,120,204
12004,"Halifax/Halifax"," 80","Halifax",77,39,86,0,14,0,216,377
12004,"Halifax/Halifax"," 81","Halifax",65,97,103,3,25,1,294,513
12004,"Halifax/Halifax"," 82","Halifax",30,69,40,0,16,0,155,330
12004,"Halifax/Halifax"," 83","Halifax",23,72,59,0,18,1,173,346
12004,"Halifax/Halifax"," 84","Halifax",30,74,50,2,18,0,174,288
12004,"Halifax/Halifax"," 84-1","Halifax",46,81,67,0,17,2,213,323
12004,"Halifax/Halifax"," 85","Halifax",63,85,99,2,30,3,282,416
12004,"Halifax/Halifax"," 86","Halifax",27,85,71,1,16,1,201,394
12004,"Halifax/Halifax"," 87","Halifax",33,77,54,4,30,0,198,426
12004,"Halifax/Halifax"," 88","Halifax",29,52,64,0,24,0,169,287
12004,"Halifax/Halifax"," 88-1","Halifax",28,44,44,3,14,0,133,357
12004,"Halifax/Halifax"," 89","Halifax",44,90,78,1,21,0,234,368
12004,"Halifax/Halifax"," 90","Halifax",41,78,71,1,29,0,220,396
12004,"Halifax/Halifax"," 91","Halifax",30,35,33,0,11,3,112,174
12004,"Halifax/Halifax"," 92","Halifax",30,85,68,0,9,1,193,428
12004,"Halifax/Halifax"," 93A","Halifax",21,32,57,0,15,0,125,320
12004,"Halifax/Halifax"," 93B","Halifax",23,18,44,0,9,0,94,254
12004,"Halifax/Halifax"," 93-1","Halifax",15,37,32,0,5,0,89,153
12004,"Halifax/Halifax"," 94","Halifax",27,47,50,0,21,0,145,292
12004,"Halifax/Halifax"," 95","Halifax",32,93,80,0,42,0,247,410
12004,"Halifax/Halifax"," 95-1","Halifax",22,33,48,0,11,0,114,194
12004,"Halifax/Halifax"," 96","Halifax",26,81,48,1,27,0,183,307
12004,"Halifax/Halifax"," 96-1","Halifax",48,142,92,0,32,1,315,522
12004,"Halifax/Halifax"," 97","Halifax",48,146,77,1,32,0,304,476
12004,"Halifax/Halifax"," 98","Halifax",16,35,37,1,16,0,105,228
12004,"Halifax/Halifax"," 98-1","Halifax",13,63,27,0,12,0,115,215
12004,"Halifax/Halifax"," 98-2","Halifax",18,63,37,0,20,0,138,252
12004,"Halifax/Halifax"," 99","Halifax",10,27,17,0,9,0,63,130
12004,"Halifax/Halifax"," 100","Halifax",Void/Supprimé,,,,,,,
12004,"Halifax/Halifax"," 101","Halifax",88,83,79,2,23,2,277,495
12004,"Halifax/Halifax"," 102","Halifax",51,90,74,1,22,1,239,447
12004,"Halifax/Halifax"," 103A","Halifax",57,102,82,2,58,3,304,507
12004,"Halifax/Halifax"," 103B","Halifax",40,101,74,2,49,0,266,460
12004,"Halifax/Halifax"," 103-1","Halifax",51,96,93,1,59,2,302,307
12004,"Halifax/Halifax"," 104","Halifax",19,84,79,0,38,4,224,459
12004,"Halifax/Halifax"," 105","Halifax",25,96,52,0,24,0,197,451
12004,"Halifax/Halifax"," 106","Halifax",37,62,54,0,16,2,171,372
12004,"Halifax/Halifax"," 107","Halifax",34,105,78,6,32,1,256,512
12004,"Halifax/Halifax"," 108","Halifax",14,51,32,0,16,0,113,227
12004,"Halifax/Halifax"," 108-1","Halifax",23,46,35,0,10,0,114,241
12004,"Halifax/Halifax"," 109","Halifax",19,82,64,0,20,0,185,374
12004,"Halifax/Halifax"," 110","Halifax",25,105,57,2,13,2,204,249
12004,"Halifax/Halifax"," 111","Halifax",17,81,75,0,13,0,186,322
12004,"Halifax/Halifax"," 112","Halifax",27,56,59,0,14,0,156,350
12004,"Halifax/Halifax"," 113","Halifax",31,73,74,1,10,1,190,353
12004,"Halifax/Halifax"," 114","Halifax",39,77,85,2,24,0,227,482
12004,"Halifax/Halifax"," 115","Halifax",58,75,80,0,20,0,233,417
12004,"Halifax/Halifax"," 115-1","Halifax",49,87,77,1,35,2,251,542
12004,"Halifax/Halifax"," 116","Halifax",71,72,72,1,26,1,243,435
12004,"Halifax/Halifax"," 117","Halifax",85,34,75,1,12,0,207,379
12004,"Halifax/Halifax"," 118","Halifax",89,68,113,1,17,0,288,498
12004,"Halifax/Halifax"," 119","Halifax",70,74,101,1,36,2,284,448
12004,"Halifax/Halifax"," 120","Halifax",97,56,117,0,21,0,291,463
12004,"Halifax/Halifax"," 121","Halifax",41,68,46,1,18,1,175,325
12004,"Halifax/Halifax"," 122","Halifax",75,44,67,0,10,0,196,293
12004,"Halifax/Halifax"," 122-1","Halifax",35,23,60,0,13,0,131,232
12004,"Halifax/Halifax"," 123","Halifax",43,43,54,1,9,0,150,233
12004,"Halifax/Halifax"," 124","Halifax",58,92,87,0,20,0,257,440
12004,"Halifax/Halifax"," 125","Halifax",46,99,77,0,18,1,241,391
12004,"Halifax/Halifax"," 126","Halifax",38,82,52,0,14,1,187,328
12004,"Halifax/Halifax"," 126-1","Halifax",27,15,26,1,4,0,73,115
12004,"Halifax/Halifax"," 127","Halifax",60,73,60,1,8,0,202,398
12004,"Halifax/Halifax"," 127-1","Halifax",34,96,20,0,11,0,161,383
12004,"Halifax/Halifax"," 127-2","Halifax",30,53,49,1,8,0,141,262
12004,"Halifax/Halifax"," 128","Halifax",38,76,35,0,14,0,163,363
12004,"Halifax/Halifax"," 129","Halifax",19,107,28,0,10,1,165,376
12004,"Halifax/Halifax"," 130","Halifax",53,99,40,2,12,0,206,425
12004,"Halifax/Halifax"," 131","Halifax",28,82,39,2,17,1,169,375
12004,"Halifax/Halifax"," 132","Halifax",66,62,77,1,5,8,219,342
12004,"Halifax/Halifax"," 133","Halifax",64,57,69,0,17,0,207,347
12004,"Halifax/Halifax"," 134","Halifax",89,58,78,1,14,0,240,392
12004,"Halifax/Halifax"," 135","Halifax",40,74,28,0,12,0,154,290
12004,"Halifax/Halifax"," 136","Halifax",65,85,43,0,18,2,213,375
12004,"Halifax/Halifax"," 137","Halifax",24,32,18,0,3,0,77,320
12004,"Halifax/Halifax"," 137-1","Halifax",21,94,23,0,11,0,149,347
12004,"Halifax/Halifax"," 138","Halifax",35,104,35,1,7,1,183,444
12004,"Halifax/Halifax"," 139","Halifax",34,59,20,1,3,0,117,229
12004,"Halifax/Halifax"," 140","Halifax",14,73,22,0,8,0,117,310
12004,"Halifax/Halifax"," 141","Halifax",Void/Supprimé,,,,,,,
12004,"Halifax/Halifax"," 142","Halifax",48,58,23,0,9,0,138,270
12004,"Halifax/Halifax"," 143","Halifax",58,52,35,0,6,1,152,333
12004,"Halifax/Halifax"," 144","Halifax",54,123,30,1,17,0,225,370
12004,"Halifax/Halifax"," 145","Halifax",23,84,15,0,10,0,132,426
12004,"Halifax/Halifax"," 146","Halifax",32,108,22,0,13,0,175,329
12004,"Halifax/Halifax"," 146-1","Halifax",19,69,15,0,8,0,111,244
12004,"Halifax/Halifax"," 147","Halifax",42,101,30,1,12,4,190,281
12004,"Halifax/Halifax"," 148","Halifax",91,90,98,1,23,1,304,481
12004,"Halifax/Halifax"," 149","Halifax",56,130,86,1,33,2,308,449
12004,"Halifax/Halifax"," 150","Halifax",46,112,53,0,18,3,232,373
12004,"Halifax/Halifax"," 151","Halifax",48,128,57,1,21,0,255,435
12004,"Halifax/Halifax"," 152","Halifax",23,94,29,1,11,1,159,342
12004,"Halifax/Halifax"," 153","Halifax",27,71,25,1,7,1,132,409
12004,"Halifax/Halifax"," 154","Halifax",21,101,27,0,5,0,154,399
12004,"Halifax/Halifax"," 155","Halifax",36,67,16,0,11,0,130,365
12004,"Halifax/Halifax"," 156","Halifax",34,64,21,0,9,1,129,277
12004,"Halifax/Halifax"," 157","Halifax",66,102,40,1,21,1,231,506
12004,"Halifax/Halifax"," 158","Halifax",9,71,12,4,0,0,96,345
12004,"Halifax/Halifax"," 159","Halifax",11,42,14,0,5,0,72,317
12004,"Halifax/Halifax"," 160","Halifax",22,40,10,0,13,1,86,278
12004,"Halifax/Halifax"," 161","Halifax",39,71,25,1,12,0,148,316
12004,"Halifax/Halifax"," 162","Halifax",29,81,24,1,9,0,144,289
12004,"Halifax/Halifax"," 163","Fergusons Cove",64,117,93,0,25,0,299,489
12004,"Halifax/Halifax"," 164","Halifax",32,61,29,0,10,0,132,262
12004,"Halifax/Halifax"," 164-1","Halifax",34,54,23,1,13,2,127,223
12004,"Halifax/Halifax"," 165","Harrietsfield",23,61,17,0,3,0,104,278
12004,"Halifax/Halifax"," 166","Harrietsfield",56,101,21,0,16,0,194,418
12004,"Halifax/Halifax"," 167","Herring Cove",40,78,26,0,14,0,158,288
12004,"Halifax/Halifax"," 168","Herring Cove",60,62,37,0,4,1,164,267
12004,"Halifax/Halifax"," 169","Halifax",24,73,39,0,15,1,152,317
12004,"Halifax/Halifax"," 170","Portuguese Cove",60,110,53,2,17,0,242,383
12004,"Halifax/Halifax"," 171","Williamswood",23,33,13,1,6,0,76,200
12004,"Halifax/Halifax"," 171-1A","Halifax",51,95,18,0,15,2,181,332
12004,"Halifax/Halifax"," 171-1B","Halifax",45,67,27,1,11,0,151,269
12004,"Halifax/Halifax"," 172","Williamswood",41,78,35,0,16,1,171,291
12004,"Halifax/Halifax"," 173","East Pennant",49,118,30,2,18,3,220,367
12004,"Halifax/Halifax"," 174","Sambro",72,84,36,0,11,0,203,363
12004,"Halifax/Halifax"," 175","Ketch Harbour",29,87,30,0,14,0,160,266
12004,"Halifax/Halifax"," 176","Halifax",Void/Supprimé,,,,,,,
12004,"Halifax/Halifax"," 400","Halifax",34,43,21,0,4,2,104,131
12004,"Halifax/Halifax"," 401","Halifax",12,37,19,0,6,3,77,131
12004,"Halifax/Halifax"," 402","Halifax",24,82,29,1,3,5,144,211
12004,"Halifax/Halifax"," 403","Halifax",10,6,18,0,1,1,36,95
12004,"Halifax/Halifax"," 404","Halifax",25,76,33,0,14,4,152,198
12004,"Halifax/Halifax"," 405","Halifax",30,62,31,3,6,1,133,165
12004,"Halifax/Halifax"," 406","Halifax",13,77,31,0,22,2,145,177
12004,"Halifax/Halifax"," 407","Halifax",43,33,58,0,16,0,150,206
12004,"Halifax/Halifax"," 408","Halifax",19,76,53,1,17,2,168,313
12004,"Halifax/Halifax"," 409","Halifax",23,46,34,0,8,1,112,178
12004,"Halifax/Halifax"," 410","Halifax",35,43,51,0,9,0,138,178
12004,"Halifax/Halifax"," 411","Halifax",35,33,61,0,8,0,137,196
12004,"Halifax/Halifax"," 412","Halifax",17,55,45,1,22,1,141,214
12004,"Halifax/Halifax"," 413","Halifax",28,19,16,0,9,1,73,203
12004,"Halifax/Halifax"," 500","Mobile poll/Bureau itinérant",19,15,25,0,1,1,61,68
12004,"Halifax/Halifax"," 501","Mobile poll/Bureau itinérant",41,21,34,0,10,0,106,218
12004,"Halifax/Halifax"," 600","Halifax",58,154,102,1,19,3,337,
12004,"Halifax/Halifax"," 601","Halifax",93,104,88,0,18,1,304,
12004,"Halifax/Halifax"," 602","Halifax",63,114,95,1,14,0,287,
12004,"Halifax/Halifax"," 603","Halifax",10,115,39,0,14,0,178,
12004,"Halifax/Halifax"," 604","Halifax",52,127,52,0,12,1,244,
12004,"Halifax/Halifax"," 605","Halifax",152,169,212,1,29,6,569,
12004,"Halifax/Halifax"," 606","Halifax",53,94,87,2,12,1,249,
12004,"Halifax/Halifax"," 607","Halifax",169,144,158,0,19,2,492,
12004,"Halifax/Halifax"," 608","Halifax",142,176,146,0,23,0,487,
12004,"Halifax/Halifax"," 609","Halifax",89,179,59,1,16,1,345,
12004,"Halifax/Halifax"," 610","Williamswood",44,62,34,1,6,1,148,
12004,"Halifax/Halifax",,Group 1/Groupe 1,166,84,73,2,25,17,367,910
12004,"Halifax/Halifax",,Group 2/Groupe 2,157,484,248,4,94,19,1006,

