Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Caroline Alleslev,Roger Carter,Marilyn Churley,Zoran Markovski,Maria Minna,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Beaches--East York/Beaches--East York"," 121","Toronto",89,1,107,36,130,1,364,601
35005,"Beaches--East York/Beaches--East York"," 122","Toronto",30,1,65,21,69,1,187,304
35005,"Beaches--East York/Beaches--East York"," 123","Toronto",33,2,81,23,94,0,233,374
35005,"Beaches--East York/Beaches--East York"," 124","Toronto",35,1,72,28,85,1,222,345
35005,"Beaches--East York/Beaches--East York"," 125","Toronto",56,1,100,36,113,0,306,436
35005,"Beaches--East York/Beaches--East York"," 126","Toronto",38,0,69,31,132,0,270,395
35005,"Beaches--East York/Beaches--East York"," 127","Toronto",33,1,80,36,94,0,244,379
35005,"Beaches--East York/Beaches--East York"," 128","Toronto",15,0,77,19,54,0,165,293
35005,"Beaches--East York/Beaches--East York"," 129","Toronto",49,0,102,37,111,0,299,445
35005,"Beaches--East York/Beaches--East York"," 130","Toronto",41,1,98,39,136,1,316,471
35005,"Beaches--East York/Beaches--East York"," 131","Toronto",36,0,94,40,82,0,252,378
35005,"Beaches--East York/Beaches--East York"," 132","Toronto",42,0,101,29,94,0,266,471
35005,"Beaches--East York/Beaches--East York"," 133","Toronto",26,1,76,20,83,0,206,420
35005,"Beaches--East York/Beaches--East York"," 134","Toronto",38,0,81,25,101,1,246,375
35005,"Beaches--East York/Beaches--East York"," 135","Toronto",34,1,50,33,94,1,213,309
35005,"Beaches--East York/Beaches--East York"," 136","Toronto",45,2,116,39,89,1,292,526
35005,"Beaches--East York/Beaches--East York"," 137","Toronto",29,0,69,9,57,0,164,273
35005,"Beaches--East York/Beaches--East York"," 138","Toronto",41,0,90,23,92,0,246,351
35005,"Beaches--East York/Beaches--East York"," 139","Toronto",28,1,98,34,107,0,268,428
35005,"Beaches--East York/Beaches--East York"," 140","Toronto",48,0,90,22,86,0,246,463
35005,"Beaches--East York/Beaches--East York"," 141","Toronto",35,0,72,32,69,0,208,423
35005,"Beaches--East York/Beaches--East York"," 142","Toronto",43,2,77,36,101,2,261,412
35005,"Beaches--East York/Beaches--East York"," 143","Toronto",43,0,84,19,86,2,234,407
35005,"Beaches--East York/Beaches--East York"," 144","Toronto",41,0,76,37,74,1,229,369
35005,"Beaches--East York/Beaches--East York"," 145","Toronto",51,3,68,26,87,0,235,425
35005,"Beaches--East York/Beaches--East York"," 146","Toronto",39,2,101,30,100,1,273,422
35005,"Beaches--East York/Beaches--East York"," 147","Toronto",40,1,89,25,102,0,257,421
35005,"Beaches--East York/Beaches--East York"," 148","Toronto",53,1,77,27,85,0,243,408
35005,"Beaches--East York/Beaches--East York"," 149","Toronto",36,1,54,33,56,1,181,290
35005,"Beaches--East York/Beaches--East York"," 150","Toronto",43,1,41,23,81,0,189,343
35005,"Beaches--East York/Beaches--East York"," 151","Toronto",24,0,64,13,62,0,163,240
35005,"Beaches--East York/Beaches--East York"," 152","Toronto",30,0,55,25,102,2,214,365
35005,"Beaches--East York/Beaches--East York"," 153","Toronto",44,1,61,26,73,5,210,377
35005,"Beaches--East York/Beaches--East York"," 154","Toronto",44,1,46,24,93,0,208,359
35005,"Beaches--East York/Beaches--East York"," 155","Toronto",41,1,70,18,118,0,248,387
35005,"Beaches--East York/Beaches--East York"," 156","Toronto",54,2,54,41,96,3,250,373
35005,"Beaches--East York/Beaches--East York"," 157","Toronto",55,1,75,41,123,1,296,476
35005,"Beaches--East York/Beaches--East York"," 158","Toronto",66,1,73,19,124,0,283,437
35005,"Beaches--East York/Beaches--East York"," 159","Toronto",66,0,41,30,90,0,227,364
35005,"Beaches--East York/Beaches--East York"," 160","Toronto",61,0,41,18,72,1,193,316
35005,"Beaches--East York/Beaches--East York"," 161","Toronto",47,1,59,21,79,0,207,368
35005,"Beaches--East York/Beaches--East York"," 162","Toronto",42,1,59,22,110,1,235,356
35005,"Beaches--East York/Beaches--East York"," 163","Toronto",39,0,69,25,89,0,222,358
35005,"Beaches--East York/Beaches--East York"," 164","Toronto",48,1,38,27,81,0,195,303
35005,"Beaches--East York/Beaches--East York"," 165","Toronto",75,0,55,37,104,0,271,425
35005,"Beaches--East York/Beaches--East York"," 166","Toronto",62,0,71,25,115,0,273,432
35005,"Beaches--East York/Beaches--East York"," 167","Toronto",85,1,96,50,143,0,375,599
35005,"Beaches--East York/Beaches--East York"," 168","Toronto",65,0,39,13,85,0,202,344
35005,"Beaches--East York/Beaches--East York"," 169","Toronto",91,0,45,27,112,2,277,474
35005,"Beaches--East York/Beaches--East York"," 170","Toronto",59,0,26,13,90,2,190,305
35005,"Beaches--East York/Beaches--East York"," 171","Toronto",87,0,55,29,126,0,297,515
35005,"Beaches--East York/Beaches--East York"," 172","Toronto",41,0,60,29,90,0,220,401
35005,"Beaches--East York/Beaches--East York"," 173","Toronto",46,2,58,28,74,0,208,340
35005,"Beaches--East York/Beaches--East York"," 174","Toronto",44,1,79,34,108,1,267,450
35005,"Beaches--East York/Beaches--East York"," 175","Toronto",60,0,65,34,69,2,230,414
35005,"Beaches--East York/Beaches--East York"," 176","Toronto",24,0,41,22,71,0,158,315
35005,"Beaches--East York/Beaches--East York"," 177","Toronto",40,0,57,25,55,1,178,322
35005,"Beaches--East York/Beaches--East York"," 178","Toronto",46,0,63,26,82,0,217,428
35005,"Beaches--East York/Beaches--East York"," 179","Toronto",25,0,44,21,56,0,146,247
35005,"Beaches--East York/Beaches--East York"," 180","Toronto",33,0,55,26,76,2,192,338
35005,"Beaches--East York/Beaches--East York"," 181","Toronto",44,0,56,26,56,0,182,321
35005,"Beaches--East York/Beaches--East York"," 182","Toronto",50,0,52,20,92,1,215,366
35005,"Beaches--East York/Beaches--East York"," 400","East York",17,1,43,3,70,3,137,379
35005,"Beaches--East York/Beaches--East York"," 401","East York",42,0,60,13,164,2,281,465
35005,"Beaches--East York/Beaches--East York"," 402","East York",13,0,45,0,91,4,153,338
35005,"Beaches--East York/Beaches--East York"," 403","East York",9,1,38,3,66,2,119,331
35005,"Beaches--East York/Beaches--East York"," 404","East York",13,1,43,4,78,0,139,345
35005,"Beaches--East York/Beaches--East York"," 405","East York",25,2,52,6,97,0,182,352
35005,"Beaches--East York/Beaches--East York"," 406","East York",15,1,57,7,106,0,186,473
35005,"Beaches--East York/Beaches--East York"," 407","East York",34,0,59,6,157,2,258,417
35005,"Beaches--East York/Beaches--East York"," 408","East York",37,0,58,8,113,0,216,487
35005,"Beaches--East York/Beaches--East York"," 500","Mobile poll/Bureau itinérant",27,5,35,5,35,5,112,209
35005,"Beaches--East York/Beaches--East York"," 600","East York",91,1,91,23,172,3,381,
35005,"Beaches--East York/Beaches--East York"," 601","East York",63,1,113,13,123,0,313,
35005,"Beaches--East York/Beaches--East York"," 602","East York",34,2,123,6,285,2,452,
35005,"Beaches--East York/Beaches--East York"," 603","East York",123,2,201,45,216,0,587,
35005,"Beaches--East York/Beaches--East York"," 604","East York--Toronto",53,0,189,35,210,2,489,
35005,"Beaches--East York/Beaches--East York"," 605","East York--Toronto",58,1,211,57,244,2,573,
35005,"Beaches--East York/Beaches--East York"," 606","Toronto",67,0,138,42,178,1,426,
35005,"Beaches--East York/Beaches--East York"," 607","Toronto",98,1,145,35,206,0,485,
35005,"Beaches--East York/Beaches--East York"," 608","Toronto",89,2,158,55,255,0,559,
35005,"Beaches--East York/Beaches--East York"," 609","Toronto",62,0,83,29,95,1,270,
35005,"Beaches--East York/Beaches--East York",,Group 1/Groupe 1,30,1,27,6,43,5,112,163
35005,"Beaches--East York/Beaches--East York",,Group 2/Groupe 2,46,0,139,46,180,10,421,

