Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aydin Cocelli,Andre Papadimitriou,Mike Sullivan,Alan Tonks,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"York South--Weston/York-Sud--Weston"," 25","York",21,4,45,71,0,141,449
35105,"York South--Weston/York-Sud--Weston"," 26","York",56,22,75,126,3,282,507
35105,"York South--Weston/York-Sud--Weston"," 27","York",11,5,28,53,0,97,272
35105,"York South--Weston/York-Sud--Weston"," 28","York",53,13,77,68,0,211,404
35105,"York South--Weston/York-Sud--Weston"," 29","North York",42,16,39,137,0,234,409
35105,"York South--Weston/York-Sud--Weston"," 30","North York",56,11,52,86,1,206,376
35105,"York South--Weston/York-Sud--Weston"," 30-1","North York",15,7,52,72,0,146,315
35105,"York South--Weston/York-Sud--Weston"," 31","North York",Void/Supprimé,,,,,,
35105,"York South--Weston/York-Sud--Weston"," 32","North York",57,16,35,92,0,200,374
35105,"York South--Weston/York-Sud--Weston"," 33","North York",47,3,54,109,1,214,358
35105,"York South--Weston/York-Sud--Weston"," 34","North York",40,4,23,133,3,203,328
35105,"York South--Weston/York-Sud--Weston"," 35","North York",19,5,36,51,0,111,305
35105,"York South--Weston/York-Sud--Weston"," 36","North York",18,6,101,68,2,195,444
35105,"York South--Weston/York-Sud--Weston"," 37","North York",13,7,64,82,0,166,434
35105,"York South--Weston/York-Sud--Weston"," 38","North York",42,5,25,103,0,175,334
35105,"York South--Weston/York-Sud--Weston"," 39","North York",68,4,22,99,1,194,333
35105,"York South--Weston/York-Sud--Weston"," 40","North York",21,4,35,83,1,144,382
35105,"York South--Weston/York-Sud--Weston"," 41","North York",40,8,34,88,0,170,308
35105,"York South--Weston/York-Sud--Weston"," 42","North York",37,7,37,103,4,188,372
35105,"York South--Weston/York-Sud--Weston"," 43","North York",41,7,19,64,0,131,227
35105,"York South--Weston/York-Sud--Weston"," 44A","York",44,5,36,95,1,181,362
35105,"York South--Weston/York-Sud--Weston"," 44B","York",15,1,5,32,1,54,152
35105,"York South--Weston/York-Sud--Weston"," 44-1","York",29,1,31,65,2,128,331
35105,"York South--Weston/York-Sud--Weston"," 45","North York",30,2,54,88,0,174,431
35105,"York South--Weston/York-Sud--Weston"," 46","North York",38,11,59,119,1,228,445
35105,"York South--Weston/York-Sud--Weston"," 47","North York",58,12,62,105,2,239,403
35105,"York South--Weston/York-Sud--Weston"," 48","North York",46,10,48,86,0,190,550
35105,"York South--Weston/York-Sud--Weston"," 49","North York",27,3,30,68,4,132,297
35105,"York South--Weston/York-Sud--Weston"," 50","North York",7,1,52,82,5,147,430
35105,"York South--Weston/York-Sud--Weston"," 51","North York",62,9,66,61,0,198,374
35105,"York South--Weston/York-Sud--Weston"," 52","North York",58,15,68,83,1,225,411
35105,"York South--Weston/York-Sud--Weston"," 53","North York",62,7,66,78,0,213,471
35105,"York South--Weston/York-Sud--Weston"," 54","North York",49,3,53,95,2,202,516
35105,"York South--Weston/York-Sud--Weston"," 55","North York",55,9,30,106,3,203,343
35105,"York South--Weston/York-Sud--Weston"," 56","North York",71,16,42,112,2,243,437
35105,"York South--Weston/York-Sud--Weston"," 57","North York",44,6,28,100,0,178,283
35105,"York South--Weston/York-Sud--Weston"," 58","North York",39,5,35,87,0,166,353
35105,"York South--Weston/York-Sud--Weston"," 59","North York",32,4,28,75,0,139,353
35105,"York South--Weston/York-Sud--Weston"," 60","North York",29,15,28,112,2,186,325
35105,"York South--Weston/York-Sud--Weston"," 61","North York",45,9,26,116,1,197,341
35105,"York South--Weston/York-Sud--Weston"," 62","North York",64,13,62,101,3,243,436
35105,"York South--Weston/York-Sud--Weston"," 63","North York",54,12,23,145,3,237,355
35105,"York South--Weston/York-Sud--Weston"," 64","North York",33,7,43,91,2,176,418
35105,"York South--Weston/York-Sud--Weston"," 65","North York",49,11,32,120,3,215,360
35105,"York South--Weston/York-Sud--Weston"," 66","North York",47,10,52,75,0,184,373
35105,"York South--Weston/York-Sud--Weston"," 67","North York",43,13,24,147,1,228,358
35105,"York South--Weston/York-Sud--Weston"," 68","North York",39,8,31,89,2,169,330
35105,"York South--Weston/York-Sud--Weston"," 69","North York",37,12,35,68,4,156,401
35105,"York South--Weston/York-Sud--Weston"," 70","North York",26,7,39,102,1,175,453
35105,"York South--Weston/York-Sud--Weston"," 71","North York",44,6,28,75,2,155,331
35105,"York South--Weston/York-Sud--Weston"," 72","North York",45,16,62,132,3,258,386
35105,"York South--Weston/York-Sud--Weston"," 73","North York",18,0,14,122,0,154,276
35105,"York South--Weston/York-Sud--Weston"," 74","North York",49,11,51,86,1,198,451
35105,"York South--Weston/York-Sud--Weston"," 75","North York",17,2,22,73,0,114,212
35105,"York South--Weston/York-Sud--Weston"," 75-1","North York",25,1,29,61,1,117,289
35105,"York South--Weston/York-Sud--Weston"," 76","North York",37,7,16,76,3,139,328
35105,"York South--Weston/York-Sud--Weston"," 77","North York",15,9,45,99,4,172,335
35105,"York South--Weston/York-Sud--Weston"," 78","North York",54,7,35,131,1,228,374
35105,"York South--Weston/York-Sud--Weston"," 79","North York",37,7,21,98,1,164,322
35105,"York South--Weston/York-Sud--Weston"," 80","North York",42,11,64,66,2,185,522
35105,"York South--Weston/York-Sud--Weston"," 81","North York",28,2,43,76,0,149,382
35105,"York South--Weston/York-Sud--Weston"," 82","York",44,10,75,70,2,201,476
35105,"York South--Weston/York-Sud--Weston"," 83","York",30,7,28,80,0,145,323
35105,"York South--Weston/York-Sud--Weston"," 83-1","York",26,6,47,79,0,158,341
35105,"York South--Weston/York-Sud--Weston"," 84","York",32,8,55,95,3,193,379
35105,"York South--Weston/York-Sud--Weston"," 85","York",44,10,52,88,2,196,500
35105,"York South--Weston/York-Sud--Weston"," 86","York",43,7,56,29,3,138,377
35105,"York South--Weston/York-Sud--Weston"," 87","York",30,8,81,70,1,190,555
35105,"York South--Weston/York-Sud--Weston"," 88","York",25,7,45,42,0,119,343
35105,"York South--Weston/York-Sud--Weston"," 89","York",29,7,45,90,0,171,425
35105,"York South--Weston/York-Sud--Weston"," 90","York",43,9,70,82,2,206,519
35105,"York South--Weston/York-Sud--Weston"," 91","York",37,14,44,80,1,176,393
35105,"York South--Weston/York-Sud--Weston"," 92","York",30,18,68,97,4,217,374
35105,"York South--Weston/York-Sud--Weston"," 93","York",20,10,74,66,1,171,356
35105,"York South--Weston/York-Sud--Weston"," 94","York",38,7,62,108,2,217,432
35105,"York South--Weston/York-Sud--Weston"," 95","York",28,6,76,60,2,172,424
35105,"York South--Weston/York-Sud--Weston"," 96","York",21,15,65,47,2,150,355
35105,"York South--Weston/York-Sud--Weston"," 97","York",29,14,32,71,2,148,289
35105,"York South--Weston/York-Sud--Weston"," 98","York",49,42,75,79,1,246,388
35105,"York South--Weston/York-Sud--Weston"," 99","York",28,4,22,37,2,93,278
35105,"York South--Weston/York-Sud--Weston"," 100","York",28,8,29,102,4,171,257
35105,"York South--Weston/York-Sud--Weston"," 101","York",41,11,55,113,3,223,450
35105,"York South--Weston/York-Sud--Weston"," 102","York",43,10,76,80,1,210,413
35105,"York South--Weston/York-Sud--Weston"," 103","York",37,6,72,81,3,199,383
35105,"York South--Weston/York-Sud--Weston"," 104","York",28,14,65,59,2,168,387
35105,"York South--Weston/York-Sud--Weston"," 105","York",30,9,60,103,0,202,495
35105,"York South--Weston/York-Sud--Weston"," 106","York",16,1,23,31,3,74,409
35105,"York South--Weston/York-Sud--Weston"," 107","York",40,11,34,108,2,195,423
35105,"York South--Weston/York-Sud--Weston"," 108","York",27,4,38,95,4,168,308
35105,"York South--Weston/York-Sud--Weston"," 109","York",35,6,48,82,0,171,339
35105,"York South--Weston/York-Sud--Weston"," 110","York",25,5,36,78,0,144,325
35105,"York South--Weston/York-Sud--Weston"," 111","York",26,7,38,83,0,154,317
35105,"York South--Weston/York-Sud--Weston"," 112","York",15,6,37,62,1,121,282
35105,"York South--Weston/York-Sud--Weston"," 112-1","York",17,4,57,72,1,151,303
35105,"York South--Weston/York-Sud--Weston"," 113","York",45,13,63,116,0,237,485
35105,"York South--Weston/York-Sud--Weston"," 114","York",48,16,61,99,2,226,516
35105,"York South--Weston/York-Sud--Weston"," 115","York",54,20,75,143,0,292,591
35105,"York South--Weston/York-Sud--Weston"," 116","York",37,12,51,83,1,184,504
35105,"York South--Weston/York-Sud--Weston"," 117","York",32,7,65,65,0,169,404
35105,"York South--Weston/York-Sud--Weston"," 118","York",37,12,53,117,1,220,418
35105,"York South--Weston/York-Sud--Weston"," 119","York",31,10,58,116,0,215,484
35105,"York South--Weston/York-Sud--Weston"," 120","York",45,11,80,115,1,252,540
35105,"York South--Weston/York-Sud--Weston"," 121","York",44,13,74,94,3,228,565
35105,"York South--Weston/York-Sud--Weston"," 122","York",40,14,33,84,2,173,366
35105,"York South--Weston/York-Sud--Weston"," 123","York",43,9,44,134,1,231,463
35105,"York South--Weston/York-Sud--Weston"," 124","York",33,11,76,116,0,236,531
35105,"York South--Weston/York-Sud--Weston"," 125","York",48,22,79,99,0,248,471
35105,"York South--Weston/York-Sud--Weston"," 126","York",42,13,39,48,0,142,346
35105,"York South--Weston/York-Sud--Weston"," 127","York",61,19,59,73,1,213,383
35105,"York South--Weston/York-Sud--Weston"," 128","York",47,10,42,82,1,182,384
35105,"York South--Weston/York-Sud--Weston"," 129","York",27,22,47,54,2,152,296
35105,"York South--Weston/York-Sud--Weston"," 130","York",25,10,61,74,0,170,388
35105,"York South--Weston/York-Sud--Weston"," 131","York",33,5,43,68,1,150,440
35105,"York South--Weston/York-Sud--Weston"," 132","York",28,11,66,101,1,207,399
35105,"York South--Weston/York-Sud--Weston"," 133","York",17,1,22,30,0,70,189
35105,"York South--Weston/York-Sud--Weston"," 134A","York",17,4,45,96,0,162,460
35105,"York South--Weston/York-Sud--Weston"," 134B","York",25,3,34,74,0,136,360
35105,"York South--Weston/York-Sud--Weston"," 135","York",30,8,55,66,0,159,319
35105,"York South--Weston/York-Sud--Weston"," 136","York",26,9,45,54,0,134,271
35105,"York South--Weston/York-Sud--Weston"," 137","York",46,9,42,53,2,152,300
35105,"York South--Weston/York-Sud--Weston"," 138","York",43,9,76,85,5,218,484
35105,"York South--Weston/York-Sud--Weston"," 139","York",30,12,70,97,0,209,443
35105,"York South--Weston/York-Sud--Weston"," 140A","York",30,3,51,80,0,164,398
35105,"York South--Weston/York-Sud--Weston"," 140B","York",26,6,37,58,1,128,317
35105,"York South--Weston/York-Sud--Weston"," 141","York",32,20,72,65,0,189,429
35105,"York South--Weston/York-Sud--Weston"," 142","York",32,15,54,60,3,164,364
35105,"York South--Weston/York-Sud--Weston"," 143","Toronto",27,9,64,87,4,191,396
35105,"York South--Weston/York-Sud--Weston"," 144","York",14,2,32,39,1,88,190
35105,"York South--Weston/York-Sud--Weston"," 145","York",28,5,35,59,0,127,300
35105,"York South--Weston/York-Sud--Weston"," 146","York",53,9,70,108,0,240,572
35105,"York South--Weston/York-Sud--Weston"," 147","Toronto",19,7,47,78,3,154,470
35105,"York South--Weston/York-Sud--Weston"," 148","Toronto",36,6,67,66,3,178,439
35105,"York South--Weston/York-Sud--Weston"," 148-1","Toronto",30,7,58,71,2,168,391
35105,"York South--Weston/York-Sud--Weston"," 148-2","Toronto",57,8,42,77,0,184,370
35105,"York South--Weston/York-Sud--Weston"," 149","Toronto",40,11,53,93,0,197,442
35105,"York South--Weston/York-Sud--Weston"," 400","York",29,9,26,38,1,103,213
35105,"York South--Weston/York-Sud--Weston"," 401","York",23,10,24,29,0,86,186
35105,"York South--Weston/York-Sud--Weston"," 402","York",31,6,47,75,1,160,352
35105,"York South--Weston/York-Sud--Weston"," 403","York",19,7,48,116,3,193,354
35105,"York South--Weston/York-Sud--Weston"," 404","York",17,3,59,99,3,181,388
35105,"York South--Weston/York-Sud--Weston"," 405","North York",28,5,19,57,1,110,165
35105,"York South--Weston/York-Sud--Weston"," 406","York",Void/Supprimé,,,,,,
35105,"York South--Weston/York-Sud--Weston"," 407","North York",29,3,34,62,4,132,295
35105,"York South--Weston/York-Sud--Weston"," 408","North York",13,7,48,87,0,155,389
35105,"York South--Weston/York-Sud--Weston"," 409","North York",16,6,30,76,1,129,401
35105,"York South--Weston/York-Sud--Weston"," 410","York",17,4,10,59,0,90,250
35105,"York South--Weston/York-Sud--Weston"," 411","York",22,5,10,34,0,71,122
35105,"York South--Weston/York-Sud--Weston"," 412","York",48,7,68,95,1,219,442
35105,"York South--Weston/York-Sud--Weston"," 413","York",25,4,42,54,0,125,283
35105,"York South--Weston/York-Sud--Weston"," 414","York",38,6,48,76,2,170,394
35105,"York South--Weston/York-Sud--Weston"," 415","York",26,6,35,70,1,138,601
35105,"York South--Weston/York-Sud--Weston"," 416","York",17,4,36,55,1,113,390
35105,"York South--Weston/York-Sud--Weston"," 417","York",67,19,67,96,2,251,356
35105,"York South--Weston/York-Sud--Weston"," 418","York",85,10,35,105,2,237,331
35105,"York South--Weston/York-Sud--Weston"," 419","York",95,13,41,96,0,245,342
35105,"York South--Weston/York-Sud--Weston"," 420","York",73,20,28,124,3,248,341
35105,"York South--Weston/York-Sud--Weston"," 421","York",17,4,10,32,0,63,144
35105,"York South--Weston/York-Sud--Weston"," 422","York",17,4,44,72,0,137,334
35105,"York South--Weston/York-Sud--Weston"," 423","North York",8,2,37,59,1,107,262
35105,"York South--Weston/York-Sud--Weston"," 424","North York",2,2,32,72,0,108,274
35105,"York South--Weston/York-Sud--Weston"," 425","North York",30,0,38,70,0,138,249
35105,"York South--Weston/York-Sud--Weston"," 426","North York",18,6,33,50,0,107,268
35105,"York South--Weston/York-Sud--Weston"," 500","Mobile poll/Bureau itinérant",11,2,4,13,1,31,62
35105,"York South--Weston/York-Sud--Weston"," 501","Mobile poll/Bureau itinérant",2,2,7,10,0,21,29
35105,"York South--Weston/York-Sud--Weston"," 600","Toronto",70,20,158,174,1,423,
35105,"York South--Weston/York-Sud--Weston"," 601","Toronto",51,9,62,107,1,230,
35105,"York South--Weston/York-Sud--Weston"," 602","Toronto",68,7,71,157,2,305,
35105,"York South--Weston/York-Sud--Weston"," 603","Toronto",60,13,61,132,2,268,
35105,"York South--Weston/York-Sud--Weston"," 604","Toronto",44,9,77,116,1,247,
35105,"York South--Weston/York-Sud--Weston"," 605","Toronto",47,7,42,87,0,183,
35105,"York South--Weston/York-Sud--Weston"," 606","Toronto",39,20,45,83,0,187,
35105,"York South--Weston/York-Sud--Weston"," 607","Toronto",59,15,50,71,1,196,
35105,"York South--Weston/York-Sud--Weston",,Group 1/Groupe 1,11,5,11,43,3,73,102
35105,"York South--Weston/York-Sud--Weston",,Group 2/Groupe 2,24,15,73,105,5,222,

