Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cannis,Natalie Hundt,Roxanne James,Ella Ng,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Scarborough Centre/Scarborough-Centre"," 21","Scarborough",Merged with No. 19B/Fusionné avec le nº 19B,,,,,,7
35081,"Scarborough Centre/Scarborough-Centre"," 22","Scarborough",104,29,32,11,1,177,359
35081,"Scarborough Centre/Scarborough-Centre"," 23","Scarborough",101,15,74,16,2,208,379
35081,"Scarborough Centre/Scarborough-Centre"," 24","Scarborough",104,28,82,19,0,233,412
35081,"Scarborough Centre/Scarborough-Centre"," 25","Scarborough",81,18,70,3,4,176,363
35081,"Scarborough Centre/Scarborough-Centre"," 26","Scarborough",98,38,52,15,1,204,384
35081,"Scarborough Centre/Scarborough-Centre"," 27","Scarborough",87,23,71,9,1,191,365
35081,"Scarborough Centre/Scarborough-Centre"," 28","Scarborough",102,27,64,11,1,205,381
35081,"Scarborough Centre/Scarborough-Centre"," 29","Scarborough",84,26,66,23,2,201,338
35081,"Scarborough Centre/Scarborough-Centre"," 30","Scarborough",125,21,74,9,1,230,351
35081,"Scarborough Centre/Scarborough-Centre"," 31","Scarborough",85,28,53,20,1,187,326
35081,"Scarborough Centre/Scarborough-Centre"," 32","Scarborough",99,34,87,16,0,236,372
35081,"Scarborough Centre/Scarborough-Centre"," 33","Scarborough",79,15,60,10,5,169,329
35081,"Scarborough Centre/Scarborough-Centre"," 34","Scarborough",104,30,63,9,1,207,356
35081,"Scarborough Centre/Scarborough-Centre"," 35","Scarborough",82,24,42,15,3,166,344
35081,"Scarborough Centre/Scarborough-Centre"," 36","Scarborough",110,30,78,16,0,234,440
35081,"Scarborough Centre/Scarborough-Centre"," 37","Scarborough",72,29,55,21,0,177,373
35081,"Scarborough Centre/Scarborough-Centre"," 38","Scarborough",69,24,39,5,4,141,227
35081,"Scarborough Centre/Scarborough-Centre"," 39","Scarborough",101,28,61,13,1,204,486
35081,"Scarborough Centre/Scarborough-Centre"," 40","Scarborough",70,45,69,8,3,195,346
35081,"Scarborough Centre/Scarborough-Centre"," 41","Scarborough",114,30,47,12,2,205,409
35081,"Scarborough Centre/Scarborough-Centre"," 42","Scarborough",114,31,76,16,0,237,439
35081,"Scarborough Centre/Scarborough-Centre"," 43","Scarborough",99,39,38,2,0,178,380
35081,"Scarborough Centre/Scarborough-Centre"," 44","Scarborough",73,17,39,5,0,134,325
35081,"Scarborough Centre/Scarborough-Centre"," 45","Scarborough",Merged with No. 109/Fusionné avec le nº 109,,,,,,8
35081,"Scarborough Centre/Scarborough-Centre"," 46","Scarborough",104,26,50,15,1,196,442
35081,"Scarborough Centre/Scarborough-Centre"," 47","Scarborough",77,19,41,9,0,146,379
35081,"Scarborough Centre/Scarborough-Centre"," 48","Scarborough",73,23,101,24,0,221,352
35081,"Scarborough Centre/Scarborough-Centre"," 49","Scarborough",106,35,87,15,1,244,422
35081,"Scarborough Centre/Scarborough-Centre"," 50","Scarborough",50,24,52,5,1,132,328
35081,"Scarborough Centre/Scarborough-Centre"," 51","Scarborough",94,28,84,30,2,238,389
35081,"Scarborough Centre/Scarborough-Centre"," 52","Scarborough",66,22,73,14,0,175,325
35081,"Scarborough Centre/Scarborough-Centre"," 53","Scarborough",48,36,54,14,1,153,387
35081,"Scarborough Centre/Scarborough-Centre"," 54","Scarborough",96,27,85,16,2,226,404
35081,"Scarborough Centre/Scarborough-Centre"," 55","Scarborough",98,36,56,16,0,206,382
35081,"Scarborough Centre/Scarborough-Centre"," 56","Scarborough",121,15,11,0,0,147,335
35081,"Scarborough Centre/Scarborough-Centre"," 57","Scarborough",121,32,61,9,2,225,404
35081,"Scarborough Centre/Scarborough-Centre"," 58","Scarborough",65,20,63,20,1,169,282
35081,"Scarborough Centre/Scarborough-Centre"," 59","Scarborough",105,34,58,11,0,208,389
35081,"Scarborough Centre/Scarborough-Centre"," 60","Scarborough",123,23,71,23,3,243,450
35081,"Scarborough Centre/Scarborough-Centre"," 61","Scarborough",70,17,35,7,2,131,283
35081,"Scarborough Centre/Scarborough-Centre"," 62","Scarborough",78,17,52,8,0,155,313
35081,"Scarborough Centre/Scarborough-Centre"," 63","Scarborough",114,25,83,13,0,235,422
35081,"Scarborough Centre/Scarborough-Centre"," 64","Scarborough",118,34,86,13,0,251,432
35081,"Scarborough Centre/Scarborough-Centre"," 65","Scarborough",113,27,61,14,1,216,368
35081,"Scarborough Centre/Scarborough-Centre"," 66","Scarborough",73,29,89,14,0,205,428
35081,"Scarborough Centre/Scarborough-Centre"," 67","Scarborough",46,26,34,8,0,114,286
35081,"Scarborough Centre/Scarborough-Centre"," 68","Scarborough",66,14,27,11,2,120,285
35081,"Scarborough Centre/Scarborough-Centre"," 69","Scarborough",71,36,40,9,3,159,313
35081,"Scarborough Centre/Scarborough-Centre"," 70","Scarborough",80,32,54,15,1,182,391
35081,"Scarborough Centre/Scarborough-Centre"," 71","Scarborough",88,35,75,9,3,210,390
35081,"Scarborough Centre/Scarborough-Centre"," 72","Scarborough",81,31,43,15,0,170,325
35081,"Scarborough Centre/Scarborough-Centre"," 73","Scarborough",66,29,40,6,0,141,411
35081,"Scarborough Centre/Scarborough-Centre"," 74","Scarborough",58,36,45,13,2,154,273
35081,"Scarborough Centre/Scarborough-Centre"," 75","Scarborough",118,32,71,8,2,231,408
35081,"Scarborough Centre/Scarborough-Centre"," 76","Scarborough",123,39,41,12,3,218,444
35081,"Scarborough Centre/Scarborough-Centre"," 77","Scarborough",93,32,62,10,0,197,365
35081,"Scarborough Centre/Scarborough-Centre"," 78","Scarborough",57,21,53,10,1,142,301
35081,"Scarborough Centre/Scarborough-Centre"," 79","Scarborough",42,23,31,10,0,106,247
35081,"Scarborough Centre/Scarborough-Centre"," 80","Scarborough",87,27,67,5,1,187,350
35081,"Scarborough Centre/Scarborough-Centre"," 81","Scarborough",105,36,91,8,5,245,374
35081,"Scarborough Centre/Scarborough-Centre"," 82","Scarborough",104,29,66,26,3,228,445
35081,"Scarborough Centre/Scarborough-Centre"," 83","Scarborough",136,33,81,19,5,274,448
35081,"Scarborough Centre/Scarborough-Centre"," 84","Scarborough",55,25,22,2,2,106,304
35081,"Scarborough Centre/Scarborough-Centre"," 85","Scarborough",58,25,65,6,1,155,337
35081,"Scarborough Centre/Scarborough-Centre"," 86","Scarborough",85,36,46,9,1,177,522
35081,"Scarborough Centre/Scarborough-Centre"," 87","Scarborough",96,37,29,5,2,169,495
35081,"Scarborough Centre/Scarborough-Centre"," 88","Scarborough",50,21,35,3,0,109,334
35081,"Scarborough Centre/Scarborough-Centre"," 89","Scarborough",87,33,47,14,1,182,329
35081,"Scarborough Centre/Scarborough-Centre"," 90","Scarborough",142,43,53,23,4,265,449
35081,"Scarborough Centre/Scarborough-Centre"," 91","Scarborough",70,22,67,8,3,170,345
35081,"Scarborough Centre/Scarborough-Centre"," 92","Scarborough",102,15,78,9,2,206,361
35081,"Scarborough Centre/Scarborough-Centre"," 93","Scarborough",105,32,69,11,2,219,402
35081,"Scarborough Centre/Scarborough-Centre"," 94","Scarborough",77,32,31,7,0,147,349
35081,"Scarborough Centre/Scarborough-Centre"," 95","Scarborough",82,33,40,10,1,166,304
35081,"Scarborough Centre/Scarborough-Centre"," 96","Scarborough",81,32,51,9,1,174,372
35081,"Scarborough Centre/Scarborough-Centre"," 97","Scarborough",79,16,54,14,0,163,309
35081,"Scarborough Centre/Scarborough-Centre"," 98","Scarborough",88,26,48,10,1,173,285
35081,"Scarborough Centre/Scarborough-Centre"," 99","Scarborough",89,65,31,5,0,190,356
35081,"Scarborough Centre/Scarborough-Centre"," 100","Scarborough",105,37,65,7,0,214,385
35081,"Scarborough Centre/Scarborough-Centre"," 101","Scarborough",115,38,75,6,0,234,376
35081,"Scarborough Centre/Scarborough-Centre"," 102","Scarborough",93,38,74,9,1,215,381
35081,"Scarborough Centre/Scarborough-Centre"," 103","Scarborough",64,22,49,7,1,143,235
35081,"Scarborough Centre/Scarborough-Centre"," 104","Scarborough",90,41,68,15,3,217,458
35081,"Scarborough Centre/Scarborough-Centre"," 105","Scarborough",118,14,65,10,3,210,387
35081,"Scarborough Centre/Scarborough-Centre"," 106","Scarborough",49,27,41,7,0,124,319
35081,"Scarborough Centre/Scarborough-Centre"," 107","Scarborough",75,32,35,8,3,153,339
35081,"Scarborough Centre/Scarborough-Centre"," 108","Scarborough",66,31,50,9,3,159,326
35081,"Scarborough Centre/Scarborough-Centre"," 109","Scarborough",139,51,80,8,2,280,545
35081,"Scarborough Centre/Scarborough-Centre"," 110","Scarborough",Merged with No. 109/Fusionné avec le nº 109,,,,,,100
35081,"Scarborough Centre/Scarborough-Centre"," 111","Scarborough",80,24,28,0,0,132,350
35081,"Scarborough Centre/Scarborough-Centre"," 112","Scarborough",100,42,25,5,0,172,426
35081,"Scarborough Centre/Scarborough-Centre"," 113","Scarborough",47,20,37,6,0,110,303
35081,"Scarborough Centre/Scarborough-Centre"," 114","Scarborough",136,20,52,11,1,220,385
35081,"Scarborough Centre/Scarborough-Centre"," 115","Scarborough",76,33,65,6,2,182,373
35081,"Scarborough Centre/Scarborough-Centre"," 116","Scarborough",125,34,75,13,0,247,403
35081,"Scarborough Centre/Scarborough-Centre"," 117","Scarborough",75,37,23,1,1,137,451
35081,"Scarborough Centre/Scarborough-Centre"," 118","Scarborough",136,27,54,7,3,227,381
35081,"Scarborough Centre/Scarborough-Centre"," 119","Scarborough",62,19,27,4,0,112,336
35081,"Scarborough Centre/Scarborough-Centre"," 120","Scarborough",95,20,80,9,2,206,413
35081,"Scarborough Centre/Scarborough-Centre"," 121","Scarborough",69,22,56,1,0,148,402
35081,"Scarborough Centre/Scarborough-Centre"," 122","Scarborough",103,29,46,7,0,185,343
35081,"Scarborough Centre/Scarborough-Centre"," 123","Scarborough",138,64,70,15,1,288,591
35081,"Scarborough Centre/Scarborough-Centre"," 124","Scarborough",122,53,38,6,4,223,609
35081,"Scarborough Centre/Scarborough-Centre"," 125","Scarborough",79,26,22,4,0,131,308
35081,"Scarborough Centre/Scarborough-Centre"," 126","Scarborough",122,22,81,7,0,232,401
35081,"Scarborough Centre/Scarborough-Centre"," 127","Scarborough",71,29,45,5,0,150,308
35081,"Scarborough Centre/Scarborough-Centre"," 128","Scarborough",68,16,48,8,2,142,292
35081,"Scarborough Centre/Scarborough-Centre"," 129","Scarborough",82,43,77,18,1,221,376
35081,"Scarborough Centre/Scarborough-Centre"," 130","Scarborough",106,29,96,14,0,245,448
35081,"Scarborough Centre/Scarborough-Centre"," 131","Scarborough",63,21,34,9,0,127,356
35081,"Scarborough Centre/Scarborough-Centre"," 132","Scarborough",72,14,48,6,1,141,389
35081,"Scarborough Centre/Scarborough-Centre"," 133","Scarborough",66,34,60,6,1,167,344
35081,"Scarborough Centre/Scarborough-Centre"," 134","Scarborough",79,25,62,14,0,180,369
35081,"Scarborough Centre/Scarborough-Centre"," 135","Scarborough",117,28,61,4,0,210,420
35081,"Scarborough Centre/Scarborough-Centre"," 136","Scarborough",87,24,56,7,0,174,369
35081,"Scarborough Centre/Scarborough-Centre"," 137","Scarborough",38,10,30,8,0,86,182
35081,"Scarborough Centre/Scarborough-Centre"," 138","Scarborough",97,24,50,12,2,185,376
35081,"Scarborough Centre/Scarborough-Centre"," 139","Scarborough",77,23,44,6,4,154,295
35081,"Scarborough Centre/Scarborough-Centre"," 140","Scarborough",67,56,59,10,2,194,442
35081,"Scarborough Centre/Scarborough-Centre"," 141","Scarborough",63,23,43,7,0,136,269
35081,"Scarborough Centre/Scarborough-Centre"," 142","Scarborough",51,14,30,7,0,102,326
35081,"Scarborough Centre/Scarborough-Centre"," 143","Scarborough",86,16,68,8,0,178,320
35081,"Scarborough Centre/Scarborough-Centre"," 144","Scarborough",74,21,50,16,2,163,349
35081,"Scarborough Centre/Scarborough-Centre"," 145","Scarborough",88,28,55,10,2,183,377
35081,"Scarborough Centre/Scarborough-Centre"," 146","Scarborough",88,24,67,12,3,194,445
35081,"Scarborough Centre/Scarborough-Centre"," 147","Scarborough",83,41,63,6,0,193,623
35081,"Scarborough Centre/Scarborough-Centre"," 148","Scarborough",114,33,62,6,0,215,530
35081,"Scarborough Centre/Scarborough-Centre"," 149","Scarborough",84,31,14,11,0,140,283
35081,"Scarborough Centre/Scarborough-Centre"," 150","Scarborough",24,15,9,3,0,51,173
35081,"Scarborough Centre/Scarborough-Centre"," 151","Scarborough",112,30,39,10,0,191,374
35081,"Scarborough Centre/Scarborough-Centre"," 152","Scarborough",81,32,21,4,2,140,414
35081,"Scarborough Centre/Scarborough-Centre"," 153","Scarborough",135,48,39,8,6,236,443
35081,"Scarborough Centre/Scarborough-Centre"," 154","Scarborough",97,32,65,8,2,204,389
35081,"Scarborough Centre/Scarborough-Centre"," 155","Scarborough",108,25,79,18,0,230,413
35081,"Scarborough Centre/Scarborough-Centre"," 156","Scarborough",81,25,34,10,2,152,285
35081,"Scarborough Centre/Scarborough-Centre"," 157","Scarborough",149,35,52,8,4,248,509
35081,"Scarborough Centre/Scarborough-Centre"," 158","Scarborough",56,19,38,7,0,120,311
35081,"Scarborough Centre/Scarborough-Centre"," 159","Scarborough",116,52,42,3,0,213,493
35081,"Scarborough Centre/Scarborough-Centre"," 400","Scarborough",133,40,74,7,4,258,447
35081,"Scarborough Centre/Scarborough-Centre"," 401","Scarborough",115,48,60,12,0,235,416
35081,"Scarborough Centre/Scarborough-Centre"," 402","Scarborough",37,20,56,7,0,120,202
35081,"Scarborough Centre/Scarborough-Centre"," 403","Scarborough",49,4,6,0,1,60,87
35081,"Scarborough Centre/Scarborough-Centre"," 404","Scarborough",25,11,15,1,0,52,134
35081,"Scarborough Centre/Scarborough-Centre"," 405","Scarborough",75,41,36,10,3,165,314
35081,"Scarborough Centre/Scarborough-Centre"," 406","Scarborough",121,42,67,14,0,244,451
35081,"Scarborough Centre/Scarborough-Centre"," 407","Scarborough",147,64,92,25,3,331,834
35081,"Scarborough Centre/Scarborough-Centre"," 408","Scarborough",67,22,41,16,0,146,386
35081,"Scarborough Centre/Scarborough-Centre"," 409","Scarborough",92,28,75,17,1,213,454
35081,"Scarborough Centre/Scarborough-Centre"," 410","Scarborough",30,17,32,3,0,82,210
35081,"Scarborough Centre/Scarborough-Centre"," 411","Scarborough",168,41,68,5,0,282,579
35081,"Scarborough Centre/Scarborough-Centre"," 412","Scarborough",74,36,45,15,0,170,417
35081,"Scarborough Centre/Scarborough-Centre"," 413","Scarborough",66,36,49,18,0,169,426
35081,"Scarborough Centre/Scarborough-Centre"," 414","Scarborough",Void/Supprimé,,,,,,
35081,"Scarborough Centre/Scarborough-Centre"," 415","Scarborough",66,30,42,6,0,144,401
35081,"Scarborough Centre/Scarborough-Centre"," 416","Scarborough",62,23,44,20,0,149,341
35081,"Scarborough Centre/Scarborough-Centre"," 417","Scarborough",Void/Supprimé,,,,,,
35081,"Scarborough Centre/Scarborough-Centre"," 418","Scarborough",22,11,20,0,0,53,174
35081,"Scarborough Centre/Scarborough-Centre"," 419","Scarborough",18,18,14,2,2,54,252
35081,"Scarborough Centre/Scarborough-Centre"," 420","Scarborough",19,12,12,2,1,46,187
35081,"Scarborough Centre/Scarborough-Centre"," 421","Scarborough",64,36,39,11,0,150,294
35081,"Scarborough Centre/Scarborough-Centre"," 422","Toronto",10,7,20,1,0,38,180
35081,"Scarborough Centre/Scarborough-Centre"," 423","Toronto",84,14,15,1,4,118,229
35081,"Scarborough Centre/Scarborough-Centre"," 424","Toronto",150,44,44,2,1,241,371
35081,"Scarborough Centre/Scarborough-Centre"," 425","Toronto",62,13,21,2,1,99,243
35081,"Scarborough Centre/Scarborough-Centre"," 426","Toronto",123,34,24,4,0,185,299
35081,"Scarborough Centre/Scarborough-Centre"," 427","Toronto",60,26,20,10,2,118,273
35081,"Scarborough Centre/Scarborough-Centre"," 428","Scarborough",80,25,57,14,1,177,577
35081,"Scarborough Centre/Scarborough-Centre"," 429","Scarborough",59,22,34,15,2,132,388
35081,"Scarborough Centre/Scarborough-Centre"," 430","Scarborough",50,17,35,9,0,111,348
35081,"Scarborough Centre/Scarborough-Centre"," 431","Scarborough",56,19,24,4,0,103,341
35081,"Scarborough Centre/Scarborough-Centre"," 432","Scarborough",33,9,6,0,0,48,158
35081,"Scarborough Centre/Scarborough-Centre"," 433","Scarborough",67,24,21,5,1,118,372
35081,"Scarborough Centre/Scarborough-Centre"," 434","Scarborough",47,16,17,4,0,84,219
35081,"Scarborough Centre/Scarborough-Centre"," 500","Mobile poll/Bureau itinérant",40,10,13,1,0,64,90
35081,"Scarborough Centre/Scarborough-Centre"," 600","Scarborough",136,34,140,10,2,322,
35081,"Scarborough Centre/Scarborough-Centre"," 601","Scarborough",123,41,135,18,2,319,
35081,"Scarborough Centre/Scarborough-Centre"," 602","Scarborough",108,38,120,14,0,280,
35081,"Scarborough Centre/Scarborough-Centre"," 603","Scarborough",94,25,104,10,2,235,
35081,"Scarborough Centre/Scarborough-Centre"," 604","Scarborough",116,28,138,22,0,304,
35081,"Scarborough Centre/Scarborough-Centre"," 605","Scarborough",153,37,131,16,0,337,
35081,"Scarborough Centre/Scarborough-Centre"," 606","Scarborough",202,53,217,25,2,499,
35081,"Scarborough Centre/Scarborough-Centre"," 607","Scarborough",127,36,142,13,0,318,
35081,"Scarborough Centre/Scarborough-Centre"," 608","Scarborough",81,19,61,8,2,171,
35081,"Scarborough Centre/Scarborough-Centre"," 609","Scarborough",75,10,41,0,2,128,
35081,"Scarborough Centre/Scarborough-Centre",,Group 1/Groupe 1,20,5,32,5,3,65,90
35081,"Scarborough Centre/Scarborough-Centre",,Group 2/Groupe 2,149,22,88,13,9,281,

