Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,Bill Clary,Duane Filson,Scott Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 29","Lucky Lake",165,10,11,20,0,206,345
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 30","Cabri",39,8,18,24,0,89,148
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 31","Cabri",156,10,24,45,0,235,408
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 32","Pennant",69,14,24,31,0,138,248
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 33","Stewart Valley",105,11,21,45,0,182,341
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 34","Success",85,15,16,34,0,150,361
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 35","Waldeck",217,19,26,46,0,308,557
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 36","Webb",140,8,23,18,0,189,373
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 37","Burnham",163,16,28,22,2,231,368
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 38","McMahon",126,9,14,14,0,163,304
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 39","Wymark",210,11,29,23,0,273,428
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 40A","Swift Current",175,7,27,33,0,242,388
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 40B","Swift Current",177,7,32,27,1,244,405
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 41","Swift Current",172,11,26,34,0,243,407
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 42","Swift Current",133,22,38,43,2,238,371
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 43","Swift Current",174,15,28,40,0,257,472
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 43-1","Swift Current",123,6,12,20,0,161,287
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 44","Swift Current",79,8,12,29,0,128,269
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 45","Swift Current",113,14,10,25,0,162,336
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 46","Swift Current",82,4,15,26,0,127,320
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 47","Swift Current",87,10,20,23,1,141,313
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 48","Swift Current",146,7,23,23,1,200,344
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 49","Swift Current",77,8,11,30,0,126,284
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 50","Swift Current",67,9,10,23,0,109,271
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 51","Swift Current",131,28,22,43,2,226,422
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 52","Swift Current",152,19,26,33,0,230,457
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 53","Swift Current",142,12,34,50,0,238,390
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 54","Swift Current",72,7,13,21,0,113,272
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 55","Swift Current",60,13,16,23,0,112,257
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 56","Swift Current",91,10,16,25,1,143,308
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 57","Swift Current",155,10,27,23,0,215,418
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 58","Swift Current",180,23,19,37,1,260,452
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 59","Swift Current",Void/Supprimé,,,,,,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 60","Swift Current",86,8,19,27,0,140,344
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 61","Swift Current",113,8,18,32,1,172,349
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 62","Swift Current",105,14,15,44,0,178,420
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 63A","Swift Current",45,6,11,22,1,85,187
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 63B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,14
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 64","Swift Current",105,10,7,37,0,159,346
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 65","Swift Current",120,7,15,32,0,174,307
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 66","Swift Current",122,4,24,35,0,185,336
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 67","Swift Current",158,9,17,28,1,213,351
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 68","Swift Current",153,12,21,41,0,227,410
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 69","Swift Current",111,17,18,32,0,178,350
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 70","Riverhurst",116,9,7,22,0,154,242
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 71","Central Butte",95,1,7,30,0,133,182
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 72","Central Butte",90,4,4,38,0,136,248
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 73","Central Butte",46,4,6,8,0,64,81
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 74","Main Centre",66,3,3,4,0,76,195
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 75","Herbert",103,6,21,14,0,144,247
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 76","Herbert",113,10,22,22,2,169,258
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 77","Herbert",140,10,35,23,0,208,382
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 78","Morse",139,19,20,51,0,229,349
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 79","Chaplin",70,7,8,20,1,106,192
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 80","Chaplin",81,5,11,34,0,131,198
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 81","Mortlach",108,8,24,41,2,183,284
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 82","Hodgeville",114,11,31,44,0,200,363
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 83","Shamrock",74,12,23,19,0,128,207
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 84","Golden Prairie",45,2,9,7,0,63,116
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 85","Hatton",49,6,5,8,0,68,144
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 86","Maple Creek",64,3,1,1,0,69,293
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 87","Maple Creek",147,17,26,32,0,222,523
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 88","Maple Creek",108,19,15,28,1,171,260
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 89","Maple Creek",134,29,23,40,0,226,408
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 90","Maple Creek",139,14,24,55,0,232,470
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 91","Maple Creek",118,26,17,46,0,207,413
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 92","Consul",154,15,15,25,1,210,362
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 93","Hazlet",105,24,23,19,0,171,271
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 94","Piapot",99,12,3,7,0,121,201
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 95","Tompkins",107,14,8,15,2,146,230
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 96","Gull Lake",94,4,7,11,0,116,216
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 97","Gull Lake",182,14,26,36,0,258,464
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 98","Gull Lake",130,18,16,35,2,201,363
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 99","Antelope",68,0,11,20,0,99,276
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 100","Lac Pelletier",57,7,2,24,0,90,158
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 101","Eastend",154,15,21,10,0,200,383
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 102","Eastend",191,25,21,34,0,271,439
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 103","Shaunavon",106,8,19,24,0,157,325
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 104","Shaunavon",89,6,10,27,0,132,242
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 105","Shaunavon",187,20,23,52,0,282,567
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 106","Shaunavon",96,10,19,24,0,149,269
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 107","Shaunavon",113,8,13,21,2,157,253
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 108","Admiral",47,8,29,25,1,110,207
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 109","Frontier",104,5,25,7,0,141,265
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 110","Frontier",101,13,14,18,2,148,246
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 111","Climax",146,11,28,19,0,204,293
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 112","Neville",156,11,13,21,0,201,280
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 113","Vanguard",51,10,27,21,0,109,244
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 114","Ponteix",97,8,30,17,2,154,308
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 115","Ponteix",53,4,44,11,1,113,187
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 116","Ponteix",64,4,39,23,0,130,238
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 117","Aneroid",80,7,24,15,0,126,193
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 118","Val Marie",127,17,22,8,0,174,335
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 119","Mankota",105,6,15,11,0,137,182
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 120","Mankota",99,4,13,13,0,129,181
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 121","Coderre",77,8,31,14,0,130,225
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 122","Glenbain",49,8,15,11,1,84,147
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 123","Gravelbourg",109,16,34,17,1,177,291
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 124","Gravelbourg",56,6,20,11,0,93,147
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 125","Gravelbourg",122,17,84,44,0,267,493
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 126","Gravelbourg",35,4,45,18,2,104,150
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 127","Kincaid",79,9,23,10,0,121,190
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 128","Laflèche",85,10,62,11,1,169,248
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 129","Lafleche",97,17,59,30,0,203,359
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 130","McCord",82,4,18,12,0,116,175
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 131","Limerick",117,11,39,23,0,190,280
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 132","Assiniboia",176,21,22,28,2,249,400
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 133","Assiniboia",70,2,18,24,0,114,132
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 134","Assiniboia",68,8,14,18,0,108,175
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135A","Assiniboia",82,10,20,22,1,135,346
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 135B","Assiniboia",112,9,26,24,1,172,381
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 136","Assiniboia",70,3,24,29,1,127,210
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 137","Assiniboia",149,17,45,34,0,245,391
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 138","Assiniboia",105,4,33,32,3,177,253
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 139","Fir Mountain",112,10,40,15,1,178,247
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 140","Wood Mountain",47,2,28,16,0,93,172
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 141","Willow Bunch",56,3,16,15,0,90,194
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 142","Willow Bunch",72,18,46,42,0,178,271
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 143","Rockglen",199,14,16,20,1,250,355
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 144","Rockglen",109,10,24,57,0,200,317
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 500","Mobile poll/Bureau itinérant",44,6,14,21,0,85,165
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 501","Mobile poll/Bureau itinérant",57,4,15,30,1,107,183
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 502","Mobile poll/Bureau itinérant",7,1,25,10,0,43,91
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 503","Mobile poll/Bureau itinérant",78,6,15,28,1,128,178
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 600","Eston",61,6,21,16,0,104,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 601","Leader",35,10,15,3,0,63,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 602","Cabri",164,19,42,33,0,258,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 603","Swift Current",476,45,75,102,0,698,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 604","Herbert",53,4,11,12,0,80,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 605","Maple Creek",89,11,10,18,1,129,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 606","Gull Lake",50,5,16,11,1,83,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 607","Shaunavon",139,10,13,34,0,196,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 608","Ponteix",44,0,16,9,0,69,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 609","Gravelbourg",87,6,48,24,2,167,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 610","Assiniboia",147,17,39,65,0,268,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 611","Dinsmore",63,2,12,17,0,94,
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 1/Groupe 1,32,8,4,8,2,54,99
47004,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",,Group 2/Groupe 2,342,26,107,118,12,605,

