Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Frank Chilelli,Gurbax S. Malhi,Mark Pajot,Jash Puniya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 71","Brampton",70,0,38,24,33,2,167,351
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 72","Brampton",91,0,43,26,40,0,200,394
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 73","Brampton",125,1,50,9,20,1,206,327
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 74","Brampton",83,1,45,18,40,1,188,432
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 75","Brampton",96,0,42,13,24,1,176,369
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 76","Brampton",70,1,61,14,22,3,171,339
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 77","Brampton",85,0,70,12,11,1,179,299
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 78","Brampton",47,0,43,17,26,0,133,265
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 79","Brampton",77,1,40,31,31,2,182,409
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 80","Brampton",110,0,72,13,26,0,221,445
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 81","Brampton",52,4,57,16,22,2,153,344
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 82","Brampton",84,0,73,7,34,1,199,512
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 83","Brampton",74,0,87,5,24,2,192,455
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 84","Brampton",33,0,50,4,16,0,103,280
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 85","Brampton",29,1,40,4,13,1,88,269
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 86","Brampton",42,0,65,4,18,2,131,346
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 87","Brampton",21,2,47,4,16,5,95,265
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 88","Brampton",18,0,24,2,7,0,51,154
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 89","Brampton",92,1,38,9,29,0,169,414
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 90","Brampton",64,1,40,9,15,1,130,243
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 91","Brampton",95,2,35,14,9,0,155,251
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 92","Brampton",93,0,85,14,15,0,207,460
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 93","Brampton",102,1,47,16,25,1,192,388
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 94","Brampton",103,0,50,19,35,0,207,379
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 95","Brampton",74,1,56,10,28,0,169,338
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 96","Brampton",94,0,52,22,23,1,192,345
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 97","Brampton",68,3,42,14,24,0,151,426
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 98","Brampton",112,0,56,11,28,0,207,406
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 99","Brampton",118,0,47,9,23,1,198,331
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 100","Brampton",113,2,47,11,22,1,196,411
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 101","Brampton",107,1,73,11,19,2,213,369
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 102","Brampton",88,2,55,15,27,1,188,357
