Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Pierre Ducasse,Karen Parhar,Scott Ruston,Brad Trost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 19","St. Brieux",3,15,22,144,1,185,363
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 20","St. Brieux",5,6,22,75,0,108,173
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 21","Pleasantdale",8,3,30,72,0,113,207
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 22","Kinistin 91",4,13,58,32,1,108,142
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 23","Naicam",9,7,27,123,1,167,257
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 24","Naicam",6,8,32,101,0,147,303
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 25","Naicam",1,6,28,54,0,89,225
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 26","Spalding",10,0,21,78,0,109,197
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 27","Spalding",2,3,31,72,0,108,159
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 28","Smuts",14,9,36,54,1,114,234
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 29","Aberdeen",8,12,22,113,0,155,346
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 30","Aberdeen",15,13,66,124,1,219,434
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 31","Bergheim",20,14,46,152,0,232,344
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 32","Vonda",29,20,35,147,0,231,386
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 33","Prud'homme",12,17,27,91,0,147,220
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 34","Dana",3,1,6,36,0,46,130
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 35","Peterson",9,12,24,51,1,97,146
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 36","St. Benedict",4,11,16,87,0,118,221
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 37","Middle Lake",1,6,28,87,1,123,230
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 38","Middle Lake",3,7,25,76,1,112,286
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 39","Fulda",7,6,3,78,0,94,178
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 40","Lake Lenore",8,12,23,153,0,196,308
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 41","Bruno",5,9,13,79,0,106,158
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 42","Bruno",4,17,43,130,1,195,320
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 43","Bruno",2,3,29,61,0,95,149
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 44","Dixon",5,10,34,149,0,198,339
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 45","Humboldt",10,13,29,87,0,139,209
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 46","Humboldt",1,22,36,169,1,229,396
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 47","Humboldt",12,21,54,145,0,232,378
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 48","Humboldt",11,23,50,149,0,233,426
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 49","Humboldt",11,24,65,166,3,269,461
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50A","Humboldt",1,13,52,103,0,169,384
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50B","Humboldt",10,24,47,118,1,200,460
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 50C","Humboldt",6,15,31,97,0,149,354
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 51","Humboldt",5,4,14,44,0,67,122
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 52","Humboldt",5,24,42,78,0,149,266
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 53","Humboldt",12,17,44,121,0,194,407
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 54","Humboldt",4,9,34,77,0,124,243
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 55","Annaheim",8,14,31,154,0,207,293
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 56","Muenster",5,17,24,60,0,106,151
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 57","St. Gregor",6,8,34,85,1,134,206
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 58","Englefeld",9,8,30,116,1,164,273
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 59","Muenster",5,29,50,105,0,189,268
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 60","Leroy",4,1,46,110,2,163,272
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 61","Sinnett",0,0,17,38,0,55,81
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 62","Leroy",5,4,46,90,3,148,295
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 63","Watson",4,6,17,107,0,134,223
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 64","Watson",5,9,48,108,1,171,341
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 65","Watson",2,11,32,85,1,131,225
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 66","Quill Lake",5,3,13,70,0,91,197
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 67","Quill Lake",5,11,31,136,0,183,349
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 68","Saskatoon",20,37,99,98,0,254,441
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 69","Saskatoon",23,41,69,58,0,191,322
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 70","Saskatoon",25,42,91,84,1,243,435
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 71","Saskatoon",4,35,69,85,1,194,336
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 72","Saskatoon",19,30,59,61,0,169,302
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 73","Saskatoon",35,46,66,51,1,199,347
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 74","Saskatoon",29,31,62,57,0,179,296
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 75","Saskatoon",22,22,64,28,0,136,237
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 76","Saskatoon",19,24,57,36,0,136,240
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 77","Saskatoon",24,26,91,71,2,214,376
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 78","Saskatoon",18,18,48,62,0,146,263
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 79","Saskatoon",19,63,73,80,0,235,371
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 80","Saskatoon",19,40,76,47,0,182,336
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 81","Saskatoon",20,37,59,70,1,187,360
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 82","Saskatoon",39,36,112,60,0,247,407
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 83","Saskatoon",26,62,76,63,3,230,437
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 84","Saskatoon",18,44,85,50,0,197,346
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 85","Saskatoon",17,34,74,33,0,158,289
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 86","Saskatoon",38,29,111,37,0,215,356
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 87","Saskatoon",28,35,78,64,0,205,398
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 88","Saskatoon",24,23,80,33,0,160,258
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 88-1","Saskatoon",24,15,57,28,0,124,315
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 89","Saskatoon",30,41,103,94,1,269,441
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 90","Saskatoon",38,43,79,96,3,259,423
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 91","Saskatoon",6,7,36,82,0,131,291
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 92","Saskatoon",13,33,63,111,0,220,378
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 92-1","Saskatoon",6,12,25,50,0,93,210
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 93","Saskatoon",18,25,64,117,2,226,405
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 94","Saskatoon",23,16,59,109,2,209,487
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 95","Saskatoon",13,24,50,152,0,239,409
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 96","Saskatoon",13,16,65,77,0,171,553
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 97","Saskatoon",18,34,64,134,0,250,461
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 98","Saskatoon",13,23,52,146,0,234,438
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 98-1A","Saskatoon",9,15,26,95,0,145,314
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 98-1B","Saskatoon",12,20,50,107,0,189,386
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 98-2","Saskatoon",2,11,23,83,0,119,240
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 99A","Saskatoon",13,13,47,53,1,127,303
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 99B","Saskatoon",9,18,40,52,0,119,279
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 100","Saskatoon",22,26,83,125,1,257,473
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 101","Saskatoon",11,22,61,83,0,177,415
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 102","Saskatoon",20,9,44,99,0,172,435
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 103A","Saskatoon",13,20,44,77,1,155,305
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 103B","Saskatoon",12,11,43,92,0,158,310
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 104","Saskatoon",8,22,68,63,1,162,436
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 105","Saskatoon",16,27,57,116,0,216,439
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 106","Saskatoon",12,27,58,99,1,197,394
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 107","Saskatoon",21,14,80,55,0,170,369
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 108","Saskatoon",6,18,34,38,0,96,218
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 109","Saskatoon",15,26,81,84,1,207,472
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 110","Saskatoon",15,23,29,169,0,236,418
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 110-1","Saskatoon",12,26,37,122,0,197,357
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 111A","Saskatoon",8,30,48,130,0,216,428
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 111B","Saskatoon",13,24,60,146,0,243,450
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 111C","Saskatoon",14,35,58,159,0,266,511
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 111-1","Saskatoon",9,19,46,170,0,244,517
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 112","Saskatoon",12,21,42,126,0,201,413
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 112-1","Saskatoon",11,16,42,164,0,233,390
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 113","Saskatoon",4,15,32,76,0,127,239
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 113-1","Saskatoon",10,17,61,97,1,186,300
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 114","Saskatoon",9,18,27,114,0,168,296
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 115","Saskatoon",9,38,68,166,0,281,452
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 116","Saskatoon",19,33,79,151,0,282,489
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 117","Saskatoon",6,11,48,64,0,129,257
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 117-1","Saskatoon",9,45,47,118,1,220,369
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 118","Saskatoon",18,24,68,177,1,288,484
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 119","Saskatoon",8,31,34,99,0,172,319
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 119-1","Saskatoon",9,15,28,104,0,156,289
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 120","Saskatoon",7,42,43,123,0,215,377
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 121A","Saskatoon",7,17,26,97,0,147,267
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 121B","Saskatoon",6,26,23,91,0,146,254
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 122","Saskatoon",11,30,31,140,0,212,409
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 122-1","Saskatoon",16,27,58,147,0,248,444
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 122-2","Saskatoon",11,31,42,153,0,237,438
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 123","Saskatoon",12,29,68,164,2,275,472
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 124","Saskatoon",11,24,34,130,0,199,365
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 125","Saskatoon",8,31,29,159,0,227,425
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 126","Saskatoon",10,14,28,112,0,164,290
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 127","Saskatoon",15,27,61,96,0,199,414
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 128","Saskatoon",8,26,76,88,1,199,376
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 129","Saskatoon",4,19,55,83,0,161,326
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 130","Saskatoon",15,22,75,103,0,215,371
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 131","Saskatoon",14,19,69,80,1,183,388
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 132","Saskatoon",16,42,56,65,0,179,324
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 133","Saskatoon",11,28,84,103,0,226,416
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 134","Saskatoon",10,30,45,92,0,177,292
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 135","Saskatoon",26,28,73,121,0,248,437
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 136","Saskatoon",25,70,66,103,1,265,400
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 137","Saskatoon",14,57,78,79,0,228,401
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 138","Saskatoon",26,63,105,119,0,313,429
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 139","Saskatoon",26,39,99,133,0,297,438
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 140","Saskatoon",16,19,80,80,1,196,439
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 141","Saskatoon",9,31,56,59,0,155,319
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 142","Saskatoon",14,25,85,100,1,225,384
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 143","Saskatoon",16,25,72,104,0,217,401
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 144","Saskatoon",11,25,51,84,1,172,344
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 145","Saskatoon",13,37,77,103,1,231,381
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 146","Saskatoon",11,34,60,53,0,158,312
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 147","Saskatoon",11,19,42,43,1,116,335
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 148","Saskatoon",11,24,53,82,0,170,373
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 149","Saskatoon",15,22,60,108,0,205,405
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 150","Saskatoon",4,42,54,77,0,177,289
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 151","Saskatoon",10,16,51,100,0,177,373
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 152","Saskatoon",9,19,70,101,0,199,362
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 400","Saskatoon",7,16,31,31,3,88,254
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 500","Mobile poll/Bureau itinérant",5,7,20,26,1,59,120
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 501","Mobile poll/Bureau itinérant",5,12,18,33,4,72,171
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 600","Wakaw",7,12,51,99,0,169,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 601","St. Brieux",3,5,12,38,1,59,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 602","Naicam",2,3,23,49,0,77,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 603","Aberdeen",5,2,17,44,0,68,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 604","Middle Lake",5,12,27,84,0,128,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 605","Humboldt",19,52,109,227,0,407,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 606","Watson",3,4,25,80,0,112,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 607","Quill Lake",1,4,11,36,0,52,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 608","Saskatoon",47,88,214,192,0,541,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 609","Saskatoon",37,61,168,362,0,628,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 610","Saskatoon",12,115,163,619,4,913,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 611","Saskatoon",15,56,92,185,0,348,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt"," 612","Saskatoon",14,30,88,172,2,306,
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt",,Group 1/Groupe 1,7,9,21,34,3,74,140
47009,"Saskatoon--Humboldt/Saskatoon--Humboldt",,Group 2/Groupe 2,16,73,178,225,3,495,

