Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ariane Blais,Geneviève Boivin,Paule Brunelle,Claude Durand,Marcos G. Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Trois-Rivières/Trois-Rivières"," 603","Trois-Rivières",19,29,276,184,155,9,672,
24072,"Trois-Rivières/Trois-Rivières"," 604","Trois-Rivières",17,23,206,126,105,9,486,
24072,"Trois-Rivières/Trois-Rivières"," 605","Trois-Rivières",3,17,161,96,67,10,354,
24072,"Trois-Rivières/Trois-Rivières"," 606","Trois-Rivières",6,26,154,114,85,4,389,
24072,"Trois-Rivières/Trois-Rivières"," 607","Trois-Rivières",4,13,118,81,43,6,265,
24072,"Trois-Rivières/Trois-Rivières"," 608","Trois-Rivières",14,48,336,282,125,11,816,
24072,"Trois-Rivières/Trois-Rivières"," 609","Trois-Rivières",17,43,424,272,167,12,935,
24072,"Trois-Rivières/Trois-Rivières"," 610","Trois-Rivières",9,18,204,165,108,10,514,
24072,"Trois-Rivières/Trois-Rivières"," 611","Trois-Rivières",9,22,250,205,120,21,627,
24072,"Trois-Rivières/Trois-Rivières"," 612","Trois-Rivières",10,27,281,221,89,10,638,
24072,"Trois-Rivières/Trois-Rivières"," 613","Trois-Rivières",12,36,253,246,157,9,713,
24072,"Trois-Rivières/Trois-Rivières"," 614","Trois-Rivières",6,18,111,69,50,3,257,
24072,"Trois-Rivières/Trois-Rivières",,Group 1/Groupe 1,7,5,58,70,18,7,165,334
24072,"Trois-Rivières/Trois-Rivières",,Group 2/Groupe 2,13,41,398,259,187,19,917,

