Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kurtis Baily,Ken Dryden,Rosemary Frei,Rochelle Wilner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"York Centre/York-Centre"," 29A","North York",9,76,13,91,1,190,361
35103,"York Centre/York-Centre"," 29B","North York",6,19,5,41,1,72,224
35103,"York Centre/York-Centre"," 30","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 31","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 32","North York",9,24,3,58,2,96,253
35103,"York Centre/York-Centre"," 33A","North York",6,35,4,93,1,139,374
35103,"York Centre/York-Centre"," 33B","North York",Merged with No. 35A/Fusionné avec le nº 35A,,,,,,136
35103,"York Centre/York-Centre"," 34","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 35A","North York",3,21,1,69,0,94,146
35103,"York Centre/York-Centre"," 35B","North York",4,29,7,67,0,107,353
35103,"York Centre/York-Centre"," 36A","North York",Merged with No. 35A/Fusionné avec le nº 35A,,,,,,30
35103,"York Centre/York-Centre"," 36B","North York",16,47,9,52,0,124,271
35103,"York Centre/York-Centre"," 36C","North York",16,48,10,52,1,127,251
35103,"York Centre/York-Centre"," 37A","North York",17,43,8,82,1,151,386
35103,"York Centre/York-Centre"," 37B","North York",Merged with No. 39A/Fusionné avec le nº 39A,,,,,,81
35103,"York Centre/York-Centre"," 38","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 39A","North York",1,18,3,37,0,59,256
35103,"York Centre/York-Centre"," 39B","North York",13,86,8,100,2,209,286
35103,"York Centre/York-Centre"," 40","North York",6,44,5,67,0,122,402
35103,"York Centre/York-Centre"," 41","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 42A","North York",16,70,7,63,1,157,409
35103,"York Centre/York-Centre"," 42B","North York",Merged with No. 47/Fusionné avec le nº 47,,,,,,125
35103,"York Centre/York-Centre"," 43","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 44","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 45","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 46","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 47","North York",9,43,3,47,1,103,186
35103,"York Centre/York-Centre"," 48","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 49","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 50","North York",20,78,13,60,0,171,461
35103,"York Centre/York-Centre"," 51A","North York",13,57,14,57,2,143,186
35103,"York Centre/York-Centre"," 51B","North York",20,47,10,58,3,138,352
35103,"York Centre/York-Centre"," 52A","North York",Merged with No. 51A/Fusionné avec le nº 51A,,,,,,153
35103,"York Centre/York-Centre"," 52B","North York",17,59,11,63,0,150,388
35103,"York Centre/York-Centre"," 53","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 54","North York",24,35,4,37,0,100,287
35103,"York Centre/York-Centre"," 55","North York",Merged with No. 127A/Fusionné avec le nº 127A,,,,,,63
35103,"York Centre/York-Centre"," 56","North York",10,54,13,60,0,137,283
35103,"York Centre/York-Centre"," 57A","North York",25,80,13,64,2,184,418
35103,"York Centre/York-Centre"," 57B","North York",Merged with No. 418/Fusionné avec le nº 418,,,,,,126
35103,"York Centre/York-Centre"," 58","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 59","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 60","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 61","North York",26,82,6,46,4,164,431
35103,"York Centre/York-Centre"," 62","North York",19,63,5,42,4,133,404
35103,"York Centre/York-Centre"," 63","North York",5,43,10,71,0,129,388
35103,"York Centre/York-Centre"," 64","North York",10,54,13,61,1,139,410
35103,"York Centre/York-Centre"," 65","North York",19,58,10,48,1,136,320
35103,"York Centre/York-Centre"," 66","North York",25,52,6,31,0,114,360
35103,"York Centre/York-Centre"," 67","North York",15,59,14,37,4,129,284
35103,"York Centre/York-Centre"," 68","North York",9,55,13,61,1,139,409
35103,"York Centre/York-Centre"," 69","North York",23,61,9,50,1,144,404
35103,"York Centre/York-Centre"," 70","North York",11,68,15,30,1,125,333
35103,"York Centre/York-Centre"," 71","North York",14,75,13,66,3,171,416
35103,"York Centre/York-Centre"," 72","North York",12,80,11,64,0,167,357
35103,"York Centre/York-Centre"," 73","North York",15,55,13,52,0,135,392
35103,"York Centre/York-Centre"," 74","North York",11,51,21,61,0,144,353
35103,"York Centre/York-Centre"," 75","North York",8,114,13,61,1,197,419
35103,"York Centre/York-Centre"," 76","North York",20,104,15,63,3,205,449
35103,"York Centre/York-Centre"," 77","North York",21,105,15,63,2,206,396
35103,"York Centre/York-Centre"," 78A","North York",31,104,17,55,0,207,445
35103,"York Centre/York-Centre"," 78B","North York",18,56,6,37,3,120,191
35103,"York Centre/York-Centre"," 78C","North York",6,34,6,18,0,64,127
35103,"York Centre/York-Centre"," 78D","North York",17,38,9,20,0,84,109
35103,"York Centre/York-Centre"," 79A","North York",27,101,19,72,2,221,500
35103,"York Centre/York-Centre"," 79B","North York",Merged with No. 78A/Fusionné avec le nº 78A,,,,,,63
35103,"York Centre/York-Centre"," 80A","North York",9,25,3,32,1,70,151
35103,"York Centre/York-Centre"," 80B","North York",Merged with No. 84/Fusionné avec le nº 84,,,,,,12
35103,"York Centre/York-Centre"," 81","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 82A","North York",19,70,6,53,0,148,408
35103,"York Centre/York-Centre"," 82B","North York",Merged with No. 452/Fusionné avec le nº 452,,,,,,89
35103,"York Centre/York-Centre"," 83","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 84","North York",11,48,8,57,1,125,357
35103,"York Centre/York-Centre"," 85","North York",15,45,9,61,1,131,323
35103,"York Centre/York-Centre"," 86A","North York",19,115,17,42,0,193,387
35103,"York Centre/York-Centre"," 86B","North York",19,94,10,32,1,156,391
35103,"York Centre/York-Centre"," 87","North York",19,70,12,63,1,165,370
35103,"York Centre/York-Centre"," 88","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 89","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 90","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 91A","North York",16,94,14,73,2,199,489
35103,"York Centre/York-Centre"," 91B","North York",Merged with No. 93/Fusionné avec le nº 93,,,,,,55
35103,"York Centre/York-Centre"," 92","North York",12,96,14,52,0,174,475
35103,"York Centre/York-Centre"," 93","North York",12,73,11,59,0,155,374
35103,"York Centre/York-Centre"," 94","North York",8,40,4,51,1,104,361
35103,"York Centre/York-Centre"," 95","North York",7,80,12,141,0,240,441
35103,"York Centre/York-Centre"," 96","North York",14,73,14,63,2,166,469
35103,"York Centre/York-Centre"," 97","North York",8,39,9,33,1,90,403
35103,"York Centre/York-Centre"," 98","North York",12,84,11,91,3,201,418
35103,"York Centre/York-Centre"," 99","North York",3,106,18,123,0,250,457
35103,"York Centre/York-Centre"," 100","North York",14,67,13,85,0,179,454
35103,"York Centre/York-Centre"," 101A","North York",Merged with No. 119/Fusionné avec le nº 119,,,,,,88
35103,"York Centre/York-Centre"," 101B","North York",Merged with No. 114/Fusionné avec le nº 114,,,,,,56
35103,"York Centre/York-Centre"," 101C","North York",Merged with No. 117/Fusionné avec le nº 117,,,,,,109
35103,"York Centre/York-Centre"," 102","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 103A","North York",10,70,16,95,0,191,483
35103,"York Centre/York-Centre"," 103B","North York",Merged with No. 104/Fusionné avec le nº 104,,,,,,62
35103,"York Centre/York-Centre"," 104","North York",10,78,6,51,1,146,352
35103,"York Centre/York-Centre"," 105","North York",8,86,19,86,0,199,370
35103,"York Centre/York-Centre"," 106","North York",8,73,7,39,0,127,400
35103,"York Centre/York-Centre"," 107","North York",16,54,5,40,1,116,325
35103,"York Centre/York-Centre"," 108","North York",19,33,9,37,0,98,240
35103,"York Centre/York-Centre"," 109A","North York",14,70,12,50,1,147,436
35103,"York Centre/York-Centre"," 109B","North York",Merged with No. 110/Fusionné avec le nº 110,,,,,,62
35103,"York Centre/York-Centre"," 109C","North York",Merged with No. 105/Fusionné avec le nº 105,,,,,,92
35103,"York Centre/York-Centre"," 110","North York",15,72,13,44,0,144,346
35103,"York Centre/York-Centre"," 111","North York",25,103,19,75,2,224,433
35103,"York Centre/York-Centre"," 112","North York",30,100,14,38,0,182,425
35103,"York Centre/York-Centre"," 113","North York",15,86,17,34,0,152,301
35103,"York Centre/York-Centre"," 114","North York",15,98,42,42,1,198,309
35103,"York Centre/York-Centre"," 115","North York",40,94,12,38,0,184,360
35103,"York Centre/York-Centre"," 116","North York",23,79,10,24,2,138,300
35103,"York Centre/York-Centre"," 117","North York",24,129,13,58,0,224,292
35103,"York Centre/York-Centre"," 118","North York",18,90,18,42,0,168,369
35103,"York Centre/York-Centre"," 119","North York",19,134,12,41,7,213,325
35103,"York Centre/York-Centre"," 120","North York",27,66,6,33,0,132,345
35103,"York Centre/York-Centre"," 121","North York",34,100,18,62,1,215,448
35103,"York Centre/York-Centre"," 122","North York",32,115,15,53,3,218,402
35103,"York Centre/York-Centre"," 123A","North York",18,57,12,27,1,115,321
35103,"York Centre/York-Centre"," 123B","North York",23,53,8,33,2,119,220
35103,"York Centre/York-Centre"," 123-1","North York",20,56,2,21,3,102,290
35103,"York Centre/York-Centre"," 124","North York",38,122,8,79,3,250,419
35103,"York Centre/York-Centre"," 125","North York",30,96,12,48,1,187,430
35103,"York Centre/York-Centre"," 126","North York",28,128,13,53,1,223,407
35103,"York Centre/York-Centre"," 127A","North York",17,24,9,13,1,64,159
35103,"York Centre/York-Centre"," 127B","North York",20,95,6,25,3,149,314
35103,"York Centre/York-Centre"," 128A","North York",27,54,6,22,1,110,229
35103,"York Centre/York-Centre"," 128B","North York",25,63,7,30,0,125,256
35103,"York Centre/York-Centre"," 129","North York",28,114,14,28,1,185,373
35103,"York Centre/York-Centre"," 130","North York",20,117,13,55,3,208,442
35103,"York Centre/York-Centre"," 131","North York",43,88,12,33,0,176,440
35103,"York Centre/York-Centre"," 132","North York",38,93,6,52,5,194,424
35103,"York Centre/York-Centre"," 133","North York",35,107,11,45,0,198,428
35103,"York Centre/York-Centre"," 134","North York",37,83,9,38,1,168,412
35103,"York Centre/York-Centre"," 135","North York",10,47,4,14,2,77,256
35103,"York Centre/York-Centre"," 136","North York",37,40,5,29,0,111,336
35103,"York Centre/York-Centre"," 137","North York",25,124,13,52,1,215,429
35103,"York Centre/York-Centre"," 138","North York",27,85,7,45,1,165,275
35103,"York Centre/York-Centre"," 139","North York",41,99,15,34,3,192,426
35103,"York Centre/York-Centre"," 140A","North York",19,97,11,58,2,187,370
35103,"York Centre/York-Centre"," 140B","North York",Merged with No. 138/Fusionné avec le nº 138,,,,,,122
35103,"York Centre/York-Centre"," 141","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 142","North York",35,139,8,37,0,219,394
35103,"York Centre/York-Centre"," 143","North York",53,75,13,56,2,199,412
35103,"York Centre/York-Centre"," 144","North York",34,115,14,35,1,199,362
35103,"York Centre/York-Centre"," 145","North York",32,88,9,40,1,170,406
35103,"York Centre/York-Centre"," 146","North York",47,139,12,54,2,254,485
35103,"York Centre/York-Centre"," 147","North York",18,93,15,40,0,166,303
35103,"York Centre/York-Centre"," 148","North York",34,116,15,36,2,203,382
35103,"York Centre/York-Centre"," 149","North York",43,71,6,39,4,163,308
35103,"York Centre/York-Centre"," 150","North York",11,61,19,57,0,148,286
35103,"York Centre/York-Centre"," 151","North York",33,107,16,37,1,194,312
35103,"York Centre/York-Centre"," 152A","North York",19,103,4,28,2,156,339
35103,"York Centre/York-Centre"," 152B","North York",23,67,3,30,1,124,354
35103,"York Centre/York-Centre"," 153","North York",32,89,15,43,0,179,350
35103,"York Centre/York-Centre"," 154","North York",25,85,12,27,2,151,321
35103,"York Centre/York-Centre"," 155","North York",15,86,12,41,0,154,349
35103,"York Centre/York-Centre"," 156","North York",17,82,8,43,4,154,329
35103,"York Centre/York-Centre"," 157","North York",16,52,12,25,0,105,238
35103,"York Centre/York-Centre"," 158","North York",21,67,5,26,0,119,243
35103,"York Centre/York-Centre"," 159","North York",37,104,13,67,2,223,425
35103,"York Centre/York-Centre"," 160","North York",20,71,2,29,0,122,316
35103,"York Centre/York-Centre"," 161","North York",38,121,7,52,3,221,443
35103,"York Centre/York-Centre"," 162","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 163","North York",26,121,8,40,0,195,410
35103,"York Centre/York-Centre"," 164","North York",27,96,14,17,1,155,321
35103,"York Centre/York-Centre"," 165A","North York",19,28,4,27,0,78,135
35103,"York Centre/York-Centre"," 165B","North York",7,90,3,25,1,126,244
35103,"York Centre/York-Centre"," 165C","North York",20,44,10,17,0,91,165
35103,"York Centre/York-Centre"," 165D","North York",15,53,12,13,0,93,164
35103,"York Centre/York-Centre"," 166","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 167","North York",13,39,9,13,0,74,207
35103,"York Centre/York-Centre"," 168","North York",26,98,12,28,0,164,414
35103,"York Centre/York-Centre"," 169","North York",34,116,2,36,3,191,413
35103,"York Centre/York-Centre"," 170","North York",36,106,15,49,2,208,489
35103,"York Centre/York-Centre"," 171","North York",22,73,4,35,2,136,406
35103,"York Centre/York-Centre"," 400","North York",25,76,16,96,2,215,464
35103,"York Centre/York-Centre"," 401","North York",11,44,8,116,0,179,307
35103,"York Centre/York-Centre"," 402","North York",17,45,2,107,1,172,340
35103,"York Centre/York-Centre"," 403","North York",13,44,6,40,8,111,198
35103,"York Centre/York-Centre"," 404","North York",32,70,11,58,1,172,418
35103,"York Centre/York-Centre"," 405","North York",21,48,7,118,4,198,348
35103,"York Centre/York-Centre"," 406","North York",22,58,6,31,1,118,316
35103,"York Centre/York-Centre"," 407","North York",16,41,5,129,5,196,295
35103,"York Centre/York-Centre"," 408","North York",8,30,5,24,0,67,213
35103,"York Centre/York-Centre"," 409","North York",11,33,5,15,0,64,209
35103,"York Centre/York-Centre"," 410","North York",26,61,6,53,1,147,225
35103,"York Centre/York-Centre"," 411","North York",10,37,4,41,0,92,169
35103,"York Centre/York-Centre"," 412","North York",9,28,6,29,3,75,167
35103,"York Centre/York-Centre"," 413","North York",16,26,4,20,2,68,158
35103,"York Centre/York-Centre"," 414","North York",17,31,3,42,0,93,214
35103,"York Centre/York-Centre"," 415","North York",29,61,9,62,0,161,350
35103,"York Centre/York-Centre"," 416","North York",8,23,5,29,2,67,181
35103,"York Centre/York-Centre"," 417","North York",18,43,6,38,0,105,187
35103,"York Centre/York-Centre"," 418","North York",15,42,8,53,0,118,187
35103,"York Centre/York-Centre"," 419","North York",15,43,8,42,0,108,201
35103,"York Centre/York-Centre"," 420","North York",45,23,8,41,0,117,233
35103,"York Centre/York-Centre"," 421","North York",11,61,11,31,1,115,198
35103,"York Centre/York-Centre"," 422","North York",19,60,6,38,0,123,242
35103,"York Centre/York-Centre"," 423","North York",11,41,5,48,3,108,200
35103,"York Centre/York-Centre"," 424","North York",16,52,3,16,0,87,173
35103,"York Centre/York-Centre"," 425","North York",8,29,6,145,18,206,344
35103,"York Centre/York-Centre"," 426","North York",12,52,4,94,1,163,298
35103,"York Centre/York-Centre"," 427","North York",12,20,4,36,5,77,211
35103,"York Centre/York-Centre"," 428","North York",10,29,3,29,1,72,154
35103,"York Centre/York-Centre"," 429","North York",26,96,6,25,7,160,289
35103,"York Centre/York-Centre"," 430","North York",29,113,11,26,1,180,406
35103,"York Centre/York-Centre"," 431","North York",28,62,16,61,2,169,333
35103,"York Centre/York-Centre"," 432","North York",30,74,11,32,3,150,288
35103,"York Centre/York-Centre"," 433","North York",26,80,13,114,2,235,509
35103,"York Centre/York-Centre"," 434","North York",26,29,9,61,1,126,240
35103,"York Centre/York-Centre"," 435","North York",13,18,3,38,5,77,163
35103,"York Centre/York-Centre"," 436","North York",13,32,5,21,0,71,169
35103,"York Centre/York-Centre"," 437","North York",18,15,4,22,2,61,157
35103,"York Centre/York-Centre"," 438","North York",14,29,7,18,3,71,138
35103,"York Centre/York-Centre"," 439","North York",10,25,7,35,0,77,175
35103,"York Centre/York-Centre"," 440","North York",12,31,5,31,0,79,156
35103,"York Centre/York-Centre"," 441","North York",18,35,8,31,0,92,200
35103,"York Centre/York-Centre"," 442","North York",14,66,12,85,0,177,347
35103,"York Centre/York-Centre"," 443","North York",37,45,14,43,3,142,364
35103,"York Centre/York-Centre"," 444","North York",15,64,15,102,0,196,241
35103,"York Centre/York-Centre"," 445","North York",Merged with No. 444/Fusionné avec le nº 444,,,,,,158
35103,"York Centre/York-Centre"," 446","North York",13,53,8,108,0,182,331
35103,"York Centre/York-Centre"," 447","North York",11,52,9,77,0,149,267
35103,"York Centre/York-Centre"," 448","North York",18,52,4,98,2,174,351
35103,"York Centre/York-Centre"," 449","North York",16,57,10,48,1,132,303
35103,"York Centre/York-Centre"," 450","North York",35,56,16,58,1,166,158
35103,"York Centre/York-Centre"," 451","North York",Merged with No. 450/Fusionné avec le nº 450,,,,,,144
35103,"York Centre/York-Centre"," 452","North York",26,61,9,43,0,139,141
35103,"York Centre/York-Centre"," 453","North York",6,40,6,83,1,136,203
35103,"York Centre/York-Centre"," 454","North York",12,34,2,53,5,106,150
35103,"York Centre/York-Centre"," 455","North York",14,33,9,24,1,81,150
35103,"York Centre/York-Centre"," 456","North York",18,48,13,33,0,112,179
35103,"York Centre/York-Centre"," 457","North York",8,17,1,21,1,48,74
35103,"York Centre/York-Centre"," 458","North York",6,12,3,4,4,29,87
35103,"York Centre/York-Centre"," 459","North York",8,12,1,15,1,37,175
35103,"York Centre/York-Centre"," 500","Mobile poll/Bureau itinérant",4,19,0,15,0,38,58
35103,"York Centre/York-Centre"," 600","North York",20,146,21,118,0,305,
35103,"York Centre/York-Centre"," 601","North York",18,134,19,232,3,406,
35103,"York Centre/York-Centre"," 602","North York",10,87,16,304,1,418,
35103,"York Centre/York-Centre"," 603","North York",13,85,10,206,1,315,
35103,"York Centre/York-Centre"," 604","North York",28,114,20,312,0,474,
35103,"York Centre/York-Centre"," 605","North York",34,252,35,409,5,735,
35103,"York Centre/York-Centre"," 606","North York",31,167,25,364,1,588,
35103,"York Centre/York-Centre"," 607","North York",44,242,50,773,15,1124,
35103,"York Centre/York-Centre"," 608","North York",23,71,10,33,2,139,
35103,"York Centre/York-Centre"," 609","North York",28,88,13,40,0,169,
35103,"York Centre/York-Centre"," 610","North York",13,72,8,27,0,120,
35103,"York Centre/York-Centre"," 611","North York",39,106,17,71,1,234,
35103,"York Centre/York-Centre",,Group 1/Groupe 1,4,39,6,41,6,96,180
35103,"York Centre/York-Centre",,Group 2/Groupe 2,66,192,43,283,3,587,

