Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Pierre Blackburn,Chantale Bouchard,Marc Dupéré,Jean-François Paradis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Jonquière--Alma/Jonquière--Alma"," 120","Jonquière",85,44,5,11,2,147,287
24026,"Jonquière--Alma/Jonquière--Alma"," 121","Jonquière",90,70,8,4,2,174,370
24026,"Jonquière--Alma/Jonquière--Alma"," 122","Jonquière",85,71,10,5,1,172,357
24026,"Jonquière--Alma/Jonquière--Alma"," 123","Jonquière",111,53,8,12,3,187,338
24026,"Jonquière--Alma/Jonquière--Alma"," 124","Jonquière",100,67,12,9,2,190,344
24026,"Jonquière--Alma/Jonquière--Alma"," 125","Jonquière",55,34,6,5,0,100,210
24026,"Jonquière--Alma/Jonquière--Alma"," 126","Jonquière",118,71,9,5,3,206,376
24026,"Jonquière--Alma/Jonquière--Alma"," 127A","Jonquière",101,71,13,13,3,201,313
24026,"Jonquière--Alma/Jonquière--Alma"," 127B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,21
24026,"Jonquière--Alma/Jonquière--Alma"," 128","Jonquière",77,68,6,17,2,170,353
24026,"Jonquière--Alma/Jonquière--Alma"," 129","Jonquière",103,85,7,11,4,210,474
24026,"Jonquière--Alma/Jonquière--Alma"," 130","Jonquière",84,50,10,9,0,153,314
24026,"Jonquière--Alma/Jonquière--Alma"," 131","Jonquière",92,75,17,14,3,201,379
24026,"Jonquière--Alma/Jonquière--Alma"," 132","Jonquière",124,67,8,11,2,212,327
24026,"Jonquière--Alma/Jonquière--Alma"," 133","Jonquière",172,84,16,10,5,287,467
24026,"Jonquière--Alma/Jonquière--Alma"," 134","Jonquière",142,109,12,26,3,292,445
24026,"Jonquière--Alma/Jonquière--Alma"," 135","Jonquière",123,102,24,22,4,275,408
24026,"Jonquière--Alma/Jonquière--Alma"," 136","Jonquière",108,102,17,13,0,240,399
24026,"Jonquière--Alma/Jonquière--Alma"," 137","Jonquière",94,117,22,16,6,255,345
24026,"Jonquière--Alma/Jonquière--Alma"," 138","Jonquière",118,92,14,18,3,245,386
24026,"Jonquière--Alma/Jonquière--Alma"," 139","Jonquière",165,116,15,23,7,326,487
24026,"Jonquière--Alma/Jonquière--Alma"," 140","Jonquière",63,75,10,9,1,158,261
24026,"Jonquière--Alma/Jonquière--Alma"," 141","Jonquière",121,82,13,11,1,228,322
24026,"Jonquière--Alma/Jonquière--Alma"," 142","Jonquière",99,101,15,11,1,227,381
24026,"Jonquière--Alma/Jonquière--Alma"," 143","Jonquière",106,97,8,21,7,239,379
24026,"Jonquière--Alma/Jonquière--Alma"," 144","Jonquière",84,35,7,6,1,133,197
24026,"Jonquière--Alma/Jonquière--Alma"," 145","Jonquière",220,114,25,20,0,379,647
24026,"Jonquière--Alma/Jonquière--Alma"," 146","Jonquière",146,78,19,9,5,257,372
24026,"Jonquière--Alma/Jonquière--Alma"," 147","Jonquière",123,68,8,13,5,217,319
24026,"Jonquière--Alma/Jonquière--Alma"," 148","Jonquière",92,88,11,15,1,207,297
24026,"Jonquière--Alma/Jonquière--Alma"," 149","Jonquière",123,79,13,23,1,239,387
24026,"Jonquière--Alma/Jonquière--Alma"," 150","Jonquière",128,117,11,24,5,285,417
24026,"Jonquière--Alma/Jonquière--Alma"," 151","Jonquière",183,95,6,11,3,298,517
24026,"Jonquière--Alma/Jonquière--Alma"," 152","Jonquière",102,66,10,13,3,194,281
24026,"Jonquière--Alma/Jonquière--Alma"," 153","Jonquière",150,85,20,16,3,274,381
24026,"Jonquière--Alma/Jonquière--Alma"," 154","Jonquière",147,100,24,14,4,289,426
24026,"Jonquière--Alma/Jonquière--Alma"," 155","Jonquière",116,78,6,8,4,212,415
24026,"Jonquière--Alma/Jonquière--Alma"," 156","Jonquière",73,75,13,16,4,181,370
24026,"Jonquière--Alma/Jonquière--Alma"," 157","Jonquière",66,47,7,9,1,130,268
24026,"Jonquière--Alma/Jonquière--Alma"," 158","Jonquière",111,70,8,8,1,198,373
24026,"Jonquière--Alma/Jonquière--Alma"," 159","Jonquière",81,35,10,12,1,139,235
24026,"Jonquière--Alma/Jonquière--Alma"," 160","Jonquière",84,61,7,1,2,155,361
24026,"Jonquière--Alma/Jonquière--Alma"," 161","Jonquière",83,75,6,4,2,170,358
24026,"Jonquière--Alma/Jonquière--Alma"," 162","Jonquière",116,73,8,4,2,203,359
24026,"Jonquière--Alma/Jonquière--Alma"," 163","Jonquière",41,28,5,5,0,79,241
24026,"Jonquière--Alma/Jonquière--Alma"," 164","Jonquière",45,64,8,3,4,124,293
24026,"Jonquière--Alma/Jonquière--Alma"," 165","Jonquière",71,65,5,8,1,150,288
24026,"Jonquière--Alma/Jonquière--Alma"," 166","Jonquière",65,46,9,7,1,128,270
24026,"Jonquière--Alma/Jonquière--Alma"," 167","Jonquière",80,47,10,5,2,144,282
24026,"Jonquière--Alma/Jonquière--Alma"," 168","Jonquière",80,47,5,9,2,143,244
24026,"Jonquière--Alma/Jonquière--Alma"," 169","Jonquière",137,72,6,10,1,226,344
24026,"Jonquière--Alma/Jonquière--Alma"," 170","Jonquière",131,68,3,6,2,210,340
24026,"Jonquière--Alma/Jonquière--Alma"," 171","Jonquière",108,51,8,3,1,171,288
24026,"Jonquière--Alma/Jonquière--Alma"," 172","Jonquière",106,91,6,12,2,217,427
24026,"Jonquière--Alma/Jonquière--Alma"," 173A","Jonquière",77,42,7,6,2,134,250
24026,"Jonquière--Alma/Jonquière--Alma"," 173B","Jonquière",103,41,14,9,2,169,191
24026,"Jonquière--Alma/Jonquière--Alma"," 174","Jonquière",162,68,9,5,3,247,426
24026,"Jonquière--Alma/Jonquière--Alma"," 175","Jonquière",91,30,8,9,2,140,245
24026,"Jonquière--Alma/Jonquière--Alma"," 176","Jonquière",92,65,11,10,3,181,316
24026,"Jonquière--Alma/Jonquière--Alma"," 177","Jonquière",134,72,10,16,1,233,406
24026,"Jonquière--Alma/Jonquière--Alma"," 178","Jonquière",119,56,10,6,0,191,304
24026,"Jonquière--Alma/Jonquière--Alma"," 179","Jonquière",121,70,11,18,2,222,391
24026,"Jonquière--Alma/Jonquière--Alma"," 180","Jonquière",96,45,10,6,3,160,319
24026,"Jonquière--Alma/Jonquière--Alma"," 181","Jonquière",111,74,12,17,0,214,343
24026,"Jonquière--Alma/Jonquière--Alma"," 182","Jonquière",146,67,9,13,2,237,398
24026,"Jonquière--Alma/Jonquière--Alma"," 183","Jonquière",143,76,9,7,5,240,406
24026,"Jonquière--Alma/Jonquière--Alma"," 184","Jonquière",147,72,9,14,1,243,398
24026,"Jonquière--Alma/Jonquière--Alma"," 184-1","Jonquière",79,44,6,9,1,139,220
24026,"Jonquière--Alma/Jonquière--Alma"," 185","Jonquière",84,76,7,10,1,178,339
24026,"Jonquière--Alma/Jonquière--Alma"," 186","Jonquière",92,91,10,8,1,202,400
24026,"Jonquière--Alma/Jonquière--Alma"," 187","Jonquière",66,74,6,12,3,161,270
24026,"Jonquière--Alma/Jonquière--Alma"," 188","Jonquière",70,87,9,7,0,173,337
24026,"Jonquière--Alma/Jonquière--Alma"," 189","Jonquière",103,84,9,18,7,221,351
24026,"Jonquière--Alma/Jonquière--Alma"," 190","Jonquière",101,73,5,10,3,192,317
24026,"Jonquière--Alma/Jonquière--Alma"," 191","Jonquière",119,82,1,12,6,220,330
24026,"Jonquière--Alma/Jonquière--Alma"," 192","Jonquière",103,81,7,8,0,199,320
24026,"Jonquière--Alma/Jonquière--Alma"," 193","Jonquière",99,97,11,11,9,227,357
24026,"Jonquière--Alma/Jonquière--Alma"," 194","Jonquière",109,80,11,8,1,209,308
24026,"Jonquière--Alma/Jonquière--Alma"," 195","Jonquière",115,95,11,14,1,236,382
24026,"Jonquière--Alma/Jonquière--Alma"," 196","Jonquière",96,71,10,3,0,180,289
24026,"Jonquière--Alma/Jonquière--Alma"," 197","Jonquière",110,85,12,12,3,222,363
24026,"Jonquière--Alma/Jonquière--Alma"," 198","Jonquière",116,65,7,12,1,201,334
24026,"Jonquière--Alma/Jonquière--Alma"," 199","Jonquière",129,74,14,12,3,232,329
24026,"Jonquière--Alma/Jonquière--Alma"," 200","Jonquière",139,76,9,10,0,234,376
24026,"Jonquière--Alma/Jonquière--Alma"," 201","Jonquière",134,113,12,13,3,275,444
24026,"Jonquière--Alma/Jonquière--Alma"," 202","Jonquière",139,73,15,10,3,240,336
24026,"Jonquière--Alma/Jonquière--Alma"," 203","Jonquière",129,92,11,10,0,242,354
24026,"Jonquière--Alma/Jonquière--Alma"," 204","Jonquière",126,128,19,13,2,288,533
24026,"Jonquière--Alma/Jonquière--Alma"," 205","Jonquière",206,144,16,13,7,386,639
24026,"Jonquière--Alma/Jonquière--Alma"," 400","Alma",116,54,29,9,2,210,216
24026,"Jonquière--Alma/Jonquière--Alma"," 401","Jonquière",133,35,11,3,5,187,236
24026,"Jonquière--Alma/Jonquière--Alma"," 500","Mobile poll/Bureau itinérant",46,39,13,3,3,104,158
24026,"Jonquière--Alma/Jonquière--Alma"," 501","Mobile poll/Bureau itinérant",51,27,6,1,2,87,109
24026,"Jonquière--Alma/Jonquière--Alma"," 502","Mobile poll/Bureau itinérant",70,33,20,3,5,131,145
24026,"Jonquière--Alma/Jonquière--Alma"," 503","Mobile poll/Bureau itinérant",26,17,6,3,2,54,101
24026,"Jonquière--Alma/Jonquière--Alma"," 504","Mobile poll/Bureau itinérant",31,13,5,2,1,52,107
24026,"Jonquière--Alma/Jonquière--Alma"," 505","Mobile poll/Bureau itinérant",40,7,3,1,2,53,94
24026,"Jonquière--Alma/Jonquière--Alma"," 600","Saint-David-de-Falardeau",97,59,12,5,0,173,
24026,"Jonquière--Alma/Jonquière--Alma"," 601","Saint-Ambroise--Shipshaw",127,93,19,6,2,247,
24026,"Jonquière--Alma/Jonquière--Alma"," 602","Delisle",75,79,6,2,0,162,
24026,"Jonquière--Alma/Jonquière--Alma"," 603","Alma",191,175,31,11,4,412,
24026,"Jonquière--Alma/Jonquière--Alma"," 604","Alma",127,128,19,15,4,293,
24026,"Jonquière--Alma/Jonquière--Alma"," 605","Alma",210,157,18,7,4,396,
24026,"Jonquière--Alma/Jonquière--Alma"," 606","Jonquière",119,63,14,8,1,205,
24026,"Jonquière--Alma/Jonquière--Alma"," 607","Jonquière",164,92,15,3,1,275,
24026,"Jonquière--Alma/Jonquière--Alma"," 608","Jonquière",380,150,24,7,6,567,
24026,"Jonquière--Alma/Jonquière--Alma"," 609","Jonquière",223,110,25,12,3,373,
24026,"Jonquière--Alma/Jonquière--Alma"," 610","Jonquière",205,136,19,18,3,381,
24026,"Jonquière--Alma/Jonquière--Alma"," 611","Jonquière",288,102,23,9,4,426,
24026,"Jonquière--Alma/Jonquière--Alma"," 612","Jonquière",220,156,25,11,4,416,
24026,"Jonquière--Alma/Jonquière--Alma",,Group 1/Groupe 1,89,55,16,10,12,182,514
24026,"Jonquière--Alma/Jonquière--Alma",,Group 2/Groupe 2,511,328,49,20,20,928,

