Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Annick Corriveau,Jean Courchesne,Réginald Gagnon,André Komlosy,Roger Pomerleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Drummond/Drummond"," 87","Drummondville",34,27,6,51,92,7,217,389
24018,"Drummond/Drummond"," 88","Drummondville",19,31,2,31,74,9,166,300
24018,"Drummond/Drummond"," 89","Drummondville",24,37,6,27,71,4,169,337
24018,"Drummond/Drummond"," 90","Drummondville",16,134,1,75,67,5,298,366
24018,"Drummond/Drummond"," 91","Drummondville",23,24,4,40,56,7,154,350
24018,"Drummond/Drummond"," 92","Drummondville",35,62,5,38,64,5,209,395
24018,"Drummond/Drummond"," 93","Drummondville",36,30,5,49,95,8,223,461
24018,"Drummond/Drummond"," 94","Drummondville",17,13,4,24,56,4,118,297
24018,"Drummond/Drummond"," 95","Drummondville",33,46,7,37,72,4,199,373
24018,"Drummond/Drummond"," 96","Drummondville",36,44,3,56,58,3,200,350
24018,"Drummond/Drummond"," 97","Drummondville",38,43,5,55,91,7,239,373
24018,"Drummond/Drummond"," 98","Drummondville",29,33,7,59,68,6,202,400
24018,"Drummond/Drummond"," 99","Drummondville",65,33,6,66,90,6,266,454
24018,"Drummond/Drummond"," 100","Drummondville",32,38,4,31,65,1,171,368
24018,"Drummond/Drummond"," 101","Drummondville",21,30,6,27,83,6,173,480
24018,"Drummond/Drummond"," 102","Drummondville",21,32,5,33,48,5,144,306
24018,"Drummond/Drummond"," 103","Drummondville",33,35,3,47,73,3,194,379
24018,"Drummond/Drummond"," 104","Drummondville",57,67,4,74,112,4,318,607
24018,"Drummond/Drummond"," 105","Drummondville",54,30,7,63,104,3,261,397
24018,"Drummond/Drummond"," 106","Drummondville",61,46,8,79,115,4,313,620
24018,"Drummond/Drummond"," 107","Drummondville",100,65,5,102,156,4,432,755
24018,"Drummond/Drummond"," 108A","Drummondville",60,25,4,39,79,2,209,380
24018,"Drummond/Drummond"," 108B","Drummondville",36,20,2,47,96,5,206,357
24018,"Drummond/Drummond"," 108C","Drummondville",47,19,4,48,65,3,186,355
24018,"Drummond/Drummond"," 109","Drummondville",82,69,14,104,152,6,427,718
24018,"Drummond/Drummond"," 110","Drummondville",36,25,6,60,83,1,211,397
24018,"Drummond/Drummond"," 111","Drummondville",50,39,7,55,111,6,268,492
24018,"Drummond/Drummond"," 112","Drummondville",21,24,10,37,53,4,149,340
24018,"Drummond/Drummond"," 113","Drummondville",20,21,7,38,61,9,156,356
24018,"Drummond/Drummond"," 114","Drummondville",20,25,7,48,38,7,145,362
24018,"Drummond/Drummond"," 115","Drummondville",37,12,3,41,81,5,179,405
24018,"Drummond/Drummond"," 116","Drummondville",24,19,2,49,71,1,166,374
24018,"Drummond/Drummond"," 117","Drummondville",41,35,4,46,67,4,197,380
24018,"Drummond/Drummond"," 118","Drummondville",31,33,6,35,67,2,174,359
24018,"Drummond/Drummond"," 119","Drummondville",24,47,6,50,76,11,214,309
24018,"Drummond/Drummond"," 120","Drummondville",26,50,5,44,69,0,194,336
24018,"Drummond/Drummond"," 121","Drummondville",34,26,8,50,81,9,208,362
24018,"Drummond/Drummond"," 122","Drummondville",32,32,2,35,55,4,160,312
24018,"Drummond/Drummond"," 123","Drummondville",19,29,6,41,74,0,169,344
24018,"Drummond/Drummond"," 124","Drummondville",16,20,1,20,48,3,108,320
24018,"Drummond/Drummond"," 125","Drummondville",8,10,3,14,44,4,83,254
24018,"Drummond/Drummond"," 126","Drummondville",41,33,1,60,77,4,216,341
24018,"Drummond/Drummond"," 127","Drummondville",28,39,10,58,81,7,223,382
24018,"Drummond/Drummond"," 128","Drummondville",37,28,4,45,68,11,193,352
24018,"Drummond/Drummond"," 129","Drummondville",32,27,8,48,65,3,183,352
24018,"Drummond/Drummond"," 130","Drummondville",61,47,6,64,143,11,332,648
24018,"Drummond/Drummond"," 131","Drummondville",29,17,7,33,101,3,190,403
24018,"Drummond/Drummond"," 132","Drummondville",35,54,6,66,87,2,250,380
24018,"Drummond/Drummond"," 133","Drummondville",32,38,7,42,72,5,196,373
24018,"Drummond/Drummond"," 134","Drummondville",23,12,1,36,56,2,130,246
24018,"Drummond/Drummond"," 135","Drummondville",41,25,7,59,111,1,244,458
24018,"Drummond/Drummond"," 136","Drummondville",39,45,6,74,69,4,237,378
24018,"Drummond/Drummond"," 137","Drummondville",47,27,5,77,81,11,248,451
24018,"Drummond/Drummond"," 138","Drummondville",47,39,6,52,82,5,231,450
24018,"Drummond/Drummond"," 139","Drummondville",25,19,2,30,49,4,129,215
24018,"Drummond/Drummond"," 140","Drummondville",87,48,11,66,132,5,349,568
24018,"Drummond/Drummond"," 141","Saint-Nicéphore",26,26,3,36,61,1,153,250
24018,"Drummond/Drummond"," 142","Saint-Nicéphore",23,30,4,48,79,2,186,316
24018,"Drummond/Drummond"," 143","Saint-Nicéphore",57,32,9,73,138,2,311,529
24018,"Drummond/Drummond"," 144A","Saint-Nicéphore",45,32,4,43,99,8,231,404
24018,"Drummond/Drummond"," 144B","Saint-Nicéphore",48,24,2,42,94,4,214,393
24018,"Drummond/Drummond"," 145","Saint-Nicéphore",50,29,7,46,121,12,265,553
24018,"Drummond/Drummond"," 146","Drummondville",40,31,6,62,122,7,268,497
24018,"Drummond/Drummond"," 147","Saint-Nicéphore",45,28,5,55,127,5,265,480
24018,"Drummond/Drummond"," 148","Saint-Nicéphore",44,15,5,48,83,5,200,405
24018,"Drummond/Drummond"," 149","Saint-Nicéphore",38,27,6,44,91,10,216,435
24018,"Drummond/Drummond"," 150","Saint-Nicéphore",48,27,9,48,93,2,227,427
24018,"Drummond/Drummond"," 151A","Saint-Nicéphore",49,25,2,47,75,7,205,376
24018,"Drummond/Drummond"," 151B","Saint-Nicéphore",40,22,4,30,91,5,192,375
24018,"Drummond/Drummond"," 152","Saint-Nicéphore",33,18,9,44,72,2,178,363
24018,"Drummond/Drummond"," 153","Saint-Nicéphore",57,37,10,67,136,12,319,571
24018,"Drummond/Drummond"," 154","Saint-Nicéphore",46,17,8,47,91,4,213,457
24018,"Drummond/Drummond"," 155","Saint-Nicéphore",29,24,2,38,54,4,151,319
24018,"Drummond/Drummond"," 156","Saint-Nicéphore",38,23,3,64,88,6,222,469
24018,"Drummond/Drummond"," 157","Saint-Nicéphore",38,28,9,43,105,7,230,471
24018,"Drummond/Drummond"," 158","Saint-Nicéphore",36,27,4,29,55,6,157,341
24018,"Drummond/Drummond"," 159","Wickham",41,49,13,60,117,6,286,512
24018,"Drummond/Drummond"," 160","Wickham",46,47,5,61,100,9,268,502
24018,"Drummond/Drummond"," 161","Wickham",29,44,4,60,105,2,244,414
24018,"Drummond/Drummond"," 162","Wickham",44,36,10,44,94,7,235,423
24018,"Drummond/Drummond"," 163","Lefebvre",31,35,9,44,92,2,213,361
24018,"Drummond/Drummond"," 164","Lefebvre",22,18,6,40,55,3,144,249
24018,"Drummond/Drummond"," 165","Durham-Sud",29,59,10,48,76,5,227,371
24018,"Drummond/Drummond"," 166","Durham-Sud",45,49,16,65,103,4,282,440
24018,"Drummond/Drummond"," 167","L'Avenir",48,45,11,93,122,2,321,534
24018,"Drummond/Drummond"," 168","L'Avenir",45,35,3,62,130,10,285,484
24018,"Drummond/Drummond"," 500","Mobile poll/Bureau itinérant",7,39,2,25,11,3,87,156
24018,"Drummond/Drummond"," 501","Mobile poll/Bureau itinérant",11,63,3,28,17,2,124,224
24018,"Drummond/Drummond"," 502","Mobile poll/Bureau itinérant",14,71,3,48,46,5,187,285
24018,"Drummond/Drummond"," 503","Mobile poll/Bureau itinérant",10,49,4,35,28,3,129,211
24018,"Drummond/Drummond"," 504","Mobile poll/Bureau itinérant",15,62,2,56,47,6,188,271
24018,"Drummond/Drummond"," 600","Saint-Cyrille-de-Wendover",23,36,14,96,113,5,287,
24018,"Drummond/Drummond"," 601","Saint-Majorique",20,23,1,47,94,1,186,
24018,"Drummond/Drummond"," 602","Drummondville",48,61,4,131,119,4,367,
24018,"Drummond/Drummond"," 603","Drummondville",60,128,7,174,156,5,530,
24018,"Drummond/Drummond"," 604","Saint-Charles-de-Drummond",61,47,10,150,161,10,439,
24018,"Drummond/Drummond"," 605","Drummondville",46,121,13,186,207,7,580,
24018,"Drummond/Drummond"," 606","Drummondville",115,149,15,296,312,21,908,
24018,"Drummond/Drummond"," 607","Drummondville",46,74,8,115,157,11,411,
24018,"Drummond/Drummond"," 608","Saint-Nicéphore",52,61,5,129,223,11,481,
24018,"Drummond/Drummond"," 609","Wickham",19,18,3,18,47,1,106,
24018,"Drummond/Drummond",,Group 1/Groupe 1,13,17,5,52,30,2,119,194
24018,"Drummond/Drummond",,Group 2/Groupe 2,124,183,20,390,415,13,1145,

