district_code,district_name_english,district_name_french,party,candidate_last,candidate_first
13004,Fundy Royal,Fundy Royal,Liberal,Lockhart,Alaina
13004,Fundy Royal,Fundy Royal,NDP,,
13004,Fundy Royal,Fundy Royal,Conservative,Moore,Rob
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal,Arseneault,René
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green,,
13005,Madawaska--Restigouche,Madawaska--Restigouche,NDP,,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative,Fox,Nelson
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Green,,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,NDP,,
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Liberal,Finnigan,Pat
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Conservative,Mackenzie,Allison Richardson
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative,Godin-Charest,Sylvie
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,NDP,,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green,,
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal,Petitpas Taylor,Ginette
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,NDP,,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal,Ludwig,Karen
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green,,
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative,Williamson,John
13009,Saint John--Rothesay,Saint John--Rothesay,NDP,,
13009,Saint John--Rothesay,Saint John--Rothesay,Liberal,Long,Wayne
13009,Saint John--Rothesay,Saint John--Rothesay,Green,,
13009,Saint John--Rothesay,Saint John--Rothesay,People's,Salesse,Adam
13009,Saint John--Rothesay,Saint John--Rothesay,Conservative,,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative,Bragdon,Richard
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal,,
13010,Tobique--Mactaquac,Tobique--Mactaquac,NDP,,
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Green,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Liberal,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Bloc,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Rhinoceros,,
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Conservative,Ferron,Martin
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,NDP,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Green,Bégin,Aline
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Conservative,Provencher,Mario
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Rhinoceros,,
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,NDP,Moore,Christine
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bloc,Lemire,Sébastien
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Liberal,Thibault,Claude
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Bloc,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,People's,Ayas,Raymond
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Liberal,Joly,Mélanie
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Green,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Conservative,,
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,NDP,,
24004,Alfred-Pellan,Alfred-Pellan,Green,,
24004,Alfred-Pellan,Alfred-Pellan,NDP,,
24004,Alfred-Pellan,Alfred-Pellan,Liberal,Iacono,Angelo
24004,Alfred-Pellan,Alfred-Pellan,Independent,,
24004,Alfred-Pellan,Alfred-Pellan,Conservative,Esposito,Angel
24004,Alfred-Pellan,Alfred-Pellan,Bloc,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Bloc,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,NDP,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Conservative,Lambert,François
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Green,,
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Liberal,Lauzon,Stéphane
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,NDP,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Bloc,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Forces,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Liberal,Massé,Rémi
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Rhinoceros,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Conservative,,
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Green,,
24007,Beauce,Beauce,Conservative,Lehoux,Richard
24007,Beauce,Beauce,Green,,
24007,Beauce,Beauce,NDP,,
24007,Beauce,Beauce,Bloc,,
24007,Beauce,Beauce,Liberal,,
24007,Beauce,Beauce,People's,Bernier,Maxime
24008,Beauport--Limoilou,Beauport--Limoilou,Libertarian,,
24008,Beauport--Limoilou,Beauport--Limoilou,Bloc,,
24008,Beauport--Limoilou,Beauport--Limoilou,Liberal,,
24008,Beauport--Limoilou,Beauport--Limoilou,Conservative,Clarke,Alupa
24008,Beauport--Limoilou,Beauport--Limoilou,NDP,,
24008,Beauport--Limoilou,Beauport--Limoilou,Green,,
24008,Beauport--Limoilou,Beauport--Limoilou,Forces,,
24008,Beauport--Limoilou,Beauport--Limoilou,Marxist-Leninist,,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Green,,
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Liberal,Carpentier,Claude
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Conservative,Émond,Pierre-André
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Bloc,Plamondon,Louis
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,NDP,Tabah,Nicolas
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Green,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Conservative,Blaney,Steven
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,NDP,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Bloc,,
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Liberal,,
24011,Beloeil--Chambly,Beloeil--Chambly,Conservative,,
24011,Beloeil--Chambly,Beloeil--Chambly,Liberal,Hamel,Marie-Chantal
24011,Beloeil--Chambly,Beloeil--Chambly,NDP,Dubé,Matthew
24011,Beloeil--Chambly,Beloeil--Chambly,Bloc,Blanchet,Yves-François
24011,Beloeil--Chambly,Beloeil--Chambly,Libertarian,,
24011,Beloeil--Chambly,Beloeil--Chambly,Green,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,NDP,Brosseau,Ruth Ellen
24012,Berthier--Maskinongé,Berthier--Maskinongé,Green,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,Liberal,,
24012,Berthier--Maskinongé,Berthier--Maskinongé,Conservative,Bélanger,Josée
24012,Berthier--Maskinongé,Berthier--Maskinongé,Bloc,Perron,Yves
24013,Thérèse-De Blainville,Thérèse-De Blainville,Liberal,Ayoub,Ramez
24013,Thérèse-De Blainville,Thérèse-De Blainville,Green,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,NDP,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,Libertarian,,
24013,Thérèse-De Blainville,Thérèse-De Blainville,Bloc,Dicaire-Acosta,Michel
24013,Thérèse-De Blainville,Thérèse-De Blainville,Conservative,Fournier,Marie Claude
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Bloc,Barsalou-Duval,Xavier
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,NDP,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Liberal,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Green,,
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Conservative,Daviault,Mathieu
24015,Bourassa,Bourassa,Marxist-Leninist,,
24015,Bourassa,Bourassa,Green,,
24015,Bourassa,Bourassa,Independent,,
24015,Bourassa,Bourassa,Liberal,Dubourg,Emmanuel
24015,Bourassa,Bourassa,NDP,,
24015,Bourassa,Bourassa,Bloc,,
24015,Bourassa,Bourassa,Forces,,
24015,Bourassa,Bourassa,Conservative,Lefbvre,Catherine
24016,Brome--Missisquoi,Brome--Missisquoi,NDP,Jetté,Sylvie
24016,Brome--Missisquoi,Brome--Missisquoi,Bloc,,
24016,Brome--Missisquoi,Brome--Missisquoi,Green,,
24016,Brome--Missisquoi,Brome--Missisquoi,Forces,,
24016,Brome--Missisquoi,Brome--Missisquoi,Liberal,Paradis,Denis
24016,Brome--Missisquoi,Brome--Missisquoi,Conservative,Côté,Bruno
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Conservative,Hoa,Glenn
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Green,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Bloc,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,NDP,,
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Liberal,Mendès,Alexandra
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Green,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Liberal,Pilon,Chantal
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Bloc,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,NDP,Caron,Guy
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Rhinoceros,,
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Conservative,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Green,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Liberal,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,NDP,,
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Conservative,Paul-Hus,Pierre
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Bloc,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Conservative,Boucher,Sylvie
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Forces,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Bloc,Hoh,Pierre-Alain
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Green,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,NDP,,
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Liberal,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,NDP,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Green,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Liberal,Shanahan,Brenda
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Bloc,,
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Conservative,Laplante,Hugues
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,People's,Benoit,Jeff
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Bloc,Tremblay,Valérie
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Liberal,,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,NDP,,
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Conservative,Martel,Richard
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Green,,
24023,Compton--Stanstead,Compton--Stanstead,Liberal,Bibeau,Marie-Claude
24023,Compton--Stanstead,Compton--Stanstead,Bloc,,
24023,Compton--Stanstead,Compton--Stanstead,Rhinoceros,,
24023,Compton--Stanstead,Compton--Stanstead,Conservative,,
24023,Compton--Stanstead,Compton--Stanstead,Green,,
24023,Compton--Stanstead,Compton--Stanstead,NDP,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Conservative,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Liberal,Dhillon,Anju
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Green,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,NDP,,
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Bloc,Vaudry,Jean-Frédéric
24025,Drummond,Drummond,Bloc,Ébacher,Jessica
24025,Drummond,Drummond,NDP,Choquette,François
24025,Drummond,Drummond,Green,,
24025,Drummond,Drummond,Liberal,,
24025,Drummond,Drummond,Conservative,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Rhinoceros,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Liberal,Lebouthillier,Diane
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Green,,
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Conservative,Pigeon,Jean-Pierre
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Bloc,Bernatchez,Guy
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,NDP,,
24027,Gatineau,Gatineau,Conservative,,
24027,Gatineau,Gatineau,Bloc,Nadeau,Geneviève
24027,Gatineau,Gatineau,NDP,,
24027,Gatineau,Gatineau,Green,,
24027,Gatineau,Gatineau,Liberal,MacKinnon,Steven
24027,Gatineau,Gatineau,Marxist-Leninist,,
24028,Hochelaga,Hochelaga,NDP,Roy-Goyette,Catheryn
24028,Hochelaga,Hochelaga,Communist,,
24028,Hochelaga,Hochelaga,Marxist-Leninist,,
24028,Hochelaga,Hochelaga,Conservative,Marcoux,Christine
24028,Hochelaga,Hochelaga,Rhinoceros,,
24028,Hochelaga,Hochelaga,Bloc,Marchand,Simon
24028,Hochelaga,Hochelaga,Liberal,Martinez Ferrada,Soraya
24028,Hochelaga,Hochelaga,Green,,
24029,Honoré-Mercier,Honoré-Mercier,NDP,,
24029,Honoré-Mercier,Honoré-Mercier,Bloc,,
24029,Honoré-Mercier,Honoré-Mercier,Green,,
24029,Honoré-Mercier,Honoré-Mercier,Conservative,Croteau,Guy
24029,Honoré-Mercier,Honoré-Mercier,Forces,,
24029,Honoré-Mercier,Honoré-Mercier,Marxist-Leninist,,
24029,Honoré-Mercier,Honoré-Mercier,Liberal,Rodríguez,Pablo
24030,Hull--Aylmer,Hull--Aylmer,Conservative,Duggan,Mike
24030,Hull--Aylmer,Hull--Aylmer,Bloc,,
24030,Hull--Aylmer,Hull--Aylmer,Liberal,Fergus,Greg
24030,Hull--Aylmer,Hull--Aylmer,Green,,
24030,Hull--Aylmer,Hull--Aylmer,Marxist-Leninist,,
24030,Hull--Aylmer,Hull--Aylmer,Christian Heritage,,
24030,Hull--Aylmer,Hull--Aylmer,NDP,,
24031,Joliette,Joliette,Liberal,,
24031,Joliette,Joliette,Conservative,,
24031,Joliette,Joliette,NDP,,
24031,Joliette,Joliette,Green,,
24031,Joliette,Joliette,Bloc,Ste-Marie,Gabriel
24031,Joliette,Joliette,People's,Prescott,Sylvain
24032,Jonquière,Jonquière,Green,,
24032,Jonquière,Jonquière,Bloc,Simard,Mario
24032,Jonquière,Jonquière,Rhinoceros,,
24032,Jonquière,Jonquière,Conservative,Gagnon,Philippe
24032,Jonquière,Jonquière,Liberal,,
24032,Jonquière,Jonquière,NDP,Trudel,Karine
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Bloc,Beaulieu,Mario
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Rhinoceros,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Green,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Forces,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Conservative,Coutu,Robert
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,NDP,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Marxist-Leninist,,
24033,La Pointe-de-l'Île,La Pointe-de-l'Île,Liberal,,
24034,La Prairie,La Prairie,NDP,,
24034,La Prairie,La Prairie,Marxist-Leninist,,
24034,La Prairie,La Prairie,Conservative,Lapointe,Isabelle
24034,La Prairie,La Prairie,Bloc,,
24034,La Prairie,La Prairie,Liberal,Poissant,Jean-Claude
24034,La Prairie,La Prairie,Green,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,NDP,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,Bloc,Brunelle-Duceppe,Alexis
24035,Lac-Saint-Jean,Lac-Saint-Jean,Conservative,Fradette,Jocelyn
24035,Lac-Saint-Jean,Lac-Saint-Jean,Green,,
24035,Lac-Saint-Jean,Lac-Saint-Jean,Liberal,Hébert,Richard
24036,Lac-Saint-Louis,Lac-Saint-Louis,Bloc,,
24036,Lac-Saint-Louis,Lac-Saint-Louis,Green,,
24036,Lac-Saint-Louis,Lac-Saint-Louis,Conservative,Francis,Ann
24036,Lac-Saint-Louis,Lac-Saint-Louis,Liberal,Scarpaleggia,Francis
24036,Lac-Saint-Louis,Lac-Saint-Louis,NDP,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Green,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Liberal,Lametti,David
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,NDP,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Bloc,,
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun,Conservative,Rocchi,Claudio
24038,Laurentides--Labelle,Laurentides--Labelle,Conservative,Grégoire,Serge
24038,Laurentides--Labelle,Laurentides--Labelle,Liberal,Graham,David
24038,Laurentides--Labelle,Laurentides--Labelle,Green,,
24038,Laurentides--Labelle,Laurentides--Labelle,NDP,,
24038,Laurentides--Labelle,Laurentides--Labelle,Bloc,Gervais,Samuel
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Libertarian,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Independent,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Bloc,Duchesne,Michel
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Communist,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Conservative,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Green,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Marxist-Leninist,,
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,NDP,Machouf,Nima
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie,Liberal,,
24040,Laval--Les Îles,Laval--Les Îles,Marxist-Leninist,,
24040,Laval--Les Îles,Laval--Les Îles,Conservative,Pentefountas,Tom
24040,Laval--Les Îles,Laval--Les Îles,Liberal,El-Khoury,Fayçal
24040,Laval--Les Îles,Laval--Les Îles,NDP,,
