name_english,district_code,pollster,median_date,n,party,pct,avg_dayof,lean
Beauce,24007,Mainstreet Research,2018-11-11,616,LPC,13.8,37.62,-23.82
Beauce,24007,Mainstreet Research,2018-11-11,616,CPC,37.9,32.04,5.86
Beauce,24007,Mainstreet Research,2018-11-11,616,NDP,5.5,16.33,-10.83
Beauce,24007,Mainstreet Research,2018-11-11,616,GPC,2,7.46,-5.46
Beauce,24007,Mainstreet Research,2018-11-11,616,BQ,4.4,,
Beauce,24007,Mainstreet Research,2018-11-11,616,PPC,34.7,1.85,32.85
Niagara Centre,35066,Mainstreet Research,2019-07-16,482,LPC,43.7,32.37,11.33
Niagara Centre,35066,Mainstreet Research,2019-07-16,482,CPC,31.3,33.22,-1.92
Niagara Centre,35066,Mainstreet Research,2019-07-16,482,NDP,17.1,15.66,1.44
Niagara Centre,35066,Mainstreet Research,2019-07-16,482,GPC,5.6,10.7,-5.1
Niagara Centre,35066,Mainstreet Research,2019-07-16,482,PPC,1.2,2.5,-1.3
Whitby,35114,Mainstreet Research,2019-07-19,600,LPC,39.7,32.47,7.23
Whitby,35114,Mainstreet Research,2019-07-19,600,CPC,41,33.3,7.7
Whitby,35114,Mainstreet Research,2019-07-19,600,NDP,5,15.59,-10.59
Whitby,35114,Mainstreet Research,2019-07-19,600,GPC,10,10.69,-0.69
Whitby,35114,Mainstreet Research,2019-07-19,600,PPC,4,2.42,1.58
Quebec,24059,Mainstreet Research,2019-07-24,684,LPC,33.1,32.43,0.67
Quebec,24059,Mainstreet Research,2019-07-24,684,CPC,25.2,33.62,-8.42
Quebec,24059,Mainstreet Research,2019-07-24,684,NDP,8.1,15.11,-7.01
Quebec,24059,Mainstreet Research,2019-07-24,684,GPC,7.7,10.82,-3.12
Quebec,24059,Mainstreet Research,2019-07-24,684,PPC,3,2.53,0.47
Quebec,24059,Mainstreet Research,2019-07-24,684,BQ,21.4,,
Beauce,24007,Mainstreet Research,2019-08-05,640,LPC,19.3,33.12,-13.82
Beauce,24007,Mainstreet Research,2019-08-05,640,CPC,33.5,33.18,0.32
Beauce,24007,Mainstreet Research,2019-08-05,640,NDP,1.9,14.95,-13.05
Beauce,24007,Mainstreet Research,2019-08-05,640,GPC,3.7,10.62,-6.92
Beauce,24007,Mainstreet Research,2019-08-05,640,BQ,5.9,,
Beauce,24007,Mainstreet Research,2019-08-05,640,PPC,33,2.9,30.1
Victoria,59041,Mainstreet Research,2019-08-10,575,LPC,27.1,33,-5.9
Victoria,59041,Mainstreet Research,2019-08-10,575,CPC,17.2,33,-15.8
Victoria,59041,Mainstreet Research,2019-08-10,575,NDP,22.2,15,7.2
Victoria,59041,Mainstreet Research,2019-08-10,575,GPC,28.3,10.6,17.7
Victoria,59041,Mainstreet Research,2019-08-10,575,PPC,3.5,2.75,0.75
Windsor West,35117,Mainstreet Research,2019-08-21,468,LPC,37.6,32.8,4.8
Windsor West,35117,Mainstreet Research,2019-08-21,468,CPC,21.3,33.3,-12
Windsor West,35117,Mainstreet Research,2019-08-21,468,NDP,36.3,14.9,21.4
Windsor West,35117,Mainstreet Research,2019-08-21,468,GPC,2.9,10.7,-7.8
Windsor West,35117,Mainstreet Research,2019-08-21,468,PPC,1.9,2.71,-0.81
Vancouver Granville,59036,Mainstreet Research,2019-08-28,493,LPC,31.9,32.91,-1.01
Vancouver Granville,59036,Mainstreet Research,2019-08-28,493,CPC,17.1,33.46,-16.36
Vancouver Granville,59036,Mainstreet Research,2019-08-28,493,NDP,7.9,14.65,-6.75
Vancouver Granville,59036,Mainstreet Research,2019-08-28,493,GPC,10.4,10.53,-0.13
Vancouver Granville,59036,Mainstreet Research,2019-08-28,493,PPC,3.9,2.92,0.98
Vancouver Granville,59036,Mainstreet Research,2019-08-28,493,Ind,28.8,,
Vancouver Granville,59036,Justason Marketing,2019-09-01,361,LPC,27,33.28,-6.28
Vancouver Granville,59036,Justason Marketing,2019-09-01,361,CPC,15,33.37,-18.37
Vancouver Granville,59036,Justason Marketing,2019-09-01,361,NDP,6,14.75,-8.75
Vancouver Granville,59036,Justason Marketing,2019-09-01,361,GPC,12,10.39,1.61
Vancouver Granville,59036,Justason Marketing,2019-09-01,361,PPC,,2.8,
Vancouver Granville,59036,Justason Marketing,2019-09-01,361,Ind,37,,
Beloeil--Chambly,24011,Mainstreet Research,2019-09-03,825,LPC,35,33.32,1.68
Beloeil--Chambly,24011,Mainstreet Research,2019-09-03,825,CPC,15,33.47,-18.47
Beloeil--Chambly,24011,Mainstreet Research,2019-09-03,825,NDP,8,14.47,-6.47
Beloeil--Chambly,24011,Mainstreet Research,2019-09-03,825,GPC,9,10.6,-1.6
Beloeil--Chambly,24011,Mainstreet Research,2019-09-03,825,BQ,26,,
Beloeil--Chambly,24011,Mainstreet Research,2019-09-03,825,PPC,,3,
Portneuf--Jacques-Cartier,24058,Mainstreet Research,2019-09-13,654,LPC,22,34.1,-12.1
Portneuf--Jacques-Cartier,24058,Mainstreet Research,2019-09-13,654,CPC,48,33.97,14.03
Portneuf--Jacques-Cartier,24058,Mainstreet Research,2019-09-13,654,NDP,4,13.98,-9.98
Portneuf--Jacques-Cartier,24058,Mainstreet Research,2019-09-13,654,GPC,7,9.98,-2.98
Portneuf--Jacques-Cartier,24058,Mainstreet Research,2019-09-13,654,BQ,12,,
Portneuf--Jacques-Cartier,24058,Mainstreet Research,2019-09-13,654,PPC,4,2.91,1.09
