district_code,district_name_english,district_name_french,party,candidate_last,candidate_first
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative,Krol,Marek
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green,McLean,Jackson
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal,O'Regan,Seamus
11001,Cardigan,Cardigan,NDP,Cann,Billy
11001,Cardigan,Cardigan,Green,Doyle,Teresa
11001,Cardigan,Cardigan,Liberal,MacAulay,Lawrence
11001,Cardigan,Cardigan,Conservative,Patkai,Julius
11001,Cardigan,Cardigan,Christian Heritage,Squires,Christene
11002,Charlottetown,Charlottetown,NDP,Byrne,Joe
11002,Charlottetown,Charlottetown,Liberal,Casey,Sean
11002,Charlottetown,Charlottetown,Conservative,MacMillan,Ron
11002,Charlottetown,Charlottetown,Green,Viau,Becka
11003,Egmont,Egmont,NDP,Dickieson,Herb
11003,Egmont,Egmont,Green,Ling,Nils
11003,Egmont,Egmont,Liberal,Morrissey,Bobby
11003,Egmont,Egmont,Conservative,Shea,Gail
11004,Malpeque,Malpeque,Liberal,Easter,Wayne
11004,Malpeque,Malpeque,NDP,Hayward,Leah-Jane
11004,Malpeque,Malpeque,Green,Lund,Lynne
11004,Malpeque,Malpeque,Conservative,Stewart,Stephen
12001,Cape Breton--Canso,Cape Breton--Canso,Green,Coady,Maria Goretti
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal,Cuzner,Rodger
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative,Rodgers,Adam Daniel
12001,Cape Breton--Canso,Cape Breton--Canso,NDP,Smith,Michelle
12002,Central Nova,Nova-Centre,Conservative,DeLorey,Fred
12002,Central Nova,Nova-Centre,Liberal,Fraser,Sean
12002,Central Nova,Nova-Centre,Green,Hachey,David
12002,Central Nova,Nova-Centre,NDP,Landry,Ross
12002,Central Nova,Nova-Centre,Independent,MacKenzie,Alexander J.
12003,Cumberland--Colchester,Cumberland--Colchester,Conservative,Armstrong,Scott
12003,Cumberland--Colchester,Cumberland--Colchester,Green,Blanch,Jason Matthew
12003,Cumberland--Colchester,Cumberland--Colchester,Liberal,Casey,Bill
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Jackson,Kenneth
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Plett,Richard Trueman
12003,Cumberland--Colchester,Cumberland--Colchester,NDP,Robinson,Wendy
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,NDP,Chisholm,Robert
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative,Cole,Jason
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal,Fisher,Darren
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green,Nheiley,Brynn
12005,Halifax,Halifax,Marxist-Leninist,Bezanson,Allan
12005,Halifax,Halifax,Conservative,Carvery,Irvine
12005,Halifax,Halifax,Liberal,Fillmore,Andy
12005,Halifax,Halifax,NDP,Leslie,Megan
12005,Halifax,Halifax,Green,Trappenberg,Thomas
12006,Halifax West,Halifax-Ouest,NDP,Hussey,Joanne
12006,Halifax West,Halifax-Ouest,Conservative,McGinnis,Michael
12006,Halifax West,Halifax-Ouest,Liberal,Regan,Geoff
12006,Halifax West,Halifax-Ouest,Green,Zurawski,Richard Henryk
12007,Kings--Hants,Kings--Hants,Liberal,Brison,Scott
12007,Kings--Hants,Kings--Hants,Rhinoceros,Brown-Hodges,Megan
12007,Kings--Hants,Kings--Hants,Green,Cooper,Will
12007,Kings--Hants,Kings--Hants,NDP,Curry,Hugh
12007,Kings--Hants,Kings--Hants,Conservative,Morse,David
12007,Kings--Hants,Kings--Hants,Independent,Twohig,Edd
12007,Kings--Hants,Kings--Hants,Independent,Williams,Clifford James
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Green,Montgomery,Mike
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Liberal,Samson,Darrell
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,NDP,Stoffer,Peter
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Conservative,Strickland,Robert Thomas
12009,South Shore--St. Margarets,South Shore--St. Margarets,Communist,Barry,Ryan
12009,South Shore--St. Margarets,South Shore--St. Margarets,Green,Biggar,Richard
12009,South Shore--St. Margarets,South Shore--St. Margarets,Independent,Bruhm,Trevor
12009,South Shore--St. Margarets,South Shore--St. Margarets,Conservative,Clark,Richard
12009,South Shore--St. Margarets,South Shore--St. Margarets,NDP,Godbold,Alex
12009,South Shore--St. Margarets,South Shore--St. Margarets,Liberal,Jordan,Bernadette
12010,Sydney--Victoria,Sydney--Victoria,Conservative,Chiasson,John Douglas
12010,Sydney--Victoria,Sydney--Victoria,NDP,Dutt,Monika
12010,Sydney--Victoria,Sydney--Victoria,Liberal,Eyking,Mark
12010,Sydney--Victoria,Sydney--Victoria,Libertarian,Hiscock,Wayne James
12010,Sydney--Victoria,Sydney--Victoria,Green,MacKinnon,Adrianna
12011,West Nova,Nova-Ouest,NDP,Foster,Greg
12011,West Nova,Nova-Ouest,Liberal,Fraser,Colin
12011,West Nova,Nova-Ouest,Conservative,LeBlanc,Arnold
12011,West Nova,Nova-Ouest,Green,Walton,Clark
13001,Acadie--Bathurst,Acadie--Bathurst,Green,Breau,Dominique
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal,Cormier,Serge
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative,Girouard-Riordon,Riba
13001,Acadie--Bathurst,Acadie--Bathurst,NDP,Godin,Jason
13002,Beauséjour,Beauséjour,Conservative,Bastarache,Ann
13002,Beauséjour,Beauséjour,NDP,Boudreau,Hélène
13002,Beauséjour,Beauséjour,Green,King,Kevin
13002,Beauséjour,Beauséjour,Liberal,LeBlanc,Dominic
13003,Fredericton,Fredericton,Conservative,Ashfield,Keith
13003,Fredericton,Fredericton,Green,Babineau,Mary Lou
13003,Fredericton,Fredericton,Liberal,DeCourcey,Matt
13003,Fredericton,Fredericton,NDP,Scott-Levesque,Sharon
13004,Fundy Royal,Fundy Royal,Independent,Amos,David Raymond
13004,Fundy Royal,Fundy Royal,Green,Coburn,Stephanie
13004,Fundy Royal,Fundy Royal,Liberal,Lockhart,Alaina
13004,Fundy Royal,Fundy Royal,NDP,McKenzie,Jennifer
13004,Fundy Royal,Fundy Royal,Conservative,Moore,Rob
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal,Arseneault,René
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green,Aubin,Françoise
13005,Madawaska--Restigouche,Madawaska--Restigouche,NDP,L'Italien,Rosaire
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative,Valcourt,Bernard
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Green,Clark,Matthew Ian
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,NDP,Colford,Patrick
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Liberal,Finnigan,Pat
13006,Miramichi--Grand Lake,Miramichi--Grand Lake,Conservative,O'Neill-Gordon,Tilly
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Conservative,Goguen,Robert
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,NDP,LeBlanc,Luc
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Green,Melanson,Luc
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe,Liberal,Petitpas Taylor,Ginette
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,NDP,Graham,Andrew
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Liberal,Ludwig,Karen
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Green,MacIntosh,Gayla
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,Conservative,Williamson,John
13009,Saint John--Rothesay,Saint John--Rothesay,NDP,Griffin,AJ
13009,Saint John--Rothesay,Saint John--Rothesay,Liberal,Long,Wayne
13009,Saint John--Rothesay,Saint John--Rothesay,Green,Murphy,Sharon
13009,Saint John--Rothesay,Saint John--Rothesay,Conservative,Weston,Rodney
13010,Tobique--Mactaquac,Tobique--Mactaquac,Conservative,Bragdon,Richard
13010,Tobique--Mactaquac,Tobique--Mactaquac,Liberal,Harvey,TJ
13010,Tobique--Mactaquac,Tobique--Mactaquac,NDP,Kitchen,Robert
13010,Tobique--Mactaquac,Tobique--Mactaquac,Green,Wishart,Terry
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Green,Benoît,Patrick
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Liberal,Dufour,Pierre
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Bloc,Ferland,Luc
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Rhinoceros,Gagnon,Mario
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,Conservative,Hébert,Steven
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,NDP,Saganash,Romeo
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Green,Bégin,Aline
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Conservative,Fortin,Benoit
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Rhinoceros,Gélinas,Pascal Le Fou
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,NDP,Moore,Christine
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Bloc,Moreau,Yvon
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,Liberal,Thibault,Claude
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Bloc,Bourdon,Nicolas
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Rhinoceros,Gascon-David,Catherine
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Liberal,Joly,Mélanie
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Green,Mercier,Gilles
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,Conservative,Moughrabi,Wiliam
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville,NDP,Mourani,Maria
24004,Alfred-Pellan,Alfred-Pellan,Green,Briguene,Lynda
24004,Alfred-Pellan,Alfred-Pellan,NDP,Doré Lefebvre,Rosane
24004,Alfred-Pellan,Alfred-Pellan,Liberal,Iacono,Angelo
24004,Alfred-Pellan,Alfred-Pellan,Independent,Isopo,Renata
24004,Alfred-Pellan,Alfred-Pellan,Conservative,Purcarus,Gabriel
24004,Alfred-Pellan,Alfred-Pellan,Bloc,St-Hilaire,Daniel
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Bloc,Beauchamp,Jonathan
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,NDP,Crête,Chantal
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Conservative,Hupé-Labelle,Maxime
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Green,Lamarche,Audrey
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation,Liberal,Lauzon,Stéphane
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,NDP,Charest,Joël
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Bloc,Fleury-Samson,Kédina
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Forces,Fortin,Jean-François
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Liberal,Massé,Rémi
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Rhinoceros,Normand,Éric
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Conservative,Savoie,André
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,Green,Springle,Sherri
24007,Beauce,Beauce,Conservative,Bernier,Maxime
24007,Beauce,Beauce,Green,MacDonald,Céline Brown
24007,Beauce,Beauce,NDP,Royer,Daniel
24007,Beauce,Beauce,Bloc,Trudel,Stéphane
24007,Beauce,Beauce,Liberal,Veilleux,Adam
24008,Beauport--Limoilou,Beauport--Limoilou,Libertarian,Bedard,Francis
24008,Beauport--Limoilou,Beauport--Limoilou,Bloc,Berberi,Doni
24008,Beauport--Limoilou,Beauport--Limoilou,Liberal,Bujold,Antoine
24008,Beauport--Limoilou,Beauport--Limoilou,Conservative,Clarke,Alupa
24008,Beauport--Limoilou,Beauport--Limoilou,NDP,Côté,Raymond
24008,Beauport--Limoilou,Beauport--Limoilou,Green,Elhak,Dalila
24008,Beauport--Limoilou,Beauport--Limoilou,Forces,Laborit,Bladimir
24008,Beauport--Limoilou,Beauport--Limoilou,Marxist-Leninist,Moreau,Claude
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Green,Bastiani,Corina
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Liberal,Carpentier,Claude
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Conservative,Laberge,Yves
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,Bloc,Plamondon,Louis
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,NDP,Tabah,Nicolas
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Green,Bélisle,André
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Conservative,Blaney,Steven
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,NDP,Daigle,Jean-Luc
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Bloc,Dubé,Antoine
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis,Liberal,Turgeon,Jacques
24011,Beloeil--Chambly,Beloeil--Chambly,Conservative,Chalhoub,Claude
24011,Beloeil--Chambly,Beloeil--Chambly,Liberal,Desjardins,Karine
24011,Beloeil--Chambly,Beloeil--Chambly,NDP,Dubé,Matthew
24011,Beloeil--Chambly,Beloeil--Chambly,Bloc,Lessard,Yves
24011,Beloeil--Chambly,Beloeil--Chambly,Libertarian,Maher,Michael
24011,Beloeil--Chambly,Beloeil--Chambly,Green,Yansané,Fodé Kerfalla
24012,Berthier--Maskinongé,Berthier--Maskinongé,NDP,Brosseau,Ruth Ellen
24012,Berthier--Maskinongé,Berthier--Maskinongé,Green,Burton,Cate
24012,Berthier--Maskinongé,Berthier--Maskinongé,Liberal,Destrempes,Pierre
24012,Berthier--Maskinongé,Berthier--Maskinongé,Conservative,Foucrault,Marianne
24012,Berthier--Maskinongé,Berthier--Maskinongé,Bloc,Perron,Yves
24013,Thérèse-De Blainville,Thérèse-De Blainville,Liberal,Ayoub,Ramez
24013,Thérèse-De Blainville,Thérèse-De Blainville,Green,Carkner,Andrew
24013,Thérèse-De Blainville,Thérèse-De Blainville,NDP,Giguère,Alain
24013,Thérèse-De Blainville,Thérèse-De Blainville,Libertarian,Guindon,Daniel
24013,Thérèse-De Blainville,Thérèse-De Blainville,Bloc,Marginean,Alain
24013,Thérèse-De Blainville,Thérèse-De Blainville,Conservative,Puga,Manuel
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Bloc,Barsalou-Duval,Xavier
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,NDP,Fortin,Raphaël
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Liberal,Gagnon,Lucie
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Green,Lauzon,JiCi
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères,Conservative,Maheux,Clovis
24015,Bourassa,Bourassa,Marxist-Leninist,Brunelle,Claude
24015,Bourassa,Bourassa,Green,Charron,Maxime
24015,Bourassa,Bourassa,Independent,Demers,Julie
24015,Bourassa,Bourassa,Liberal,Dubourg,Emmanuel
24015,Bourassa,Bourassa,NDP,Laguerre,Dolmine
24015,Bourassa,Bourassa,Bloc,Léveillé,Gilles
24015,Bourassa,Bourassa,Forces,Ndzana,Jean-Marie Floriant
24015,Bourassa,Bourassa,Conservative,Potasso-Justino,Jason
24016,Brome--Missisquoi,Brome--Missisquoi,NDP,Lusson,Catherine
24016,Brome--Missisquoi,Brome--Missisquoi,Bloc,Melchior,Patrick
24016,Brome--Missisquoi,Brome--Missisquoi,Green,Moynan,Cindy
24016,Brome--Missisquoi,Brome--Missisquoi,Forces,Paine,Patrick
24016,Brome--Missisquoi,Brome--Missisquoi,Liberal,Paradis,Denis
24016,Brome--Missisquoi,Brome--Missisquoi,Conservative,Poulin,Charles
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Conservative,Hamidi,Qais
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Green,Hu,Fang
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Bloc,Lachance,Suzanne
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,NDP,Mai,Hoang
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert,Liberal,Mendès,Alexandra
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Green,Boutin,Louise
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Liberal,Cadieux,Pierre
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Bloc,Carignan,Johanne
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,NDP,Caron,Guy
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Rhinoceros,Côrriveau,Sébastien CôRhino
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques,Conservative,Fortin,Francis
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Green,Baudet,Nathalie
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Liberal,Côté,Jean
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,NDP,Day,Anne-Marie
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Conservative,Paul-Hus,Pierre
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles,Bloc,Turmel,Marc Antoine
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Conservative,Boucher,Sylvie
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Forces,Desjardins Pelchat,Mario
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Bloc,Dufour,Sébastien
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Green,Kerr,Patrick
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,NDP,Tremblay,Jonathan
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Liberal,Vigneau,Jean-Roger
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,NDP,Chicoine,Sylvain
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Green,Mercier,Jency
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Liberal,Shanahan,Brenda
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Bloc,Stanké,Sophie
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Conservative,St-Pierre,Philippe
24021,Châteauguay--Lacolle,Châteauguay--Lacolle,Marxist-Leninist,Sullivan,Linda
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Bloc,Gauthier,Élise
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Liberal,Lemieux,Denis
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,NDP,Morin,Dany
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Conservative,Ste-Marie,Caroline
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord,Green,St-Gelais,Dany
24023,Compton--Stanstead,Compton--Stanstead,Liberal,Bibeau,Marie-Claude
24023,Compton--Stanstead,Compton--Stanstead,Bloc,Bonsant,France
24023,Compton--Stanstead,Compton--Stanstead,Rhinoceros,Côté,Kévin
24023,Compton--Stanstead,Compton--Stanstead,Conservative,Labrador,Gustavo
24023,Compton--Stanstead,Compton--Stanstead,Green,Marshall,Korie
24023,Compton--Stanstead,Compton--Stanstead,NDP,Rousseau,Jean
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Conservative,Chivu,Daniela
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Liberal,Dhillon,Anju
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Green,J. Carbonneau,Vincent
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,NDP,Morin,Isabelle
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Independent,Ndiaye,Soulèye
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle,Bloc,Vaudry,Jean-Frédéric
24025,Drummond,Drummond,Bloc,Bourgeois,Diane
24025,Drummond,Drummond,NDP,Choquette,François
24025,Drummond,Drummond,Green,Coderre,Émile
24025,Drummond,Drummond,Liberal,Côté,Pierre
24025,Drummond,Drummond,Conservative,Déry,Pascale
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Rhinoceros,Boudreau,Max
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Liberal,Lebouthillier,Diane
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Green,Morrison,Jim
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Conservative,Pigeon,Jean-Pierre
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,Bloc,Roussy,Nicolas
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,NDP,Toone,Philip
24027,Gatineau,Gatineau,Conservative,Angers,Luc
24027,Gatineau,Gatineau,Independent,Bellavance,Guy J
24027,Gatineau,Gatineau,Bloc,Boily,Philippe
24027,Gatineau,Gatineau,NDP,Boivin,Françoise
24027,Gatineau,Gatineau,Green,Dostaler,Guy
24027,Gatineau,Gatineau,Liberal,MacKinnon,Steven
24027,Gatineau,Gatineau,Marxist-Leninist,Soublière,Pierre
24028,Hochelaga,Hochelaga,NDP,Boutin-Sweet,Marjolaine
24028,Hochelaga,Hochelaga,Communist,Breton Fontaine,Marianne
24028,Hochelaga,Hochelaga,Marxist-Leninist,Dandenault,Christine
24028,Hochelaga,Hochelaga,Conservative,Dang,Alexandre
24028,Hochelaga,Hochelaga,Rhinoceros,Lemay,Nicolas
24028,Hochelaga,Hochelaga,Bloc,Marchand,Simon
24028,Hochelaga,Hochelaga,Liberal,Rizqy,Marwah
24028,Hochelaga,Hochelaga,Green,Saint-Cerny,Anne-Marie
24029,Honoré-Mercier,Honoré-Mercier,NDP,Ayala,Paulina
24029,Honoré-Mercier,Honoré-Mercier,Bloc,Beauséjour,Audrey
24029,Honoré-Mercier,Honoré-Mercier,Green,Budilean,Angela
24029,Honoré-Mercier,Honoré-Mercier,Conservative,Croteau,Guy
24029,Honoré-Mercier,Honoré-Mercier,Forces,Dejean,Dayana
24029,Honoré-Mercier,Honoré-Mercier,Marxist-Leninist,Le Seigle,Yves
24029,Honoré-Mercier,Honoré-Mercier,Liberal,Rodriguez,Pablo
24030,Hull--Aylmer,Hull--Aylmer,Conservative,Boulrice,Étienne
24030,Hull--Aylmer,Hull--Aylmer,Bloc,Chouinard-Boucher,Maude
24030,Hull--Aylmer,Hull--Aylmer,Independent,Desjardins,Luc
24030,Hull--Aylmer,Hull--Aylmer,Liberal,Fergus,Greg
24030,Hull--Aylmer,Hull--Aylmer,Green,Fleury,Roger
24030,Hull--Aylmer,Hull--Aylmer,Marxist-Leninist,Girard-Bernier,Gabriel
24030,Hull--Aylmer,Hull--Aylmer,Christian Heritage,Mulligan,Sean J.
24030,Hull--Aylmer,Hull--Aylmer,NDP,Turmel,Nycole
24031,Joliette,Joliette,Liberal,Bourgeois,Michel
24031,Joliette,Joliette,Conservative,Eid,Soheil
24031,Joliette,Joliette,NDP,Landreville,Danielle
24031,Joliette,Joliette,Forces,Morais,Robert D.
24031,Joliette,Joliette,Green,Morin,Mathieu
24031,Joliette,Joliette,Bloc,Ste-Marie,Gabriel
24032,Jonquière,Jonquière,Green,Budilean,Carmen
