district_code,name_english,last_winner,incumbent_running
24013,Thérèse-De Blainville,Liberal,TRUE
24014,Pierre-Boucher--Les Patriotes--Verchères,Bloc,TRUE
24015,Bourassa,Liberal,TRUE
24016,Brome--Missisquoi,Liberal,FALSE
24017,Brossard--Saint-Lambert,Liberal,TRUE
24018,Rimouski-Neigette--Témiscouata--Les Basques,NDP,TRUE
24019,Charlesbourg--Haute-Saint-Charles,Conservative,TRUE
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Conservative,TRUE
24021,Châteauguay--Lacolle,Liberal,TRUE
24022,Chicoutimi--Le Fjord,Conservative,TRUE
24023,Compton--Stanstead,Liberal,TRUE
24024,Dorval--Lachine--LaSalle,Liberal,TRUE
24025,Drummond,NDP,TRUE
24026,Gaspésie--Les Îles-de-la-Madeleine,Liberal,TRUE
24027,Gatineau,Liberal,TRUE
24028,Hochelaga,NDP,FALSE
24029,Honoré-Mercier,Liberal,TRUE
24030,Hull--Aylmer,Liberal,TRUE
24031,Joliette,Bloc,TRUE
24032,Jonquière,NDP,TRUE
24033,La Pointe-de-l'Île,Bloc,TRUE
24034,La Prairie,Liberal,TRUE
24035,Lac-Saint-Jean,Liberal,TRUE
24036,Lac-Saint-Louis,Liberal,TRUE
24037,LaSalle--Émard--Verdun,Liberal,TRUE
24038,Laurentides--Labelle,Liberal,TRUE
24039,Laurier--Sainte-Marie,NDP,FALSE
24040,Laval--Les Îles,Liberal,TRUE
24041,Longueuil--Charles-LeMoyne,Liberal,TRUE
24042,Lévis--Lotbinière,Conservative,TRUE
24043,Longueuil--Saint-Hubert,NDP,TRUE
24044,Louis-Hébert,Liberal,TRUE
24045,Louis-Saint-Laurent,Conservative,TRUE
24046,Manicouagan,Bloc,TRUE
24047,Mégantic--L'Érable,Conservative,TRUE
24048,Mirabel,Bloc,TRUE
24049,Montarville,Liberal,TRUE
24050,Montcalm,Bloc,TRUE
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Conservative,TRUE
24052,Mount Royal,Liberal,TRUE
24053,Notre-Dame-de-Grâce--Westmount,Liberal,TRUE
24054,Outremont,Liberal,TRUE
24055,Papineau,Liberal,TRUE
24056,Pierrefonds--Dollard,Liberal,FALSE
24057,Pontiac,Liberal,TRUE
24058,Portneuf--Jacques-Cartier,Conservative,TRUE
24059,Québec,Liberal,TRUE
24060,Repentigny,Bloc,TRUE
24061,Richmond--Arthabaska,Conservative,TRUE
24062,Rivière-des-Mille-Îles,Liberal,TRUE
24063,Rivière-du-Nord,Bloc,TRUE
24064,Rosemont--La Petite-Patrie,NDP,TRUE
24065,Marc-Aurèle-Fortin,Liberal,TRUE
24066,Saint-Hyacinthe--Bagot,NDP,TRUE
24067,Saint-Jean,Liberal,TRUE
24068,Saint-Laurent,Liberal,TRUE
24069,Saint-Léonard--Saint-Michel,Liberal,FALSE
24070,Saint-Maurice--Champlain,Liberal,TRUE
24071,Salaberry--Suroît,NDP,FALSE
24072,Shefford,Liberal,TRUE
