district_code,name_english,name_french,population
35063,Mississauga--Streetsville,Mississauga--Streetsville,118757
35064,Nepean,Nepean,104775
35065,Newmarket--Aurora,Newmarket--Aurora,109457
35066,Niagara Centre,Niagara-Centre,105860
35067,Niagara Falls,Niagara Falls,128357
35068,Niagara West,Niagara-Ouest,86533
35069,Nickel Belt,Nickel Belt,90962
35070,Nipissing--Timiskaming,Nipissing--Timiskaming,90996
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,107840
35072,Oakville,Oakville,119649
35073,Oakville North--Burlington,Oakville-Nord--Burlington,114378
35074,Oshawa,Oshawa,125771
35075,Ottawa Centre,Ottawa-Centre,113619
35076,Orléans,Orléans,119247
35077,Ottawa South,Ottawa-Sud,121894
35078,Ottawa--Vanier,Ottawa--Vanier,110999
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,111881
35080,Oxford,Oxford,108656
35081,Parkdale--High Park,Parkdale--High Park,105103
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,91263
35083,Perth--Wellington,Perth--Wellington,104912
35084,Peterborough--Kawartha,Peterborough--Kawartha,115269
35085,Pickering--Uxbridge,Pickering--Uxbridge,109344
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,102537
35087,Richmond Hill,Richmond Hill,108658
35088,Carleton,Carleton,89522
35089,St. Catharines,St. Catharines,110596
35090,Toronto--St. Paul's,Toronto--St. Paul's,103983
35091,Sarnia--Lambton,Sarnia--Lambton,106293
35092,Sault Ste. Marie,Sault Ste. Marie,82052
35093,Scarborough--Agincourt,Scarborough--Agincourt,104499
35094,Scarborough Centre,Scarborough-Centre,108826
35095,Scarborough--Guildwood,Scarborough--Guildwood,101914
35096,Scarborough North,Scarborough-Nord,101080
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,102646
35098,Scarborough Southwest,Scarborough-Sud-Ouest,106733
35099,Simcoe--Grey,Simcoe--Grey,116307
35100,Simcoe North,Simcoe-Nord,108672
35101,Spadina--Fort York,Spadina--Fort York,82480
35102,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,100913
35103,Sudbury,Sudbury,92048
35104,Thornhill,Thornhill,110427
35105,Thunder Bay--Rainy River,Thunder Bay--Rainy River,82984
35106,Thunder Bay--Superior North,Thunder Bay--Supérieur-Nord,82827
35107,Timmins--James Bay,Timmins--Baie James,83104
35108,Toronto Centre,Toronto-Centre,93971
35109,Toronto--Danforth,Toronto--Danforth,104017
35110,University--Rosedale,University--Rosedale,98605
35111,Vaughan--Woodbridge,Vaughan--Woodbridge,105450
35112,Waterloo,Waterloo,103192
35113,Wellington--Halton Hills,Wellington--Halton Hills,115880
35114,Whitby,Whitby,122022
35115,Willowdale,Willowdale,109680
35116,Windsor--Tecumseh,Windsor--Tecumseh,115528
35117,Windsor West,Windsor-Ouest,118973
35118,York Centre,York-Centre,100277
35119,York--Simcoe,York--Simcoe,94616
35120,York South--Weston,York-Sud--Weston,116606
35121,Humber River--Black Creek,Humber River--Black Creek,108198
46001,Brandon--Souris,Brandon--Souris,83814
46002,Charleswood--St. James--Assiniboia--Headingley,Charleswood--St. James--Assiniboia--Headingley,81864
46003,Churchill--Keewatinook Aski,Churchill--Keewatinook Aski,85148
46004,Dauphin--Swan River--Neepawa,Dauphin--Swan River--Neepawa,87374
46005,Elmwood--Transcona,Elmwood--Transcona,85906
46006,Kildonan--St. Paul,Kildonan--St. Paul,81794
46007,Portage--Lisgar,Portage--Lisgar,91019
46008,Provencher,Provencher,88640
46009,Saint Boniface--Saint Vital,Saint-Boniface--Saint-Vital,84353
46010,Selkirk--Interlake--Eastman,Selkirk--Interlake--Eastman,91463
46011,Winnipeg Centre,Winnipeg-Centre,82026
46012,Winnipeg North,Winnipeg-Nord,88616
46013,Winnipeg South,Winnipeg-Sud,85540
46014,Winnipeg South Centre,Winnipeg-Centre-Sud,90711
47001,Battlefords--Lloydminster,Battlefords--Lloydminster,70034
47002,Cypress Hills--Grasslands,Cypress Hills--Grasslands,67834
47003,Desnethé--Missinippi--Churchill River,Desnethé--Missinippi--Rivière Churchill,69471
47004,Carlton Trail--Eagle Creek,Sentier Carlton--Eagle Creek,72607
47005,Moose Jaw--Lake Centre--Lanigan,Moose Jaw--Lake Centre--Lanigan,76106
47006,Prince Albert,Prince Albert,79344
47007,Regina--Lewvan,Regina--Lewvan,79587
47008,Regina--Qu'Appelle,Regina--Qu'Appelle,72891
47009,Regina--Wascana,Regina--Wascana,77208
47010,Saskatoon--Grasswood,Saskatoon--Grasswood,72010
47011,Saskatoon--University,Saskatoon--University,76257
47012,Saskatoon West,Saskatoon-Ouest,76704
47013,Souris--Moose Mountain,Souris--Moose Mountain,72058
47014,Yorkton--Melville,Yorkton--Melville,71270
48001,Banff--Airdrie,Banff--Airdrie,105442
48002,Battle River--Crowfoot,Battle River--Crowfoot,107140
48003,Bow River,Bow River,103871
48004,Calgary Centre,Calgary-Centre,108931
48005,Calgary Confederation,Calgary Confederation,111785
48006,Calgary Forest Lawn,Calgary Forest Lawn,108251
48007,Calgary Heritage,Calgary Heritage,108320
48008,Calgary Midnapore,Calgary Midnapore,111227
48009,Calgary Nose Hill,Calgary Nose Hill,109286
48010,Calgary Rocky Ridge,Calgary Rocky Ridge,108901
48011,Calgary Shepard,Calgary Shepard,110296
48012,Calgary Signal Hill,Calgary Signal Hill,109647
48013,Calgary Skyview,Calgary Skyview,110189
48014,Edmonton Centre,Edmonton-Centre,106121
48015,Edmonton Griesbach,Edmonton Griesbach,107809
48016,Edmonton Manning,Edmonton Manning,106262
48017,Edmonton Mill Woods,Edmonton Mill Woods,106103
48018,Edmonton Riverbend,Edmonton Riverbend,106302
48019,Edmonton Strathcona,Edmonton Strathcona,103183
48020,Edmonton West,Edmonton-Ouest,104422
48021,Edmonton--Wetaskiwin,Edmonton--Wetaskiwin,110644
48022,Foothills,Foothills,105515
48023,Fort McMurray--Cold Lake,Fort McMurray--Cold Lake,101538
48024,Grande Prairie--Mackenzie,Grande Prairie--Mackenzie,106738
48025,Lakeland,Lakeland,104616
48026,Lethbridge,Lethbridge,105999
48027,Medicine Hat--Cardston--Warner,Medicine Hat--Cardston--Warner,102847
48028,Peace River--Westlock,Peace River--Westlock,108095
48029,Red Deer--Mountain View,Red Deer--Mountain View,110793
48030,Red Deer--Lacombe,Red Deer--Lacombe,113693
48031,St. Albert--Edmonton,St. Albert--Edmonton,105162
48032,Sherwood Park--Fort Saskatchewan,Sherwood Park--Fort Saskatchewan,111541
48033,Sturgeon River--Parkland,Sturgeon River--Parkland,105733
48034,Yellowhead,Yellowhead,98855
59001,Abbotsford,Abbotsford,96819
59002,Burnaby North--Seymour,Burnaby-Nord--Seymour,100632
59003,Burnaby South,Burnaby-Sud,105037
59004,Cariboo--Prince George,Cariboo--Prince George,108252
59005,Central Okanagan--Similkameen--Nicola,Central Okanagan--Similkameen--Nicola,104398
59006,Chilliwack--Hope,Chilliwack--Hope,92734
59007,Cloverdale--Langley City,Cloverdale--Langley City,100318
59008,Coquitlam--Port Coquitlam,Coquitlam--Port Coquitlam,110277
59009,Courtenay--Alberni,Courtenay--Alberni,110391
59010,Cowichan--Malahat--Langford,Cowichan--Malahat--Langford,99160
59011,Delta,Delta,100588
59012,Fleetwood--Port Kells,Fleetwood--Port Kells,109742
59013,Kamloops--Thompson--Cariboo,Kamloops--Thompson--Cariboo,118618
59014,Kelowna--Lake Country,Kelowna--Lake Country,110051
59015,Kootenay--Columbia,Kootenay--Columbia,107589
59016,Langley--Aldergrove,Langley--Aldergrove,103084
59017,Mission--Matsqui--Fraser Canyon,Mission--Matsqui--Fraser Canyon,90871
59018,Nanaimo--Ladysmith,Nanaimo--Ladysmith,114998
59019,New Westminster--Burnaby,New Westminster--Burnaby,108652
59020,North Okanagan--Shuswap,North Okanagan--Shuswap,121474
59021,North Vancouver,North Vancouver,109639
59022,Pitt Meadows--Maple Ridge,Pitt Meadows--Maple Ridge,94111
59023,Port Moody--Coquitlam,Port Moody--Coquitlam,108326
59024,Prince George--Peace River--Northern Rockies,Prince George--Peace River--Northern Rockies,107382
59025,Richmond Centre,Richmond-Centre,93863
59026,Esquimalt--Saanich--Sooke,Esquimalt--Saanich--Sooke,113004
59027,Saanich--Gulf Islands,Saanich--Gulf Islands,104285
59028,Skeena--Bulkley Valley,Skeena--Bulkley Valley,90586
59029,South Okanagan--West Kootenay,Okanagan-Sud--Kootenay-Ouest,112096
59030,South Surrey--White Rock,Surrey-Sud--White Rock,94678
59031,Steveston--Richmond East,Steveston--Richmond-Est,96610
59032,Surrey Centre,Surrey-Centre,111486
59033,Surrey--Newton,Surrey--Newton,105183
59034,Vancouver Centre,Vancouver-Centre,102480
59035,Vancouver East,Vancouver-Est,110097
59036,Vancouver Granville,Vancouver Granville,99886
59037,North Island--Powell River,North Island--Powell River,103458
59038,Vancouver Kingsway,Vancouver Kingsway,102003
59039,Vancouver Quadra,Vancouver Quadra,102416
59040,Vancouver South,Vancouver-Sud,100966
59041,Victoria,Victoria,110942
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country,112875
60001,Yukon,Yukon,33897
61001,Northwest Territories,Territoires du Nord-Ouest,41462
62001,Nunavut,Nunavut,31906
