District,Poll Number,Poll Name,Daniel Blackburn,Jean-Pierre Bonenfant,Charles Bussières,Louis Plamondon,Daniel A. Proulx,Ghislaine Provencher,Rejected Ballots,Total Vote,Electors
Richelieu/Richelieu,53,Sainte-Eulalie,3,3,1,143,14,49,9,222,352
Richelieu/Richelieu,54,Grand-Saint-Esprit,4,3,4,164,22,52,5,254,384
Richelieu/Richelieu,55,Sainte-Monique,1,6,13,110,13,36,3,182,304
Richelieu/Richelieu,56,Sainte-Monique,0,1,5,44,13,15,2,80,139
Richelieu/Richelieu,57,Saint-Léonard,1,4,6,138,22,41,4,216,358
Richelieu/Richelieu,58,Sainte-Perpétue,2,3,6,127,30,52,14,234,319
Richelieu/Richelieu,59,Sainte-Perpétue,0,1,6,155,51,62,6,281,402
Richelieu/Richelieu,60,Saint-Jean-Baptiste-de-Nicolet,3,14,8,177,14,68,8,292,472
Richelieu/Richelieu,61A,Saint-Jean-Baptiste-de-Nicolet,7,2,5,135,19,33,4,205,328
Richelieu/Richelieu,61B,Saint-Jean-Baptiste-de-Nicolet,6,6,3,143,18,27,2,205,335
Richelieu/Richelieu,62,Saint-Jean-Baptiste-de-Nicolet,4,4,5,137,15,53,12,230,355
Richelieu/Richelieu,63,Saint-Jean-Baptiste-de-Nicolet,5,5,0,91,5,36,9,151,209
Richelieu/Richelieu,64,Nicolet,0,5,0,75,17,29,1,127,201
Richelieu/Richelieu,65,Nicolet,2,4,3,103,18,56,8,194,354
Richelieu/Richelieu,66,Saint-Jean-Baptiste-de-Nicolet,2,6,8,204,24,55,6,305,447
Richelieu/Richelieu,67,Saint-Jean-Baptiste-de-Nicolet,5,7,10,204,36,64,14,340,528
Richelieu/Richelieu,68,Nicolet,4,6,5,98,30,138,3,284,560
Richelieu/Richelieu,69A,Nicolet,2,2,4,156,11,70,6,251,395
Richelieu/Richelieu,69B,Mobile poll/Bureau itinérant,Merged with No. 120B,,,,,,,,103
Richelieu/Richelieu,70,Nicolet,1,7,3,144,22,61,4,242,379
Richelieu/Richelieu,71,Nicolet,4,2,5,57,14,29,0,111,200
Richelieu/Richelieu,72,Nicolet,0,5,7,67,6,27,0,112,262
Richelieu/Richelieu,73,Nicolet,2,1,0,119,7,28,3,160,332
Richelieu/Richelieu,74,Nicolet,1,4,3,121,17,20,5,171,341
Richelieu/Richelieu,75,Nicolet,6,4,8,126,14,43,12,213,348
Richelieu/Richelieu,76,Nicolet-Sud,3,8,6,104,23,61,6,211,306
Richelieu/Richelieu,77,Baie-du-Febvre,0,3,0,126,18,48,3,198,308
Richelieu/Richelieu,78,Baie-du-Febvre,1,4,1,70,3,22,1,102,157
Richelieu/Richelieu,79,Baie-du-Febvre,4,3,6,159,37,57,8,274,403
Richelieu/Richelieu,80,La Visitation,3,4,1,125,20,38,0,191,278
Richelieu/Richelieu,81,Saint-Zéphirin,2,1,4,116,20,47,7,197,327
Richelieu/Richelieu,82,Saint-Zéphirin,3,4,1,100,18,47,4,177,260
Richelieu/Richelieu,83,Saint-Thomas-de-Pierreville,Merged with No. 87,,,,,,,,91
Richelieu/Richelieu,84,Notre-Dame-de-Pierreville,6,4,0,151,4,30,7,202,372
Richelieu/Richelieu,85A,Saint-Thomas-de-Pierreville,2,2,2,113,13,42,5,179,321
Richelieu/Richelieu,85B,Saint-Thomas-de-Pierreville,4,3,2,109,15,41,4,178,332
Richelieu/Richelieu,86,Pierreville,0,1,5,175,14,39,3,237,392
Richelieu/Richelieu,87,Pierreville,6,3,4,162,14,43,5,237,327
Richelieu/Richelieu,88,Saint-Elphège,3,4,0,99,13,52,3,174,233
Richelieu/Richelieu,89,Saint-François-du-Lac,2,5,6,141,23,53,13,243,416
Richelieu/Richelieu,90,Saint-François-du-Lac,3,5,6,168,15,51,8,256,433
Richelieu/Richelieu,91,Saint-François-du-Lac,0,4,2,110,8,36,7,167,297
Richelieu/Richelieu,92,Notre-Dame-de-Pierreville,3,5,1,140,20,39,8,216,390
Richelieu/Richelieu,93,Saint-François-du-Lac,3,4,6,171,15,39,6,244,422
Richelieu/Richelieu,94,Saint-Gérard-Majella,1,2,1,56,16,35,0,111,197
Richelieu/Richelieu,95,Sainte-Anne-de-Sorel,2,0,7,142,10,48,0,209,365
Richelieu/Richelieu,96,Sainte-Anne-de-Sorel,2,4,3,163,12,48,6,238,400
Richelieu/Richelieu,97,Saint-Michel-d'Yamaska,1,3,4,121,12,40,3,184,310
Richelieu/Richelieu,98,Saint-Michel-d'Yamaska,1,5,2,156,12,66,2,244,414
Richelieu/Richelieu,99,Yamaska,4,2,5,160,12,81,10,274,439
Richelieu/Richelieu,100,Yamaska-Est,1,1,1,80,13,16,1,113,194
Richelieu/Richelieu,101,Saint-David,4,2,5,110,14,56,11,202,317
Richelieu/Richelieu,102,Saint-David,3,7,8,113,17,52,9,209,341
Richelieu/Richelieu,103,Sainte-Anne-de-Sorel,1,4,5,144,21,66,16,257,405
Richelieu/Richelieu,104,Sainte-Anne-de-Sorel,0,3,4,149,6,35,10,207,322
Richelieu/Richelieu,105,Sainte-Anne-de-Sorel,1,1,0,101,7,71,3,184,307
Richelieu/Richelieu,106,Sainte-Anne-de-Sorel,4,7,3,195,9,49,10,277,443
Richelieu/Richelieu,107,Sorel,1,6,4,128,13,60,3,215,396
Richelieu/Richelieu,108,Sorel,1,1,3,88,14,73,7,187,321
Richelieu/Richelieu,109,Sorel,1,1,3,137,4,37,6,189,365
Richelieu/Richelieu,110,Sorel,2,7,8,147,15,37,9,225,384
Richelieu/Richelieu,111,Sorel,0,5,4,112,8,55,6,190,358
Richelieu/Richelieu,112,Sorel,1,2,4,120,6,65,6,204,378
Richelieu/Richelieu,113,Sorel,2,2,4,127,9,34,6,184,364
Richelieu/Richelieu,114,Sorel,1,1,3,140,5,45,1,196,401
Richelieu/Richelieu,115,Sorel,0,4,2,141,7,40,9,203,391
Richelieu/Richelieu,116,Sorel,1,2,0,86,8,27,8,132,355
Richelieu/Richelieu,117,Sorel,1,3,5,178,19,62,4,272,483
Richelieu/Richelieu,118,Sorel,2,2,1,141,11,35,1,193,321
Richelieu/Richelieu,119,Sorel,1,2,3,113,6,55,9,189,368
Richelieu/Richelieu,120A,Sorel,0,3,1,87,8,24,5,128,364
Richelieu/Richelieu,120B,Mobile poll/Bureau itinérant,1,0,1,92,14,77,4,189,126
Richelieu/Richelieu,121,Sorel,0,1,1,69,2,44,3,120,312
Richelieu/Richelieu,122,Sorel,4,6,2,93,1,28,5,139,352
Richelieu/Richelieu,123,Sorel,1,1,4,73,7,30,3,119,301
Richelieu/Richelieu,124,Sorel,2,1,0,81,5,15,4,108,302
Richelieu/Richelieu,125,Sorel,1,0,3,83,5,34,7,133,348
Richelieu/Richelieu,126,Sorel,2,3,4,84,6,29,0,128,302
Richelieu/Richelieu,127,Sorel,0,4,0,97,10,13,2,126,374
Richelieu/Richelieu,128,Sorel,2,3,1,110,8,25,3,152,320
Richelieu/Richelieu,129,Sorel,0,2,6,129,13,44,8,202,391
Richelieu/Richelieu,130,Sorel,2,1,2,156,9,45,4,219,383
Richelieu/Richelieu,131,Sorel,6,3,4,155,12,48,6,234,481
Richelieu/Richelieu,132,Sorel,2,2,4,175,14,29,8,234,426
Richelieu/Richelieu,133,Saint-Joseph-de-Sorel,1,0,5,108,8,43,2,167,303
Richelieu/Richelieu,134,Saint-Joseph-de-Sorel,0,5,5,129,6,38,2,185,321
Richelieu/Richelieu,135,Saint-Joseph-de-Sorel,3,1,4,101,7,18,5,139,288
Richelieu/Richelieu,136,Saint-Joseph-de-Sorel,2,1,1,81,11,28,5,129,278
Richelieu/Richelieu,137,Saint-Joseph-de-Sorel,2,2,0,83,6,23,6,122,266
Richelieu/Richelieu,138,Tracy,0,1,5,148,9,15,4,182,332
Richelieu/Richelieu,139,Tracy,3,1,2,146,8,30,4,194,370
Richelieu/Richelieu,140,Tracy,3,1,6,128,12,44,7,201,342
Richelieu/Richelieu,141,Tracy,5,2,2,104,7,25,0,145,335
Richelieu/Richelieu,142,Tracy,0,2,2,117,13,33,5,172,309
Richelieu/Richelieu,143,Tracy,2,1,0,117,7,33,5,165,294
Richelieu/Richelieu,144,Tracy,4,4,4,122,8,19,6,167,299
Richelieu/Richelieu,145,Tracy,1,1,5,121,8,41,3,180,275
Richelieu/Richelieu,146,Tracy,1,3,3,135,16,43,6,207,398
Richelieu/Richelieu,147,Tracy,3,4,1,149,6,27,5,195,335
Richelieu/Richelieu,148,Tracy,2,0,6,126,7,47,3,191,296
Richelieu/Richelieu,149,Tracy,2,6,3,119,10,33,6,179,294
Richelieu/Richelieu,150,Tracy,4,7,6,151,19,43,5,235,368
Richelieu/Richelieu,151,Tracy,0,1,7,86,10,42,2,148,273
Richelieu/Richelieu,152,Tracy,6,3,4,109,7,40,4,173,294
Richelieu/Richelieu,153,Tracy,2,3,7,131,10,48,6,207,352
Richelieu/Richelieu,154,Tracy,1,7,1,186,17,36,5,253,400
Richelieu/Richelieu,155,Tracy,3,2,17,147,16,35,3,223,328
Richelieu/Richelieu,156,Tracy,1,1,4,120,8,43,2,179,423
Richelieu/Richelieu,157,Tracy,2,2,4,145,12,28,5,198,391
Richelieu/Richelieu,158,Tracy,2,3,4,120,16,48,0,193,356
Richelieu/Richelieu,159,Tracy,2,2,5,144,10,65,3,231,459
Richelieu/Richelieu,160,Tracy,4,5,2,182,19,50,9,271,441
Richelieu/Richelieu,161,Tracy,5,5,4,157,11,32,8,222,433
Richelieu/Richelieu,162,Tracy,3,2,5,111,10,33,3,167,263
Richelieu/Richelieu,163,Tracy,1,6,7,156,14,89,8,281,488
Richelieu/Richelieu,164,Tracy,1,14,13,231,23,50,5,337,530
Richelieu/Richelieu,165A,Tracy,1,3,6,105,15,48,3,181,322
Richelieu/Richelieu,165B,Tracy,2,1,10,129,19,50,7,218,350
Richelieu/Richelieu,166,Sorel,3,8,9,145,18,49,2,234,397
Richelieu/Richelieu,167,Sorel,4,3,6,94,7,48,6,168,313
Richelieu/Richelieu,168,Sorel,1,5,5,159,8,54,3,235,384
Richelieu/Richelieu,169,Sorel,5,3,22,186,13,37,6,272,423
Richelieu/Richelieu,170,Sorel,3,5,3,141,18,33,9,212,395
Richelieu/Richelieu,171,Sorel,4,2,3,174,12,37,5,237,442
Richelieu/Richelieu,172,Sorel,1,4,7,114,4,39,5,174,338
Richelieu/Richelieu,173,Sorel,2,5,6,146,8,52,6,225,422
Richelieu/Richelieu,174,Sorel,1,5,7,163,12,51,12,251,441
Richelieu/Richelieu,175,Sorel,2,2,3,217,24,68,7,323,510
Richelieu/Richelieu,176,Sorel,1,6,8,165,10,38,4,232,417
Richelieu/Richelieu,177,Sorel,1,3,5,184,8,42,8,251,406
Richelieu/Richelieu,178,Sorel,4,8,6,143,25,39,5,230,366
Richelieu/Richelieu,179,Sorel,3,5,9,228,23,37,7,312,453
Richelieu/Richelieu,180,Sorel,1,1,10,171,15,28,12,238,357
Richelieu/Richelieu,181,Sorel,1,2,5,142,13,44,7,214,313
Richelieu/Richelieu,182,Sorel,5,4,4,182,21,42,15,273,406
Richelieu/Richelieu,183,Sorel,3,4,3,174,14,29,2,229,371
Richelieu/Richelieu,184,Sorel,1,1,9,126,12,23,8,180,353
Richelieu/Richelieu,185,Sorel,1,3,2,148,14,31,1,200,366
Richelieu/Richelieu,186,Sorel,0,0,3,127,12,30,3,175,361
Richelieu/Richelieu,187,Sorel,3,2,2,163,16,31,5,222,384
Richelieu/Richelieu,188,Sorel,2,0,2,116,10,25,2,157,301
Richelieu/Richelieu,189,Saint-Robert,3,2,2,135,5,20,11,178,388
Richelieu/Richelieu,190,Saint-Robert,1,1,1,61,3,5,1,73,127
Richelieu/Richelieu,191,Saint-Robert,1,1,1,72,5,9,6,95,173
Richelieu/Richelieu,192,Saint-Robert,2,1,2,135,10,33,5,188,339
Richelieu/Richelieu,193,Sainte-Victoire-de-Sorel,4,1,5,175,14,38,8,245,396
Richelieu/Richelieu,194A,Sainte-Victoire-de-Sorel,2,1,2,139,14,30,3,191,323
Richelieu/Richelieu,194B,Sainte-Victoire-de-Sorel,1,8,3,145,11,30,8,206,319
Richelieu/Richelieu,195,Sainte-Victoire-de-Sorel,4,6,3,208,23,46,4,294,453
Richelieu/Richelieu,196,Sainte-Victoire-de-Sorel,1,0,9,152,8,67,7,244,407
Richelieu/Richelieu,197,Saint-Robert,2,6,1,143,21,46,8,227,385
Richelieu/Richelieu,198,Saint-Aimé,1,3,0,163,16,59,4,246,411
Richelieu/Richelieu,199,Massueville,0,1,1,95,9,32,1,139,218
Richelieu/Richelieu,200,Massueville,1,2,7,84,2,28,4,128,218
Richelieu/Richelieu,201,Saint-Roch-de-Richelieu,2,7,5,251,24,31,8,328,555
Richelieu/Richelieu,202,Saint-Ours,1,2,3,209,18,75,8,316,463
Richelieu/Richelieu,203,Saint-Roch-de-Richelieu,5,5,3,220,20,59,6,318,546
Richelieu/Richelieu,204,Saint-Roch-de-Richelieu,2,1,0,151,23,30,5,212,368
Richelieu/Richelieu,205,Saint-Ours,4,2,1,105,11,32,4,159,240
Richelieu/Richelieu,206,Saint-Ours,5,6,2,116,6,25,0,160,232
Richelieu/Richelieu,207,Saint-Ours,1,4,6,178,17,53,9,268,406
Richelieu/Richelieu,500,Mobile poll/Bureau itinérant,0,2,0,23,3,40,1,69,67
Richelieu/Richelieu,600,Saint-Pierre-les-Becquets,1,2,1,110,10,53,3,180,
Richelieu/Richelieu,601,Bécancour,3,5,4,212,35,67,5,331,
Richelieu/Richelieu,602,Sainte-Eulalie--Sainte-Monique,1,6,6,181,27,76,3,300,
Richelieu/Richelieu,603,Nicolet--Saint-Zéphirin-de-Courval,2,10,11,281,39,189,13,545,
Richelieu/Richelieu,604,Pierreville,1,0,5,149,19,59,5,238,
Richelieu/Richelieu,605,Yamaska,0,2,4,119,10,63,2,200,
Richelieu/Richelieu,606,Sorel-Tracy,2,3,5,443,50,193,20,716,
Richelieu/Richelieu,607,Saint-Joseph-de-Sorel--Tracy,5,13,8,495,54,224,11,810,
Richelieu/Richelieu,608,Sorel-Tracy,4,9,15,384,32,156,11,611,
Richelieu/Richelieu,609,Sainte-Victoire-de-Sorel,0,3,3,131,9,44,3,193,
Richelieu/Richelieu,,Group 1/Groupe 1,10,3,2,50,21,24,3,113,237
Richelieu/Richelieu,,Group 2/Groupe 2,10,15,14,935,69,476,65,1584,
