District,Poll Number,Poll Name,Derrall Bellaire,Irene Mathyssen,John Mazzilli,Ed Moore,Pat O'Brien,Cameron Switzer,Rejected Ballots,Total Vote,Electors
London--Fanshawe/London--Fanshawe,57,London,1,39,22,5,44,0,1,112,219
London--Fanshawe/London--Fanshawe,58,London,2,38,49,6,54,0,0,149,317
London--Fanshawe/London--Fanshawe,59,London,1,47,34,10,71,0,0,163,367
London--Fanshawe/London--Fanshawe,60,London,2,77,55,5,56,1,2,198,445
London--Fanshawe/London--Fanshawe,61,London,1,51,34,5,64,0,0,155,357
London--Fanshawe/London--Fanshawe,62,London,0,79,25,8,79,0,0,191,408
London--Fanshawe/London--Fanshawe,63,London,2,75,64,6,79,0,1,227,360
London--Fanshawe/London--Fanshawe,64,London,1,14,30,8,27,0,0,80,146
London--Fanshawe/London--Fanshawe,65A,London,1,85,22,0,40,0,1,149,325
London--Fanshawe/London--Fanshawe,65B,London,1,65,27,9,35,1,1,139,299
London--Fanshawe/London--Fanshawe,66,London,1,85,52,10,91,0,1,240,460
London--Fanshawe/London--Fanshawe,67,London,2,81,31,2,43,2,2,163,463
London--Fanshawe/London--Fanshawe,68,London,5,104,41,14,90,1,2,257,547
London--Fanshawe/London--Fanshawe,69,London,2,40,27,7,27,0,0,103,155
London--Fanshawe/London--Fanshawe,70,London,3,45,42,7,63,0,2,162,332
London--Fanshawe/London--Fanshawe,71,London,3,96,69,10,81,0,1,260,542
London--Fanshawe/London--Fanshawe,72,London,2,40,73,5,46,0,1,167,329
London--Fanshawe/London--Fanshawe,73A,London,3,66,56,6,66,0,2,199,413
London--Fanshawe/London--Fanshawe,73B,London,Merged with No. 74B,,,,,,,,163
London--Fanshawe/London--Fanshawe,74A,London,0,67,39,12,49,0,1,168,388
London--Fanshawe/London--Fanshawe,74B,London,2,59,51,3,49,1,5,170,174
London--Fanshawe/London--Fanshawe,75,London,1,52,54,7,56,0,2,172,468
London--Fanshawe/London--Fanshawe,76,London,1,11,47,1,38,0,0,98,155
London--Fanshawe/London--Fanshawe,77,London,0,28,71,4,63,2,1,169,321
London--Fanshawe/London--Fanshawe,78,London,3,36,39,4,33,1,1,117,258
London--Fanshawe/London--Fanshawe,79,London,1,46,29,2,38,0,0,116,207
London--Fanshawe/London--Fanshawe,80,London,1,57,76,10,95,0,2,241,490
London--Fanshawe/London--Fanshawe,81,London,1,96,72,15,105,0,0,289,539
London--Fanshawe/London--Fanshawe,82,London,3,88,47,9,103,1,1,252,404
London--Fanshawe/London--Fanshawe,83,London,1,75,59,12,92,0,3,242,399
London--Fanshawe/London--Fanshawe,84,London,1,79,50,13,88,0,2,233,376
London--Fanshawe/London--Fanshawe,85,London,4,87,39,3,83,1,1,218,372
London--Fanshawe/London--Fanshawe,86,London,3,80,65,15,89,0,0,252,392
London--Fanshawe/London--Fanshawe,87,London,5,66,38,6,94,1,3,213,375
London--Fanshawe/London--Fanshawe,88,London,2,91,67,7,64,0,0,231,417
London--Fanshawe/London--Fanshawe,89,London,0,74,48,7,70,1,1,201,460
London--Fanshawe/London--Fanshawe,90,London,3,47,83,6,125,0,5,269,478
London--Fanshawe/London--Fanshawe,91,London,2,39,83,10,104,0,0,238,389
London--Fanshawe/London--Fanshawe,92A,London,3,47,75,10,100,0,1,236,420
London--Fanshawe/London--Fanshawe,92B,London,2,48,68,12,115,0,1,246,403
London--Fanshawe/London--Fanshawe,93,London,4,28,46,7,63,0,0,148,298
London--Fanshawe/London--Fanshawe,94A,London,2,51,37,7,61,0,2,160,392
London--Fanshawe/London--Fanshawe,94B,London,3,56,39,8,47,0,3,156,214
London--Fanshawe/London--Fanshawe,95,London,0,51,75,3,83,0,0,212,361
London--Fanshawe/London--Fanshawe,96A,London,3,50,45,6,58,0,0,162,355
London--Fanshawe/London--Fanshawe,96B,London,Merged with No. 94B,,,,,,,,158
London--Fanshawe/London--Fanshawe,97,London,3,29,8,0,29,1,0,70,187
London--Fanshawe/London--Fanshawe,98,London,3,60,42,8,88,0,6,207,404
London--Fanshawe/London--Fanshawe,99,London,2,48,56,8,70,0,1,185,332
London--Fanshawe/London--Fanshawe,100,London,0,25,74,7,77,0,1,184,343
London--Fanshawe/London--Fanshawe,101,London,3,73,31,9,57,1,2,176,393
London--Fanshawe/London--Fanshawe,102,London,5,52,39,15,89,0,2,202,390
London--Fanshawe/London--Fanshawe,103,London,0,56,27,9,56,2,1,151,403
London--Fanshawe/London--Fanshawe,104,London,3,50,32,8,45,0,1,139,292
London--Fanshawe/London--Fanshawe,105,London,4,63,53,12,81,1,1,215,519
London--Fanshawe/London--Fanshawe,106,London,2,78,40,11,59,0,0,190,350
London--Fanshawe/London--Fanshawe,107,London,0,61,31,10,43,0,1,146,352
London--Fanshawe/London--Fanshawe,108,London,1,69,28,5,61,0,0,164,319
London--Fanshawe/London--Fanshawe,109,London,0,50,68,8,80,0,2,208,332
London--Fanshawe/London--Fanshawe,110,London,1,54,59,6,64,0,1,185,306
London--Fanshawe/London--Fanshawe,111,London,3,42,63,7,78,0,2,195,476
London--Fanshawe/London--Fanshawe,112,London,3,114,58,8,75,2,1,261,581
London--Fanshawe/London--Fanshawe,113,London,0,68,48,14,61,1,3,195,401
London--Fanshawe/London--Fanshawe,114,London,2,57,46,2,96,0,0,203,357
London--Fanshawe/London--Fanshawe,115,London,1,55,32,11,41,0,0,140,265
London--Fanshawe/London--Fanshawe,116,London,4,53,43,14,103,1,1,219,408
London--Fanshawe/London--Fanshawe,117,London,0,53,48,18,53,0,0,172,366
London--Fanshawe/London--Fanshawe,118,London,1,35,59,9,57,0,2,163,250
London--Fanshawe/London--Fanshawe,119,London,0,43,82,7,75,0,3,210,370
London--Fanshawe/London--Fanshawe,120,London,1,42,51,3,78,0,2,177,294
London--Fanshawe/London--Fanshawe,121,London,4,55,86,14,142,0,1,302,495
London--Fanshawe/London--Fanshawe,122,London,2,52,38,4,95,0,2,193,449
London--Fanshawe/London--Fanshawe,123,London,4,38,34,9,67,0,4,156,415
London--Fanshawe/London--Fanshawe,124,London,5,32,51,4,102,0,2,196,424
London--Fanshawe/London--Fanshawe,125,London,3,51,61,5,110,0,2,232,363
London--Fanshawe/London--Fanshawe,126,London,1,63,57,8,88,0,1,218,374
London--Fanshawe/London--Fanshawe,127A,London,1,49,38,8,53,0,1,150,361
London--Fanshawe/London--Fanshawe,127B,London,0,55,41,6,54,1,0,157,364
London--Fanshawe/London--Fanshawe,128,London,2,19,16,8,15,0,0,60,116
London--Fanshawe/London--Fanshawe,129,London,3,55,47,6,70,1,0,182,364
London--Fanshawe/London--Fanshawe,130,London,5,77,71,12,112,0,1,278,449
London--Fanshawe/London--Fanshawe,131,London,2,50,50,7,45,0,1,155,289
London--Fanshawe/London--Fanshawe,132,London,5,80,74,4,92,0,0,255,466
London--Fanshawe/London--Fanshawe,133,London,4,65,55,8,99,0,0,231,417
London--Fanshawe/London--Fanshawe,134,London,3,74,51,8,100,0,0,236,472
London--Fanshawe/London--Fanshawe,135,London,1,69,47,4,56,0,1,178,313
London--Fanshawe/London--Fanshawe,136,London,1,80,65,9,75,1,2,233,443
London--Fanshawe/London--Fanshawe,137,London,3,40,58,7,93,0,1,202,339
London--Fanshawe/London--Fanshawe,138,London,3,38,61,8,81,0,3,194,308
London--Fanshawe/London--Fanshawe,139,London,1,80,61,7,111,0,2,262,431
London--Fanshawe/London--Fanshawe,140,London,0,75,46,1,59,0,1,182,301
London--Fanshawe/London--Fanshawe,141,London,2,84,72,8,85,0,2,253,519
London--Fanshawe/London--Fanshawe,142,London,2,18,20,2,28,0,3,73,295
London--Fanshawe/London--Fanshawe,143A,London,0,50,62,14,109,0,1,236,386
London--Fanshawe/London--Fanshawe,143B,London,8,27,49,3,67,0,5,159,455
London--Fanshawe/London--Fanshawe,144,London,1,53,72,10,118,1,2,257,388
London--Fanshawe/London--Fanshawe,145,London,5,30,78,7,150,0,0,270,409
London--Fanshawe/London--Fanshawe,146,London,2,35,82,5,111,0,0,235,412
London--Fanshawe/London--Fanshawe,147,London,3,91,70,11,108,0,2,285,565
London--Fanshawe/London--Fanshawe,148,London,3,39,35,10,67,1,0,155,312
London--Fanshawe/London--Fanshawe,149,London,4,50,65,10,103,0,2,234,452
London--Fanshawe/London--Fanshawe,150,London,0,58,73,12,83,0,4,230,383
London--Fanshawe/London--Fanshawe,151,London,0,55,41,8,66,0,3,173,289
London--Fanshawe/London--Fanshawe,152,London,4,34,50,4,89,1,0,182,342
London--Fanshawe/London--Fanshawe,153,London,1,55,66,14,125,1,2,264,388
London--Fanshawe/London--Fanshawe,154,London,0,57,44,11,57,0,2,171,382
London--Fanshawe/London--Fanshawe,155,London,1,68,57,18,81,1,3,229,507
London--Fanshawe/London--Fanshawe,156A,London,0,43,47,10,68,0,1,169,318
London--Fanshawe/London--Fanshawe,156B,London,0,43,58,2,68,0,2,173,320
London--Fanshawe/London--Fanshawe,157,London,Void,,,,,,,,
London--Fanshawe/London--Fanshawe,158,London,1,89,47,11,109,0,1,258,492
London--Fanshawe/London--Fanshawe,159,London,2,44,81,13,75,0,4,219,412
London--Fanshawe/London--Fanshawe,160,London,3,79,66,14,105,3,1,271,470
London--Fanshawe/London--Fanshawe,161,London,1,50,40,7,93,0,1,192,382
London--Fanshawe/London--Fanshawe,162,London,4,49,29,11,47,0,2,142,427
London--Fanshawe/London--Fanshawe,163,London,3,63,63,15,106,0,2,252,471
London--Fanshawe/London--Fanshawe,164,London,3,63,98,14,149,0,2,329,555
London--Fanshawe/London--Fanshawe,165,London,2,48,50,9,57,0,0,166,306
London--Fanshawe/London--Fanshawe,166,London,1,50,63,6,108,0,3,231,458
London--Fanshawe/London--Fanshawe,167,London,1,21,60,12,89,0,1,184,339
London--Fanshawe/London--Fanshawe,168,London,2,51,41,10,104,1,2,211,427
London--Fanshawe/London--Fanshawe,169,London,3,66,69,9,81,0,3,231,463
London--Fanshawe/London--Fanshawe,170,London,0,32,28,2,51,0,0,113,222
London--Fanshawe/London--Fanshawe,171,London,2,27,36,4,38,0,2,109,242
London--Fanshawe/London--Fanshawe,172,London,2,64,77,21,94,0,1,259,548
London--Fanshawe/London--Fanshawe,173,London,4,51,39,8,100,0,1,203,434
London--Fanshawe/London--Fanshawe,174,London,3,48,83,11,111,0,4,260,480
London--Fanshawe/London--Fanshawe,175,London,4,45,51,9,81,1,2,193,408
London--Fanshawe/London--Fanshawe,176,London,1,44,13,1,34,0,3,96,283
London--Fanshawe/London--Fanshawe,177A,London,0,41,30,9,59,0,1,140,313
London--Fanshawe/London--Fanshawe,177B,London,3,37,40,8,58,0,1,147,308
London--Fanshawe/London--Fanshawe,178,London,4,43,54,2,126,0,3,232,471
London--Fanshawe/London--Fanshawe,179,London,1,69,82,7,116,1,1,277,507
London--Fanshawe/London--Fanshawe,180,London,4,37,39,5,51,0,1,137,405
London--Fanshawe/London--Fanshawe,181,London,0,36,16,2,33,0,3,90,365
London--Fanshawe/London--Fanshawe,182A,London,0,41,56,8,112,1,2,220,358
London--Fanshawe/London--Fanshawe,182B,London,Merged with No. 185B,,,,,,,,187
London--Fanshawe/London--Fanshawe,183,London,0,44,43,4,62,0,1,154,335
London--Fanshawe/London--Fanshawe,184,London,2,61,56,8,79,0,3,209,462
London--Fanshawe/London--Fanshawe,185A,London,5,67,53,7,85,0,3,220,468
London--Fanshawe/London--Fanshawe,185B,London,3,63,58,5,96,0,0,225,205
London--Fanshawe/London--Fanshawe,600,London,5,100,130,10,156,0,2,403,
London--Fanshawe/London--Fanshawe,601,London,2,82,57,6,55,0,0,202,
London--Fanshawe/London--Fanshawe,602,London,6,93,108,8,93,1,2,311,
London--Fanshawe/London--Fanshawe,603,London,9,154,151,15,146,0,5,480,
London--Fanshawe/London--Fanshawe,604,London,0,109,131,9,103,0,0,352,
London--Fanshawe/London--Fanshawe,605,London,3,52,69,9,76,0,2,211,
London--Fanshawe/London--Fanshawe,606,London,1,32,47,14,68,0,1,163,
London--Fanshawe/London--Fanshawe,607,London,4,89,156,5,173,0,0,427,
London--Fanshawe/London--Fanshawe,608,London,3,95,186,15,182,0,2,483,
London--Fanshawe/London--Fanshawe,609,London,7,135,134,12,244,3,0,535,
London--Fanshawe/London--Fanshawe,,Group 1/Groupe 1,10,21,45,10,41,0,0,127,267
London--Fanshawe/London--Fanshawe,,Group 2/Groupe 2,6,95,138,14,114,0,9,376,
