District,Poll Number,Poll Name,Brian Fitzpatrick,Don Hovdebo,Patrick W. Jahn,Marc Loiselle,Rejected Ballots,Total Vote,Electors
Prince Albert/Prince Albert,68,Prince Albert,77,56,80,8,1,222,511
Prince Albert/Prince Albert,69,Prince Albert,83,66,77,8,0,234,414
Prince Albert/Prince Albert,70,Prince Albert,79,52,64,4,0,199,403
Prince Albert/Prince Albert,71,Prince Albert,27,30,20,6,0,83,470
Prince Albert/Prince Albert,72,Prince Albert,98,68,83,10,3,262,451
Prince Albert/Prince Albert,73,Prince Albert,110,48,65,13,1,237,516
Prince Albert/Prince Albert,74,Prince Albert,118,34,129,9,1,291,647
Prince Albert/Prince Albert,75,Prince Albert,98,65,112,9,1,285,511
Prince Albert/Prince Albert,76,Prince Albert,74,47,80,6,0,207,392
Prince Albert/Prince Albert,77,Lily Plain,94,36,38,6,0,174,331
Prince Albert/Prince Albert,78,Birson,102,57,33,15,0,207,585
Prince Albert/Prince Albert,79,Davis,120,54,58,8,0,240,386
Prince Albert/Prince Albert,80,Birson,98,29,47,2,1,177,307
Prince Albert/Prince Albert,81,Birson,101,53,53,5,0,212,304
Prince Albert/Prince Albert,82,Muskoday 99,13,56,65,10,0,144,332
Prince Albert/Prince Albert,83,Birch Hills,76,55,28,4,0,163,250
Prince Albert/Prince Albert,84,Brancepeth,87,29,12,3,0,131,195
Prince Albert/Prince Albert,85,Birch Hills,162,96,33,10,0,301,601
Prince Albert/Prince Albert,86,Birch Hills,68,51,24,5,0,148,251
Prince Albert/Prince Albert,87,Pahonan,109,12,11,3,0,135,210
Prince Albert/Prince Albert,88,James Smith 100,5,12,142,2,0,161,351
Prince Albert/Prince Albert,89,Brockington,37,15,6,2,0,60,94
Prince Albert/Prince Albert,90,Weldon,94,58,20,3,0,175,309
Prince Albert/Prince Albert,91A,Kinistino,70,27,20,1,0,118,352
Prince Albert/Prince Albert,91B,Kinistino,50,24,14,3,0,91,320
Prince Albert/Prince Albert,92,Kinistino,52,26,13,1,1,93,175
Prince Albert/Prince Albert,93,Gronlid,156,64,25,17,2,264,414
Prince Albert/Prince Albert,94,Brooksby,45,19,19,1,0,84,178
Prince Albert/Prince Albert,95,Beatty,113,32,24,4,1,174,316
Prince Albert/Prince Albert,96,Pathlow,154,20,17,1,1,193,333
Prince Albert/Prince Albert,97,Melfort,139,32,30,3,1,205,334
Prince Albert/Prince Albert,98,Melfort,82,44,24,5,0,155,295
Prince Albert/Prince Albert,99,Melfort,52,27,28,2,0,109,245
Prince Albert/Prince Albert,100,Melfort,120,34,28,12,1,195,400
Prince Albert/Prince Albert,101,Melfort,131,74,49,4,0,258,545
Prince Albert/Prince Albert,102,Melfort,136,44,37,2,0,219,427
Prince Albert/Prince Albert,103,Melfort,42,24,15,2,0,83,288
Prince Albert/Prince Albert,104,Melfort,63,33,26,3,2,127,313
Prince Albert/Prince Albert,105,Melfort,69,24,28,2,0,123,332
Prince Albert/Prince Albert,106,Melfort,94,20,23,3,0,140,263
Prince Albert/Prince Albert,107,Melfort,122,51,56,6,1,236,406
Prince Albert/Prince Albert,108,Melfort,92,28,34,4,1,159,245
Prince Albert/Prince Albert,109,Melfort,89,19,26,2,0,136,272
Prince Albert/Prince Albert,110,Ridgedale,165,16,24,10,2,217,335
Prince Albert/Prince Albert,111,Zenon Park,85,31,53,12,2,183,276
Prince Albert/Prince Albert,112,Star City,140,52,29,8,0,229,405
Prince Albert/Prince Albert,113,Star City,123,30,30,10,0,193,321
Prince Albert/Prince Albert,114,Tisdale,101,20,21,6,0,148,218
Prince Albert/Prince Albert,115,Tisdale,127,31,22,5,1,186,298
Prince Albert/Prince Albert,116,Sylvania,94,15,19,7,0,135,225
Prince Albert/Prince Albert,117A,Tisdale,75,39,25,3,1,143,360
Prince Albert/Prince Albert,117B,Tisdale,74,25,28,5,0,132,328
Prince Albert/Prince Albert,117C,Tisdale,78,23,27,8,0,136,325
Prince Albert/Prince Albert,118,Tisdale,101,53,38,2,0,194,293
Prince Albert/Prince Albert,119,Tisdale,88,48,44,9,1,190,287
Prince Albert/Prince Albert,120,Tisdale,67,52,36,8,0,163,275
Prince Albert/Prince Albert,121,Tisdale,56,26,31,2,1,116,233
Prince Albert/Prince Albert,122,Tisdale,64,49,31,3,0,147,297
Prince Albert/Prince Albert,123,Tisdale,66,19,15,4,0,104,175
Prince Albert/Prince Albert,124,Nipawin,166,49,34,13,0,262,718
Prince Albert/Prince Albert,125,Codette,79,22,16,6,0,123,181
Prince Albert/Prince Albert,126,Codette,164,42,17,4,1,228,389
Prince Albert/Prince Albert,127,Aylsham,69,13,16,8,0,106,187
Prince Albert/Prince Albert,128,Nipawin,88,19,25,8,0,140,313
Prince Albert/Prince Albert,129,Nipawin,92,33,27,6,1,159,328
Prince Albert/Prince Albert,130,Nipawin,67,28,10,3,0,108,173
Prince Albert/Prince Albert,131,Nipawin,131,24,30,3,0,188,333
Prince Albert/Prince Albert,132,Nipawin,118,45,32,3,3,201,373
Prince Albert/Prince Albert,133,Nipawin,51,25,12,2,0,90,208
Prince Albert/Prince Albert,134,Nipawin,66,24,20,3,0,113,262
Prince Albert/Prince Albert,135,Nipawin,71,31,15,5,0,122,261
Prince Albert/Prince Albert,136,Nipawin,56,4,13,5,0,78,184
Prince Albert/Prince Albert,137,Nipawin,75,16,16,2,0,109,225
Prince Albert/Prince Albert,138,Nipawin,161,30,33,5,1,230,398
Prince Albert/Prince Albert,139,Petaigan,92,19,13,3,0,127,270
Prince Albert/Prince Albert,140,Carrot River,135,30,21,3,0,189,352
Prince Albert/Prince Albert,141,Jordan River,84,18,12,3,1,118,228
Prince Albert/Prince Albert,142,Arborfield,110,14,13,4,0,141,183
Prince Albert/Prince Albert,143,Carrot River,145,45,38,3,1,232,483
Prince Albert/Prince Albert,144,Carrot River,118,40,27,6,1,192,387
Prince Albert/Prince Albert,145,Arborfield,102,19,25,10,1,157,280
Prince Albert/Prince Albert,500,Mobile poll/Bureau itinérant,18,36,41,1,0,96,195
Prince Albert/Prince Albert,501,Mobile poll/Bureau itinérant,10,28,12,3,3,56,120
Prince Albert/Prince Albert,502,Mobile poll/Bureau itinérant,34,28,14,3,3,82,189
Prince Albert/Prince Albert,503,Mobile poll/Bureau itinérant,26,10,15,2,9,62,104
Prince Albert/Prince Albert,504,Mobile poll/Bureau itinérant,Void,,,,,,
Prince Albert/Prince Albert,600,Shellbrook,51,23,9,2,0,85,
Prince Albert/Prince Albert,601,Buckland,94,33,25,7,0,159,
Prince Albert/Prince Albert,602,Prince Albert,98,54,79,12,0,243,
Prince Albert/Prince Albert,603,Prince Albert,75,77,65,6,1,224,
Prince Albert/Prince Albert,604,Prince Albert,187,111,136,10,2,446,
Prince Albert/Prince Albert,605,Birson,39,15,27,4,0,85,
Prince Albert/Prince Albert,606,Birch Hills,94,39,21,4,3,161,
Prince Albert/Prince Albert,607,Melfort,234,111,65,10,0,420,
Prince Albert/Prince Albert,608,Tisdale,152,45,46,8,0,251,
Prince Albert/Prince Albert,609,Nipawin,283,62,36,6,0,387,
Prince Albert/Prince Albert,610,Carrot River,94,15,9,3,0,121,
Prince Albert/Prince Albert,,Group 1/Groupe 1,32,27,44,7,3,113,196
Prince Albert/Prince Albert,,Group 2/Groupe 2,144,101,79,12,14,350,
