District,Poll Number,Poll Name,Gary Dale,Tim Dobson,Dan McTeague,Matthew Pollesel,Rejected Ballots,Total Vote,Electors
Pickering--Scarborough East/Pickering--Scarborough-Est,114B,Scarborough,21,22,117,4,1,165,327
Pickering--Scarborough East/Pickering--Scarborough-Est,115,Scarborough,25,37,219,8,0,289,455
Pickering--Scarborough East/Pickering--Scarborough-Est,116,Scarborough,29,36,108,6,3,182,320
Pickering--Scarborough East/Pickering--Scarborough-Est,116-1,Scarborough,54,56,187,10,0,307,540
Pickering--Scarborough East/Pickering--Scarborough-Est,117,Scarborough,22,23,92,6,1,144,244
Pickering--Scarborough East/Pickering--Scarborough-Est,118,Scarborough,47,38,203,8,2,298,549
Pickering--Scarborough East/Pickering--Scarborough-Est,119,Scarborough,45,55,216,3,2,321,583
Pickering--Scarborough East/Pickering--Scarborough-Est,120,Scarborough,23,20,158,4,0,205,413
Pickering--Scarborough East/Pickering--Scarborough-Est,121,Scarborough,22,44,141,7,2,216,387
Pickering--Scarborough East/Pickering--Scarborough-Est,122,Scarborough,25,41,185,7,2,260,429
Pickering--Scarborough East/Pickering--Scarborough-Est,123,Scarborough,34,45,219,8,0,306,518
Pickering--Scarborough East/Pickering--Scarborough-Est,124,Scarborough,33,32,125,5,0,195,362
Pickering--Scarborough East/Pickering--Scarborough-Est,125,Scarborough,21,40,151,4,1,217,374
Pickering--Scarborough East/Pickering--Scarborough-Est,126,Scarborough,23,21,117,8,2,171,345
Pickering--Scarborough East/Pickering--Scarborough-Est,127,Scarborough,9,34,113,5,0,161,274
Pickering--Scarborough East/Pickering--Scarborough-Est,128,Scarborough,31,73,168,11,1,284,546
Pickering--Scarborough East/Pickering--Scarborough-Est,129,Scarborough,37,80,196,10,1,324,542
Pickering--Scarborough East/Pickering--Scarborough-Est,130,Scarborough,31,85,166,12,1,295,528
Pickering--Scarborough East/Pickering--Scarborough-Est,131,Scarborough,31,68,194,3,0,296,517
Pickering--Scarborough East/Pickering--Scarborough-Est,132,Scarborough,17,65,181,3,1,267,436
Pickering--Scarborough East/Pickering--Scarborough-Est,133,Scarborough,30,82,137,14,1,264,534
Pickering--Scarborough East/Pickering--Scarborough-Est,134,Scarborough,22,55,95,8,0,180,287
Pickering--Scarborough East/Pickering--Scarborough-Est,135,Scarborough,10,52,104,2,0,168,339
Pickering--Scarborough East/Pickering--Scarborough-Est,136,Scarborough,8,35,64,2,0,109,201
Pickering--Scarborough East/Pickering--Scarborough-Est,137,Scarborough,21,56,113,3,2,195,361
Pickering--Scarborough East/Pickering--Scarborough-Est,138,Scarborough,30,66,162,6,0,264,447
Pickering--Scarborough East/Pickering--Scarborough-Est,139,Scarborough,18,33,97,9,1,158,289
Pickering--Scarborough East/Pickering--Scarborough-Est,140,Scarborough,18,63,129,9,1,220,380
Pickering--Scarborough East/Pickering--Scarborough-Est,141,Scarborough,40,86,114,17,0,257,427
Pickering--Scarborough East/Pickering--Scarborough-Est,142,Scarborough,28,87,138,12,1,266,417
Pickering--Scarborough East/Pickering--Scarborough-Est,143,Scarborough,24,69,178,5,0,276,414
Pickering--Scarborough East/Pickering--Scarborough-Est,144,Scarborough,28,63,165,8,1,265,409
Pickering--Scarborough East/Pickering--Scarborough-Est,145,Scarborough,25,93,144,12,1,275,404
Pickering--Scarborough East/Pickering--Scarborough-Est,146,Scarborough,43,68,130,7,1,249,387
Pickering--Scarborough East/Pickering--Scarborough-Est,147A,Scarborough,20,37,77,5,3,142,276
Pickering--Scarborough East/Pickering--Scarborough-Est,147B,Scarborough,13,55,77,5,2,152,288
Pickering--Scarborough East/Pickering--Scarborough-Est,148,Scarborough,42,58,163,11,1,275,514
Pickering--Scarborough East/Pickering--Scarborough-Est,149,Scarborough,32,95,145,11,1,284,446
Pickering--Scarborough East/Pickering--Scarborough-Est,150,Scarborough,26,47,122,7,1,203,326
Pickering--Scarborough East/Pickering--Scarborough-Est,151,Scarborough,21,66,137,6,1,231,391
Pickering--Scarborough East/Pickering--Scarborough-Est,152,Scarborough,39,80,139,7,4,269,452
Pickering--Scarborough East/Pickering--Scarborough-Est,153A,Scarborough,22,35,110,3,0,170,305
Pickering--Scarborough East/Pickering--Scarborough-Est,153B,Scarborough,28,35,93,6,0,162,305
Pickering--Scarborough East/Pickering--Scarborough-Est,154,Scarborough,39,49,132,11,0,231,398
Pickering--Scarborough East/Pickering--Scarborough-Est,155,Scarborough,31,54,177,8,2,272,519
Pickering--Scarborough East/Pickering--Scarborough-Est,156,Scarborough,25,59,110,4,0,198,361
Pickering--Scarborough East/Pickering--Scarborough-Est,157,Scarborough,33,64,129,8,0,234,378
Pickering--Scarborough East/Pickering--Scarborough-Est,158,Scarborough,23,84,129,18,1,255,432
Pickering--Scarborough East/Pickering--Scarborough-Est,159,Scarborough,20,57,134,7,1,219,377
Pickering--Scarborough East/Pickering--Scarborough-Est,160,Scarborough,22,85,150,10,0,267,455
Pickering--Scarborough East/Pickering--Scarborough-Est,161,Scarborough,39,71,145,12,3,270,402
Pickering--Scarborough East/Pickering--Scarborough-Est,162,Scarborough,39,83,159,15,1,297,519
Pickering--Scarborough East/Pickering--Scarborough-Est,163A,Scarborough,27,50,100,11,2,190,336
Pickering--Scarborough East/Pickering--Scarborough-Est,163B,Scarborough,14,37,113,3,0,167,343
Pickering--Scarborough East/Pickering--Scarborough-Est,164,Scarborough,27,74,94,11,1,207,314
Pickering--Scarborough East/Pickering--Scarborough-Est,165,Scarborough,30,60,135,10,0,235,390
Pickering--Scarborough East/Pickering--Scarborough-Est,166,Scarborough,13,64,109,10,1,197,331
Pickering--Scarborough East/Pickering--Scarborough-Est,167,Scarborough,11,81,133,8,1,234,384
Pickering--Scarborough East/Pickering--Scarborough-Est,168,Scarborough,6,35,97,4,1,143,252
Pickering--Scarborough East/Pickering--Scarborough-Est,169,Scarborough,19,79,179,6,0,283,411
Pickering--Scarborough East/Pickering--Scarborough-Est,170A,Scarborough,14,29,119,6,0,168,272
Pickering--Scarborough East/Pickering--Scarborough-Est,170B,Scarborough,23,37,108,6,2,176,281
Pickering--Scarborough East/Pickering--Scarborough-Est,171,Scarborough,21,72,136,10,0,239,393
Pickering--Scarborough East/Pickering--Scarborough-Est,400,Pickering,25,93,151,3,0,272,354
Pickering--Scarborough East/Pickering--Scarborough-Est,401,Pickering,15,90,138,4,3,250,376
Pickering--Scarborough East/Pickering--Scarborough-Est,402,Pickering,22,65,147,4,1,239,329
Pickering--Scarborough East/Pickering--Scarborough-Est,403,Scarborough,34,64,95,3,1,197,355
Pickering--Scarborough East/Pickering--Scarborough-Est,404,Scarborough,22,50,90,4,0,166,308
Pickering--Scarborough East/Pickering--Scarborough-Est,405,Scarborough,21,58,74,4,1,158,298
Pickering--Scarborough East/Pickering--Scarborough-Est,406,Scarborough,28,38,115,6,0,187,317
Pickering--Scarborough East/Pickering--Scarborough-Est,600,Pickering,48,140,239,22,0,449,
Pickering--Scarborough East/Pickering--Scarborough-Est,601,Pickering,45,179,267,10,1,502,
Pickering--Scarborough East/Pickering--Scarborough-Est,602,Pickering,33,205,292,13,1,544,
Pickering--Scarborough East/Pickering--Scarborough-Est,603,Pickering,69,269,435,21,4,798,
Pickering--Scarborough East/Pickering--Scarborough-Est,604,Toronto,37,82,195,5,1,320,
Pickering--Scarborough East/Pickering--Scarborough-Est,605,Toronto,40,161,331,13,1,546,
Pickering--Scarborough East/Pickering--Scarborough-Est,606,Toronto,106,410,578,38,4,1136,
Pickering--Scarborough East/Pickering--Scarborough-Est,,Group 1/Groupe 1,7,19,22,0,0,48,111
Pickering--Scarborough East/Pickering--Scarborough-Est,,Group 2/Groupe 2,50,134,193,8,4,389,
