District,Poll Number,Poll Name,Jim Dunlap,Erik Matthew Millett,David Szemerda,Greg Thompson,Patrick Webber,Rejected Ballots,Total Vote,Electors
St. Croix--Belleisle/St. Croix--Belleisle,25,Harvey,84,10,0,119,24,1,238,379
St. Croix--Belleisle/St. Croix--Belleisle,26,Beaver Dam,106,5,0,110,61,0,282,497
St. Croix--Belleisle/St. Croix--Belleisle,27,Charters Settlement,107,9,2,130,51,3,302,492
St. Croix--Belleisle/St. Croix--Belleisle,28,Nasonworth,117,3,1,129,51,2,303,425
St. Croix--Belleisle/St. Croix--Belleisle,29,Nasonworth,103,5,0,114,30,1,253,381
St. Croix--Belleisle/St. Croix--Belleisle,30,Tracy,65,8,7,158,33,3,274,450
St. Croix--Belleisle/St. Croix--Belleisle,31,Tracy,59,8,1,169,27,1,265,428
St. Croix--Belleisle/St. Croix--Belleisle,32,Fredericton Junction,68,2,1,104,17,1,193,345
St. Croix--Belleisle/St. Croix--Belleisle,33,Fredericton Junction,46,8,1,104,13,2,174,329
St. Croix--Belleisle/St. Croix--Belleisle,34,Hoyt,74,4,0,96,23,2,199,287
St. Croix--Belleisle/St. Croix--Belleisle,35,Hoyt,81,7,0,111,24,1,224,389
St. Croix--Belleisle/St. Croix--Belleisle,36,Wirral,42,10,3,82,16,1,154,248
St. Croix--Belleisle/St. Croix--Belleisle,37,Welsford,81,7,3,74,35,2,202,324
St. Croix--Belleisle/St. Croix--Belleisle,38,Hampstead,49,8,0,83,24,2,166,235
St. Croix--Belleisle/St. Croix--Belleisle,39,Upper Gagetown,54,3,0,86,32,4,179,275
St. Croix--Belleisle/St. Croix--Belleisle,40,Gagetown,111,27,0,138,39,2,317,533
St. Croix--Belleisle/St. Croix--Belleisle,41,Youngs Cove,50,6,0,93,38,2,189,362
St. Croix--Belleisle/St. Croix--Belleisle,42,Jemseg,42,3,1,47,14,0,107,185
St. Croix--Belleisle/St. Croix--Belleisle,43,Shannon,51,4,3,150,21,0,229,309
St. Croix--Belleisle/St. Croix--Belleisle,44,Cambridge-Narrows,117,16,1,180,54,1,369,579
St. Croix--Belleisle/St. Croix--Belleisle,45,Coles Island,32,9,1,87,27,3,159,212
St. Croix--Belleisle/St. Croix--Belleisle,46,Long Creek,60,8,4,57,32,0,161,328
St. Croix--Belleisle/St. Croix--Belleisle,47,Head of Millstream,74,7,2,94,39,0,216,326
St. Croix--Belleisle/St. Croix--Belleisle,48,Havelock,87,18,2,136,42,3,288,505
St. Croix--Belleisle/St. Croix--Belleisle,49,Smith Creek,48,9,1,77,24,0,159,270
St. Croix--Belleisle/St. Croix--Belleisle,50,Roachville,55,3,2,119,14,3,196,318
St. Croix--Belleisle/St. Croix--Belleisle,51,Berwick,62,9,5,121,35,0,232,359
St. Croix--Belleisle/St. Croix--Belleisle,52,Studholm,44,3,0,55,10,2,114,238
St. Croix--Belleisle/St. Croix--Belleisle,53,Collina,126,5,1,177,31,2,342,605
St. Croix--Belleisle/St. Croix--Belleisle,54,Collina,Void,,,,,,,
St. Croix--Belleisle/St. Croix--Belleisle,55,Belleisle Creek,75,14,1,128,43,1,262,433
St. Croix--Belleisle/St. Croix--Belleisle,56,Springfield,74,11,2,149,49,4,289,476
St. Croix--Belleisle/St. Croix--Belleisle,57,Keirsteadville,47,5,0,106,19,3,180,292
St. Croix--Belleisle/St. Croix--Belleisle,58,Hatfield Point,46,3,1,135,27,4,216,309
St. Croix--Belleisle/St. Croix--Belleisle,59,Kars,58,4,0,77,19,0,158,207
St. Croix--Belleisle/St. Croix--Belleisle,60,Central Greenwich,72,8,1,78,32,0,191,315
St. Croix--Belleisle/St. Croix--Belleisle,61,Greenwich Hill,60,11,0,121,23,0,215,407
St. Croix--Belleisle/St. Croix--Belleisle,62,Public Landing,30,6,1,61,24,0,122,231
St. Croix--Belleisle/St. Croix--Belleisle,63,Morrisdale,54,8,2,86,64,1,215,504
St. Croix--Belleisle/St. Croix--Belleisle,64,Westfield,39,12,1,72,54,2,180,353
St. Croix--Belleisle/St. Croix--Belleisle,65,Westfield,57,3,1,134,48,0,243,495
St. Croix--Belleisle/St. Croix--Belleisle,66,Westfield,44,7,1,100,25,1,178,279
St. Croix--Belleisle/St. Croix--Belleisle,67,Westfield,61,5,0,103,25,0,194,331
St. Croix--Belleisle/St. Croix--Belleisle,68,Grand Bay,101,8,0,112,40,1,262,531
St. Croix--Belleisle/St. Croix--Belleisle,69,Grand Bay,82,8,0,92,25,0,207,362
St. Croix--Belleisle/St. Croix--Belleisle,70,Grand Bay,69,4,1,95,32,2,203,422
St. Croix--Belleisle/St. Croix--Belleisle,71,Grand Bay,56,5,0,79,29,2,171,355
St. Croix--Belleisle/St. Croix--Belleisle,72,Grand Bay,50,3,1,108,23,5,190,399
St. Croix--Belleisle/St. Croix--Belleisle,73A,Grand Bay,42,7,1,54,24,1,129,298
St. Croix--Belleisle/St. Croix--Belleisle,73B,Grand Bay,59,5,0,80,39,1,184,308
St. Croix--Belleisle/St. Croix--Belleisle,74,Grand Bay,39,4,1,58,19,0,121,267
St. Croix--Belleisle/St. Croix--Belleisle,75,Musquash,58,5,1,106,39,0,209,401
St. Croix--Belleisle/St. Croix--Belleisle,76,Chance Harbour,62,8,0,107,29,0,206,380
St. Croix--Belleisle/St. Croix--Belleisle,77,Dipper Harbour,31,2,1,66,8,0,108,158
St. Croix--Belleisle/St. Croix--Belleisle,78,Maces Bay,42,2,0,115,14,1,174,280
St. Croix--Belleisle/St. Croix--Belleisle,79,Lepreau,92,7,2,132,43,1,277,404
St. Croix--Belleisle/St. Croix--Belleisle,80,Pennfield,49,2,2,86,15,2,156,328
St. Croix--Belleisle/St. Croix--Belleisle,81,Pennfield,65,2,5,106,15,1,194,323
St. Croix--Belleisle/St. Croix--Belleisle,82,Pennfield,60,6,8,140,26,7,247,472
St. Croix--Belleisle/St. Croix--Belleisle,83,Beaver Harbour,37,5,11,115,21,0,189,406
St. Croix--Belleisle/St. Croix--Belleisle,84,Pennfield,62,5,2,136,19,2,226,365
St. Croix--Belleisle/St. Croix--Belleisle,85,Blacks Harbour,69,3,7,138,32,2,251,417
St. Croix--Belleisle/St. Croix--Belleisle,86,Blacks Harbour,64,6,4,132,20,1,227,410
St. Croix--Belleisle/St. Croix--Belleisle,87,Back Bay,25,2,3,78,9,2,119,242
St. Croix--Belleisle/St. Croix--Belleisle,88,Letete,70,11,3,153,24,1,262,472
St. Croix--Belleisle/St. Croix--Belleisle,89,St. George,71,3,6,137,20,3,240,378
St. Croix--Belleisle/St. Croix--Belleisle,90,St. George,66,7,3,98,28,3,205,396
St. Croix--Belleisle/St. Croix--Belleisle,91,St. George,81,12,3,141,19,9,265,487
St. Croix--Belleisle/St. Croix--Belleisle,92,St. George,46,2,5,88,9,1,151,239
St. Croix--Belleisle/St. Croix--Belleisle,93,St. George,83,6,8,134,24,5,260,468
St. Croix--Belleisle/St. Croix--Belleisle,94,Bonny River,68,9,3,117,23,1,221,334
St. Croix--Belleisle/St. Croix--Belleisle,95,Rollingdam,56,3,0,132,23,3,217,361
St. Croix--Belleisle/St. Croix--Belleisle,96,Lawrence Station,50,1,2,102,16,0,171,327
St. Croix--Belleisle/St. Croix--Belleisle,97,Oak Hill,27,3,0,110,19,0,159,289
St. Croix--Belleisle/St. Croix--Belleisle,98,Pomeroy Ridge,48,4,0,156,17,2,227,453
St. Croix--Belleisle/St. Croix--Belleisle,99,Moores Mills,45,10,1,134,20,2,212,359
St. Croix--Belleisle/St. Croix--Belleisle,100,Central Tower Hill,40,2,0,58,16,1,117,210
St. Croix--Belleisle/St. Croix--Belleisle,101,Oak Bay,67,9,0,161,25,1,263,453
St. Croix--Belleisle/St. Croix--Belleisle,102,Oak Haven,42,3,0,76,17,1,139,250
St. Croix--Belleisle/St. Croix--Belleisle,103,Valley Road,49,5,0,91,11,0,156,294
St. Croix--Belleisle/St. Croix--Belleisle,104,Old Ridge,38,5,0,123,16,2,184,320
St. Croix--Belleisle/St. Croix--Belleisle,105,Mayfield--Heathland,39,3,0,138,18,2,200,431
St. Croix--Belleisle/St. Croix--Belleisle,106,Upper Mills,37,4,0,121,23,1,186,370
St. Croix--Belleisle/St. Croix--Belleisle,107,Saint Stephen,64,1,1,105,11,1,183,353
St. Croix--Belleisle/St. Croix--Belleisle,108,Saint Stephen,50,1,1,83,19,3,157,322
St. Croix--Belleisle/St. Croix--Belleisle,109,Saint Stephen,32,2,0,73,8,3,118,310
St. Croix--Belleisle/St. Croix--Belleisle,110,Saint Stephen,36,6,0,69,12,0,123,255
St. Croix--Belleisle/St. Croix--Belleisle,111,Saint Stephen,40,5,2,109,20,0,176,307
St. Croix--Belleisle/St. Croix--Belleisle,112,Saint Stephen,31,5,0,78,15,0,129,244
St. Croix--Belleisle/St. Croix--Belleisle,113,Saint Stephen,46,5,1,105,27,4,188,321
St. Croix--Belleisle/St. Croix--Belleisle,114,Saint Stephen,48,2,0,117,16,1,184,324
St. Croix--Belleisle/St. Croix--Belleisle,115,Saint Stephen,50,8,0,89,13,1,161,311
St. Croix--Belleisle/St. Croix--Belleisle,116,Saint Stephen,49,4,1,102,22,0,178,329
St. Croix--Belleisle/St. Croix--Belleisle,117,Saint Stephen,49,6,1,80,15,0,151,294
St. Croix--Belleisle/St. Croix--Belleisle,118,Saint Stephen,47,3,0,121,11,0,182,307
St. Croix--Belleisle/St. Croix--Belleisle,119,The Ledge,72,5,1,146,14,4,242,407
St. Croix--Belleisle/St. Croix--Belleisle,120,Bayside--Waweig,67,11,1,137,31,0,247,404
St. Croix--Belleisle/St. Croix--Belleisle,121,Elmsville,32,2,1,37,12,1,85,124
St. Croix--Belleisle/St. Croix--Belleisle,122,Bocabec,77,11,1,109,25,1,224,349
St. Croix--Belleisle/St. Croix--Belleisle,123,Chamcook,83,16,1,100,29,2,231,436
St. Croix--Belleisle/St. Croix--Belleisle,124,Saint Andrews,114,15,2,119,27,0,277,385
St. Croix--Belleisle/St. Croix--Belleisle,125,Saint Andrews,102,21,1,88,31,2,245,391
St. Croix--Belleisle/St. Croix--Belleisle,126,Saint Andrews,97,9,1,69,42,1,219,376
St. Croix--Belleisle/St. Croix--Belleisle,127,Saint Andrews,93,18,1,67,20,0,199,348
St. Croix--Belleisle/St. Croix--Belleisle,128,Deer Island,48,6,1,152,8,3,218,401
St. Croix--Belleisle/St. Croix--Belleisle,129,Deer Island,46,4,1,91,9,3,154,255
St. Croix--Belleisle/St. Croix--Belleisle,130,Campobello,27,3,0,54,3,1,88,267
St. Croix--Belleisle/St. Croix--Belleisle,131,Campobello,29,2,0,101,6,2,140,393
St. Croix--Belleisle/St. Croix--Belleisle,132,Campobello,38,2,0,65,4,0,109,233
St. Croix--Belleisle/St. Croix--Belleisle,133,North Head,50,7,2,140,21,2,222,449
St. Croix--Belleisle/St. Croix--Belleisle,134,Castalia,48,1,2,145,9,1,206,472
St. Croix--Belleisle/St. Croix--Belleisle,135,Woodwards Cove,28,1,1,101,5,0,136,296
St. Croix--Belleisle/St. Croix--Belleisle,136,Ingalls Head,49,1,2,119,7,1,179,413
St. Croix--Belleisle/St. Croix--Belleisle,137,Deep Cove,58,3,0,110,10,1,182,394
St. Croix--Belleisle/St. Croix--Belleisle,138,White Head Island,21,0,1,72,5,0,99,138
St. Croix--Belleisle/St. Croix--Belleisle,500,Mobile poll/Bureau itinérant,11,3,1,12,4,0,31,43
St. Croix--Belleisle/St. Croix--Belleisle,501,Mobile poll/Bureau itinérant,15,2,1,19,1,0,38,114
St. Croix--Belleisle/St. Croix--Belleisle,502,Mobile poll/Bureau itinérant,18,3,2,36,3,8,70,132
St. Croix--Belleisle/St. Croix--Belleisle,503,Mobile poll/Bureau itinérant,3,0,0,27,2,2,34,91
St. Croix--Belleisle/St. Croix--Belleisle,600,Kingsclear,137,16,0,176,41,3,373,
St. Croix--Belleisle/St. Croix--Belleisle,601,Dumfries--Prince William,15,3,0,30,3,0,51,
St. Croix--Belleisle/St. Croix--Belleisle,602,McAdam,25,2,0,56,5,1,89,
St. Croix--Belleisle/St. Croix--Belleisle,603,Harvey Station,34,4,1,70,7,1,117,
St. Croix--Belleisle/St. Croix--Belleisle,604,Fredericton Junction--Tracy,32,1,1,67,7,1,109,
St. Croix--Belleisle/St. Croix--Belleisle,605,Gagetown,19,2,1,32,4,2,60,
St. Croix--Belleisle/St. Croix--Belleisle,606,Cambridge-Narrows,59,4,0,62,9,0,134,
St. Croix--Belleisle/St. Croix--Belleisle,607,Studholm,58,8,0,77,11,2,156,
St. Croix--Belleisle/St. Croix--Belleisle,608,Kars,6,1,0,31,2,0,40,
St. Croix--Belleisle/St. Croix--Belleisle,609,Grand Bay--Westfield,131,10,1,199,35,4,380,
St. Croix--Belleisle/St. Croix--Belleisle,610,Clarendon--Pennfield,82,3,8,119,9,1,222,
St. Croix--Belleisle/St. Croix--Belleisle,611,St. George,82,4,1,109,9,0,205,
St. Croix--Belleisle/St. Croix--Belleisle,612,Dumbarton--Saint-James,51,3,0,99,5,0,158,
St. Croix--Belleisle/St. Croix--Belleisle,613,Saint Stephen,66,5,2,147,8,1,229,
St. Croix--Belleisle/St. Croix--Belleisle,614,St. Andrew's,82,14,0,71,9,0,176,
St. Croix--Belleisle/St. Croix--Belleisle,615,West Isles,12,0,0,29,2,0,43,
St. Croix--Belleisle/St. Croix--Belleisle,616,Campobello,11,2,0,38,2,1,54,
St. Croix--Belleisle/St. Croix--Belleisle,617,Grand Manan,31,2,0,94,7,0,134,
St. Croix--Belleisle/St. Croix--Belleisle,,Group 1/Groupe 1,20,4,0,63,5,5,97,319
St. Croix--Belleisle/St. Croix--Belleisle,,Group 2/Groupe 2,87,3,1,144,18,0,253,
