District,Poll Number,Poll Name,Chris Foote,Jeff Horvath,Judy Stewart,Myron Thompson,Rejected Ballots,Total Vote,Electors
Wild Rose/Wild Rose,117,Rocky View No. 44,6,24,14,138,0,182,267
Wild Rose/Wild Rose,118,Mitford,8,13,12,57,0,90,153
Wild Rose/Wild Rose,119,Lochend,19,17,22,139,0,197,292
Wild Rose/Wild Rose,120,Lochend,24,14,41,189,0,268,376
Wild Rose/Wild Rose,121,Rocky View No. 44,17,18,63,311,1,410,683
Wild Rose/Wild Rose,122,Bearspaw,22,9,33,144,1,209,303
Wild Rose/Wild Rose,123,Bearspaw,25,9,68,295,1,398,646
Wild Rose/Wild Rose,124,Bearspaw,12,5,5,161,0,183,278
Wild Rose/Wild Rose,125,Acme,20,13,93,261,2,389,611
Wild Rose/Wild Rose,126,Cochrane,9,42,21,174,1,247,433
Wild Rose/Wild Rose,127,Cochrane,15,19,12,151,1,198,336
Wild Rose/Wild Rose,128,Cochrane,6,23,25,78,0,132,257
Wild Rose/Wild Rose,129,Cochrane,21,21,27,245,1,315,479
Wild Rose/Wild Rose,130,Cochrane,11,16,32,188,1,248,363
Wild Rose/Wild Rose,131,Cochrane,16,35,19,170,0,240,425
Wild Rose/Wild Rose,132,Cochrane,14,20,27,205,0,266,437
Wild Rose/Wild Rose,133,Cochrane,15,30,19,190,0,254,436
Wild Rose/Wild Rose,134,Cochrane,29,22,36,186,1,274,456
Wild Rose/Wild Rose,135,Cochrane,8,19,9,106,0,142,247
Wild Rose/Wild Rose,136,Cochrane,18,36,24,142,0,220,400
Wild Rose/Wild Rose,137,Cochrane,35,26,32,168,0,261,413
Wild Rose/Wild Rose,138,Cochrane,20,18,15,130,1,184,347
Wild Rose/Wild Rose,139,Cochrane,19,33,52,212,2,318,558
Wild Rose/Wild Rose,140,Cochrane,18,21,35,73,0,147,394
Wild Rose/Wild Rose,141,Cochrane,10,18,24,109,0,161,309
Wild Rose/Wild Rose,142,Cochrane,28,23,21,110,0,182,421
Wild Rose/Wild Rose,143,Cochrane,12,6,31,203,0,252,478
Wild Rose/Wild Rose,144,Cochrane,16,17,26,216,0,275,434
Wild Rose/Wild Rose,145,Cochrane,13,15,40,164,0,232,409
Wild Rose/Wild Rose,146,Cochrane,11,16,19,172,0,218,384
Wild Rose/Wild Rose,147,Cochrane,11,23,31,216,0,281,474
Wild Rose/Wild Rose,148,Canmore,Merged with No. 161A,,,,,,7
Wild Rose/Wild Rose,149,Canmore,31,29,45,62,2,169,372
Wild Rose/Wild Rose,150,Canmore,37,39,46,63,0,185,334
Wild Rose/Wild Rose,151,Canmore,50,40,57,70,0,217,420
Wild Rose/Wild Rose,152,Canmore,35,43,50,73,1,202,401
Wild Rose/Wild Rose,153,Canmore,35,34,31,54,1,155,277
Wild Rose/Wild Rose,154,Canmore,22,22,47,57,0,148,271
Wild Rose/Wild Rose,155,Canmore,40,48,65,84,0,237,467
Wild Rose/Wild Rose,156,Canmore,43,26,75,112,0,256,481
Wild Rose/Wild Rose,157,Canmore,47,56,62,66,0,231,420
Wild Rose/Wild Rose,158,Canmore,13,21,30,27,0,91,212
Wild Rose/Wild Rose,159,Canmore,47,46,46,55,0,194,386
Wild Rose/Wild Rose,160,Canmore,20,24,26,77,0,147,367
Wild Rose/Wild Rose,161A,Canmore,21,45,33,64,2,165,209
Wild Rose/Wild Rose,161B,Canmore,21,25,25,40,0,111,278
Wild Rose/Wild Rose,162,Canmore,56,43,101,164,1,365,706
Wild Rose/Wild Rose,163,Canmore,56,40,68,112,1,277,551
Wild Rose/Wild Rose,164,Canmore,46,42,57,110,0,255,461
Wild Rose/Wild Rose,165,Canmore,35,41,45,79,0,200,416
Wild Rose/Wild Rose,166,Canmore,49,43,67,110,0,269,477
Wild Rose/Wild Rose,167,Canmore,21,19,19,37,0,96,248
Wild Rose/Wild Rose,168,Canmore,Merged with No. 161A,,,,,,68
Wild Rose/Wild Rose,169,Canmore,50,38,43,72,0,203,436
Wild Rose/Wild Rose,170,Exshaw,36,32,43,130,1,242,434
Wild Rose/Wild Rose,171,Ghost Lake,17,12,17,74,0,120,184
Wild Rose/Wild Rose,172,Morley,4,25,64,9,0,102,708
Wild Rose/Wild Rose,173,Seebe,Merged with No. 161A,,,,,,44
Wild Rose/Wild Rose,174,Morley,4,39,54,9,0,106,748
Wild Rose/Wild Rose,175,Banff,24,21,52,38,0,135,300
Wild Rose/Wild Rose,176,Banff,Merged with No. 177,,,,,,196
Wild Rose/Wild Rose,177,Banff,46,45,52,80,4,227,202
Wild Rose/Wild Rose,178,Banff,46,34,53,50,1,184,378
Wild Rose/Wild Rose,179,Banff,38,33,44,52,0,167,177
Wild Rose/Wild Rose,180,Banff,19,17,40,35,2,113,211
Wild Rose/Wild Rose,181,Banff,59,74,90,92,0,315,633
Wild Rose/Wild Rose,182,Banff,25,31,49,55,1,161,369
Wild Rose/Wild Rose,183,Banff,29,28,49,49,0,155,341
Wild Rose/Wild Rose,184,Banff,37,44,57,70,1,209,440
Wild Rose/Wild Rose,185,Banff,Merged with No. 179,,,,,,140
Wild Rose/Wild Rose,186,Banff,27,47,58,90,1,223,469
Wild Rose/Wild Rose,187,Anthracite,19,20,29,19,1,88,482
Wild Rose/Wild Rose,400,Banff,24,18,41,16,4,103,213
Wild Rose/Wild Rose,401,Banff,Merged with No. 400,,,,,,100
Wild Rose/Wild Rose,500,Mobile poll/Bureau itinérant,2,2,4,36,1,45,59
Wild Rose/Wild Rose,501,Mobile poll/Bureau itinérant,3,5,7,74,0,89,177
Wild Rose/Wild Rose,502,Mobile poll/Bureau itinérant,3,1,2,16,0,22,90
Wild Rose/Wild Rose,503,Mobile poll/Bureau itinérant,1,6,14,64,0,85,137
Wild Rose/Wild Rose,600,Nordegg,0,1,3,6,0,10,
Wild Rose/Wild Rose,601,Caroline,9,5,8,121,0,143,
Wild Rose/Wild Rose,602,Sundre,17,7,21,280,5,330,
Wild Rose/Wild Rose,603,Olds,15,25,31,353,1,425,
Wild Rose/Wild Rose,604,Didsbury,21,19,27,279,0,346,
Wild Rose/Wild Rose,605,Cremona,11,0,4,34,0,49,
Wild Rose/Wild Rose,606,Airdrie,40,54,87,706,1,888,
Wild Rose/Wild Rose,607,Cochrane,47,60,97,674,2,880,
Wild Rose/Wild Rose,608,Canmore,67,80,140,288,5,580,
Wild Rose/Wild Rose,609,Banff,54,43,84,176,3,360,
Wild Rose/Wild Rose,,Group 1/Groupe 1,7,6,15,46,0,74,143
Wild Rose/Wild Rose,,Group 2/Groupe 2,46,64,125,501,14,750,
