District,Poll Number,Poll Name,Jean Augustine,John Capobianco,John Huculiak,Margaret Anne McHugh,Janice Murray,Rejected Ballots,Total Vote,Electors
Etobicoke--Lakeshore/Etobicoke--Lakeshore,36,Etobicoke,114,101,16,15,0,5,251,343
Etobicoke--Lakeshore/Etobicoke--Lakeshore,37,Etobicoke,129,58,4,13,0,1,205,316
Etobicoke--Lakeshore/Etobicoke--Lakeshore,38,Etobicoke,103,85,8,5,0,1,202,354
Etobicoke--Lakeshore/Etobicoke--Lakeshore,39,Etobicoke,128,81,13,12,0,1,235,375
Etobicoke--Lakeshore/Etobicoke--Lakeshore,40,Etobicoke,207,137,15,29,0,0,388,646
Etobicoke--Lakeshore/Etobicoke--Lakeshore,41,Etobicoke,88,66,6,18,0,0,178,325
Etobicoke--Lakeshore/Etobicoke--Lakeshore,42,Etobicoke,104,99,7,10,0,1,221,369
Etobicoke--Lakeshore/Etobicoke--Lakeshore,43,Etobicoke,140,84,8,10,0,0,242,378
Etobicoke--Lakeshore/Etobicoke--Lakeshore,44,Etobicoke,154,77,8,22,0,0,261,480
Etobicoke--Lakeshore/Etobicoke--Lakeshore,45,Etobicoke,156,84,10,16,0,1,267,419
Etobicoke--Lakeshore/Etobicoke--Lakeshore,46,Etobicoke,129,57,22,28,1,0,237,404
Etobicoke--Lakeshore/Etobicoke--Lakeshore,47,Etobicoke,145,61,5,15,0,1,227,388
Etobicoke--Lakeshore/Etobicoke--Lakeshore,48,Etobicoke,153,91,14,15,0,0,273,415
Etobicoke--Lakeshore/Etobicoke--Lakeshore,49,Etobicoke,147,95,19,22,0,0,283,416
Etobicoke--Lakeshore/Etobicoke--Lakeshore,50,Etobicoke,138,74,9,15,1,0,237,348
Etobicoke--Lakeshore/Etobicoke--Lakeshore,51,Etobicoke,144,74,6,17,0,1,242,331
Etobicoke--Lakeshore/Etobicoke--Lakeshore,52,Etobicoke,143,76,12,16,1,1,249,343
Etobicoke--Lakeshore/Etobicoke--Lakeshore,53,Etobicoke,116,58,4,15,0,0,193,289
Etobicoke--Lakeshore/Etobicoke--Lakeshore,54,Etobicoke,164,101,8,27,1,1,302,502
Etobicoke--Lakeshore/Etobicoke--Lakeshore,55,Etobicoke,125,70,18,24,1,1,239,366
Etobicoke--Lakeshore/Etobicoke--Lakeshore,56,Etobicoke,147,87,12,15,0,0,261,414
Etobicoke--Lakeshore/Etobicoke--Lakeshore,57,Etobicoke,134,72,11,30,0,0,247,378
Etobicoke--Lakeshore/Etobicoke--Lakeshore,58,Etobicoke,112,74,5,23,0,0,214,272
Etobicoke--Lakeshore/Etobicoke--Lakeshore,59,Etobicoke,131,69,7,28,0,2,237,372
Etobicoke--Lakeshore/Etobicoke--Lakeshore,60,Etobicoke,118,76,8,19,0,0,221,376
Etobicoke--Lakeshore/Etobicoke--Lakeshore,61,Etobicoke,135,66,8,19,1,0,229,310
Etobicoke--Lakeshore/Etobicoke--Lakeshore,62,Etobicoke,131,66,5,24,0,0,226,340
Etobicoke--Lakeshore/Etobicoke--Lakeshore,63,Etobicoke,118,100,7,32,0,0,257,394
Etobicoke--Lakeshore/Etobicoke--Lakeshore,64,Etobicoke,129,82,4,27,0,2,244,382
Etobicoke--Lakeshore/Etobicoke--Lakeshore,65,Etobicoke,119,65,5,35,0,1,225,343
Etobicoke--Lakeshore/Etobicoke--Lakeshore,66,Etobicoke,84,60,16,20,0,1,181,311
Etobicoke--Lakeshore/Etobicoke--Lakeshore,67,Etobicoke,107,43,14,48,0,1,213,361
Etobicoke--Lakeshore/Etobicoke--Lakeshore,68,Etobicoke,115,94,11,35,1,2,258,430
Etobicoke--Lakeshore/Etobicoke--Lakeshore,69,Etobicoke,139,63,12,40,0,6,260,432
Etobicoke--Lakeshore/Etobicoke--Lakeshore,70,Etobicoke,137,77,5,32,0,6,257,396
Etobicoke--Lakeshore/Etobicoke--Lakeshore,71,Etobicoke,75,79,1,14,2,7,178,278
Etobicoke--Lakeshore/Etobicoke--Lakeshore,72,Etobicoke,61,45,2,21,1,1,131,246
Etobicoke--Lakeshore/Etobicoke--Lakeshore,73,Etobicoke,131,75,7,23,3,1,240,397
Etobicoke--Lakeshore/Etobicoke--Lakeshore,74,Etobicoke,97,66,5,33,1,2,204,304
Etobicoke--Lakeshore/Etobicoke--Lakeshore,75,Etobicoke,73,56,7,37,0,4,177,479
Etobicoke--Lakeshore/Etobicoke--Lakeshore,76,Etobicoke,42,52,11,31,1,2,139,336
Etobicoke--Lakeshore/Etobicoke--Lakeshore,77,Etobicoke,52,31,16,35,3,1,138,362
Etobicoke--Lakeshore/Etobicoke--Lakeshore,78,Etobicoke,41,42,1,27,0,0,111,305
Etobicoke--Lakeshore/Etobicoke--Lakeshore,79,Etobicoke,49,35,8,47,0,0,139,324
Etobicoke--Lakeshore/Etobicoke--Lakeshore,80,Etobicoke,98,47,8,24,0,1,178,331
Etobicoke--Lakeshore/Etobicoke--Lakeshore,81,Etobicoke,100,74,15,45,0,2,236,455
Etobicoke--Lakeshore/Etobicoke--Lakeshore,82,Etobicoke,66,37,11,30,0,1,145,377
Etobicoke--Lakeshore/Etobicoke--Lakeshore,83,Etobicoke,75,58,11,36,0,0,180,401
Etobicoke--Lakeshore/Etobicoke--Lakeshore,84,Etobicoke,133,76,12,46,0,5,272,494
Etobicoke--Lakeshore/Etobicoke--Lakeshore,85,Etobicoke,102,64,6,27,0,2,201,353
Etobicoke--Lakeshore/Etobicoke--Lakeshore,86,Etobicoke,114,74,10,15,0,1,214,346
Etobicoke--Lakeshore/Etobicoke--Lakeshore,87,Etobicoke,135,55,10,30,0,1,231,435
Etobicoke--Lakeshore/Etobicoke--Lakeshore,88,Etobicoke,72,43,7,22,1,0,145,240
Etobicoke--Lakeshore/Etobicoke--Lakeshore,89,Etobicoke,60,37,11,21,0,1,130,244
Etobicoke--Lakeshore/Etobicoke--Lakeshore,90,Etobicoke,107,62,7,23,0,1,200,338
Etobicoke--Lakeshore/Etobicoke--Lakeshore,91,Etobicoke,92,60,4,31,0,3,190,416
Etobicoke--Lakeshore/Etobicoke--Lakeshore,92,Etobicoke,45,20,4,32,0,1,102,216
Etobicoke--Lakeshore/Etobicoke--Lakeshore,93,Etobicoke,176,115,11,49,2,1,354,632
Etobicoke--Lakeshore/Etobicoke--Lakeshore,94,Etobicoke,178,89,20,44,1,5,337,607
Etobicoke--Lakeshore/Etobicoke--Lakeshore,95,Etobicoke,111,62,12,47,0,1,233,477
Etobicoke--Lakeshore/Etobicoke--Lakeshore,96,Etobicoke,103,46,12,57,0,1,219,373
Etobicoke--Lakeshore/Etobicoke--Lakeshore,97,Etobicoke,117,72,12,49,0,1,251,461
Etobicoke--Lakeshore/Etobicoke--Lakeshore,98,Etobicoke,70,39,6,18,3,2,138,309
Etobicoke--Lakeshore/Etobicoke--Lakeshore,99,Etobicoke,86,36,4,30,0,0,156,287
Etobicoke--Lakeshore/Etobicoke--Lakeshore,100,Etobicoke,119,58,8,23,0,2,210,359
Etobicoke--Lakeshore/Etobicoke--Lakeshore,101,Etobicoke,60,64,12,36,2,1,175,333
Etobicoke--Lakeshore/Etobicoke--Lakeshore,102,Etobicoke,128,54,15,36,0,1,234,361
Etobicoke--Lakeshore/Etobicoke--Lakeshore,103,Etobicoke,61,71,6,29,0,2,169,268
Etobicoke--Lakeshore/Etobicoke--Lakeshore,104,Etobicoke,55,44,6,40,0,1,146,308
Etobicoke--Lakeshore/Etobicoke--Lakeshore,105,Etobicoke,118,84,5,39,2,0,248,458
Etobicoke--Lakeshore/Etobicoke--Lakeshore,106,Etobicoke,101,53,11,26,1,3,195,341
Etobicoke--Lakeshore/Etobicoke--Lakeshore,107,Etobicoke,129,42,5,48,0,0,224,386
Etobicoke--Lakeshore/Etobicoke--Lakeshore,108,Etobicoke,92,79,5,38,1,1,216,385
Etobicoke--Lakeshore/Etobicoke--Lakeshore,109,Etobicoke,104,70,9,36,3,1,223,396
Etobicoke--Lakeshore/Etobicoke--Lakeshore,110,Etobicoke,86,71,4,30,2,2,195,346
Etobicoke--Lakeshore/Etobicoke--Lakeshore,111,Etobicoke,116,63,10,44,0,0,233,417
Etobicoke--Lakeshore/Etobicoke--Lakeshore,112,Etobicoke,87,56,4,34,0,3,184,345
Etobicoke--Lakeshore/Etobicoke--Lakeshore,113,Etobicoke,105,77,46,16,0,0,244,445
Etobicoke--Lakeshore/Etobicoke--Lakeshore,114,Etobicoke,125,52,4,37,1,1,220,380
Etobicoke--Lakeshore/Etobicoke--Lakeshore,115,Etobicoke,101,60,10,36,0,2,209,406
Etobicoke--Lakeshore/Etobicoke--Lakeshore,116,Etobicoke,111,81,12,36,1,1,242,384
Etobicoke--Lakeshore/Etobicoke--Lakeshore,117,Etobicoke,107,80,8,47,0,4,246,393
Etobicoke--Lakeshore/Etobicoke--Lakeshore,118,Etobicoke,147,87,18,45,2,2,301,472
Etobicoke--Lakeshore/Etobicoke--Lakeshore,119,Etobicoke,128,81,8,48,1,2,268,461
Etobicoke--Lakeshore/Etobicoke--Lakeshore,120,Etobicoke,94,62,3,33,3,3,198,355
Etobicoke--Lakeshore/Etobicoke--Lakeshore,121,Etobicoke,88,56,6,27,0,1,178,334
Etobicoke--Lakeshore/Etobicoke--Lakeshore,122,Etobicoke,75,53,6,38,1,3,176,372
Etobicoke--Lakeshore/Etobicoke--Lakeshore,123,Etobicoke,97,40,11,48,1,0,197,338
Etobicoke--Lakeshore/Etobicoke--Lakeshore,124,Etobicoke,78,50,9,38,0,0,175,304
Etobicoke--Lakeshore/Etobicoke--Lakeshore,125,Etobicoke,92,47,18,53,0,3,213,444
Etobicoke--Lakeshore/Etobicoke--Lakeshore,126,Etobicoke,123,70,11,42,2,4,252,480
Etobicoke--Lakeshore/Etobicoke--Lakeshore,127,Etobicoke,77,69,17,42,0,2,207,433
Etobicoke--Lakeshore/Etobicoke--Lakeshore,128,Etobicoke,70,42,11,33,0,4,160,366
Etobicoke--Lakeshore/Etobicoke--Lakeshore,129,Etobicoke,85,53,12,38,1,0,189,395
Etobicoke--Lakeshore/Etobicoke--Lakeshore,130,Etobicoke,86,35,15,35,1,0,172,348
Etobicoke--Lakeshore/Etobicoke--Lakeshore,131,Etobicoke,110,53,15,34,1,1,214,420
Etobicoke--Lakeshore/Etobicoke--Lakeshore,132,Etobicoke,123,63,18,45,0,0,249,404
Etobicoke--Lakeshore/Etobicoke--Lakeshore,133,Etobicoke,97,79,11,36,2,0,225,450
Etobicoke--Lakeshore/Etobicoke--Lakeshore,134,Etobicoke,70,50,12,31,0,1,164,346
Etobicoke--Lakeshore/Etobicoke--Lakeshore,135,Etobicoke,65,43,11,37,0,0,156,269
Etobicoke--Lakeshore/Etobicoke--Lakeshore,136,Etobicoke,53,42,8,39,0,0,142,341
Etobicoke--Lakeshore/Etobicoke--Lakeshore,137,Etobicoke,104,61,19,37,0,1,222,398
Etobicoke--Lakeshore/Etobicoke--Lakeshore,138,Etobicoke,125,54,17,46,1,2,245,480
Etobicoke--Lakeshore/Etobicoke--Lakeshore,139,Etobicoke,87,51,11,35,0,1,185,345
Etobicoke--Lakeshore/Etobicoke--Lakeshore,140,Etobicoke,125,75,17,42,0,2,261,392
Etobicoke--Lakeshore/Etobicoke--Lakeshore,141,Etobicoke,103,61,8,47,0,2,221,342
Etobicoke--Lakeshore/Etobicoke--Lakeshore,142,Etobicoke,66,40,12,31,0,0,149,374
Etobicoke--Lakeshore/Etobicoke--Lakeshore,143,Etobicoke,119,41,2,28,2,0,192,354
Etobicoke--Lakeshore/Etobicoke--Lakeshore,144,Etobicoke,67,38,3,23,1,1,133,281
Etobicoke--Lakeshore/Etobicoke--Lakeshore,145,Etobicoke,71,25,7,43,0,0,146,413
Etobicoke--Lakeshore/Etobicoke--Lakeshore,146,Etobicoke,120,58,17,70,0,2,267,459
Etobicoke--Lakeshore/Etobicoke--Lakeshore,147,Etobicoke,111,83,10,55,0,3,262,473
Etobicoke--Lakeshore/Etobicoke--Lakeshore,148,Etobicoke,76,68,11,44,1,4,204,336
Etobicoke--Lakeshore/Etobicoke--Lakeshore,149,Etobicoke,90,60,10,23,0,1,184,345
Etobicoke--Lakeshore/Etobicoke--Lakeshore,150,Etobicoke,71,45,19,28,1,0,164,276
Etobicoke--Lakeshore/Etobicoke--Lakeshore,151,Etobicoke,74,51,14,43,1,4,187,370
Etobicoke--Lakeshore/Etobicoke--Lakeshore,152,Etobicoke,90,48,13,57,1,2,211,371
Etobicoke--Lakeshore/Etobicoke--Lakeshore,153,Etobicoke,89,46,9,47,1,0,192,412
Etobicoke--Lakeshore/Etobicoke--Lakeshore,154,Etobicoke,117,31,7,40,2,3,200,508
Etobicoke--Lakeshore/Etobicoke--Lakeshore,155,Etobicoke,97,20,12,56,2,0,187,508
Etobicoke--Lakeshore/Etobicoke--Lakeshore,156,Etobicoke,69,35,4,38,0,0,146,384
Etobicoke--Lakeshore/Etobicoke--Lakeshore,157,Etobicoke,57,38,11,20,0,0,126,258
Etobicoke--Lakeshore/Etobicoke--Lakeshore,158,Etobicoke,131,50,17,58,6,1,263,493
Etobicoke--Lakeshore/Etobicoke--Lakeshore,159,Etobicoke,61,30,13,34,1,4,143,269
Etobicoke--Lakeshore/Etobicoke--Lakeshore,160,Etobicoke,146,58,8,55,0,1,268,409
Etobicoke--Lakeshore/Etobicoke--Lakeshore,161,Etobicoke,107,64,17,49,0,0,237,401
Etobicoke--Lakeshore/Etobicoke--Lakeshore,162,Etobicoke,135,74,13,58,4,0,284,447
Etobicoke--Lakeshore/Etobicoke--Lakeshore,163,Etobicoke,124,62,11,53,1,2,253,444
Etobicoke--Lakeshore/Etobicoke--Lakeshore,164,Etobicoke,102,57,15,53,0,0,227,419
Etobicoke--Lakeshore/Etobicoke--Lakeshore,165,Etobicoke,119,45,16,48,1,1,230,388
Etobicoke--Lakeshore/Etobicoke--Lakeshore,166,Etobicoke,140,60,8,16,0,3,227,386
Etobicoke--Lakeshore/Etobicoke--Lakeshore,167,Etobicoke,124,69,9,21,1,0,224,445
Etobicoke--Lakeshore/Etobicoke--Lakeshore,168,Etobicoke,40,39,5,6,0,0,90,163
Etobicoke--Lakeshore/Etobicoke--Lakeshore,169,Etobicoke,142,54,6,20,1,1,224,379
Etobicoke--Lakeshore/Etobicoke--Lakeshore,170,Etobicoke,108,81,7,17,0,2,215,339
Etobicoke--Lakeshore/Etobicoke--Lakeshore,171,Etobicoke,94,50,1,13,0,0,158,303
Etobicoke--Lakeshore/Etobicoke--Lakeshore,172,Etobicoke,106,64,7,15,1,0,193,349
Etobicoke--Lakeshore/Etobicoke--Lakeshore,173,Etobicoke,88,52,8,16,0,0,164,326
Etobicoke--Lakeshore/Etobicoke--Lakeshore,174,Etobicoke,70,50,5,34,0,1,160,400
Etobicoke--Lakeshore/Etobicoke--Lakeshore,175,Etobicoke,87,52,13,52,3,1,208,389
Etobicoke--Lakeshore/Etobicoke--Lakeshore,176,Etobicoke,57,57,5,45,0,0,164,325
Etobicoke--Lakeshore/Etobicoke--Lakeshore,177,Etobicoke,115,60,12,54,3,5,249,385
Etobicoke--Lakeshore/Etobicoke--Lakeshore,178,Etobicoke,123,46,26,48,1,0,244,457
Etobicoke--Lakeshore/Etobicoke--Lakeshore,179,Etobicoke,100,56,15,66,0,0,237,465
Etobicoke--Lakeshore/Etobicoke--Lakeshore,180,Etobicoke,16,18,3,14,1,1,53,141
Etobicoke--Lakeshore/Etobicoke--Lakeshore,181,Etobicoke,63,51,6,42,0,5,167,488
Etobicoke--Lakeshore/Etobicoke--Lakeshore,182,Etobicoke,52,25,7,45,0,1,130,261
Etobicoke--Lakeshore/Etobicoke--Lakeshore,183,Etobicoke,61,47,9,25,0,1,143,346
Etobicoke--Lakeshore/Etobicoke--Lakeshore,184,Etobicoke,121,64,17,47,0,0,249,480
Etobicoke--Lakeshore/Etobicoke--Lakeshore,185,Etobicoke,72,69,18,38,2,3,202,395
Etobicoke--Lakeshore/Etobicoke--Lakeshore,186,Etobicoke,84,51,12,30,0,2,179,305
Etobicoke--Lakeshore/Etobicoke--Lakeshore,187,Etobicoke,45,22,5,21,0,0,93,258
Etobicoke--Lakeshore/Etobicoke--Lakeshore,188,Etobicoke,132,65,14,66,1,0,278,577
Etobicoke--Lakeshore/Etobicoke--Lakeshore,189,Etobicoke,93,51,2,24,0,3,173,340
Etobicoke--Lakeshore/Etobicoke--Lakeshore,400,Etobicoke,72,56,4,0,0,1,133,176
Etobicoke--Lakeshore/Etobicoke--Lakeshore,401,Etobicoke,152,71,7,9,0,0,239,362
Etobicoke--Lakeshore/Etobicoke--Lakeshore,402,Etobicoke,39,29,6,14,0,0,88,243
Etobicoke--Lakeshore/Etobicoke--Lakeshore,403,Etobicoke,47,26,5,37,0,1,116,352
Etobicoke--Lakeshore/Etobicoke--Lakeshore,404,Etobicoke,60,22,5,7,0,0,94,280
Etobicoke--Lakeshore/Etobicoke--Lakeshore,405,Etobicoke,48,13,6,18,1,0,86,267
Etobicoke--Lakeshore/Etobicoke--Lakeshore,406,Etobicoke,45,19,4,18,0,0,86,230
Etobicoke--Lakeshore/Etobicoke--Lakeshore,407,Etobicoke,59,23,7,12,0,1,102,298
Etobicoke--Lakeshore/Etobicoke--Lakeshore,408,Etobicoke,135,43,4,25,4,2,213,375
Etobicoke--Lakeshore/Etobicoke--Lakeshore,409,Etobicoke,69,31,4,26,0,1,131,479
Etobicoke--Lakeshore/Etobicoke--Lakeshore,410,Etobicoke,108,51,5,25,1,1,191,389
Etobicoke--Lakeshore/Etobicoke--Lakeshore,411,Etobicoke,218,147,8,11,1,0,385,546
Etobicoke--Lakeshore/Etobicoke--Lakeshore,412,Etobicoke,216,128,8,14,0,0,366,604
Etobicoke--Lakeshore/Etobicoke--Lakeshore,413,Etobicoke,33,17,3,5,0,0,58,87
Etobicoke--Lakeshore/Etobicoke--Lakeshore,414,Etobicoke,91,33,3,18,0,0,145,275
Etobicoke--Lakeshore/Etobicoke--Lakeshore,415,Etobicoke,88,61,5,10,0,0,164,291
Etobicoke--Lakeshore/Etobicoke--Lakeshore,416,Etobicoke,Void,,,,,,,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,417,Etobicoke,Void,,,,,,,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,418,Etobicoke,94,40,7,20,0,0,161,322
Etobicoke--Lakeshore/Etobicoke--Lakeshore,500,Mobile poll/Bureau itinérant,30,30,2,4,1,1,68,104
Etobicoke--Lakeshore/Etobicoke--Lakeshore,501,Mobile poll/Bureau itinérant,22,15,1,6,0,1,45,165
Etobicoke--Lakeshore/Etobicoke--Lakeshore,502,Mobile poll/Bureau itinérant,34,17,0,5,0,0,56,148
Etobicoke--Lakeshore/Etobicoke--Lakeshore,600,Etobicoke,305,287,14,76,0,2,684,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,601,Etobicoke,354,282,11,58,0,3,708,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,602,Etobicoke,513,497,36,81,1,2,1130,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,603,Etobicoke,243,180,21,60,0,2,506,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,604,Etobicoke,242,219,13,60,1,0,535,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,605,Etobicoke,248,253,19,100,1,3,624,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,606,Etobicoke,146,112,17,57,2,4,338,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,607,Etobicoke,264,186,18,103,0,5,576,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,608,Etobicoke,270,212,25,87,0,2,596,
Etobicoke--Lakeshore/Etobicoke--Lakeshore,,Group 1/Groupe 1,30,19,2,7,0,8,66,116
Etobicoke--Lakeshore/Etobicoke--Lakeshore,,Group 2/Groupe 2,328,211,25,92,1,2,659,
