District,Poll Number,Poll Name,Carolyn Bennett,Barry Cline,Peter Elgie,Norman Tobias,Rejected Ballots,Total Vote,Electors
St. Paul's/St. Paul's,60,Toronto,107,67,6,10,0,190,305
St. Paul's/St. Paul's,61,Toronto,116,80,8,7,0,211,315
St. Paul's/St. Paul's,62,Toronto,160,103,6,7,1,277,431
St. Paul's/St. Paul's,63,Toronto,119,55,5,13,1,193,315
St. Paul's/St. Paul's,64,Toronto,137,47,13,27,0,224,426
St. Paul's/St. Paul's,65,Toronto,163,80,7,7,0,257,441
St. Paul's/St. Paul's,66,Toronto,109,129,6,3,0,247,442
St. Paul's/St. Paul's,67,Toronto,85,87,7,4,2,185,357
St. Paul's/St. Paul's,68,Toronto,89,67,3,6,1,166,344
St. Paul's/St. Paul's,69,Toronto,162,68,11,12,2,255,429
St. Paul's/St. Paul's,70,Toronto,172,54,27,19,0,272,397
St. Paul's/St. Paul's,71,Toronto,150,39,21,27,2,239,384
St. Paul's/St. Paul's,72,Toronto,110,30,7,18,0,165,289
St. Paul's/St. Paul's,73,Toronto,151,37,13,38,1,240,402
St. Paul's/St. Paul's,74,Toronto,175,58,23,41,0,297,437
St. Paul's/St. Paul's,75,Toronto,138,46,20,27,1,232,362
St. Paul's/St. Paul's,76,Toronto,160,58,10,9,1,238,343
St. Paul's/St. Paul's,77,Toronto,127,72,24,12,0,235,349
St. Paul's/St. Paul's,78,Toronto,124,57,13,18,0,212,322
St. Paul's/St. Paul's,79,Toronto,94,42,9,9,0,154,271
St. Paul's/St. Paul's,80,Toronto,142,64,16,31,3,256,465
St. Paul's/St. Paul's,81,Toronto,107,34,15,28,0,184,331
St. Paul's/St. Paul's,82,Toronto,75,17,9,18,0,119,188
St. Paul's/St. Paul's,83,Toronto,184,57,31,67,2,341,461
St. Paul's/St. Paul's,84,Toronto,131,33,31,36,0,231,374
St. Paul's/St. Paul's,85,Toronto,210,71,26,33,0,340,593
St. Paul's/St. Paul's,86,Toronto,132,55,10,13,1,211,364
St. Paul's/St. Paul's,87,Toronto,137,38,9,18,0,202,343
St. Paul's/St. Paul's,88,Toronto,93,27,12,21,0,153,228
St. Paul's/St. Paul's,89,Toronto,117,57,18,20,0,212,335
St. Paul's/St. Paul's,90,Toronto,154,39,7,42,0,242,394
St. Paul's/St. Paul's,91,Toronto,104,53,5,16,0,178,338
St. Paul's/St. Paul's,92,Toronto,123,39,10,6,0,178,313
St. Paul's/St. Paul's,93,Toronto,127,48,14,14,0,203,364
St. Paul's/St. Paul's,94,Toronto,135,39,16,24,0,214,336
St. Paul's/St. Paul's,95,Toronto,90,26,13,14,1,144,278
St. Paul's/St. Paul's,96,Toronto,159,48,11,29,0,247,429
St. Paul's/St. Paul's,97,Toronto,255,109,10,34,2,410,671
St. Paul's/St. Paul's,98,Toronto,128,37,9,23,0,197,405
St. Paul's/St. Paul's,99,Toronto,170,49,17,36,2,274,464
St. Paul's/St. Paul's,100,Toronto,132,49,10,36,1,228,404
St. Paul's/St. Paul's,101,Toronto,100,24,5,27,0,156,298
St. Paul's/St. Paul's,102,Toronto,102,20,8,32,0,162,266
St. Paul's/St. Paul's,103,Toronto,93,45,12,36,0,186,359
St. Paul's/St. Paul's,104A,Toronto,92,35,6,29,2,164,323
St. Paul's/St. Paul's,104B,Toronto,105,44,13,23,1,186,294
St. Paul's/St. Paul's,105,Toronto,64,22,11,22,1,120,296
St. Paul's/St. Paul's,106,Toronto,142,45,17,13,1,218,403
St. Paul's/St. Paul's,107,Toronto,Void,,,,,,
St. Paul's/St. Paul's,108,Toronto,105,43,11,39,0,198,352
St. Paul's/St. Paul's,109,Toronto,85,25,12,19,1,142,260
St. Paul's/St. Paul's,110,Toronto,86,26,17,14,1,144,221
St. Paul's/St. Paul's,111,Toronto,77,39,11,29,0,156,256
St. Paul's/St. Paul's,112,Toronto,160,74,20,38,2,294,433
St. Paul's/St. Paul's,113,Toronto,123,40,14,27,2,206,329
St. Paul's/St. Paul's,114A,Toronto,75,32,3,2,1,113,204
St. Paul's/St. Paul's,114B,Toronto,134,52,16,36,0,238,452
St. Paul's/St. Paul's,115,Toronto,163,37,15,57,2,274,527
St. Paul's/St. Paul's,116,Toronto,139,83,8,65,0,295,590
St. Paul's/St. Paul's,117A,Toronto,72,34,5,14,0,125,195
St. Paul's/St. Paul's,117B,Toronto,133,61,12,18,0,224,439
St. Paul's/St. Paul's,118,Toronto,111,43,16,20,2,192,340
St. Paul's/St. Paul's,119,Toronto,100,47,12,20,0,179,375
St. Paul's/St. Paul's,120,Toronto,117,19,14,25,2,177,280
St. Paul's/St. Paul's,121,Toronto,141,55,7,20,0,223,350
St. Paul's/St. Paul's,122,Toronto,172,78,21,29,0,300,444
St. Paul's/St. Paul's,123,Toronto,137,42,11,16,0,206,281
St. Paul's/St. Paul's,124,Toronto,153,45,21,26,0,245,395
St. Paul's/St. Paul's,125,Toronto,105,38,18,27,0,188,324
St. Paul's/St. Paul's,126,Toronto,124,49,17,38,0,228,381
St. Paul's/St. Paul's,127,Toronto,105,36,9,26,0,176,276
St. Paul's/St. Paul's,128,Toronto,108,38,18,24,0,188,317
St. Paul's/St. Paul's,129,Toronto,131,38,13,18,0,200,317
St. Paul's/St. Paul's,130,Toronto,118,45,14,27,1,205,489
St. Paul's/St. Paul's,131,Toronto,87,38,10,23,1,159,271
St. Paul's/St. Paul's,132,Toronto,122,50,7,30,2,211,378
St. Paul's/St. Paul's,133,Toronto,98,33,4,20,0,155,271
St. Paul's/St. Paul's,134,Toronto,155,35,11,22,0,223,323
St. Paul's/St. Paul's,135,Toronto,134,39,13,28,0,214,318
St. Paul's/St. Paul's,136,Toronto,105,41,11,14,0,171,277
St. Paul's/St. Paul's,137,Toronto,158,54,16,16,0,244,342
St. Paul's/St. Paul's,138A,Toronto,124,29,14,27,0,194,305
St. Paul's/St. Paul's,138B,Toronto,145,39,17,36,0,237,423
St. Paul's/St. Paul's,139,Toronto,189,51,21,44,0,305,431
St. Paul's/St. Paul's,140,Toronto,181,55,12,45,2,295,458
St. Paul's/St. Paul's,141,Toronto,135,66,14,43,0,258,427
St. Paul's/St. Paul's,142,Toronto,90,23,16,28,0,157,214
St. Paul's/St. Paul's,143,Toronto,179,62,11,23,3,278,448
St. Paul's/St. Paul's,144,Toronto,171,40,20,33,0,264,401
St. Paul's/St. Paul's,145,Toronto,132,33,20,31,2,218,351
St. Paul's/St. Paul's,146,Toronto,199,86,17,41,0,343,493
St. Paul's/St. Paul's,146-1,Toronto,247,85,22,39,1,394,588
St. Paul's/St. Paul's,147A,Toronto,140,38,26,42,0,246,414
St. Paul's/St. Paul's,147B,Toronto,118,32,8,24,3,185,307
St. Paul's/St. Paul's,148A,Toronto,195,69,13,20,0,297,464
St. Paul's/St. Paul's,148B,Toronto,99,48,10,25,1,183,321
St. Paul's/St. Paul's,149,Toronto,52,28,10,13,0,103,171
St. Paul's/St. Paul's,150,Toronto,80,38,1,5,0,124,206
St. Paul's/St. Paul's,151,Toronto,115,30,12,21,0,178,325
St. Paul's/St. Paul's,152,Toronto,Void,,,,,,
St. Paul's/St. Paul's,153,York,83,14,9,38,1,145,238
St. Paul's/St. Paul's,154,York,84,31,8,34,2,159,189
St. Paul's/St. Paul's,155,York,150,37,3,25,0,215,312
St. Paul's/St. Paul's,156A,York,129,48,11,40,1,229,396
St. Paul's/St. Paul's,156B,York,17,10,3,4,0,34,245
St. Paul's/St. Paul's,157,Toronto,118,54,6,13,1,192,335
St. Paul's/St. Paul's,158,Toronto,102,84,13,10,0,209,354
St. Paul's/St. Paul's,159,Toronto,135,88,8,13,0,244,444
St. Paul's/St. Paul's,160,Toronto,202,94,27,41,6,370,571
St. Paul's/St. Paul's,161,Toronto,143,83,7,2,4,239,322
St. Paul's/St. Paul's,162,Toronto,101,51,14,23,0,189,318
St. Paul's/St. Paul's,163,Toronto,149,80,11,28,0,268,522
St. Paul's/St. Paul's,164,Toronto,82,55,9,13,1,160,270
St. Paul's/St. Paul's,165,Toronto,120,48,9,13,2,192,320
St. Paul's/St. Paul's,166,Toronto,129,34,8,24,3,198,351
St. Paul's/St. Paul's,167,Toronto,81,23,8,9,0,121,214
St. Paul's/St. Paul's,168,Toronto,144,61,10,10,1,226,397
St. Paul's/St. Paul's,169,Toronto,135,57,12,9,0,213,332
St. Paul's/St. Paul's,170,Toronto,140,66,20,17,0,243,354
St. Paul's/St. Paul's,171,Toronto,144,59,18,10,0,231,386
St. Paul's/St. Paul's,172,Toronto,161,50,13,28,0,252,388
St. Paul's/St. Paul's,173,Toronto,107,26,8,18,0,159,262
St. Paul's/St. Paul's,174,Toronto,129,47,8,30,0,214,336
St. Paul's/St. Paul's,175,Toronto,113,42,9,17,0,181,300
St. Paul's/St. Paul's,176,Toronto,102,19,8,34,2,165,279
St. Paul's/St. Paul's,177,Toronto,177,57,7,41,0,282,425
St. Paul's/St. Paul's,178,Toronto,111,26,5,21,0,163,221
St. Paul's/St. Paul's,179,Toronto,93,36,7,19,1,156,249
St. Paul's/St. Paul's,180,Toronto,138,32,15,33,0,218,351
St. Paul's/St. Paul's,181,Toronto,124,22,15,33,3,197,318
St. Paul's/St. Paul's,182,Toronto,114,31,9,32,2,188,363
St. Paul's/St. Paul's,183,Toronto,82,18,14,48,1,163,263
St. Paul's/St. Paul's,184,Toronto,51,14,11,32,0,108,195
St. Paul's/St. Paul's,185,Toronto,108,36,22,64,0,230,345
St. Paul's/St. Paul's,186,Toronto,120,16,12,55,2,205,366
St. Paul's/St. Paul's,187,Toronto,133,22,16,80,0,251,443
St. Paul's/St. Paul's,188,Toronto,20,8,1,3,0,32,428
St. Paul's/St. Paul's,189,Toronto,Void,,,,,,
St. Paul's/St. Paul's,190A,Toronto,133,21,8,81,2,245,414
St. Paul's/St. Paul's,190B,Toronto,209,68,10,35,2,324,477
St. Paul's/St. Paul's,191,Toronto,118,11,8,144,0,281,505
St. Paul's/St. Paul's,192,Toronto,66,10,11,29,0,116,229
St. Paul's/St. Paul's,193,Toronto,170,36,17,64,2,289,461
St. Paul's/St. Paul's,194,Toronto,106,23,11,82,0,222,394
St. Paul's/St. Paul's,195,Toronto,103,5,16,90,2,216,358
St. Paul's/St. Paul's,196,Toronto,101,28,20,71,1,221,299
St. Paul's/St. Paul's,197,Toronto,88,14,18,49,0,169,307
St. Paul's/St. Paul's,198,Toronto,164,18,12,82,3,279,530
St. Paul's/St. Paul's,199,Toronto,189,25,37,98,1,350,613
St. Paul's/St. Paul's,400,Toronto,84,19,14,17,0,134,233
St. Paul's/St. Paul's,401,Toronto,69,29,7,17,1,123,200
St. Paul's/St. Paul's,402,Toronto,167,62,10,54,1,294,486
St. Paul's/St. Paul's,403,Toronto,116,36,21,36,1,210,308
St. Paul's/St. Paul's,404,Toronto,151,21,16,50,3,241,401
St. Paul's/St. Paul's,405,Toronto,90,20,13,31,1,155,278
St. Paul's/St. Paul's,406,Toronto,93,21,10,30,0,154,291
St. Paul's/St. Paul's,407,Toronto,135,46,14,47,2,244,386
St. Paul's/St. Paul's,408,Toronto,100,25,13,27,0,165,292
St. Paul's/St. Paul's,409,Toronto,144,59,19,43,1,266,424
St. Paul's/St. Paul's,410,Toronto,109,26,11,22,0,168,276
St. Paul's/St. Paul's,411,Toronto,112,37,19,20,0,188,465
St. Paul's/St. Paul's,412,York,61,27,3,6,0,97,182
St. Paul's/St. Paul's,413,York,98,36,4,16,0,154,261
St. Paul's/St. Paul's,414,York,121,54,10,21,1,207,326
St. Paul's/St. Paul's,415,Toronto,79,31,6,16,0,132,218
St. Paul's/St. Paul's,600,Toronto,71,31,8,50,1,161,
St. Paul's/St. Paul's,601,Toronto,180,89,14,32,1,316,
St. Paul's/St. Paul's,602,Toronto,362,66,36,194,2,660,
St. Paul's/St. Paul's,603,Toronto,444,282,23,40,0,789,
St. Paul's/St. Paul's,604,Toronto,555,251,46,80,2,934,
St. Paul's/St. Paul's,605,Toronto,451,181,39,105,4,780,
St. Paul's/St. Paul's,606,Toronto,466,178,49,78,1,772,
St. Paul's/St. Paul's,607,Toronto,441,180,39,90,1,751,
St. Paul's/St. Paul's,608,Toronto,470,253,30,68,2,823,
St. Paul's/St. Paul's,609,Toronto,287,90,28,151,2,558,
St. Paul's/St. Paul's,,Group 1/Groupe 1,70,31,4,23,6,134,220
St. Paul's/St. Paul's,,Group 2/Groupe 2,689,330,88,186,8,1301,
