District,Poll Number,Poll Name,François Boudreau,Lévis Brien,André Cardinal,Jean-François Léveque,Allen  F. MacKenzie,Benoît Sauvageau,Rejected Ballots,Total Vote,Electors
Repentigny/Repentigny,133,Repentigny,2,83,5,9,19,170,6,294,479
Repentigny/Repentigny,134,Repentigny,4,98,8,9,17,184,8,328,522
Repentigny/Repentigny,135,Repentigny,2,53,9,4,7,108,3,186,324
Repentigny/Repentigny,136,Repentigny,7,154,4,5,18,191,7,386,680
Repentigny/Repentigny,137,Repentigny,2,35,4,11,11,136,4,203,331
Repentigny/Repentigny,138,Repentigny,1,45,16,10,9,156,3,240,377
Repentigny/Repentigny,139,Repentigny,3,36,8,13,14,165,4,243,444
Repentigny/Repentigny,140,Repentigny,3,33,4,9,7,129,10,195,389
Repentigny/Repentigny,141,Repentigny,2,29,9,9,10,142,10,211,412
Repentigny/Repentigny,142,Repentigny,2,38,5,7,11,167,9,239,358
Repentigny/Repentigny,143,Repentigny,3,37,3,4,18,129,3,197,343
Repentigny/Repentigny,144,Repentigny,1,50,4,6,7,150,5,223,365
Repentigny/Repentigny,145,Repentigny,2,28,3,2,5,100,2,142,334
Repentigny/Repentigny,146,Repentigny,5,53,3,7,4,131,1,204,452
Repentigny/Repentigny,147,Repentigny,3,88,2,5,16,130,9,253,436
Repentigny/Repentigny,148,Repentigny,2,28,4,1,5,100,0,140,261
Repentigny/Repentigny,149,Repentigny,7,50,2,9,15,105,3,191,322
Repentigny/Repentigny,150,Repentigny,1,53,12,4,7,118,6,201,335
Repentigny/Repentigny,151,Repentigny,3,55,11,6,11,156,10,252,380
Repentigny/Repentigny,152,Repentigny,4,53,7,12,12,202,6,296,448
Repentigny/Repentigny,153,Repentigny,4,37,11,12,9,214,6,293,437
Repentigny/Repentigny,154,Repentigny,2,41,9,8,4,191,8,263,416
Repentigny/Repentigny,155,Repentigny,4,51,11,9,14,208,5,302,440
Repentigny/Repentigny,156,Repentigny,2,58,15,5,6,168,4,258,390
Repentigny/Repentigny,157,Repentigny,1,53,10,14,10,181,2,271,446
Repentigny/Repentigny,158,Repentigny,4,59,10,12,12,180,2,279,444
Repentigny/Repentigny,159,Repentigny,1,53,6,8,12,181,5,266,442
Repentigny/Repentigny,160,Repentigny,4,37,11,4,6,161,10,233,368
Repentigny/Repentigny,161,Repentigny,4,32,7,5,17,175,2,242,407
Repentigny/Repentigny,162,Repentigny,1,35,7,8,8,152,4,215,345
Repentigny/Repentigny,163,Repentigny,1,40,7,4,13,155,6,226,364
Repentigny/Repentigny,164,Repentigny,3,52,9,4,13,149,1,231,355
Repentigny/Repentigny,165,Repentigny,5,35,8,6,4,136,5,199,308
Repentigny/Repentigny,166,Repentigny,2,67,8,5,13,119,2,216,344
Repentigny/Repentigny,167,Repentigny,0,57,8,5,10,140,3,223,363
Repentigny/Repentigny,168,Repentigny,1,44,5,5,5,147,6,213,402
Repentigny/Repentigny,169,Repentigny,2,41,6,8,8,122,5,192,366
Repentigny/Repentigny,170,Repentigny,2,66,3,7,15,142,4,239,419
Repentigny/Repentigny,171,Repentigny,1,127,7,8,12,122,1,278,432
Repentigny/Repentigny,172,Repentigny,0,47,18,9,14,145,4,237,396
Repentigny/Repentigny,173,Repentigny,0,40,11,12,9,188,4,264,373
Repentigny/Repentigny,174,Repentigny,2,44,4,10,4,143,6,213,340
