District,Poll Number,Poll Name,Françoise Boivin,Brian Gibb,Gabriel Girard-Bernier,Richard Nadeau,Gérald Nicolas,Stephane Salko,Dominique Vaillancourt,Rejected Ballots,Total Vote,Electors
Gatineau/Gatineau,52,Gatineau,97,10,1,81,12,4,8,3,216,361
Gatineau/Gatineau,53,Gatineau,75,2,1,70,12,1,11,3,175,361
Gatineau/Gatineau,54,Gatineau,37,6,0,53,7,0,7,0,110,235
Gatineau/Gatineau,55,Gatineau,87,5,0,81,13,2,14,4,206,381
Gatineau/Gatineau,56,Gatineau,94,7,0,75,12,3,12,8,211,380
Gatineau/Gatineau,57,Gatineau,105,2,0,64,17,2,11,4,205,398
Gatineau/Gatineau,58,Gatineau,99,3,2,62,20,2,6,3,197,331
Gatineau/Gatineau,59,Gatineau,71,7,0,33,14,3,16,4,148,355
Gatineau/Gatineau,60,Gatineau,58,4,0,47,12,0,5,2,128,361
Gatineau/Gatineau,61,Gatineau,136,12,1,63,20,7,8,3,250,404
Gatineau/Gatineau,62,Gatineau,46,3,0,50,5,0,5,1,110,258
Gatineau/Gatineau,63,Gatineau,58,3,1,50,8,3,5,1,129,321
Gatineau/Gatineau,64,Gatineau,54,4,0,33,7,5,4,0,107,303
Gatineau/Gatineau,65,Gatineau,85,3,0,63,7,4,9,0,171,409
Gatineau/Gatineau,66,Gatineau,34,1,1,60,2,1,9,2,110,384
Gatineau/Gatineau,67,Gatineau,36,6,1,52,10,1,5,2,113,354
Gatineau/Gatineau,68,Gatineau,93,1,0,64,17,2,8,1,186,337
Gatineau/Gatineau,69,Gatineau,83,2,0,78,12,2,17,5,199,364
Gatineau/Gatineau,70,Gatineau,76,2,0,52,10,0,7,0,147,286
Gatineau/Gatineau,71,Gatineau,75,6,0,69,14,2,13,4,183,375
Gatineau/Gatineau,72,Gatineau,49,5,0,48,11,2,6,1,122,245
Gatineau/Gatineau,73,Gatineau,47,4,0,52,6,1,13,3,126,233
Gatineau/Gatineau,74,Gatineau,54,6,1,88,24,0,11,2,186,445
Gatineau/Gatineau,75,Gatineau,105,8,0,54,20,2,10,0,199,399
Gatineau/Gatineau,76,Gatineau,94,5,0,62,17,1,16,3,198,418
Gatineau/Gatineau,77,Gatineau,90,7,1,90,14,2,11,5,220,351
Gatineau/Gatineau,78,Gatineau,69,4,0,94,13,1,7,3,191,370
Gatineau/Gatineau,79,Gatineau,108,6,0,73,15,2,23,0,227,374
Gatineau/Gatineau,80,Gatineau,94,8,0,76,18,1,11,4,212,338
Gatineau/Gatineau,81,Gatineau,107,7,0,52,16,0,16,6,204,355
Gatineau/Gatineau,82A,Gatineau,15,5,1,21,10,0,3,0,55,233
Gatineau/Gatineau,82B,Gatineau,20,3,0,34,2,0,7,0,66,227
Gatineau/Gatineau,83,Gatineau,118,3,1,71,10,0,13,2,218,403
Gatineau/Gatineau,84,Gatineau,109,9,0,96,6,2,12,3,237,352
Gatineau/Gatineau,85,Gatineau,121,9,1,95,16,1,6,4,253,388
Gatineau/Gatineau,86A,Gatineau,92,4,5,36,12,0,4,0,153,244
Gatineau/Gatineau,86B,Gatineau,82,2,1,43,9,0,6,2,145,274
Gatineau/Gatineau,87,Gatineau,93,1,0,45,5,0,9,1,154,266
Gatineau/Gatineau,88,Gatineau,76,1,1,53,13,0,8,3,155,348
Gatineau/Gatineau,89,Gatineau,64,4,1,49,13,1,13,0,145,404
Gatineau/Gatineau,90,Gatineau,64,8,2,61,8,1,12,3,159,333
Gatineau/Gatineau,91,Gatineau,110,7,1,85,13,4,10,3,233,455
Gatineau/Gatineau,92,Gatineau,69,5,0,36,12,2,4,4,132,354
Gatineau/Gatineau,93,Gatineau,50,4,0,37,8,2,13,2,116,318
Gatineau/Gatineau,94,Gatineau,87,5,0,50,15,0,11,2,170,337
Gatineau/Gatineau,95,Gatineau,86,8,1,69,12,1,11,2,190,342
Gatineau/Gatineau,96,Gatineau,64,3,1,46,9,0,7,0,130,306
Gatineau/Gatineau,97,Gatineau,57,2,0,36,11,1,10,0,117,247
Gatineau/Gatineau,98,Gatineau,85,10,2,59,9,0,11,0,176,314
Gatineau/Gatineau,99,Gatineau,47,4,0,38,9,4,10,1,113,328
Gatineau/Gatineau,100,Gatineau,103,1,1,75,18,3,7,3,211,360
Gatineau/Gatineau,101,Gatineau,87,5,0,60,19,1,18,2,192,375
Gatineau/Gatineau,102,Gatineau,74,7,0,74,11,1,13,2,182,381
Gatineau/Gatineau,103,Gatineau,100,2,0,64,16,0,9,2,193,387
Gatineau/Gatineau,104A,Gatineau,80,0,2,30,8,0,2,1,123,249
Gatineau/Gatineau,104B,Gatineau,67,3,1,39,11,1,4,1,127,260
Gatineau/Gatineau,105,Gatineau,67,6,0,36,9,2,9,2,131,396
Gatineau/Gatineau,106,Gatineau,40,1,0,47,8,0,10,1,107,304
Gatineau/Gatineau,107A,Gatineau,29,5,1,22,5,1,2,1,66,211
Gatineau/Gatineau,107B,Gatineau,39,1,0,38,7,1,5,2,93,256
Gatineau/Gatineau,108,Gatineau,51,1,2,57,8,1,6,0,126,367
Gatineau/Gatineau,109,Gatineau,82,8,1,106,17,3,12,1,230,412
Gatineau/Gatineau,110,Gatineau,68,2,0,71,9,2,7,2,161,345
Gatineau/Gatineau,111,Gatineau,79,7,0,82,20,3,18,3,212,392
Gatineau/Gatineau,112,Gatineau,52,2,0,73,24,2,9,1,163,283
Gatineau/Gatineau,113,Gatineau,51,2,1,46,9,3,10,3,125,265
Gatineau/Gatineau,114,Gatineau,62,2,0,87,12,1,6,1,171,345
Gatineau/Gatineau,115,Gatineau,88,5,0,103,18,8,19,2,243,406
Gatineau/Gatineau,116A,Gatineau,45,2,0,59,8,0,11,3,128,219
Gatineau/Gatineau,116B,Gatineau,56,2,2,62,18,2,7,4,153,261
Gatineau/Gatineau,117,Gatineau,136,5,0,98,21,0,19,4,283,443
Gatineau/Gatineau,118A,Gatineau,71,5,0,62,20,0,5,5,168,243
Gatineau/Gatineau,118B,Gatineau,71,3,0,71,8,1,10,3,167,254
Gatineau/Gatineau,119,Gatineau,72,8,1,91,16,3,13,1,205,347
Gatineau/Gatineau,120,Gatineau,74,2,1,95,8,4,20,6,210,356
Gatineau/Gatineau,121,Gatineau,85,8,0,110,12,1,9,0,225,412
Gatineau/Gatineau,122,Gatineau,69,7,0,90,21,1,9,4,201,392
Gatineau/Gatineau,123A,Gatineau,72,3,0,58,8,0,8,3,152,284
Gatineau/Gatineau,123B,Gatineau,91,8,0,68,11,0,5,3,186,287
Gatineau/Gatineau,124A,Gatineau,64,4,1,55,9,1,7,2,143,236
Gatineau/Gatineau,124B,Gatineau,83,4,0,63,7,1,3,0,161,269
Gatineau/Gatineau,125,Gatineau,81,5,0,90,14,2,15,2,209,391
Gatineau/Gatineau,126,Gatineau,98,12,2,73,19,0,7,4,215,385
Gatineau/Gatineau,127,Gatineau,90,5,1,127,14,6,6,2,251,399
Gatineau/Gatineau,128,Gatineau,72,4,0,100,12,5,13,3,209,361
Gatineau/Gatineau,129,Gatineau,66,12,0,91,21,3,9,3,205,352
Gatineau/Gatineau,130,Gatineau,83,10,0,100,22,1,14,6,236,424
Gatineau/Gatineau,131,Gatineau,56,4,0,61,8,1,8,3,141,354
Gatineau/Gatineau,132,Gatineau,49,7,2,85,25,0,13,6,187,354
Gatineau/Gatineau,133,Gatineau,83,7,0,88,25,1,17,4,225,343
Gatineau/Gatineau,134,Gatineau,44,5,0,47,14,2,9,3,124,314
Gatineau/Gatineau,135,Gatineau,73,7,2,90,14,5,7,8,206,401
Gatineau/Gatineau,136,Gatineau,30,2,1,53,8,3,4,0,101,206
Gatineau/Gatineau,137,Gatineau,53,5,0,75,12,3,9,1,158,335
Gatineau/Gatineau,138,Gatineau,66,7,1,86,14,1,14,4,193,362
Gatineau/Gatineau,139A,Gatineau,62,8,0,70,8,1,4,2,155,323
Gatineau/Gatineau,139B,Gatineau,83,9,0,84,18,3,8,3,208,351
Gatineau/Gatineau,140,Gatineau,40,2,0,62,10,0,7,3,124,329
Gatineau/Gatineau,141,Gatineau,28,1,0,44,8,1,1,1,84,233
Gatineau/Gatineau,142,Gatineau,90,8,0,105,19,3,13,2,240,364
Gatineau/Gatineau,143,Gatineau,82,7,0,91,12,3,15,3,213,388
Gatineau/Gatineau,144,Gatineau,76,5,1,90,17,7,6,5,207,371
Gatineau/Gatineau,145,Gatineau,101,7,0,49,12,1,11,2,183,343
Gatineau/Gatineau,146,Gatineau,108,4,0,69,14,0,7,4,206,313
Gatineau/Gatineau,147,Gatineau,97,10,1,72,16,0,16,2,214,390
Gatineau/Gatineau,148,Gatineau,77,4,0,62,13,0,8,4,168,364
Gatineau/Gatineau,149,Gatineau,84,6,0,89,15,4,6,3,207,381
Gatineau/Gatineau,150,Gatineau,89,7,0,75,9,1,11,0,192,319
Gatineau/Gatineau,151,Gatineau,108,4,0,43,13,4,14,3,189,337
Gatineau/Gatineau,152,Gatineau,85,7,1,80,18,0,3,3,197,385
Gatineau/Gatineau,153,Gatineau,47,5,2,62,9,0,2,3,130,414
Gatineau/Gatineau,154,Gatineau,68,6,1,79,11,6,8,1,180,420
Gatineau/Gatineau,155,Gatineau,40,4,0,52,10,0,4,0,110,258
Gatineau/Gatineau,156,Gatineau,103,2,2,95,9,3,11,3,228,358
Gatineau/Gatineau,157,Gatineau,73,5,0,79,19,3,13,0,192,362
Gatineau/Gatineau,158,Gatineau,67,2,0,63,7,2,5,1,147,296
Gatineau/Gatineau,159A,Gatineau,40,4,0,42,8,0,5,2,101,224
Gatineau/Gatineau,159B,Gatineau,41,8,0,41,3,1,5,2,101,260
Gatineau/Gatineau,160,Gatineau,102,5,1,55,18,4,8,3,196,356
Gatineau/Gatineau,161,Gatineau,68,5,0,74,13,1,15,3,179,361
Gatineau/Gatineau,162,Gatineau,76,5,0,57,15,3,11,0,167,330
Gatineau/Gatineau,163,Gatineau,55,6,0,83,11,4,2,0,161,384
Gatineau/Gatineau,164A,Gatineau,72,0,0,37,10,0,3,0,122,282
Gatineau/Gatineau,164B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,,,3
Gatineau/Gatineau,165,Gatineau,72,5,0,60,14,0,21,1,173,353
Gatineau/Gatineau,166A,Gatineau,44,4,0,39,11,1,9,2,110,229
Gatineau/Gatineau,166B,Gatineau,66,2,0,44,4,2,9,1,128,270
Gatineau/Gatineau,167,Gatineau,47,3,0,40,2,2,3,0,97,333
Gatineau/Gatineau,168,Gatineau,70,2,1,64,9,1,8,4,159,378
Gatineau/Gatineau,169,Gatineau,48,7,0,48,8,1,4,0,116,254
Gatineau/Gatineau,170,Gatineau,44,5,0,64,11,0,4,2,130,355
Gatineau/Gatineau,171,Gatineau,77,5,0,83,23,0,21,3,212,373
Gatineau/Gatineau,172,Gatineau,78,2,1,44,13,0,9,1,148,328
Gatineau/Gatineau,173A,Gatineau,28,4,0,50,11,2,12,3,110,238
Gatineau/Gatineau,173B,Gatineau,38,1,0,57,6,1,6,0,109,272
Gatineau/Gatineau,174,Gatineau,58,6,0,70,7,0,1,0,142,299
Gatineau/Gatineau,175,Gatineau,42,1,0,57,6,1,4,3,114,308
Gatineau/Gatineau,176,Gatineau,46,1,2,43,9,2,8,0,111,348
Gatineau/Gatineau,177,Gatineau,39,0,0,42,13,2,5,2,103,267
Gatineau/Gatineau,178,Gatineau,57,4,0,85,6,1,14,5,172,445
Gatineau/Gatineau,179,Gatineau,40,5,1,73,9,0,6,3,137,347
Gatineau/Gatineau,180,Gatineau,53,2,2,41,19,1,2,2,122,322
Gatineau/Gatineau,181,Gatineau,38,4,0,48,5,1,6,1,103,297
Gatineau/Gatineau,182,Gatineau,81,6,0,59,19,4,4,1,174,389
Gatineau/Gatineau,183,Gatineau,61,10,1,54,0,2,7,3,138,335
Gatineau/Gatineau,184,Gatineau,36,8,0,78,13,1,5,1,142,288
Gatineau/Gatineau,185A,Gatineau,39,3,1,48,8,2,13,3,117,266
Gatineau/Gatineau,185B,Gatineau,31,3,0,63,13,0,5,1,116,244
Gatineau/Gatineau,186A,Gatineau,35,3,0,67,10,4,8,3,130,271
Gatineau/Gatineau,186B,Gatineau,46,2,0,69,9,2,5,6,139,246
Gatineau/Gatineau,187A,Gatineau,39,5,1,47,6,0,3,2,103,239
Gatineau/Gatineau,187B,Gatineau,40,5,0,72,5,0,6,3,131,272
Gatineau/Gatineau,188,Gatineau,89,4,1,87,9,0,20,3,213,421
Gatineau/Gatineau,189,Gatineau,75,7,0,86,4,4,7,3,186,408
Gatineau/Gatineau,190,Gatineau,62,6,0,114,27,4,15,1,229,383
Gatineau/Gatineau,191,Gatineau,82,6,0,87,16,2,20,3,216,371
Gatineau/Gatineau,192,Gatineau,64,6,0,93,16,5,7,6,197,437
Gatineau/Gatineau,193,Gatineau,60,3,0,60,5,4,7,3,142,302
Gatineau/Gatineau,194,Gatineau,38,5,0,60,7,1,7,0,118,274
Gatineau/Gatineau,195,Gatineau,64,9,1,82,19,0,4,2,181,355
Gatineau/Gatineau,196,Gatineau,83,8,0,133,14,4,9,1,252,350
Gatineau/Gatineau,197,Gatineau,69,8,0,126,9,5,19,3,239,412
Gatineau/Gatineau,198,Gatineau,91,8,1,92,9,1,9,3,214,345
Gatineau/Gatineau,199,Gatineau,58,8,1,90,8,2,6,5,178,369
Gatineau/Gatineau,200,Gatineau,74,3,0,94,7,1,8,8,195,344
Gatineau/Gatineau,201,Gatineau,57,6,0,66,8,2,1,1,141,352
Gatineau/Gatineau,202,Gatineau,44,5,1,66,19,3,10,1,149,392
Gatineau/Gatineau,203,Gatineau,70,4,0,78,12,1,11,8,184,394
Gatineau/Gatineau,204,Gatineau,55,1,0,75,11,0,11,1,154,346
Gatineau/Gatineau,205A,Gatineau,83,4,1,99,12,3,12,6,220,396
Gatineau/Gatineau,205B,Gatineau,85,5,1,93,14,1,16,3,218,392
Gatineau/Gatineau,206A,Gatineau,53,6,0,75,9,0,7,0,150,277
Gatineau/Gatineau,206B,Gatineau,48,2,0,62,9,0,13,1,135,292
Gatineau/Gatineau,207,Gatineau,72,4,0,65,22,0,7,3,173,410
Gatineau/Gatineau,208,Gatineau,35,9,0,50,16,1,11,3,125,274
Gatineau/Gatineau,209,Gatineau,79,2,0,89,17,3,15,3,208,420
Gatineau/Gatineau,210,Gatineau,64,0,0,94,17,2,15,2,194,387
Gatineau/Gatineau,211A,Gatineau,41,2,0,62,6,2,9,3,125,231
Gatineau/Gatineau,211B,Gatineau,39,4,0,58,10,1,3,1,116,228
Gatineau/Gatineau,212,Gatineau,58,3,2,89,21,4,7,2,186,416
Gatineau/Gatineau,213,Gatineau,57,11,0,85,19,4,14,3,193,317
Gatineau/Gatineau,214,Gatineau,67,4,0,86,16,1,4,4,182,368
Gatineau/Gatineau,215,Gatineau,52,4,0,94,14,1,15,3,183,321
Gatineau/Gatineau,216,Gatineau,58,7,0,45,17,1,4,1,133,376
Gatineau/Gatineau,217,Gatineau,50,3,1,67,5,3,2,2,133,379
Gatineau/Gatineau,218,Gatineau,51,4,3,45,12,1,7,0,123,283
Gatineau/Gatineau,500,Mobile poll/Bureau itinérant,38,0,4,12,3,0,2,0,59,97
Gatineau/Gatineau,501,Mobile poll/Bureau itinérant,75,2,1,23,6,0,2,2,111,211
Gatineau/Gatineau,502,Mobile poll/Bureau itinérant,56,3,1,12,10,1,5,2,90,138
Gatineau/Gatineau,600,Gatineau,89,15,0,156,26,1,31,1,319,
Gatineau/Gatineau,601,Gatineau,222,16,2,186,48,4,23,2,503,
Gatineau/Gatineau,602,Gatineau,118,5,1,109,19,1,11,3,267,
Gatineau/Gatineau,603,Gatineau,69,1,0,34,21,1,7,1,134,
Gatineau/Gatineau,604,Gatineau,198,8,3,158,32,2,20,1,422,
Gatineau/Gatineau,605,Gatineau,171,8,1,122,32,1,14,0,349,
Gatineau/Gatineau,606,Gatineau,110,7,1,103,30,2,18,4,275,
Gatineau/Gatineau,607,Gatineau,91,7,1,101,33,0,10,2,245,
Gatineau/Gatineau,608,Gatineau,207,16,1,126,48,5,17,3,423,
Gatineau/Gatineau,609,Gatineau,140,10,1,114,43,2,6,3,319,
Gatineau/Gatineau,610,Gatineau,122,9,1,172,25,4,18,0,351,
Gatineau/Gatineau,611,Gatineau,69,7,0,114,20,2,26,4,242,
Gatineau/Gatineau,,Group 1/Groupe 1,74,6,0,51,42,7,8,5,193,470
Gatineau/Gatineau,,Group 2/Groupe 2,439,38,0,323,86,11,70,17,984,
