District,Poll Number,Poll Name,Joseph Grubb,Tim McKellar,Sandra Romano Anthony,Judy Sgro,Leslie Soobrian,Rejected Ballots,Total Vote,Electors
York West/York-Ouest,32,North York,16,4,32,90,19,0,161,454
York West/York-Ouest,33,North York,8,5,17,97,11,5,143,360
York West/York-Ouest,34,North York,11,5,11,31,11,2,71,149
York West/York-Ouest,35,North York,24,4,23,120,27,3,201,397
York West/York-Ouest,36A,North York,7,3,26,73,16,1,126,293
York West/York-Ouest,36B,North York,1,3,28,84,19,0,135,303
York West/York-Ouest,37,North York,3,3,20,81,17,0,124,287
York West/York-Ouest,38,North York,17,7,26,91,28,0,169,308
York West/York-Ouest,39,North York,7,6,23,68,14,0,118,321
York West/York-Ouest,40,North York,1,4,12,73,12,1,103,378
York West/York-Ouest,41,North York,6,4,20,146,20,7,203,417
York West/York-Ouest,42,North York,8,4,44,95,15,0,166,404
York West/York-Ouest,43A,North York,5,1,23,90,7,0,126,299
York West/York-Ouest,43B,North York,4,1,16,80,10,0,111,292
York West/York-Ouest,44,North York,14,2,17,94,12,1,140,391
York West/York-Ouest,45,North York,7,4,39,104,22,1,177,537
York West/York-Ouest,46,North York,1,16,41,56,24,2,140,347
York West/York-Ouest,47,North York,6,8,34,75,6,1,130,263
York West/York-Ouest,48,North York,0,0,13,9,0,0,22,108
York West/York-Ouest,49,North York,1,2,47,59,15,1,125,401
York West/York-Ouest,50,North York,Void,,,,,,,
York West/York-Ouest,51,North York,8,5,36,102,19,2,172,370
York West/York-Ouest,52,North York,9,6,17,112,13,0,157,317
York West/York-Ouest,53,North York,2,9,19,96,22,0,148,318
York West/York-Ouest,54A,North York,2,1,23,93,22,1,142,296
York West/York-Ouest,54B,North York,2,2,23,96,8,0,131,267
York West/York-Ouest,55A,North York,4,6,28,122,9,0,169,318
York West/York-Ouest,55B,North York,6,2,39,79,17,1,144,292
York West/York-Ouest,56,North York,4,9,29,87,24,4,157,262
York West/York-Ouest,57,North York,6,3,23,124,13,0,169,278
York West/York-Ouest,58,North York,9,9,45,130,19,1,213,407
York West/York-Ouest,59,North York,8,4,29,66,35,0,142,275
York West/York-Ouest,60,North York,15,9,24,78,41,3,170,403
York West/York-Ouest,61,North York,8,2,27,85,24,0,146,293
York West/York-Ouest,62,North York,8,10,21,111,23,3,176,367
York West/York-Ouest,63,North York,15,4,26,152,25,1,223,367
York West/York-Ouest,64,North York,7,5,44,144,28,1,229,421
York West/York-Ouest,65,North York,13,5,33,117,20,0,188,402
York West/York-Ouest,66,North York,9,2,27,76,12,2,128,298
York West/York-Ouest,67,North York,15,9,37,153,19,1,234,565
York West/York-Ouest,68,North York,12,6,32,134,35,4,223,467
York West/York-Ouest,69,North York,2,3,37,129,20,2,193,369
York West/York-Ouest,70,North York,13,4,28,148,15,1,209,332
York West/York-Ouest,71,North York,9,7,33,126,15,3,193,455
York West/York-Ouest,72,North York,12,2,35,63,3,2,117,307
York West/York-Ouest,73,North York,17,2,18,88,16,2,143,377
York West/York-Ouest,74,North York,8,1,18,29,12,0,68,334
York West/York-Ouest,75,North York,14,6,27,178,16,2,243,504
York West/York-Ouest,76,North York,16,3,42,189,14,0,264,434
York West/York-Ouest,77,North York,2,2,25,80,17,2,128,287
York West/York-Ouest,78,North York,14,10,38,140,19,0,221,409
York West/York-Ouest,79,North York,10,2,27,134,15,2,190,384
York West/York-Ouest,80,North York,5,2,31,113,13,1,165,358
York West/York-Ouest,81,North York,7,2,17,87,8,0,121,308
York West/York-Ouest,82,North York,11,4,35,118,9,3,180,337
York West/York-Ouest,83A,North York,11,3,27,105,25,2,173,385
York West/York-Ouest,83B,North York,11,3,26,75,12,4,131,326
York West/York-Ouest,84,North York,6,3,13,74,9,0,105,173
York West/York-Ouest,85A,North York,14,7,25,139,19,5,209,454
York West/York-Ouest,85B,North York,5,1,8,18,4,5,41,122
York West/York-Ouest,86,North York,9,7,35,163,20,0,234,413
York West/York-Ouest,87,North York,7,4,41,126,13,0,191,435
York West/York-Ouest,88,North York,13,5,30,145,25,1,219,464
York West/York-Ouest,89,North York,11,1,12,78,17,0,119,338
York West/York-Ouest,90,North York,10,7,19,111,10,1,158,321
York West/York-Ouest,91,North York,5,8,32,98,15,1,159,421
York West/York-Ouest,92,North York,7,6,33,91,11,0,148,450
York West/York-Ouest,93,North York,10,4,25,122,28,3,192,516
York West/York-Ouest,94,North York,11,3,10,121,9,1,155,378
York West/York-Ouest,95,North York,8,1,19,83,28,0,139,363
York West/York-Ouest,96,North York,4,1,6,49,3,0,63,175
York West/York-Ouest,97,North York,Void,,,,,,,
York West/York-Ouest,98A,North York,13,1,17,73,4,3,111,275
York West/York-Ouest,98B,North York,5,2,9,67,7,0,90,277
York West/York-Ouest,99,North York,12,2,11,76,10,1,112,304
York West/York-Ouest,100,North York,10,3,26,105,22,2,168,429
York West/York-Ouest,101,North York,10,2,21,101,20,1,155,303
York West/York-Ouest,102,North York,5,4,10,124,16,1,160,265
York West/York-Ouest,103,North York,6,3,24,136,18,0,187,333
York West/York-Ouest,104,North York,5,5,34,126,16,2,188,346
York West/York-Ouest,105,North York,11,3,23,56,11,1,105,288
York West/York-Ouest,106,North York,9,5,37,161,22,0,234,453
York West/York-Ouest,107,North York,14,4,40,132,17,4,211,361
York West/York-Ouest,108,North York,25,10,41,195,40,2,313,736
York West/York-Ouest,109,North York,Void,,,,,,,
York West/York-Ouest,110A,North York,8,0,15,147,7,4,181,306
York West/York-Ouest,110B,North York,1,1,5,120,7,1,135,262
York West/York-Ouest,111,North York,7,1,26,139,20,3,196,400
York West/York-Ouest,112,North York,3,2,15,117,7,0,144,278
York West/York-Ouest,113,North York,4,2,23,121,26,1,177,377
York West/York-Ouest,114A,North York,7,5,15,75,16,2,120,295
York West/York-Ouest,114B,North York,5,4,19,63,16,1,108,276
York West/York-Ouest,115,North York,14,13,22,133,16,6,204,468
York West/York-Ouest,116,North York,7,3,7,77,9,0,103,221
York West/York-Ouest,117A,North York,13,5,23,66,18,1,126,424
York West/York-Ouest,117B,North York,4,2,19,73,12,2,112,366
York West/York-Ouest,118,North York,12,9,31,134,39,0,225,448
York West/York-Ouest,119,North York,11,2,27,28,15,0,83,258
York West/York-Ouest,120,North York,10,3,26,101,17,2,159,337
York West/York-Ouest,121,North York,9,8,19,83,12,0,131,396
York West/York-Ouest,122,North York,9,9,36,110,17,0,181,374
York West/York-Ouest,123,North York,6,6,31,97,22,4,166,335
York West/York-Ouest,124,North York,15,5,21,91,35,2,169,369
York West/York-Ouest,125,North York,14,15,27,93,15,0,164,321
York West/York-Ouest,126,North York,12,20,23,101,21,0,177,301
York West/York-Ouest,127,North York,25,14,31,133,32,1,236,433
York West/York-Ouest,128,North York,10,9,32,149,17,1,218,386
York West/York-Ouest,129A,North York,11,0,13,68,12,0,104,318
York West/York-Ouest,129B,North York,10,1,9,61,21,0,102,267
York West/York-Ouest,130,North York,5,5,16,91,23,0,140,297
York West/York-Ouest,131,North York,11,5,30,84,13,3,146,271
York West/York-Ouest,132,North York,8,3,18,99,17,3,148,252
York West/York-Ouest,133,North York,8,10,21,129,18,1,187,359
York West/York-Ouest,134,North York,8,7,16,141,29,3,204,356
York West/York-Ouest,135,North York,6,9,16,78,22,0,131,236
York West/York-Ouest,136,North York,10,22,34,139,32,3,240,382
York West/York-Ouest,137,North York,14,1,17,127,8,1,168,309
York West/York-Ouest,138,North York,11,6,24,131,17,1,190,313
York West/York-Ouest,139,North York,6,8,18,121,14,1,168,292
York West/York-Ouest,140,North York,4,1,12,76,11,0,104,221
York West/York-Ouest,141A,North York,14,0,26,97,11,0,148,372
York West/York-Ouest,141B,North York,12,5,23,76,6,0,122,328
York West/York-Ouest,142,North York,10,9,20,85,17,0,141,341
York West/York-Ouest,143,North York,8,13,23,74,33,4,155,355
York West/York-Ouest,144,North York,2,5,25,57,16,0,105,230
York West/York-Ouest,145,North York,3,9,23,64,21,0,120,229
York West/York-Ouest,400,North York,4,10,42,87,16,0,159,373
York West/York-Ouest,401,North York,8,4,20,40,27,0,99,355
York West/York-Ouest,402,North York,1,2,24,61,25,2,115,303
York West/York-Ouest,403,North York,2,4,23,60,17,0,106,299
York West/York-Ouest,404,North York,10,1,31,119,6,1,168,452
York West/York-Ouest,405,North York,3,1,20,52,8,1,85,305
York West/York-Ouest,406,North York,2,1,14,76,17,0,110,292
York West/York-Ouest,407,North York,14,0,22,66,17,1,120,310
York West/York-Ouest,600,Toronto,24,6,23,121,39,1,214,
York West/York-Ouest,601,Toronto,15,2,37,150,29,4,237,
York West/York-Ouest,602,Toronto,1,2,14,42,12,0,71,
York West/York-Ouest,603,Toronto,17,9,45,119,36,3,229,
York West/York-Ouest,604,Toronto,11,2,18,83,13,1,128,
York West/York-Ouest,605,Toronto,14,5,25,112,21,0,177,
York West/York-Ouest,606,Toronto,15,5,39,187,42,2,290,
York West/York-Ouest,607,Toronto,8,4,13,94,20,1,140,
York West/York-Ouest,,Group 1/Groupe 1,2,2,4,16,7,2,33,70
York West/York-Ouest,,Group 2/Groupe 2,11,6,36,139,25,17,234,
