District,Poll Number,Poll Name,Colin Carrie,Louise V. Parkes,Sid Ryan,Tim Sullivan,Liisa Whalley,Rejected Ballots,Total Vote,Electors
Oshawa/Oshawa,86,Oshawa,55,97,46,1,0,6,205,377
Oshawa/Oshawa,87,Oshawa,69,103,58,0,12,2,244,376
Oshawa/Oshawa,88,Oshawa,55,91,51,0,13,1,211,341
Oshawa/Oshawa,89,Oshawa,44,46,85,0,6,0,181,397
Oshawa/Oshawa,90,Oshawa,35,54,58,0,6,1,154,495
Oshawa/Oshawa,91,Oshawa,71,104,62,0,6,2,245,399
Oshawa/Oshawa,92,Oshawa,46,53,106,0,5,2,212,397
Oshawa/Oshawa,93,Oshawa,46,49,65,0,5,0,165,434
Oshawa/Oshawa,94,Oshawa,42,44,58,1,10,3,158,366
Oshawa/Oshawa,95,Oshawa,49,56,64,3,8,2,182,331
Oshawa/Oshawa,96,Oshawa,31,50,68,1,3,3,156,378
Oshawa/Oshawa,97,Oshawa,50,44,84,0,9,2,189,348
Oshawa/Oshawa,98,Oshawa,42,44,59,1,7,0,153,338
Oshawa/Oshawa,99,Oshawa,59,56,85,2,8,0,210,414
Oshawa/Oshawa,100,Oshawa,45,38,63,0,4,1,151,408
Oshawa/Oshawa,101,Oshawa,65,64,42,1,4,0,176,333
Oshawa/Oshawa,102,Oshawa,54,40,50,1,4,3,152,331
Oshawa/Oshawa,103,Oshawa,69,61,93,0,12,1,236,405
Oshawa/Oshawa,104,Oshawa,45,52,81,0,5,0,183,297
Oshawa/Oshawa,105,Oshawa,89,46,55,0,13,0,203,409
Oshawa/Oshawa,106,Oshawa,64,48,61,0,8,1,182,341
Oshawa/Oshawa,107,Oshawa,66,49,74,2,7,1,199,354
Oshawa/Oshawa,108,Oshawa,78,56,60,0,12,1,207,395
Oshawa/Oshawa,109,Oshawa,53,51,60,1,6,4,175,353
Oshawa/Oshawa,110,Oshawa,69,53,59,1,8,3,193,396
Oshawa/Oshawa,111,Oshawa,23,36,44,0,0,3,106,343
Oshawa/Oshawa,112,Oshawa,38,34,34,0,5,0,111,266
Oshawa/Oshawa,113,Oshawa,11,16,44,0,2,0,73,206
Oshawa/Oshawa,114,Oshawa,62,79,71,0,11,2,225,456
Oshawa/Oshawa,115,Oshawa,74,80,73,1,15,1,244,424
Oshawa/Oshawa,116,Oshawa,57,39,45,0,7,1,149,377
Oshawa/Oshawa,117,Oshawa,40,46,50,0,4,1,141,319
Oshawa/Oshawa,118,Oshawa,37,28,64,1,6,4,140,256
Oshawa/Oshawa,119,Oshawa,63,59,115,0,11,2,250,544
Oshawa/Oshawa,120,Oshawa,47,34,54,1,3,1,140,335
Oshawa/Oshawa,121,Oshawa,40,47,79,2,6,3,177,421
Oshawa/Oshawa,122,Oshawa,64,119,85,0,7,2,277,589
Oshawa/Oshawa,123,Oshawa,Void,,,,,,,
Oshawa/Oshawa,124,Oshawa,37,47,78,0,4,2,168,413
Oshawa/Oshawa,125,Oshawa,40,42,75,1,9,3,170,430
Oshawa/Oshawa,126,Oshawa,37,33,68,0,12,0,150,389
Oshawa/Oshawa,127,Oshawa,54,64,96,3,11,1,229,488
Oshawa/Oshawa,128,Oshawa,70,58,77,0,5,1,211,430
Oshawa/Oshawa,129,Oshawa,44,37,67,0,5,1,154,353
Oshawa/Oshawa,130,Oshawa,41,63,93,2,16,0,215,396
Oshawa/Oshawa,131,Oshawa,62,71,86,0,15,1,235,418
Oshawa/Oshawa,132,Oshawa,35,30,53,0,10,0,128,313
Oshawa/Oshawa,133,Oshawa,54,61,56,1,12,2,186,343
Oshawa/Oshawa,134,Oshawa,48,48,75,0,9,1,181,347
Oshawa/Oshawa,135,Oshawa,68,43,85,1,13,0,210,408
Oshawa/Oshawa,136,Oshawa,52,50,95,0,9,1,207,399
Oshawa/Oshawa,137,Oshawa,64,54,94,1,12,2,227,446
Oshawa/Oshawa,138,Oshawa,38,28,94,0,8,0,168,358
Oshawa/Oshawa,139,Oshawa,67,53,64,0,10,3,197,437
Oshawa/Oshawa,140,Oshawa,68,60,67,0,11,5,211,350
Oshawa/Oshawa,141,Oshawa,49,48,104,0,8,1,210,379
Oshawa/Oshawa,142,Oshawa,52,68,91,1,10,0,222,391
Oshawa/Oshawa,143,Oshawa,60,33,60,1,4,1,159,284
Oshawa/Oshawa,144,Oshawa,84,66,95,0,14,2,261,419
Oshawa/Oshawa,145,Oshawa,64,58,102,1,11,0,236,368
Oshawa/Oshawa,146,Oshawa,51,71,67,0,12,2,203,392
Oshawa/Oshawa,147,Oshawa,88,67,84,0,8,5,252,419
Oshawa/Oshawa,148,Oshawa,58,85,56,0,7,0,206,360
Oshawa/Oshawa,149,Oshawa,82,61,60,0,7,0,210,403
Oshawa/Oshawa,150,Oshawa,84,74,77,1,21,0,257,412
Oshawa/Oshawa,151,Oshawa,89,91,72,0,5,3,260,418
Oshawa/Oshawa,152,Oshawa,57,65,88,0,16,1,227,390
Oshawa/Oshawa,153,Oshawa,77,60,88,0,7,1,233,415
Oshawa/Oshawa,154,Oshawa,66,66,72,0,6,3,213,342
Oshawa/Oshawa,155,Oshawa,111,64,64,0,11,1,251,432
Oshawa/Oshawa,156,Oshawa,83,55,70,0,7,1,216,356
Oshawa/Oshawa,157,Oshawa,69,58,58,0,8,2,195,328
Oshawa/Oshawa,158,Oshawa,91,87,63,1,10,1,253,439
Oshawa/Oshawa,159,Oshawa,109,114,71,0,6,1,301,435
Oshawa/Oshawa,160,Oshawa,78,78,83,1,13,2,255,476
Oshawa/Oshawa,161,Oshawa,102,48,87,2,13,2,254,499
Oshawa/Oshawa,162,Oshawa,105,54,61,1,7,0,228,420
Oshawa/Oshawa,163,Oshawa,86,54,71,0,8,2,221,460
Oshawa/Oshawa,164,Oshawa,97,32,76,1,11,0,217,467
Oshawa/Oshawa,165,Oshawa,96,53,64,0,5,2,220,359
Oshawa/Oshawa,166,Oshawa,67,56,67,1,7,0,198,353
Oshawa/Oshawa,167,Oshawa,76,58,81,0,2,1,218,374
Oshawa/Oshawa,168,Oshawa,40,36,54,0,5,1,136,397
Oshawa/Oshawa,169,Oshawa,53,28,73,0,8,0,162,370
Oshawa/Oshawa,170,Oshawa,90,39,108,1,17,4,259,493
Oshawa/Oshawa,171,Oshawa,54,31,52,0,3,2,142,330
Oshawa/Oshawa,172,Oshawa,60,48,75,0,10,0,193,470
Oshawa/Oshawa,173,Oshawa,34,22,67,0,5,0,128,305
Oshawa/Oshawa,174,Oshawa,32,27,67,1,3,1,131,354
Oshawa/Oshawa,175A,Oshawa,34,19,69,2,9,0,133,338
Oshawa/Oshawa,175B,Oshawa,25,26,56,1,2,0,110,283
Oshawa/Oshawa,176,Oshawa,36,13,71,0,4,1,125,464
Oshawa/Oshawa,177,Oshawa,40,33,53,0,5,0,131,404
Oshawa/Oshawa,178,Oshawa,37,38,57,0,5,0,137,441
Oshawa/Oshawa,179,Oshawa,49,53,57,0,7,1,167,368
Oshawa/Oshawa,180,Oshawa,53,33,26,0,7,1,120,266
Oshawa/Oshawa,181,Oshawa,74,37,69,0,6,1,187,304
Oshawa/Oshawa,182,Oshawa,84,49,68,0,9,1,211,404
Oshawa/Oshawa,183,Oshawa,60,38,55,1,5,0,159,318
Oshawa/Oshawa,184,Oshawa,53,26,93,0,5,1,178,353
Oshawa/Oshawa,185,Oshawa,50,26,81,0,1,0,158,404
Oshawa/Oshawa,186,Oshawa,44,33,76,0,6,0,159,435
Oshawa/Oshawa,187,Oshawa,12,21,75,0,6,1,115,453
Oshawa/Oshawa,188,Oshawa,35,33,78,0,7,1,154,492
Oshawa/Oshawa,189,Oshawa,56,39,102,0,8,0,205,454
Oshawa/Oshawa,190,Oshawa,61,43,78,0,2,0,184,393
Oshawa/Oshawa,191,Oshawa,48,45,68,0,7,3,171,333
Oshawa/Oshawa,192,Oshawa,85,69,65,0,12,1,232,458
Oshawa/Oshawa,193,Oshawa,44,38,71,1,6,0,160,317
Oshawa/Oshawa,194,Oshawa,46,66,62,1,7,2,184,331
Oshawa/Oshawa,195,Oshawa,57,63,75,0,11,3,209,364
Oshawa/Oshawa,196,Oshawa,54,56,80,1,4,2,197,402
Oshawa/Oshawa,197,Oshawa,62,53,102,0,14,0,231,403
Oshawa/Oshawa,198,Oshawa,18,18,70,0,4,0,110,313
Oshawa/Oshawa,199,Oshawa,31,36,53,0,10,1,131,388
Oshawa/Oshawa,200,Oshawa,67,35,91,0,13,4,210,383
Oshawa/Oshawa,400,Oshawa,68,39,54,1,5,1,168,374
Oshawa/Oshawa,401,Oshawa,36,23,35,1,14,0,109,343
Oshawa/Oshawa,402,Oshawa,42,55,41,4,0,6,148,443
Oshawa/Oshawa,500,Mobile poll/Bureau itinérant,25,30,22,1,4,1,83,198
Oshawa/Oshawa,600,Oshawa,223,165,97,3,21,7,516,
Oshawa/Oshawa,601,Oshawa,321,239,132,0,15,2,709,
Oshawa/Oshawa,602,Oshawa,65,63,45,0,3,1,177,
Oshawa/Oshawa,603,Oshawa,208,149,155,1,18,5,536,
Oshawa/Oshawa,604,Oshawa,104,77,88,0,11,0,280,
Oshawa/Oshawa,605,Oshawa,121,82,85,0,10,5,303,
Oshawa/Oshawa,606,Oshawa,119,72,110,1,19,1,322,
Oshawa/Oshawa,607,Oshawa,243,145,165,0,18,1,572,
Oshawa/Oshawa,608,Oshawa,166,106,203,0,15,0,490,
Oshawa/Oshawa,,Group 1/Groupe 1,31,23,21,0,6,0,81,158
Oshawa/Oshawa,,Group 2/Groupe 2,198,167,169,1,15,3,553,
