District,Poll Number,Poll Name,Tim Bloedow,Don Boudria,Martin Cauvier,Roy Fjarlie,Alain Lalonde,Rejected Ballots,Total Vote,Electors
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,16,Cumberland,7,125,42,26,171,2,373,545
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,17,Cumberland,1,75,38,12,131,3,260,414
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,18,Cumberland,2,85,24,15,103,0,229,377
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,19,Clarence-Rockland,3,124,16,11,92,2,248,463
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,20,Clarence-Rockland,0,109,23,19,150,2,303,565
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,21,Clarence-Rockland,0,84,8,14,36,6,148,231
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,22,Clarence-Rockland,1,92,21,11,52,6,183,353
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,23,Clarence-Rockland,3,147,41,29,152,3,375,653
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,24,Clarence-Rockland,1,178,25,20,91,5,320,519
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,25,Clarence-Rockland,3,100,24,15,74,5,221,411
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,26,Clarence-Rockland,1,166,40,10,108,2,327,510
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,27,Clarence-Rockland,11,180,32,23,92,1,339,570
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,28,Clarence-Rockland,4,115,17,15,131,3,285,445
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,29,Clarence-Rockland,7,137,30,18,86,1,279,437
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,30,Clarence-Rockland,11,150,35,23,147,3,369,608
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,31,Clarence-Rockland,5,143,22,11,73,5,259,388
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,32,Clarence-Rockland,4,139,18,18,98,2,279,449
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,33,Clarence-Rockland,1,85,15,9,67,1,178,303
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,34,Clarence-Rockland,4,87,23,14,41,3,172,290
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,35,Clarence-Rockland,3,145,27,11,136,3,325,490
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,36,Clarence-Rockland,5,108,22,25,94,8,262,432
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,37,Clarence-Rockland,0,149,19,7,81,0,256,515
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,38,Clarence-Rockland,1,66,26,7,57,2,159,361
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,39,Clarence-Rockland,2,141,27,15,120,6,311,553
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,40,Clarence-Rockland,1,94,17,8,63,2,185,302
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,41,Clarence-Rockland,2,132,33,20,100,1,288,527
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,42,Clarence-Rockland,3,158,27,15,83,1,287,516
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,43,Clarence-Rockland,2,187,25,17,79,6,316,589
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,44,Clarence-Rockland,0,80,14,5,28,2,129,298
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,45,Clarence-Rockland,1,127,14,7,73,4,226,394
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,46,Clarence-Rockland,2,181,32,14,103,2,334,562
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,47,Clarence-Rockland,3,92,16,12,38,4,165,388
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,48,Clarence-Rockland,1,120,32,11,104,1,269,467
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,48-1,Clarence-Rockland,1,72,21,8,56,0,158,266
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,48-2,Clarence-Rockland,1,111,16,9,63,1,201,345
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,49,Clarence-Rockland,2,84,27,19,82,2,216,365
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,50,Wendover,2,164,33,26,95,0,320,474
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,51,Wendover,3,161,31,28,81,6,310,395
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,52,Treadwell,0,171,26,6,117,4,324,558
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,53,Gratton Corners,5,151,24,9,119,3,311,668
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,54,Lefaivre,1,122,14,14,123,5,279,428
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,55A,Alfred Station,0,111,13,8,75,2,209,339
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,55B,Alfred Station,0,104,17,7,75,1,204,359
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,56,Alfred,0,143,19,14,76,4,256,341
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,57,Alfred,0,203,21,14,108,6,352,444
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,58,Plantagenet Station,5,79,18,15,87,1,205,301
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,59,Plantagenet,1,110,21,13,103,3,251,417
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,60,Plantagenet,0,113,15,9,78,1,216,386
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,61,Centrefield,7,78,20,20,74,4,203,390
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,62A,Curran,6,92,19,13,80,1,211,315
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,62B,Curran,4,104,18,13,75,1,215,357
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,63,L'Ange-Gardien,1,177,27,20,111,1,337,536
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,64,L'Orignal,1,137,25,9,65,4,241,394
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,65,L'Orignal,2,125,19,11,57,3,217,322
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,66,L'Orignal,0,115,26,9,73,3,226,328
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,67,L'Orignal,1,173,25,24,106,1,330,490
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,68,Cassburn,2,122,17,10,117,2,270,422
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,69,McAlpine,0,67,17,8,78,0,170,265
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,70,St-Bernardin,1,53,14,15,75,2,160,197
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,71,St-Amour,0,85,9,12,75,2,183,284
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,72,Aberdeen,5,79,19,27,138,5,273,444
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,73,Vankleek Hill,0,103,31,17,117,2,270,484
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,74,Vankleek Hill,0,62,5,5,102,0,174,297
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,75,Vankleek Hill,0,66,11,6,56,0,139,271
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,76,Vankleek Hill,1,83,22,19,67,0,192,340
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,77A,Green Lane,1,83,25,10,51,1,171,275
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,77B,Green Lane,2,101,24,7,49,5,188,336
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,78,Vankleek Hill Station,1,116,13,28,155,4,317,447
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,79,Pleasant Corners,1,132,35,20,143,2,333,477
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,80,West Hawkesbury,1,151,13,11,86,6,268,390
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,81,Stardale,1,105,25,15,98,3,247,450
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,82,Chute-à-Blondeau,2,142,20,23,101,6,294,462
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,83,La Renouche,0,100,12,10,66,2,190,375
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,84,Saint-Eugène,0,171,27,10,84,8,300,460
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,85,Chevrier,2,98,16,16,102,3,237,354
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,86,Ste-Anne-de-Prescott,3,89,15,12,76,4,199,298
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,87,West Hawkesbury,0,73,21,4,41,3,142,216
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,88A,Hawkesbury,0,81,21,4,56,4,166,306
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,88B,Hawkesbury,0,105,24,3,67,1,200,401
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,89,Hawkesbury,1,86,14,1,41,2,145,338
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,90,Hawkesbury,1,98,22,8,50,3,182,459
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,91,Hawkesbury,1,107,23,10,61,4,206,354
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,92,Hawkesbury,2,102,11,4,41,5,165,438
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,93,Hawkesbury,0,67,12,6,24,6,115,305
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,94,Hawkesbury,1,101,9,2,28,4,145,327
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,95,Hawkesbury,0,67,16,5,47,3,138,289
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,96,Hawkesbury,5,126,5,6,53,0,195,394
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,97,Hawkesbury,0,118,14,6,82,0,220,437
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,98,Hawkesbury,0,121,18,12,68,2,221,375
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,99,Hawkesbury,3,177,25,8,94,2,309,458
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,100,Hawkesbury,4,116,18,10,57,0,205,355
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,101,Hawkesbury,1,68,15,1,24,1,110,339
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,102,Hawkesbury,1,76,8,2,42,2,131,281
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,103,Hawkesbury,1,93,16,4,21,1,136,346
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,104,Hawkesbury,1,99,10,4,49,3,166,330
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,105,Hawkesbury,2,92,13,6,34,9,156,329
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,106,Hawkesbury,2,102,18,4,34,5,165,354
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,107,Hawkesbury,1,113,8,3,44,3,172,348
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,108,Hawkesbury,0,156,22,3,68,2,251,491
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,109,North Russell,15,110,22,25,169,1,342,534
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,110,Russell,4,77,9,12,151,0,253,383
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,111,Russell,11,144,42,13,220,0,430,623
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,112,Russell,5,115,30,20,152,0,322,508
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,113,Russell,2,99,24,25,162,2,314,460
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,114,Russell,5,105,30,15,162,3,320,473
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,115,Russell,1,54,13,12,94,0,174,265
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,116,Russell,7,101,39,19,153,1,320,467
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,117,North Russell,2,171,20,18,125,1,337,496
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,118,Limoges,7,137,27,15,115,2,303,506
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,119A,Forget,3,113,18,7,77,5,223,347
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,119B,Forget,1,95,13,5,72,1,187,299
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,120A,Embrun,0,128,28,6,78,0,240,376
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,120B,Embrun,3,158,20,11,96,3,291,448
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,121,Embrun,1,149,32,15,103,2,302,441
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,122,Embrun,0,166,15,13,94,1,289,473
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,123,Embrun,2,145,34,16,111,2,310,476
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,124,Embrun,2,112,11,13,48,2,188,311
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,125,Embrun,0,154,27,9,99,2,291,536
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,126,Embrun,4,121,22,10,78,1,236,383
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,127,Felton,5,148,25,18,152,3,351,533
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,128,Limoges,5,103,37,9,110,3,267,376
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,129,Limoges,1,132,37,31,89,3,293,492
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,130,Limoges,3,151,31,19,124,4,332,566
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,131,Cambridge,0,56,17,4,40,3,120,217
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,132,Cambridge,4,79,27,22,86,3,221,383
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,133,Benoit,3,92,14,18,88,1,216,382
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,134,Longtinville,8,154,29,19,89,6,305,526
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,135,St-Albert,2,215,26,16,107,6,372,575
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,136,Mayerville,1,92,17,2,77,4,193,352
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,137,Cambridge,6,128,25,7,72,3,241,377
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,138,Riceville,2,58,13,12,109,2,196,339
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,139,Ste-Rose-de-Prescott,3,82,19,17,123,0,244,374
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,140,Fournier,3,105,32,23,135,1,299,456
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,141,St. Isidore,1,128,16,7,88,0,240,385
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,142,St. Isidore,3,70,12,10,80,2,177,254
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,143,Casselman,1,173,31,13,87,1,306,506
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,144A,Casselman,1,122,17,10,55,1,206,301
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,144B,Casselman,1,130,10,12,60,2,215,368
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,145,Casselman,3,99,18,10,39,6,175,322
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,146,Casselman,3,204,28,21,131,1,388,617
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,147,Casselman,0,217,33,17,125,7,399,549
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,148,St. Elmo,1,42,11,19,95,1,169,231
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,149,Dunvegan,3,88,33,18,103,1,246,399
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,150,Pine Grove,3,47,11,8,86,1,156,230
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,151,Breadalbane,0,75,17,17,97,3,209,321
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,152,Glen Sandfield,7,68,16,16,93,3,203,314
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,153,Lochiel,3,66,20,15,85,0,189,303
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,154,Glen Robertson,4,146,31,19,121,6,327,595
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,155,McCormick,5,171,24,21,100,0,321,490
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,156,Alexandria,2,145,18,8,87,0,260,388
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,157,Alexandria,2,98,14,4,50,1,169,287
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,158,Alexandria,2,85,18,19,58,6,188,344
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,159,Alexandria,1,117,26,15,112,2,273,599
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,160,Alexandria,4,79,14,8,43,1,149,255
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,161,Alexandria,2,132,17,11,100,3,265,503
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,162,Greenfield,1,94,27,20,94,0,236,422
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,163,Dominionville,1,57,25,18,85,1,187,303
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,164,Maxville,2,47,22,18,91,2,182,531
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,165,Maxville,0,56,11,10,129,1,207,334
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,166,Apple Hill,4,138,39,37,122,2,342,569
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,167,Kenyon,4,150,35,28,116,1,334,651
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,500,Mobile poll/Bureau itinérant,2,109,5,2,31,3,152,287
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,501,Mobile poll/Bureau itinérant,0,40,3,1,9,6,59,157
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,502,Mobile poll/Bureau itinérant,3,103,5,1,25,7,144,218
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,503,Mobile poll/Bureau itinérant,4,98,4,1,23,7,137,187
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,504,Mobile poll/Bureau itinérant,5,67,6,2,16,7,103,200
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,505,Mobile poll/Bureau itinérant,0,65,2,1,18,3,89,161
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,506,Mobile poll/Bureau itinérant,4,94,4,5,19,6,132,208
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,507,Mobile poll/Bureau itinérant,0,63,1,1,21,9,95,118
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,508,Mobile poll/Bureau itinérant,7,30,13,5,34,1,90,150
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,600,Cumberland,1,172,32,43,272,1,521,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,601,Clarence,0,145,28,7,124,1,305,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,602,Rockland,1,267,33,15,139,8,463,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,603,Plantagenet,1,183,18,19,169,0,390,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,604,Vankleek Hill,1,116,21,17,168,1,324,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,605,Saint-Eugène,1,61,13,14,58,0,147,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,606,Hawkesbury,1,367,47,10,148,7,580,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,607,Embrun,7,233,35,18,264,2,559,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,608,Casselman,2,243,35,23,176,7,486,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,609,Alexandria--Maxville,9,256,26,35,251,2,579,
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,,Group 1/Groupe 1,1,53,6,3,57,3,123,313
Glengarry--Prescott--Russell/Glengarry--Prescott--Russell,,Group 2/Groupe 2,6,573,69,38,349,12,1047,
