District,Poll Number,Poll Name,John Bethel,Peter Goldring,Harlan Light,Ed Spronk,Janina Strudwick,Rejected Ballots,Total Vote,Electors
Edmonton East/Edmonton-Est,30,Edmonton,97,77,6,2,26,1,209,485
Edmonton East/Edmonton-Est,31A,Edmonton,70,57,5,5,12,0,149,332
Edmonton East/Edmonton-Est,31B,Edmonton,56,67,3,3,4,0,133,280
Edmonton East/Edmonton-Est,32,Edmonton,100,107,16,2,22,0,247,455
Edmonton East/Edmonton-Est,33,Edmonton,113,129,9,1,23,1,276,521
Edmonton East/Edmonton-Est,34,Edmonton,48,91,7,2,21,0,169,282
Edmonton East/Edmonton-Est,35,Edmonton,62,88,9,5,28,2,194,319
Edmonton East/Edmonton-Est,36,Edmonton,75,92,11,1,15,0,194,369
Edmonton East/Edmonton-Est,37,Edmonton,49,73,9,0,8,1,140,259
Edmonton East/Edmonton-Est,38,Edmonton,76,131,10,0,36,2,255,402
Edmonton East/Edmonton-Est,39,Edmonton,43,66,9,0,8,2,128,351
Edmonton East/Edmonton-Est,40,Edmonton,72,58,13,2,22,1,168,426
Edmonton East/Edmonton-Est,41,Edmonton,56,64,4,2,16,0,142,355
Edmonton East/Edmonton-Est,42,Edmonton,33,54,7,2,22,0,118,324
Edmonton East/Edmonton-Est,43,Edmonton,36,62,7,1,16,1,123,442
Edmonton East/Edmonton-Est,44,Edmonton,64,100,5,6,15,1,191,374
Edmonton East/Edmonton-Est,45,Edmonton,62,86,6,4,23,0,181,378
Edmonton East/Edmonton-Est,46,Edmonton,72,110,11,1,16,0,210,350
Edmonton East/Edmonton-Est,47,Edmonton,23,50,0,1,6,0,80,148
Edmonton East/Edmonton-Est,48,Edmonton,40,107,6,1,21,0,175,324
Edmonton East/Edmonton-Est,49,Edmonton,43,70,0,0,14,0,127,256
Edmonton East/Edmonton-Est,50,Edmonton,84,115,13,0,17,1,230,541
Edmonton East/Edmonton-Est,51,Edmonton,72,105,6,1,20,1,205,504
Edmonton East/Edmonton-Est,52,Edmonton,66,61,3,0,4,0,134,280
Edmonton East/Edmonton-Est,53,Edmonton,90,105,8,0,21,0,224,449
Edmonton East/Edmonton-Est,54,Edmonton,103,96,4,1,16,1,221,422
Edmonton East/Edmonton-Est,55,Edmonton,79,113,7,3,17,2,221,401
Edmonton East/Edmonton-Est,56,Edmonton,71,86,13,3,17,2,192,338
Edmonton East/Edmonton-Est,57,Edmonton,22,77,2,2,11,1,115,242
Edmonton East/Edmonton-Est,58,Edmonton,49,70,2,0,16,0,137,244
Edmonton East/Edmonton-Est,59,Edmonton,52,105,10,8,17,0,192,356
Edmonton East/Edmonton-Est,60,Edmonton,93,171,6,4,27,0,301,534
Edmonton East/Edmonton-Est,61,Edmonton,101,89,14,2,26,0,232,425
Edmonton East/Edmonton-Est,62A,Edmonton,39,58,6,2,18,0,123,323
Edmonton East/Edmonton-Est,62B,Edmonton,43,54,1,1,23,0,122,271
Edmonton East/Edmonton-Est,63,Edmonton,72,104,14,2,18,2,212,410
Edmonton East/Edmonton-Est,64,Edmonton,77,133,4,2,27,0,243,391
Edmonton East/Edmonton-Est,65,Edmonton,29,91,13,2,26,1,162,449
Edmonton East/Edmonton-Est,66,Edmonton,45,58,6,0,12,1,122,259
Edmonton East/Edmonton-Est,67,Edmonton,52,80,11,2,21,0,166,394
Edmonton East/Edmonton-Est,68A,Edmonton,76,152,10,2,47,0,287,607
Edmonton East/Edmonton-Est,68B,Edmonton,85,117,6,2,29,1,240,529
Edmonton East/Edmonton-Est,68-1,Edmonton,54,84,7,4,18,0,167,268
Edmonton East/Edmonton-Est,69,Edmonton,56,91,8,3,25,1,184,350
Edmonton East/Edmonton-Est,70,Edmonton,64,122,3,1,16,0,206,349
Edmonton East/Edmonton-Est,71,Edmonton,50,85,14,0,28,0,177,305
Edmonton East/Edmonton-Est,72,Edmonton,53,130,17,2,52,0,254,521
Edmonton East/Edmonton-Est,73,Edmonton,47,55,12,1,23,0,138,359
Edmonton East/Edmonton-Est,74,Edmonton,48,100,11,4,33,0,196,429
Edmonton East/Edmonton-Est,75,Edmonton,57,104,8,3,24,1,197,349
Edmonton East/Edmonton-Est,76,Edmonton,60,89,13,5,29,0,196,435
Edmonton East/Edmonton-Est,77,Edmonton,67,108,9,2,29,0,215,395
Edmonton East/Edmonton-Est,78,Edmonton,80,116,14,0,19,0,229,372
Edmonton East/Edmonton-Est,79,Edmonton,33,78,4,0,12,0,127,278
Edmonton East/Edmonton-Est,80,Edmonton,56,128,4,0,18,0,206,389
Edmonton East/Edmonton-Est,81,Edmonton,85,105,18,0,36,1,245,448
Edmonton East/Edmonton-Est,82,Edmonton,56,123,6,2,36,1,224,458
Edmonton East/Edmonton-Est,83,Edmonton,46,88,12,0,21,1,168,381
Edmonton East/Edmonton-Est,84,Edmonton,45,86,5,0,25,0,161,348
Edmonton East/Edmonton-Est,85,Edmonton,30,28,1,3,8,1,71,242
Edmonton East/Edmonton-Est,86,Edmonton,70,70,5,0,25,1,171,326
Edmonton East/Edmonton-Est,87,Edmonton,46,109,6,0,16,0,177,304
Edmonton East/Edmonton-Est,88,Edmonton,29,52,7,1,20,0,109,304
Edmonton East/Edmonton-Est,89,Edmonton,43,63,11,6,12,1,136,341
Edmonton East/Edmonton-Est,90,Edmonton,28,62,5,0,27,1,123,308
Edmonton East/Edmonton-Est,91,Edmonton,57,71,12,3,33,1,177,409
Edmonton East/Edmonton-Est,92,Edmonton,64,105,11,2,25,2,209,421
Edmonton East/Edmonton-Est,93,Edmonton,53,83,8,2,29,0,175,397
Edmonton East/Edmonton-Est,94,Edmonton,47,61,10,1,22,0,141,371
Edmonton East/Edmonton-Est,95,Edmonton,60,84,3,6,22,2,177,344
Edmonton East/Edmonton-Est,96,Edmonton,54,107,12,2,29,2,206,437
Edmonton East/Edmonton-Est,97,Edmonton,38,81,13,3,17,0,152,362
Edmonton East/Edmonton-Est,98,Edmonton,36,40,12,3,30,0,121,370
Edmonton East/Edmonton-Est,99,Edmonton,56,84,6,5,26,1,178,333
