District,Poll Number,Poll Name,Otto Casanova,Peter Gibson Creighton,Wajid Khan,Manjinder Rai,Nina Tangri,Rejected Ballots,Total Vote,Electors
Mississauga--Streetsville/Mississauga--Streetsville,30B,Mississauga,19,5,135,14,78,0,251,423
Mississauga--Streetsville/Mississauga--Streetsville,31,Mississauga,14,20,147,24,103,1,309,537
Mississauga--Streetsville/Mississauga--Streetsville,32,Mississauga,12,5,98,9,59,0,183,309
Mississauga--Streetsville/Mississauga--Streetsville,33,Mississauga,12,4,153,21,93,1,284,534
Mississauga--Streetsville/Mississauga--Streetsville,34A,Mississauga,4,3,71,11,43,2,134,266
Mississauga--Streetsville/Mississauga--Streetsville,34B,Mississauga,15,0,86,22,59,1,183,310
Mississauga--Streetsville/Mississauga--Streetsville,35,Mississauga,14,3,99,13,65,0,194,347
Mississauga--Streetsville/Mississauga--Streetsville,36,Mississauga,8,3,125,11,88,0,235,418
Mississauga--Streetsville/Mississauga--Streetsville,37A,Mississauga,7,3,49,6,36,0,101,253
Mississauga--Streetsville/Mississauga--Streetsville,37B,Mississauga,2,1,72,12,52,1,140,315
Mississauga--Streetsville/Mississauga--Streetsville,38A,Mississauga,9,2,81,12,44,0,148,273
Mississauga--Streetsville/Mississauga--Streetsville,38B,Mississauga,6,6,81,13,41,1,148,322
Mississauga--Streetsville/Mississauga--Streetsville,39,Mississauga,24,9,122,34,105,0,294,520
Mississauga--Streetsville/Mississauga--Streetsville,40,Mississauga,7,6,119,24,79,0,235,409
Mississauga--Streetsville/Mississauga--Streetsville,41,Mississauga,6,2,117,12,46,0,183,346
Mississauga--Streetsville/Mississauga--Streetsville,42,Mississauga,12,11,129,17,96,0,265,503
Mississauga--Streetsville/Mississauga--Streetsville,43,Mississauga,7,3,96,18,37,1,162,287
Mississauga--Streetsville/Mississauga--Streetsville,44,Mississauga,14,6,89,10,54,0,173,309
Mississauga--Streetsville/Mississauga--Streetsville,45,Mississauga,13,2,148,23,81,1,268,462
Mississauga--Streetsville/Mississauga--Streetsville,46,Mississauga,13,7,122,15,94,2,253,474
Mississauga--Streetsville/Mississauga--Streetsville,47A,Mississauga,6,6,87,7,81,1,188,375
Mississauga--Streetsville/Mississauga--Streetsville,47B,Mississauga,5,1,102,14,58,3,183,333
Mississauga--Streetsville/Mississauga--Streetsville,48,Mississauga,11,12,95,31,102,1,252,485
Mississauga--Streetsville/Mississauga--Streetsville,49A,Mississauga,21,4,63,19,59,0,166,321
Mississauga--Streetsville/Mississauga--Streetsville,49B,Mississauga,17,11,61,23,67,0,179,343
Mississauga--Streetsville/Mississauga--Streetsville,50,Mississauga,5,2,27,7,28,1,70,136
Mississauga--Streetsville/Mississauga--Streetsville,51,Mississauga,16,9,95,11,75,1,207,366
Mississauga--Streetsville/Mississauga--Streetsville,52,Mississauga,19,3,121,21,55,4,223,384
Mississauga--Streetsville/Mississauga--Streetsville,53,Mississauga,6,7,68,14,41,2,138,289
Mississauga--Streetsville/Mississauga--Streetsville,54,Mississauga,20,9,106,29,76,3,243,488
Mississauga--Streetsville/Mississauga--Streetsville,55,Mississauga,9,3,20,13,16,0,61,262
Mississauga--Streetsville/Mississauga--Streetsville,56,Mississauga,14,4,86,20,76,0,200,365
Mississauga--Streetsville/Mississauga--Streetsville,57,Mississauga,32,5,123,35,97,1,293,503
Mississauga--Streetsville/Mississauga--Streetsville,58,Mississauga,14,6,108,37,106,1,272,435
Mississauga--Streetsville/Mississauga--Streetsville,59,Mississauga,7,8,83,17,66,0,181,371
Mississauga--Streetsville/Mississauga--Streetsville,60,Mississauga,1,2,22,7,40,0,72,184
Mississauga--Streetsville/Mississauga--Streetsville,61,Mississauga,12,19,110,29,50,2,222,295
Mississauga--Streetsville/Mississauga--Streetsville,62,Mississauga,7,4,55,30,31,1,128,284
Mississauga--Streetsville/Mississauga--Streetsville,63,Mississauga,5,2,49,10,49,1,116,227
Mississauga--Streetsville/Mississauga--Streetsville,64,Mississauga,18,3,75,22,52,1,171,306
Mississauga--Streetsville/Mississauga--Streetsville,65,Mississauga,16,9,86,15,68,0,194,366
Mississauga--Streetsville/Mississauga--Streetsville,66,Mississauga,10,3,83,10,71,7,184,325
Mississauga--Streetsville/Mississauga--Streetsville,67,Mississauga,18,17,128,27,115,0,305,492
Mississauga--Streetsville/Mississauga--Streetsville,68,Mississauga,15,11,81,14,48,0,169,299
Mississauga--Streetsville/Mississauga--Streetsville,69,Mississauga,10,7,65,22,53,0,157,260
Mississauga--Streetsville/Mississauga--Streetsville,70,Mississauga,16,5,115,24,73,1,234,437
Mississauga--Streetsville/Mississauga--Streetsville,71,Mississauga,16,4,106,33,101,1,261,492
Mississauga--Streetsville/Mississauga--Streetsville,72,Mississauga,12,4,165,20,65,2,268,510
Mississauga--Streetsville/Mississauga--Streetsville,73,Mississauga,14,1,118,15,81,0,229,404
Mississauga--Streetsville/Mississauga--Streetsville,74,Mississauga,19,8,117,44,97,3,288,472
Mississauga--Streetsville/Mississauga--Streetsville,75,Mississauga,21,10,96,19,84,0,230,373
Mississauga--Streetsville/Mississauga--Streetsville,76,Mississauga,22,11,98,43,77,2,253,461
Mississauga--Streetsville/Mississauga--Streetsville,77,Mississauga,7,15,69,14,34,0,139,256
Mississauga--Streetsville/Mississauga--Streetsville,78,Mississauga,15,7,86,8,42,2,160,248
Mississauga--Streetsville/Mississauga--Streetsville,79,Mississauga,11,3,104,23,65,0,206,317
Mississauga--Streetsville/Mississauga--Streetsville,80A,Mississauga,11,9,76,30,40,0,166,366
Mississauga--Streetsville/Mississauga--Streetsville,80B,Mississauga,8,7,58,28,32,0,133,323
Mississauga--Streetsville/Mississauga--Streetsville,81,Mississauga,9,3,64,16,49,3,144,291
Mississauga--Streetsville/Mississauga--Streetsville,82,Mississauga,12,9,124,24,71,1,241,525
Mississauga--Streetsville/Mississauga--Streetsville,83,Mississauga,21,10,89,47,76,3,246,491
Mississauga--Streetsville/Mississauga--Streetsville,84,Mississauga,20,10,74,37,86,0,227,406
Mississauga--Streetsville/Mississauga--Streetsville,85,Mississauga,38,12,114,34,105,3,306,497
Mississauga--Streetsville/Mississauga--Streetsville,86,Mississauga,25,8,86,32,81,4,236,371
Mississauga--Streetsville/Mississauga--Streetsville,87,Mississauga,17,6,60,27,51,0,161,335
Mississauga--Streetsville/Mississauga--Streetsville,88,Mississauga,14,10,78,26,75,0,203,399
Mississauga--Streetsville/Mississauga--Streetsville,89,Mississauga,25,7,61,15,29,1,138,278
Mississauga--Streetsville/Mississauga--Streetsville,90,Mississauga,16,7,90,32,40,3,188,370
Mississauga--Streetsville/Mississauga--Streetsville,91,Mississauga,7,8,40,11,33,0,99,198
Mississauga--Streetsville/Mississauga--Streetsville,92,Mississauga,Void,,,,,,,
Mississauga--Streetsville/Mississauga--Streetsville,93,Mississauga,8,10,73,23,42,1,157,361
Mississauga--Streetsville/Mississauga--Streetsville,94,Mississauga,20,12,147,36,55,1,271,464
Mississauga--Streetsville/Mississauga--Streetsville,95,Mississauga,9,1,40,6,33,1,90,227
Mississauga--Streetsville/Mississauga--Streetsville,96,Mississauga,15,7,48,20,50,1,141,351
Mississauga--Streetsville/Mississauga--Streetsville,97,Mississauga,10,6,60,47,61,1,185,424
Mississauga--Streetsville/Mississauga--Streetsville,98,Mississauga,21,4,56,16,40,2,139,299
Mississauga--Streetsville/Mississauga--Streetsville,99,Mississauga,26,5,79,20,91,0,221,338
Mississauga--Streetsville/Mississauga--Streetsville,100,Mississauga,23,2,120,18,93,1,257,417
Mississauga--Streetsville/Mississauga--Streetsville,101,Mississauga,7,1,38,9,59,0,114,216
Mississauga--Streetsville/Mississauga--Streetsville,102,Mississauga,13,5,82,14,115,3,232,364
Mississauga--Streetsville/Mississauga--Streetsville,103,Mississauga,22,3,64,15,73,3,180,288
Mississauga--Streetsville/Mississauga--Streetsville,104,Mississauga,14,4,81,18,64,4,185,302
Mississauga--Streetsville/Mississauga--Streetsville,105,Mississauga,17,10,69,13,50,2,161,256
Mississauga--Streetsville/Mississauga--Streetsville,106,Mississauga,13,3,46,19,48,0,129,307
Mississauga--Streetsville/Mississauga--Streetsville,107A,Mississauga,6,7,72,19,36,0,140,289
Mississauga--Streetsville/Mississauga--Streetsville,107B,Mississauga,6,8,59,23,30,3,129,298
Mississauga--Streetsville/Mississauga--Streetsville,108,Mississauga,16,8,62,8,47,2,143,221
Mississauga--Streetsville/Mississauga--Streetsville,109,Mississauga,20,7,66,22,52,1,168,302
Mississauga--Streetsville/Mississauga--Streetsville,110,Mississauga,14,6,90,13,78,1,202,356
Mississauga--Streetsville/Mississauga--Streetsville,111,Mississauga,9,4,63,16,35,0,127,281
Mississauga--Streetsville/Mississauga--Streetsville,112,Mississauga,21,4,117,24,104,3,273,435
Mississauga--Streetsville/Mississauga--Streetsville,113,Mississauga,7,4,79,21,55,0,166,262
Mississauga--Streetsville/Mississauga--Streetsville,114,Mississauga,15,6,58,16,47,0,142,267
Mississauga--Streetsville/Mississauga--Streetsville,115,Mississauga,20,8,170,21,117,6,342,534
Mississauga--Streetsville/Mississauga--Streetsville,116,Mississauga,5,3,129,20,70,0,227,464
Mississauga--Streetsville/Mississauga--Streetsville,117A,Mississauga,5,4,91,14,41,0,155,278
Mississauga--Streetsville/Mississauga--Streetsville,117B,Mississauga,5,4,77,21,31,1,139,290
Mississauga--Streetsville/Mississauga--Streetsville,118A,Mississauga,8,3,83,12,34,0,140,292
Mississauga--Streetsville/Mississauga--Streetsville,118B,Mississauga,3,5,103,6,31,0,148,275
Mississauga--Streetsville/Mississauga--Streetsville,119,Mississauga,11,3,140,16,80,0,250,462
Mississauga--Streetsville/Mississauga--Streetsville,120,Mississauga,11,10,97,9,37,0,164,303
Mississauga--Streetsville/Mississauga--Streetsville,121A,Mississauga,2,3,70,7,46,0,128,282
Mississauga--Streetsville/Mississauga--Streetsville,121B,Mississauga,0,4,59,16,48,0,127,263
Mississauga--Streetsville/Mississauga--Streetsville,122,Mississauga,12,2,148,17,79,0,258,524
Mississauga--Streetsville/Mississauga--Streetsville,123,Mississauga,3,3,74,9,32,0,121,218
Mississauga--Streetsville/Mississauga--Streetsville,124,Mississauga,6,0,91,24,44,0,165,379
Mississauga--Streetsville/Mississauga--Streetsville,125,Mississauga,5,3,58,6,22,0,94,216
Mississauga--Streetsville/Mississauga--Streetsville,126A,Mississauga,5,3,112,24,70,3,217,407
Mississauga--Streetsville/Mississauga--Streetsville,126B,Mississauga,13,7,143,18,41,0,222,417
Mississauga--Streetsville/Mississauga--Streetsville,127,Mississauga,12,11,105,12,66,1,207,390
Mississauga--Streetsville/Mississauga--Streetsville,128,Mississauga,10,8,150,10,67,0,245,464
Mississauga--Streetsville/Mississauga--Streetsville,129,Mississauga,4,9,163,12,78,3,269,526
Mississauga--Streetsville/Mississauga--Streetsville,130,Mississauga,9,6,155,15,90,0,275,462
Mississauga--Streetsville/Mississauga--Streetsville,131,Mississauga,11,8,158,25,58,0,260,468
Mississauga--Streetsville/Mississauga--Streetsville,132,Mississauga,14,3,123,7,72,4,223,406
Mississauga--Streetsville/Mississauga--Streetsville,133,Mississauga,6,1,91,27,21,2,148,350
Mississauga--Streetsville/Mississauga--Streetsville,134A,Mississauga,7,5,81,8,48,0,149,307
Mississauga--Streetsville/Mississauga--Streetsville,134B,Mississauga,6,4,94,23,47,2,176,326
Mississauga--Streetsville/Mississauga--Streetsville,135,Mississauga,9,4,123,21,57,1,215,431
Mississauga--Streetsville/Mississauga--Streetsville,136,Mississauga,11,11,133,23,47,0,225,442
Mississauga--Streetsville/Mississauga--Streetsville,137,Mississauga,7,6,169,7,83,1,273,522
Mississauga--Streetsville/Mississauga--Streetsville,138,Mississauga,6,5,93,15,57,4,180,404
Mississauga--Streetsville/Mississauga--Streetsville,139A,Mississauga,15,1,90,16,58,3,183,369
Mississauga--Streetsville/Mississauga--Streetsville,139B,Mississauga,5,4,99,16,59,0,183,352
Mississauga--Streetsville/Mississauga--Streetsville,140,Mississauga,4,9,112,20,66,1,212,354
Mississauga--Streetsville/Mississauga--Streetsville,141,Mississauga,9,3,145,33,108,0,298,554
Mississauga--Streetsville/Mississauga--Streetsville,142,Mississauga,7,3,119,29,39,0,197,496
Mississauga--Streetsville/Mississauga--Streetsville,143,Mississauga,8,1,113,16,47,0,185,418
Mississauga--Streetsville/Mississauga--Streetsville,144,Mississauga,7,2,113,30,50,3,205,448
Mississauga--Streetsville/Mississauga--Streetsville,145,Mississauga,6,1,70,19,43,2,141,447
Mississauga--Streetsville/Mississauga--Streetsville,146A,Mississauga,8,2,64,21,34,1,130,324
Mississauga--Streetsville/Mississauga--Streetsville,146B,Mississauga,7,7,67,15,39,1,136,293
Mississauga--Streetsville/Mississauga--Streetsville,147,Mississauga,9,7,99,19,56,0,190,424
Mississauga--Streetsville/Mississauga--Streetsville,148,Mississauga,3,1,99,21,43,0,167,404
Mississauga--Streetsville/Mississauga--Streetsville,149,Mississauga,4,9,107,27,43,4,194,474
Mississauga--Streetsville/Mississauga--Streetsville,150,Mississauga,2,11,87,12,43,0,155,402
Mississauga--Streetsville/Mississauga--Streetsville,151A,Mississauga,1,6,90,26,41,0,164,347
Mississauga--Streetsville/Mississauga--Streetsville,151B,Mississauga,0,4,69,18,51,0,142,289
Mississauga--Streetsville/Mississauga--Streetsville,152A,Mississauga,5,6,90,20,52,0,173,325
Mississauga--Streetsville/Mississauga--Streetsville,152B,Mississauga,8,10,88,19,46,1,172,346
Mississauga--Streetsville/Mississauga--Streetsville,153,Mississauga,5,6,145,21,53,3,233,418
Mississauga--Streetsville/Mississauga--Streetsville,154,Mississauga,6,3,95,27,47,0,178,374
Mississauga--Streetsville/Mississauga--Streetsville,155,Mississauga,14,4,147,14,64,1,244,491
Mississauga--Streetsville/Mississauga--Streetsville,156A,Mississauga,2,1,78,7,54,1,143,316
Mississauga--Streetsville/Mississauga--Streetsville,156B,Mississauga,2,1,79,6,41,0,129,259
Mississauga--Streetsville/Mississauga--Streetsville,157,Mississauga,9,3,83,7,43,2,147,271
Mississauga--Streetsville/Mississauga--Streetsville,158,Mississauga,6,11,106,25,57,3,208,454
Mississauga--Streetsville/Mississauga--Streetsville,159,Mississauga,9,1,116,22,57,2,207,381
Mississauga--Streetsville/Mississauga--Streetsville,160,Mississauga,6,5,91,14,37,0,153,376
Mississauga--Streetsville/Mississauga--Streetsville,161,Mississauga,6,5,128,21,58,7,225,504
Mississauga--Streetsville/Mississauga--Streetsville,162,Mississauga,4,6,63,1,35,0,109,256
Mississauga--Streetsville/Mississauga--Streetsville,163,Mississauga,8,3,118,13,60,1,203,370
Mississauga--Streetsville/Mississauga--Streetsville,164,Mississauga,12,7,141,18,96,1,275,524
Mississauga--Streetsville/Mississauga--Streetsville,165,Mississauga,23,7,147,14,84,3,278,469
Mississauga--Streetsville/Mississauga--Streetsville,166,Mississauga,24,3,150,22,51,2,252,466
Mississauga--Streetsville/Mississauga--Streetsville,167,Mississauga,12,3,102,10,62,1,190,329
Mississauga--Streetsville/Mississauga--Streetsville,168,Mississauga,6,3,36,16,23,1,85,232
Mississauga--Streetsville/Mississauga--Streetsville,169,Mississauga,17,10,75,48,82,0,232,413
Mississauga--Streetsville/Mississauga--Streetsville,170,Mississauga,14,3,80,33,46,1,177,302
Mississauga--Streetsville/Mississauga--Streetsville,171,Mississauga,15,4,70,18,56,5,168,292
Mississauga--Streetsville/Mississauga--Streetsville,172A,Mississauga,5,3,99,7,54,0,168,288
Mississauga--Streetsville/Mississauga--Streetsville,172B,Mississauga,7,2,86,9,66,1,171,320
Mississauga--Streetsville/Mississauga--Streetsville,173A,Mississauga,5,3,80,12,64,0,164,307
Mississauga--Streetsville/Mississauga--Streetsville,173B,Mississauga,7,6,87,18,43,0,161,302
Mississauga--Streetsville/Mississauga--Streetsville,174,Mississauga,9,2,150,15,82,3,261,512
Mississauga--Streetsville/Mississauga--Streetsville,175,Mississauga,3,0,127,14,90,0,234,524
Mississauga--Streetsville/Mississauga--Streetsville,176A,Mississauga,8,2,84,5,50,2,151,288
Mississauga--Streetsville/Mississauga--Streetsville,176B,Mississauga,1,1,79,4,34,2,121,268
Mississauga--Streetsville/Mississauga--Streetsville,177,Mississauga,5,2,74,5,73,1,160,338
Mississauga--Streetsville/Mississauga--Streetsville,178,Mississauga,0,1,97,4,36,0,138,329
Mississauga--Streetsville/Mississauga--Streetsville,400,Mississauga,5,9,64,13,31,0,122,236
Mississauga--Streetsville/Mississauga--Streetsville,401,Mississauga,5,7,82,7,39,1,141,224
Mississauga--Streetsville/Mississauga--Streetsville,402,Mississauga,7,4,34,7,30,1,83,198
Mississauga--Streetsville/Mississauga--Streetsville,403,Mississauga,6,4,64,15,39,1,129,359
Mississauga--Streetsville/Mississauga--Streetsville,404,Mississauga,4,4,29,21,14,0,72,200
Mississauga--Streetsville/Mississauga--Streetsville,405,Mississauga,6,9,59,19,23,1,117,369
Mississauga--Streetsville/Mississauga--Streetsville,406,Mississauga,3,0,32,10,9,0,54,197
Mississauga--Streetsville/Mississauga--Streetsville,407,Mississauga,7,2,29,12,19,0,69,173
Mississauga--Streetsville/Mississauga--Streetsville,408,Mississauga,5,6,59,19,25,0,114,327
Mississauga--Streetsville/Mississauga--Streetsville,500,Mobile poll/Bureau itinérant,No poll held,,,,,,,17
Mississauga--Streetsville/Mississauga--Streetsville,600,Mississauga,26,12,265,36,249,0,588,
Mississauga--Streetsville/Mississauga--Streetsville,601,Mississauga,23,25,334,52,218,0,652,
Mississauga--Streetsville/Mississauga--Streetsville,602,Mississauga,21,23,183,39,168,3,437,
Mississauga--Streetsville/Mississauga--Streetsville,603,Mississauga,32,32,257,48,175,3,547,
Mississauga--Streetsville/Mississauga--Streetsville,604,Mississauga,23,9,150,29,101,0,312,
Mississauga--Streetsville/Mississauga--Streetsville,605,Mississauga,12,7,283,18,198,6,524,
Mississauga--Streetsville/Mississauga--Streetsville,606,Mississauga,12,5,216,51,130,6,420,
Mississauga--Streetsville/Mississauga--Streetsville,607,Mississauga,14,10,270,31,223,4,552,
Mississauga--Streetsville/Mississauga--Streetsville,,Group 1/Groupe 1,6,2,21,9,15,3,56,111
Mississauga--Streetsville/Mississauga--Streetsville,,Group 2/Groupe 2,24,15,349,49,182,6,625,
