District,Poll Number,Poll Name,Siobhan Coady,Loyola Hearn,Peg Norman,Stephen Daniel Willcott,Rejected Ballots,Total Vote,Electors
St. John's South/St. John's-Sud,69,St. John's,77,72,56,3,0,208,437
St. John's South/St. John's-Sud,70,St. John's,64,75,39,1,0,179,317
St. John's South/St. John's-Sud,71,St. John's,77,86,38,2,0,203,383
St. John's South/St. John's-Sud,72,St. John's,95,92,43,1,0,231,445
St. John's South/St. John's-Sud,73,St. John's,63,80,35,4,0,182,347
St. John's South/St. John's-Sud,74,St. John's,85,77,25,4,1,192,421
St. John's South/St. John's-Sud,75,St. John's,91,88,41,1,0,221,356
St. John's South/St. John's-Sud,76,St. John's,104,101,56,3,1,265,415
St. John's South/St. John's-Sud,77,St. John's,74,60,42,3,0,179,285
St. John's South/St. John's-Sud,78,St. John's,119,94,38,1,1,253,417
St. John's South/St. John's-Sud,79,St. John's,80,73,23,3,0,179,331
St. John's South/St. John's-Sud,80,St. John's,64,60,26,0,0,150,290
St. John's South/St. John's-Sud,81,St. John's,107,106,37,4,1,255,417
St. John's South/St. John's-Sud,82,St. John's,68,50,18,1,0,137,249
St. John's South/St. John's-Sud,83,Mount Pearl,88,78,51,6,1,224,390
St. John's South/St. John's-Sud,84,Mount Pearl,52,55,50,0,0,157,363
St. John's South/St. John's-Sud,85,Mount Pearl,84,124,38,4,0,250,502
St. John's South/St. John's-Sud,86A,Mount Pearl,29,47,27,5,0,108,276
St. John's South/St. John's-Sud,86B,Mount Pearl,28,47,30,1,0,106,260
St. John's South/St. John's-Sud,87,Mount Pearl,65,49,32,1,0,147,335
St. John's South/St. John's-Sud,88,Mount Pearl,50,38,25,2,0,115,314
St. John's South/St. John's-Sud,89A,Mount Pearl,118,89,17,3,0,227,373
St. John's South/St. John's-Sud,89B,Mobile poll/Bureau itinérant,Merged with No. 95B,,,,,,17
St. John's South/St. John's-Sud,90,Mount Pearl,59,63,35,1,2,160,343
St. John's South/St. John's-Sud,91,Mount Pearl,61,83,37,3,0,184,309
St. John's South/St. John's-Sud,92,Mount Pearl,34,66,25,2,0,127,295
St. John's South/St. John's-Sud,93,Mount Pearl,55,53,28,3,0,139,306
St. John's South/St. John's-Sud,94,Mount Pearl,49,45,32,1,2,129,271
St. John's South/St. John's-Sud,95A,Mount Pearl,80,69,51,1,1,202,378
St. John's South/St. John's-Sud,95B,Mobile poll/Bureau itinérant,25,50,3,0,2,80,37
St. John's South/St. John's-Sud,96,Mount Pearl,70,94,35,0,0,199,355
St. John's South/St. John's-Sud,97,Mount Pearl,68,63,38,2,1,172,342
St. John's South/St. John's-Sud,98,Mount Pearl,56,50,27,2,0,135,333
St. John's South/St. John's-Sud,99,Mount Pearl,57,81,37,1,0,176,384
St. John's South/St. John's-Sud,100,Mount Pearl,45,60,28,0,0,133,266
St. John's South/St. John's-Sud,101,Mount Pearl,75,82,64,1,0,222,451
St. John's South/St. John's-Sud,102,Mount Pearl,56,69,39,1,0,165,337
St. John's South/St. John's-Sud,103,Mount Pearl,43,58,32,4,1,138,284
St. John's South/St. John's-Sud,104,Mount Pearl,47,50,38,3,1,139,337
St. John's South/St. John's-Sud,105,Mount Pearl,54,50,42,2,0,148,325
St. John's South/St. John's-Sud,106,Mount Pearl,79,72,46,1,0,198,417
St. John's South/St. John's-Sud,107,Mount Pearl,70,76,34,2,0,182,368
St. John's South/St. John's-Sud,108,Mount Pearl,86,58,45,3,0,192,402
St. John's South/St. John's-Sud,109,Mount Pearl,61,60,52,6,0,179,360
St. John's South/St. John's-Sud,110,Mount Pearl,65,41,29,4,1,140,297
St. John's South/St. John's-Sud,111,Mount Pearl,77,66,24,4,0,171,349
St. John's South/St. John's-Sud,112,Mount Pearl,56,66,24,1,0,147,296
St. John's South/St. John's-Sud,113,Mount Pearl,84,73,31,3,0,191,388
St. John's South/St. John's-Sud,114,Mount Pearl,81,69,33,4,0,187,370
St. John's South/St. John's-Sud,115,Mount Pearl,68,51,28,5,0,152,312
St. John's South/St. John's-Sud,116,Mount Pearl,67,56,62,4,0,189,415
St. John's South/St. John's-Sud,117,Mount Pearl,84,95,40,5,1,225,464
St. John's South/St. John's-Sud,118 ,Mount Pearl,119,102,61,13,1,296,527
St. John's South/St. John's-Sud,119,Mount Pearl,65,80,47,6,0,198,367
St. John's South/St. John's-Sud,120A,Mount Pearl,57,41,34,2,0,134,268
St. John's South/St. John's-Sud,120B,Mount Pearl,40,43,32,2,0,117,259
St. John's South/St. John's-Sud,121,Mount Pearl,59,63,24,3,0,149,297
St. John's South/St. John's-Sud,122,St. John's,43,45,36,1,0,125,303
St. John's South/St. John's-Sud,123,St. John's,52,51,36,3,0,142,271
St. John's South/St. John's-Sud,124,Mount Pearl,67,51,51,5,0,174,400
St. John's South/St. John's-Sud,125,Mount Pearl,73,88,70,4,0,235,495
St. John's South/St. John's-Sud,126A,Mount Pearl,50,64,33,3,0,150,279
St. John's South/St. John's-Sud,126B,Mount Pearl,65,54,38,7,0,164,274
St. John's South/St. John's-Sud,127A,Mount Pearl,76,65,24,2,0,167,282
St. John's South/St. John's-Sud,127B,Mount Pearl,60,68,19,1,0,148,269
St. John's South/St. John's-Sud,128A,Mount Pearl,39,61,29,2,0,131,251
St. John's South/St. John's-Sud,128B,Mount Pearl,52,53,36,1,0,142,269
St. John's South/St. John's-Sud,129A,Mount Pearl,78,69,12,2,0,161,300
St. John's South/St. John's-Sud,129B,Mount Pearl,55,64,13,0,0,132,273
St. John's South/St. John's-Sud,130,Mount Pearl,76,68,21,3,0,168,394
St. John's South/St. John's-Sud,131,Mount Pearl,69,64,22,3,0,158,314
St. John's South/St. John's-Sud,132,Mount Pearl,71,125,36,4,0,236,481
St. John's South/St. John's-Sud,133,St. John's,48,102,24,0,0,174,398
St. John's South/St. John's-Sud,134,St. John's,60,100,51,1,0,212,493
St. John's South/St. John's-Sud,135,St. John's,36,69,38,1,0,144,339
St. John's South/St. John's-Sud,136,St. John's,39,77,27,1,1,145,292
St. John's South/St. John's-Sud,137,St. John's,88,96,68,5,1,258,452
St. John's South/St. John's-Sud,138,St. John's,75,72,26,1,2,176,288
St. John's South/St. John's-Sud,139A,St. John's,79,78,21,3,0,181,283
St. John's South/St. John's-Sud,139B,St. John's,69,65,23,1,0,158,267
St. John's South/St. John's-Sud,140,St. John's,78,84,44,1,0,207,408
St. John's South/St. John's-Sud,141A,St. John's,54,69,24,3,0,150,240
St. John's South/St. John's-Sud,141B,St. John's,55,75,25,0,0,155,298
St. John's South/St. John's-Sud,142,St. John's,64,93,69,5,1,232,436
St. John's South/St. John's-Sud,143,St. John's,44,71,49,0,0,164,403
St. John's South/St. John's-Sud,144,St. John's,60,72,30,1,0,163,308
St. John's South/St. John's-Sud,145,St. John's,58,72,52,3,0,185,361
St. John's South/St. John's-Sud,146,St. John's,58,47,32,1,0,138,292
St. John's South/St. John's-Sud,147,St. John's,41,90,50,1,1,183,376
St. John's South/St. John's-Sud,148,St. John's,18,26,35,3,0,82,273
St. John's South/St. John's-Sud,149,St. John's,44,73,58,0,0,175,461
St. John's South/St. John's-Sud,150,St. John's,17,38,36,1,0,92,212
St. John's South/St. John's-Sud,151,St. John's,60,77,42,3,0,182,377
St. John's South/St. John's-Sud,152,St. John's,77,109,48,3,0,237,479
St. John's South/St. John's-Sud,153,St. John's,60,101,50,4,1,216,458
St. John's South/St. John's-Sud,154,Blackhead Road,Void,,,,,,
St. John's South/St. John's-Sud,155A,Petty Harbour-Maddox Cove,48,110,33,1,0,192,312
St. John's South/St. John's-Sud,155B,Petty Harbour-Maddox Cove,49,86,34,1,1,171,282
St. John's South/St. John's-Sud,156,Petty Harbour,37,56,16,0,1,110,181
St. John's South/St. John's-Sud,157A,St. John's,42,79,23,3,1,148,350
St. John's South/St. John's-Sud,157B,Mobile poll/Bureau itinérant,Merged with No. 95B,,,,,,22
St. John's South/St. John's-Sud,158,St. John's,133,107,29,5,2,276,530
St. John's South/St. John's-Sud,159,St. John's,69,73,25,1,0,168,308
St. John's South/St. John's-Sud,160,St. John's,36,75,17,2,0,130,245
St. John's South/St. John's-Sud,161A,St. John's,42,51,20,2,0,115,280
St. John's South/St. John's-Sud,161B,St. John's,37,52,12,3,0,104,256
St. John's South/St. John's-Sud,162A,St. John's,31,61,14,1,1,108,274
St. John's South/St. John's-Sud,162B,Mobile poll/Bureau itinérant,Merged with No. 95B,,,,,,17
St. John's South/St. John's-Sud,163A,St. John's,67,42,27,1,0,137,265
St. John's South/St. John's-Sud,163B,St. John's,31,51,34,1,0,117,249
St. John's South/St. John's-Sud,164,St. John's,42,64,26,2,0,134,316
St. John's South/St. John's-Sud,165A,St. John's,37,55,31,0,0,123,247
St. John's South/St. John's-Sud,165B,St. John's,37,58,30,1,0,126,255
St. John's South/St. John's-Sud,166,St. John's,55,64,29,0,1,149,402
St. John's South/St. John's-Sud,167A,St. John's,41,68,27,0,1,137,274
St. John's South/St. John's-Sud,167B,St. John's,28,46,31,0,0,105,244
St. John's South/St. John's-Sud,168A,St. John's,36,77,40,3,0,156,332
St. John's South/St. John's-Sud,168B,Mobile poll/Bureau itinérant,Merged with No. 95B,,,,,,25
St. John's South/St. John's-Sud,169,St. John's,67,126,48,2,0,243,453
St. John's South/St. John's-Sud,170,St. John's,30,103,35,1,0,169,351
St. John's South/St. John's-Sud,171,Mobile poll/Bureau itinérant,Merged with No. 95B,,,,,,2
St. John's South/St. John's-Sud,500,Mobile poll/Bureau itinérant,57,41,11,3,4,116,190
St. John's South/St. John's-Sud,501,Mobile poll/Bureau itinérant,32,25,11,1,1,70,129
St. John's South/St. John's-Sud,502,Mobile poll/Bureau itinérant,Void,,,,,,
St. John's South/St. John's-Sud,600,St. John's,92,101,139,10,0,342,
St. John's South/St. John's-Sud,601,St. John's,64,81,50,6,1,202,
St. John's South/St. John's-Sud,602,St. John's,136,196,68,6,0,406,
St. John's South/St. John's-Sud,603,Mount Pearl,89,96,43,1,0,229,
St. John's South/St. John's-Sud,604,Mount Pearl,116,166,84,4,0,370,
St. John's South/St. John's-Sud,605,Shea Heights,54,78,30,1,0,163,
St. John's South/St. John's-Sud,606,Petty Harbour,32,117,36,0,0,185,
St. John's South/St. John's-Sud,,Group 1/Groupe 1,60,125,23,6,1,215,565
St. John's South/St. John's-Sud,,Group 2/Groupe 2,178,283,119,10,13,603,
