District,Poll Number,Poll Name,Almaz Aladass,Fernand Deschamps,Stéphane Dion,William Fayad,Ken Fernandez,Zaid Mahayni,Alex Neron,Marc Rahmé,Nilda Vargas,Rejected Ballots,Total Vote,Electors
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,69,Saint-Laurent,5,2,143,31,0,26,3,13,3,7,233,484
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,70,Saint-Laurent,6,1,140,52,1,12,5,17,1,2,237,416
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,71,Saint-Laurent,2,0,115,38,0,12,4,14,0,1,186,350
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,72,Saint-Laurent,2,1,112,36,0,10,2,10,0,0,173,378
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,73,Saint-Laurent,10,2,162,81,1,24,1,13,1,8,303,581
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,74,Saint-Laurent,6,2,170,55,0,8,1,14,0,3,259,487
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,75,Saint-Laurent,0,0,118,42,1,20,0,25,0,0,206,562
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,76,Saint-Laurent,4,1,113,29,0,5,0,18,1,2,173,512
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,77,Saint-Laurent,5,1,82,24,0,18,0,20,0,1,151,490
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,78,Saint-Laurent,0,1,35,7,0,6,1,8,0,0,58,243
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,79,Saint-Laurent,3,0,117,37,2,13,3,14,0,3,192,540
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,80,Saint-Laurent,3,3,144,35,3,5,3,6,0,1,203,476
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,81A,Saint-Laurent,0,0,61,14,0,9,2,8,1,1,96,308
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,81B,Saint-Laurent,0,1,66,17,0,10,2,4,0,1,101,333
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,82,Saint-Laurent,4,1,125,25,0,5,0,6,0,1,167,392
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,83,Saint-Laurent,6,1,175,30,0,10,5,10,0,3,240,482
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,84,Saint-Laurent,4,0,172,32,0,18,0,13,1,5,245,498
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,85,Saint-Laurent,1,0,132,23,0,10,0,15,0,2,183,370
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,86A,Saint-Laurent,0,0,53,7,0,10,0,16,2,2,90,323
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,86B,Saint-Laurent,2,0,62,7,0,7,0,11,2,0,91,304
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,87,Saint-Laurent,0,0,59,6,1,8,0,4,0,1,79,317
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,88A,Saint-Laurent,1,1,78,11,0,12,0,11,0,0,114,284
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,88B,Saint-Laurent,2,0,85,13,0,8,0,15,0,1,124,276
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,89A,Saint-Laurent,0,0,67,15,0,6,0,7,0,4,99,297
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,89B,Saint-Laurent,1,0,50,14,0,7,1,9,1,2,85,252
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,89C,Saint-Laurent,2,0,81,14,0,2,0,11,0,1,111,323
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,90,Saint-Laurent,Merged with No. 89C,,,,,,,,,,,4
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,91,Saint-Laurent,11,1,123,31,0,15,2,21,1,1,206,359
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,92,Saint-Laurent,2,3,160,17,0,14,1,19,0,1,217,479
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,93,Saint-Laurent,10,0,133,41,0,22,2,16,0,1,225,399
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,94,Saint-Laurent,12,1,76,77,0,17,3,6,0,2,194,434
