District,Poll Number,Poll Name,Jean-Paul Bédard,Rebecca Blaikie,Douglas Jack,Thierry Larrivée,Paul Martin,Nicole Roy-Arcelin,Marc-Boris St-Maurice,Rejected Ballots,Total Vote,Electors
LaSalle--Émard/LaSalle--Émard,167,LaSalle,2,14,1,62,151,11,0,2,243,409
LaSalle--Émard/LaSalle--Émard,168,LaSalle,0,15,7,41,204,2,2,4,275,423
LaSalle--Émard/LaSalle--Émard,169,LaSalle,0,12,13,92,67,3,1,5,193,365
LaSalle--Émard/LaSalle--Émard,170,LaSalle,1,11,8,116,98,12,1,1,248,445
LaSalle--Émard/LaSalle--Émard,171,LaSalle,1,7,4,62,135,8,0,1,218,326
LaSalle--Émard/LaSalle--Émard,172,LaSalle,1,16,14,49,143,11,2,5,241,380
LaSalle--Émard/LaSalle--Émard,173,LaSalle,3,6,5,61,245,15,0,2,337,544
LaSalle--Émard/LaSalle--Émard,174,LaSalle,0,7,6,32,110,10,3,1,169,311
LaSalle--Émard/LaSalle--Émard,175,LaSalle,1,9,1,51,140,19,2,1,224,399
LaSalle--Émard/LaSalle--Émard,176,LaSalle,1,5,4,47,121,13,0,1,192,351
LaSalle--Émard/LaSalle--Émard,177,LaSalle,0,7,3,35,167,7,0,9,228,349
LaSalle--Émard/LaSalle--Émard,178,LaSalle,1,6,5,45,178,14,2,6,257,437
LaSalle--Émard/LaSalle--Émard,179,LaSalle,2,12,6,53,226,18,1,2,320,528
LaSalle--Émard/LaSalle--Émard,180,LaSalle,2,15,4,53,145,13,1,3,236,389
LaSalle--Émard/LaSalle--Émard,181,LaSalle,1,8,4,53,180,7,1,1,255,419
LaSalle--Émard/LaSalle--Émard,182,LaSalle,1,6,2,55,71,15,2,3,155,315
LaSalle--Émard/LaSalle--Émard,183,LaSalle,0,12,6,131,91,9,1,1,251,452
LaSalle--Émard/LaSalle--Émard,184,LaSalle,0,10,5,44,114,8,2,3,186,358
LaSalle--Émard/LaSalle--Émard,185,LaSalle,1,7,2,73,133,15,3,10,244,434
LaSalle--Émard/LaSalle--Émard,186,LaSalle,2,10,4,83,83,13,2,7,204,316
LaSalle--Émard/LaSalle--Émard,187,LaSalle,0,10,9,100,140,9,1,5,274,503
LaSalle--Émard/LaSalle--Émard,188,LaSalle,0,9,9,65,125,6,3,4,221,374
LaSalle--Émard/LaSalle--Émard,189,LaSalle,1,7,8,73,104,13,1,0,207,353
LaSalle--Émard/LaSalle--Émard,190,LaSalle,0,6,7,55,124,17,0,1,210,463
LaSalle--Émard/LaSalle--Émard,191,LaSalle,2,7,10,62,242,21,0,2,346,497
LaSalle--Émard/LaSalle--Émard,500,Mobile poll/Bureau itinérant,Void,,,,,,,,,
LaSalle--Émard/LaSalle--Émard,600,Montréal,2,19,5,173,223,23,5,10,460,
LaSalle--Émard/LaSalle--Émard,601,Montréal,0,17,12,94,278,32,1,1,435,
LaSalle--Émard/LaSalle--Émard,602,Montréal,2,28,19,215,308,36,4,8,620,
LaSalle--Émard/LaSalle--Émard,603,Montréal,0,14,8,98,329,34,4,6,493,
LaSalle--Émard/LaSalle--Émard,604,Montréal,1,25,16,128,205,30,1,1,407,
LaSalle--Émard/LaSalle--Émard,605,Montréal,0,15,8,70,252,36,0,1,382,
LaSalle--Émard/LaSalle--Émard,606,Montréal,5,21,13,149,337,38,4,6,573,
LaSalle--Émard/LaSalle--Émard,607,Montréal,2,21,8,116,291,38,2,8,486,
LaSalle--Émard/LaSalle--Émard,,Group 1/Groupe 1,0,1,1,23,56,20,3,3,107,169
LaSalle--Émard/LaSalle--Émard,,Group 2/Groupe 2,0,19,5,122,269,36,1,11,463,
