District,Poll Number,Poll Name,Pierre Albert,Ginette Boutet,Gilles Duceppe,François Gregoire,Dylan Perceval-Maxwell,Nicky Tanguay,Jean-François Thibault,Rejected Ballots,Total Vote,Electors
Laurier/Laurier,48,Montréal,3,0,208,41,22,2,29,7,312,470
Laurier/Laurier,49,Montréal,2,0,148,14,19,2,21,2,208,322
Laurier/Laurier,50,Montréal,4,0,156,24,12,5,37,6,244,439
Laurier/Laurier,51,Montréal,6,0,155,24,21,2,23,2,233,424
Laurier/Laurier,52,Montréal,6,0,107,25,15,3,37,4,197,365
Laurier/Laurier,53,Montréal,9,1,89,16,9,2,39,4,169,385
Laurier/Laurier,54,Montréal,2,1,226,34,24,4,41,4,336,514
Laurier/Laurier,55,Montréal,3,1,213,40,11,3,23,1,295,500
Laurier/Laurier,56,Montréal,4,1,147,30,10,1,32,1,226,381
Laurier/Laurier,57,Montréal,2,0,162,20,13,5,15,4,221,370
Laurier/Laurier,58,Montréal,5,0,100,19,13,2,16,1,156,277
Laurier/Laurier,59,Montréal,1,0,181,27,16,0,30,3,258,415
Laurier/Laurier,60,Montréal,5,0,175,27,16,2,49,2,276,485
Laurier/Laurier,61,Montréal,2,0,112,16,9,3,21,5,168,273
Laurier/Laurier,62,Montréal,3,1,153,28,11,2,28,3,229,389
Laurier/Laurier,63,Montréal,2,0,143,29,8,1,39,2,224,355
Laurier/Laurier,64,Montréal,1,1,111,17,21,2,26,2,181,329
Laurier/Laurier,65,Montréal,4,1,179,31,18,3,53,2,291,471
Laurier/Laurier,66,Montréal,9,0,160,24,14,1,41,5,254,456
Laurier/Laurier,67,Montréal,2,1,125,42,9,2,45,6,232,372
Laurier/Laurier,68,Montréal,3,0,76,23,11,1,30,3,147,265
Laurier/Laurier,69,Montréal,1,0,157,47,29,2,24,3,263,391
Laurier/Laurier,70,Montréal,3,0,126,27,13,2,26,2,199,346
Laurier/Laurier,71,Montréal,4,1,167,30,26,1,29,1,259,468
Laurier/Laurier,72,Montréal,6,0,149,35,5,3,51,2,251,441
Laurier/Laurier,73,Montréal,3,0,172,44,27,1,29,2,278,441
Laurier/Laurier,74,Montréal,1,1,149,28,16,0,26,0,221,380
Laurier/Laurier,75,Montréal,2,0,165,37,18,3,32,2,259,422
Laurier/Laurier,76,Montréal,2,0,94,31,8,0,39,0,174,354
Laurier/Laurier,77A,Montréal,2,0,165,42,22,4,37,0,272,466
Laurier/Laurier,77B,Montréal,7,1,108,26,12,1,24,1,180,295
Laurier/Laurier,78,Montréal,5,0,140,29,20,3,44,6,247,427
Laurier/Laurier,79,Montréal,2,2,63,24,11,0,26,3,131,246
Laurier/Laurier,80,Montréal,2,0,110,34,9,3,19,2,179,299
Laurier/Laurier,81,Montréal,11,0,143,35,12,2,26,4,233,406
Laurier/Laurier,82,Montréal,8,0,162,29,17,3,42,2,263,523
Laurier/Laurier,83,Montréal,4,1,139,19,14,3,35,3,218,373
Laurier/Laurier,84,Montréal,7,0,144,45,24,1,45,2,268,491
Laurier/Laurier,85,Montréal,3,0,103,27,14,2,19,2,170,301
Laurier/Laurier,86,Montréal,6,0,143,40,14,3,56,4,266,518
Laurier/Laurier,87,Montréal,8,1,159,51,25,3,54,2,303,581
Laurier/Laurier,88,Montréal,6,1,127,19,15,2,40,2,212,408
Laurier/Laurier,89,Montréal,5,0,109,14,15,2,33,5,183,315
Laurier/Laurier,90,Montréal,8,2,122,30,14,5,60,3,244,452
Laurier/Laurier,91,Montréal,6,0,131,67,31,4,53,3,295,535
Laurier/Laurier,92,Montréal,2,2,108,29,19,4,21,3,188,397
Laurier/Laurier,93,Montréal,27,2,79,17,2,0,111,7,245,484
Laurier/Laurier,94,Montréal,2,2,135,44,12,3,51,3,252,440
Laurier/Laurier,95,Montréal,7,2,121,34,18,4,97,7,290,570
Laurier/Laurier,96,Montréal,11,1,75,26,12,4,61,4,194,466
Laurier/Laurier,97,Montréal,4,1,144,25,19,1,34,0,228,364
Laurier/Laurier,98,Montréal,4,0,155,33,25,1,24,6,248,384
Laurier/Laurier,99,Montréal,1,0,87,29,16,0,21,3,157,334
Laurier/Laurier,100,Montréal,2,0,180,44,19,2,42,1,290,463
Laurier/Laurier,101,Montréal,7,1,160,32,16,2,46,4,268,479
Laurier/Laurier,102,Montréal,6,1,90,18,7,4,41,4,171,389
Laurier/Laurier,103,Montréal,3,2,122,30,10,1,21,3,192,321
Laurier/Laurier,104,Montréal,1,0,134,27,15,1,26,7,211,360
Laurier/Laurier,105,Montréal,9,0,154,25,21,3,42,3,257,405
Laurier/Laurier,106,Montréal,3,0,123,43,19,6,40,3,237,445
Laurier/Laurier,107,Montréal,9,0,175,34,20,3,45,1,287,506
Laurier/Laurier,108,Montréal,6,1,161,36,9,3,39,3,258,478
Laurier/Laurier,109,Montréal,4,0,161,33,27,2,33,6,266,413
Laurier/Laurier,110,Montréal,4,2,116,29,19,1,55,3,229,483
Laurier/Laurier,111,Montréal,6,3,118,37,19,6,32,2,223,448
Laurier/Laurier,112,Montréal,9,0,159,32,21,3,62,4,290,506
Laurier/Laurier,113,Montréal,8,1,163,38,23,3,52,5,293,546
Laurier/Laurier,114,Montréal,12,1,141,43,19,4,59,3,282,499
Laurier/Laurier,115,Montréal,11,0,102,47,22,4,52,5,243,552
Laurier/Laurier,116,Montréal,5,0,84,49,28,5,47,3,221,455
Laurier/Laurier,117,Montréal,5,4,84,39,18,4,58,0,212,489
Laurier/Laurier,118,Montréal,5,0,61,34,26,1,62,0,189,370
Laurier/Laurier,119,Montréal,4,0,64,26,18,3,53,2,170,311
Laurier/Laurier,120,Montréal,9,0,92,29,21,2,28,0,181,355
Laurier/Laurier,121,Montréal,3,1,86,32,17,2,63,0,204,378
Laurier/Laurier,122,Montréal,8,1,81,54,20,2,66,2,234,440
Laurier/Laurier,123,Montréal,8,1,54,57,22,0,45,0,187,438
Laurier/Laurier,124,Montréal,3,0,182,32,15,3,42,7,284,561
Laurier/Laurier,125,Montréal,5,1,117,25,12,0,57,4,221,480
Laurier/Laurier,126,Montréal,8,2,113,19,13,2,35,9,201,408
Laurier/Laurier,127,Montréal,2,0,149,29,10,1,40,3,234,449
Laurier/Laurier,128,Montréal,10,1,103,25,10,3,56,3,211,422
Laurier/Laurier,129,Montréal,10,0,112,13,18,1,31,3,188,366
Laurier/Laurier,130,Montréal,2,1,143,30,16,1,30,2,225,374
Laurier/Laurier,131,Montréal,7,1,152,36,25,3,37,5,266,540
Laurier/Laurier,132,Montréal,5,0,98,10,9,1,52,2,177,315
Laurier/Laurier,133,Montréal,12,0,131,18,6,0,70,1,238,408
Laurier/Laurier,134,Montréal,5,1,95,23,12,0,20,1,157,378
Laurier/Laurier,135,Montréal,0,0,38,14,6,2,30,1,91,189
Laurier/Laurier,136,Montréal,3,0,83,38,22,5,46,1,198,384
Laurier/Laurier,137,Montréal,3,0,120,33,28,4,44,0,232,478
Laurier/Laurier,138,Montréal,15,0,81,48,20,3,66,1,234,471
Laurier/Laurier,139,Montréal,15,0,65,47,20,2,59,4,212,414
Laurier/Laurier,140,Montréal,4,0,32,23,11,3,42,0,115,355
Laurier/Laurier,141,Montréal,8,1,79,29,12,4,95,2,230,420
Laurier/Laurier,142,Montréal,6,0,75,13,7,2,57,4,164,323
Laurier/Laurier,143,Montréal,9,1,133,33,13,2,62,1,254,456
Laurier/Laurier,144,Montréal,7,0,88,12,5,3,26,0,141,334
Laurier/Laurier,145,Montréal,10,0,144,16,10,5,54,4,243,465
Laurier/Laurier,146,Montréal,7,1,122,10,9,4,37,3,193,454
Laurier/Laurier,147,Montréal,7,0,131,28,7,1,32,2,208,365
Laurier/Laurier,148,Montréal,4,0,142,25,4,5,35,1,216,468
Laurier/Laurier,149A,Montréal,5,1,130,21,16,2,28,5,208,398
Laurier/Laurier,149B,Mobile poll/Bureau itinérant,1,0,18,0,1,1,16,6,43,51
Laurier/Laurier,150,Montréal,5,1,184,28,17,3,40,5,283,546
Laurier/Laurier,151,Montréal,2,0,165,23,18,2,43,3,256,520
Laurier/Laurier,152,Montréal,9,1,84,10,6,4,58,3,175,364
Laurier/Laurier,153,Montréal,4,0,164,35,13,4,41,0,261,518
Laurier/Laurier,154,Montréal,5,1,105,21,7,4,29,9,181,386
Laurier/Laurier,155,Montréal,5,1,150,28,13,4,42,2,245,509
Laurier/Laurier,156,Montréal,11,1,148,25,9,2,46,5,247,488
Laurier/Laurier,157,Montréal,2,1,114,17,18,7,16,5,180,390
Laurier/Laurier,158,Montréal,14,0,87,22,1,1,71,7,203,453
Laurier/Laurier,159,Montréal,7,1,119,26,12,8,42,3,218,447
Laurier/Laurier,160,Montréal,Void,,,,,,,,,
Laurier/Laurier,161,Montréal,3,2,98,7,4,5,75,5,199,331
Laurier/Laurier,162,Montréal,9,1,138,23,8,1,34,5,219,386
Laurier/Laurier,163,Montréal,3,1,140,13,8,7,20,3,195,374
Laurier/Laurier,164,Montréal,10,5,188,26,15,6,31,5,286,330
Laurier/Laurier,165,Montréal,13,1,146,14,8,3,41,7,233,509
Laurier/Laurier,166,Montréal,2,1,117,19,6,5,30,3,183,430
Laurier/Laurier,167,Montréal,10,0,160,20,12,5,30,10,247,482
Laurier/Laurier,168,Montréal,Merged with No. 164,,,,,,,,,180
Laurier/Laurier,169,Montréal,5,1,133,17,11,4,10,5,186,367
Laurier/Laurier,170,Montréal,3,0,174,26,14,1,36,7,261,501
Laurier/Laurier,171,Montréal,9,0,167,30,10,4,32,1,253,469
Laurier/Laurier,172,Montréal,0,1,167,31,10,4,20,6,239,421
Laurier/Laurier,173,Montréal,5,1,186,35,12,3,35,4,281,531
Laurier/Laurier,174,Montréal,3,0,170,37,14,0,26,7,257,522
Laurier/Laurier,175,Montréal,3,0,62,10,7,0,26,3,111,281
Laurier/Laurier,176,Montréal,2,0,113,20,9,6,15,2,167,360
Laurier/Laurier,177,Montréal,6,0,134,19,8,4,34,4,209,458
Laurier/Laurier,178,Montréal,6,2,113,12,2,5,39,3,182,426
Laurier/Laurier,179,Montréal,5,2,133,16,16,2,22,1,197,424
Laurier/Laurier,180,Montréal,7,1,186,36,9,1,43,2,285,498
Laurier/Laurier,181,Montréal,7,0,153,35,18,4,44,6,267,446
Laurier/Laurier,182,Montréal,4,0,150,25,15,4,48,1,247,501
Laurier/Laurier,183,Montréal,12,3,124,14,6,3,74,5,241,545
Laurier/Laurier,184,Montréal,3,0,74,15,7,3,33,0,135,280
Laurier/Laurier,185,Montréal,8,0,45,9,5,4,28,1,100,331
Laurier/Laurier,186,Montréal,5,2,95,14,9,4,34,2,165,352
Laurier/Laurier,187,Montréal,19,3,78,19,3,2,138,7,269,526
Laurier/Laurier,188,Montréal,9,1,30,12,2,0,114,7,175,353
Laurier/Laurier,189,Montréal,17,3,64,10,3,0,94,10,201,453
Laurier/Laurier,190,Montréal,6,0,61,18,13,0,28,1,127,411
Laurier/Laurier,191,Montréal,19,2,10,4,6,2,84,2,129,257
Laurier/Laurier,192A,Montréal,12,1,51,12,2,1,77,2,158,412
Laurier/Laurier,192B,Mobile poll/Bureau itinérant,Merged with No. 149B,,,,,,,,,21
Laurier/Laurier,193A,Montréal,3,1,76,11,5,2,31,8,137,404
Laurier/Laurier,193B,Montréal,3,1,31,4,2,2,23,0,66,246
Laurier/Laurier,194A,Montréal,6,0,88,7,8,1,37,3,150,229
Laurier/Laurier,194B,Montréal,6,1,132,18,4,1,57,1,220,427
Laurier/Laurier,400,Montréal,Merged with No. 401,,,,,,,,,1
Laurier/Laurier,401,Montréal,7,2,44,3,3,0,24,3,86,155
Laurier/Laurier,600,Montréal,12,1,339,37,21,5,57,2,474,
Laurier/Laurier,601,Montréal,17,2,405,91,25,4,91,9,644,
Laurier/Laurier,602,Montréal,19,2,323,71,31,5,115,3,569,
Laurier/Laurier,603,Montréal,6,1,234,44,50,6,40,0,381,
Laurier/Laurier,604,Montréal,20,2,395,45,26,4,86,8,586,
Laurier/Laurier,605,Montréal,6,1,256,49,25,1,73,3,414,
Laurier/Laurier,606,Montréal,16,0,176,38,26,4,89,0,349,
Laurier/Laurier,607,Montréal,20,2,385,52,36,5,128,9,637,
Laurier/Laurier,608,Montréal,15,3,249,30,13,3,66,11,390,
Laurier/Laurier,,Group 1/Groupe 1,17,0,60,22,7,5,37,7,155,221
Laurier/Laurier,,Group 2/Groupe 2,22,1,690,159,49,4,161,26,1112,
