District,Poll Number,Poll Name,Jen Fisher-Bradley,Randall Garrison,Shawn  W. Giles,John Koury,Keith Martin,Jane Sterk,Rejected Ballots,Total Vote,Electors
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,71,Saanich,0,65,0,124,155,23,2,369,580
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,72,Saanich,2,19,0,26,31,5,2,85,150
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,73,Saanich,0,70,0,69,95,13,0,247,390
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,74,Saanich,0,118,0,66,95,14,0,293,464
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,75,Saanich,0,66,0,81,80,27,1,255,385
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,76,Saanich,1,85,2,86,113,9,0,296,456
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,77,Saanich,1,101,0,57,61,19,1,240,440
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,78,Saanich,0,100,0,67,122,39,1,329,507
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,79,Saanich,2,85,0,61,80,24,0,252,461
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,80,Saanich,0,67,0,42,38,10,0,157,249
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,81,Marigold,4,64,0,79,92,31,0,270,383
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,82,Saanich,0,110,2,70,82,22,1,287,507
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,83,Saanich,3,98,1,93,116,29,0,340,513
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,84,Saanich,0,62,0,63,83,14,0,222,372
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,85,Marigold,0,63,1,52,125,20,1,262,478
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,86,Marigold,1,81,0,68,92,29,1,272,418
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,87,Saanich,2,82,0,88,122,32,1,327,518
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,88,Saanich,2,68,0,65,80,21,0,236,387
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,89,Saanich,1,41,1,52,78,10,0,183,285
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,90,View Royal,0,69,0,52,93,26,0,240,358
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,91,Saanich,0,80,0,56,82,21,2,241,391
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,92,Saanich,0,96,1,89,96,18,0,300,467
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,93,View Royal,0,60,0,49,102,28,1,240,417
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,94,View Royal,4,58,0,43,67,16,0,188,317
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,95,View Royal,0,55,2,41,92,31,1,222,331
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,96,View Royal,1,86,1,70,133,30,1,322,523
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,97,View Royal,1,55,0,64,117,22,0,259,450
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,98,View Royal,0,107,1,70,106,25,0,309,535
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,99,View Royal,0,74,0,32,74,21,1,202,284
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,100,View Royal,0,55,0,33,60,12,0,160,294
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,101,View Royal,3,93,0,112,140,25,1,374,568
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,102,View Royal,1,82,2,47,95,30,1,258,416
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,103,View Royal,0,99,1,42,41,8,0,191,323
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,104,View Royal,0,62,0,76,124,16,0,278,413
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,105,View Royal,0,70,1,30,82,15,1,199,344
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,106,New Songhees 1A,2,52,2,20,22,5,0,103,276
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,107,New Songhees 1A,1,157,2,103,135,37,2,437,767
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,108,Saanich,0,98,0,49,68,28,0,243,406
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,109,Saanich,1,56,0,37,59,10,0,163,250
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,110,Saanich,2,91,0,60,92,29,1,275,445
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,111,Saanich,3,115,1,46,86,25,1,277,442
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,112,Saanich,3,112,0,51,73,24,0,263,440
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,113,Saanich,1,109,0,53,53,21,1,238,397
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,114,Saanich,2,53,0,38,56,22,2,173,321
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,115,Sevenoaks,0,60,0,51,77,25,0,213,356
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,116,Saanich,0,76,0,42,74,20,0,212,394
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,117,Saanich,2,81,1,52,62,18,0,216,397
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,118,Saanich,1,64,1,33,60,25,2,186,323
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,119,Saanich,1,83,0,47,70,24,0,225,397
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,120,Saanich,2,74,2,37,125,34,0,274,419
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,121,Saanich,1,86,1,22,75,30,1,216,337
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,122,Saanich,2,43,0,39,69,22,0,175,276
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,123,Saanich,1,70,0,35,52,21,1,180,438
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,124,Saanich,2,104,1,47,110,26,0,290,440
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,125,Saanich,0,89,0,38,80,24,0,231,373
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,126,Saanich,0,79,0,22,53,21,0,175,332
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,127,Saanich,1,103,0,29,70,14,0,217,369
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,128,Saanich,0,77,0,63,85,14,0,239,429
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,129,Saanich,0,90,0,64,57,20,0,231,416
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,130,Saanich,0,111,0,35,64,18,1,229,470
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,131,Saanich,3,98,1,37,51,24,0,214,365
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,132,Saanich,0,69,1,39,67,16,0,192,419
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,133,Saanich,0,71,0,26,68,17,0,182,338
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,134,Saanich,0,95,0,43,78,35,0,251,385
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,135,Saanich,0,91,3,43,77,30,0,244,451
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,136,Saanich,1,59,1,20,24,12,0,117,225
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,137,Saanich,0,67,1,25,45,22,0,160,294
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,138,Saanich,1,72,2,30,58,18,0,181,373
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,139,Colwood,1,97,3,78,153,23,1,356,541
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,140,Colwood,2,72,0,51,76,23,1,225,466
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,141,Colwood,0,14,0,30,38,2,1,85,282
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,142,Colwood,0,49,1,67,85,13,0,215,336
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,143,Colwood,1,41,0,44,77,14,1,178,292
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,144,Colwood,0,69,1,76,84,33,1,264,434
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,145,Colwood,1,70,0,33,48,29,0,181,311
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,146,Colwood,2,46,0,40,72,19,0,179,296
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,147,Colwood,0,73,0,85,90,23,0,271,444
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,148,Colwood,0,40,1,22,49,7,0,119,264
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,149,Colwood,2,63,1,53,62,11,1,193,317
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,150,Colwood,0,57,0,76,109,15,0,257,412
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,151,Colwood,0,58,3,28,83,14,0,186,317
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,152,Colwood,3,86,2,49,73,32,0,245,388
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,153,Colwood,1,71,0,73,63,19,1,228,358
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,154,Colwood,1,88,2,70,120,25,3,309,462
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,155,Colwood,1,67,1,50,115,12,0,246,390
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,156,Colwood,1,26,0,38,44,6,0,115,374
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,157,Colwood,1,80,0,70,105,18,2,276,469
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,158,Colwood,0,74,1,55,115,22,0,267,442
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,159,Colwood,0,81,0,74,124,30,1,310,510
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,160,Colwood,1,104,0,54,99,22,0,280,424
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,161,Colwood,1,89,0,65,89,22,0,266,409
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,162,Colwood,0,60,1,106,148,24,1,340,481
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,163,Colwood,1,79,1,87,152,22,0,342,532
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,164,Esquimalt,0,74,0,41,120,18,1,254,409
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,165,Esquimalt,0,72,0,47,63,24,0,206,366
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,166,Esquimalt,2,91,1,83,105,32,1,315,531
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,167,Esquimalt,3,90,4,62,96,26,4,285,452
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,168,Esquimalt,2,56,0,45,100,24,0,227,395
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,169,Esquimalt,1,56,1,55,107,10,1,231,349
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,170,Esquimalt,1,34,0,16,62,10,0,123,229
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,171,Esquimalt,3,90,0,61,102,21,2,279,435
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,172,Esquimalt,0,113,2,52,78,23,0,268,465
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,173,Esquimalt,1,72,1,28,49,24,0,175,353
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,174,Esquimalt,0,70,0,31,48,18,0,167,330
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,175,Esquimalt,1,58,0,26,56,22,2,165,349
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,176,Esquimalt,3,80,0,26,72,21,0,202,316
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,177,Esquimalt,2,65,0,43,78,17,1,206,402
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,178,Esquimalt,0,61,0,13,26,9,2,111,209
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,179,Esquimalt,4,66,1,22,25,19,0,137,314
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,180,Esquimalt,2,73,1,34,59,23,0,192,483
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,181,Esquimalt,0,41,0,23,62,8,1,135,300
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,182,Esquimalt,0,32,0,17,27,7,0,83,197
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,183,Esquimalt,0,59,1,32,45,15,1,153,306
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,184,Esquimalt,1,46,0,29,25,9,0,110,234
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,185,Esquimalt,0,27,1,18,57,11,1,115,253
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,186,Esquimalt,2,101,0,43,76,20,3,245,508
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,187,Esquimalt,1,60,1,41,55,15,0,173,382
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,188,Esquimalt,1,98,1,34,86,25,0,245,406
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,189,Esquimalt,3,59,0,21,38,14,0,135,269
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,190,Esquimalt,0,54,0,29,48,15,2,148,315
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,191,Esquimalt,1,130,0,52,88,22,0,293,449
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,192,Esquimalt,0,49,0,43,72,17,0,181,252
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,193,Esquimalt,0,57,0,19,59,17,0,152,222
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,194,Esquimalt,2,62,0,48,74,25,0,211,328
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,195,Esquimalt,0,75,1,47,95,20,3,241,445
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,196,Esquimalt,0,78,1,37,58,18,2,194,386
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,197,Esquimalt,0,35,1,25,34,10,0,105,234
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,198,Metchosin,1,97,1,68,85,27,1,280,458
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,199,Metchosin,1,84,2,97,99,37,1,321,500
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,200,Metchosin,0,93,2,68,117,26,1,307,483
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,201,Metchosin,2,120,0,77,110,30,0,339,507
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,202,Metchosin,1,43,0,33,61,19,0,157,239
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,203,Metchosin,0,61,1,46,98,26,1,233,372
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,204,Metchosin,0,91,1,73,87,44,0,296,437
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,205,Metchosin,0,35,1,60,46,10,0,152,236
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,206,Metchosin,0,80,1,34,64,20,0,199,273
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,600,Sooke,0,120,0,172,176,28,0,496,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,601,Langford,2,173,4,222,268,51,0,720,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,602,Saanich,0,59,0,74,83,28,1,245,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,603,Saanich,2,155,3,214,186,25,1,586,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,604,View Royal,0,124,1,128,129,19,1,402,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,605,Saanich,0,84,0,52,79,18,0,233,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,606,Saanich,4,166,1,123,166,35,5,500,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,607,Colwood,4,121,0,197,228,39,2,591,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,608,Esquimalt,19,292,2,150,336,47,1,847,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,609,Metchosin,0,58,1,61,83,14,0,217,
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,,Group 1/Groupe 1,6,50,3,181,151,23,4,418,1125
Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca,,Group 2/Groupe 2,10,209,3,301,392,104,25,1044,
