District,Poll Number,Poll Name,Rick Barsky,Dennis Gruending,Myron Luczka,Carol Skelton,Rejected Ballots,Total Vote,Electors
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,21,Langham,4,29,14,79,0,126,272
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,22,Asquith,8,89,47,194,3,341,602
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,23,Perdue,2,53,16,155,0,226,350
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,24,Perdue,5,51,17,121,1,195,334
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,25,Asquith,5,66,38,176,0,285,573
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,26,Asquith,3,41,21,102,0,167,241
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,27,Vanscoy,0,23,30,68,0,121,192
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,28,Delisle,3,23,12,111,0,149,240
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,29,Delisle,7,43,16,79,0,145,240
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,30,Delisle,13,50,18,153,2,236,513
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,31,Vanscoy,17,126,60,215,1,419,634
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,32,Pike Lake,1,29,13,73,1,117,169
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,33,Cedar Villa Estates,13,72,51,166,1,303,445
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,34,Harris,4,92,5,149,2,252,362
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,35,Donovan,3,7,5,103,1,119,219
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,36,Pike Lake,16,79,37,134,0,266,405
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,37,Saskatoon,5,90,32,80,1,208,516
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,38,Saskatoon,9,95,47,86,2,239,543
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,39,Saskatoon,5,77,30,59,0,171,467
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,40,Saskatoon,3,50,29,71,0,153,365
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,41,Saskatoon,9,46,19,41,0,115,311
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,42,Saskatoon,2,41,31,55,0,129,281
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,43,Saskatoon,5,77,39,53,1,175,432
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,44,Saskatoon,5,60,19,43,0,127,297
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,45,Saskatoon,4,57,26,60,3,150,499
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,46,Saskatoon,1,73,20,52,0,146,384
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,47,Saskatoon,6,76,26,60,0,168,329
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,48,Saskatoon,8,33,15,37,0,93,323
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,49,Saskatoon,2,57,19,66,0,144,267
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,50,Saskatoon,8,66,30,64,0,168,378
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,51,Saskatoon,6,58,25,51,0,140,294
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,52,Saskatoon,5,59,19,33,0,116,310
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,53,Saskatoon,2,54,20,63,0,139,365
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,54,Saskatoon,6,44,22,46,0,118,284
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,55,Saskatoon,11,77,28,68,1,185,357
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,56,Saskatoon,6,68,31,71,0,176,419
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,57,Saskatoon,6,69,47,81,0,203,411
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,58,Saskatoon,3,41,24,35,0,103,278
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,59,Saskatoon,1,52,16,41,1,111,251
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,60,Saskatoon,4,40,33,55,1,133,292
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,61,Saskatoon,1,35,28,45,0,109,262
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,62,Saskatoon,9,55,18,46,2,130,461
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,63,Saskatoon,2,40,15,28,5,90,329
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,64,Saskatoon,7,53,23,69,0,152,303
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,65,Saskatoon,11,85,19,66,1,182,437
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,66A,Saskatoon,3,32,24,43,0,102,218
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,66B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,78
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,67A,Saskatoon,4,55,31,69,1,160,257
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,67B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,89
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,68,Saskatoon,7,47,39,58,0,151,282
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,69,Saskatoon,5,44,22,54,0,125,303
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,70,Saskatoon,10,89,27,53,0,179,363
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,71,Saskatoon,6,58,17,61,0,142,348
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,72,Saskatoon,3,50,13,31,1,98,195
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,73,Saskatoon,3,81,29,39,3,155,250
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,74,Saskatoon,7,80,46,74,0,207,426
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,75,Saskatoon,5,71,22,68,0,166,368
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,76,Saskatoon,5,64,14,54,0,137,312
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,77,Saskatoon,7,84,34,61,0,186,406
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,78,Saskatoon,7,83,26,50,0,166,352
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,79,Saskatoon,10,118,42,61,1,232,435
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,80,Saskatoon,1,47,15,44,0,107,226
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,81,Saskatoon,7,72,25,73,1,178,348
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,82,Saskatoon,7,97,40,83,0,227,447
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,83,Saskatoon,4,59,30,42,0,135,310
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,84,Saskatoon,8,46,16,41,1,112,237
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,85,Saskatoon,8,66,28,55,0,157,354
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,86,Saskatoon,11,78,23,47,0,159,324
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,87,Saskatoon,10,50,31,52,0,143,285
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,88,Saskatoon,6,92,39,88,0,225,447
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,89,Saskatoon,4,39,12,20,0,75,249
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,90,Saskatoon,7,53,35,31,3,129,325
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,91,Saskatoon,9,50,31,30,2,122,429
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,92,Saskatoon,14,57,11,39,0,121,338
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,93,Saskatoon,9,83,24,31,0,147,321
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,94A,Saskatoon,8,72,22,44,0,146,463
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,94B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,53
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,95,Saskatoon,8,77,41,137,0,263,546
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,96,Saskatoon,5,103,55,100,0,263,520
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,97,Saskatoon,6,87,37,83,1,214,498
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,98,Saskatoon,9,71,25,83,0,188,415
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,99,Saskatoon,6,51,22,58,0,137,318
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,100,Saskatoon,3,49,17,63,0,132,304
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,101,Saskatoon,10,90,49,99,2,250,508
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,102,Saskatoon,7,96,44,97,0,244,527
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,103,Saskatoon,5,44,30,32,0,111,350
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,104,Saskatoon,2,66,22,69,0,159,368
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,105,Saskatoon,5,80,36,84,0,205,501
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,106,Saskatoon,6,84,54,65,0,209,644
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,107,Saskatoon,5,119,87,102,0,313,515
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,108,Saskatoon,5,51,25,33,0,114,386
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,109,Saskatoon,5,74,45,90,0,214,621
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,110,Saskatoon,5,75,58,95,1,234,433
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,111,Saskatoon,7,83,44,107,0,241,439
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,112,Saskatoon,3,48,48,94,0,193,342
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,113,Saskatoon,6,90,50,142,1,289,472
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,114,Saskatoon,5,70,42,75,0,192,374
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,115,Saskatoon,5,55,49,58,0,167,283
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,116,Saskatoon,2,70,23,23,0,118,329
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,117,Saskatoon,5,65,13,15,1,99,382
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,118,Saskatoon,6,69,17,32,0,124,397
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,119,Saskatoon,7,48,24,20,2,101,311
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,120,Saskatoon,5,64,31,64,1,165,372
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,121,Saskatoon,2,64,36,48,1,151,379
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,122,Saskatoon,6,74,29,50,1,160,365
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,123,Saskatoon,1,59,17,23,3,103,306
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,124,Saskatoon,1,71,24,29,0,125,405
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,125,Saskatoon,5,51,24,27,0,107,384
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,126,Saskatoon,8,65,30,59,0,162,485
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,127,Saskatoon,9,85,18,31,0,143,401
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,128,Saskatoon,10,53,46,32,0,141,370
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,129,Saskatoon,9,42,32,62,0,145,348
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,130,Saskatoon,5,46,20,37,0,108,230
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,131,Saskatoon,0,28,12,22,1,63,301
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,132,Saskatoon,2,60,29,51,0,142,404
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,133,Saskatoon,5,91,22,45,1,164,441
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,134,Saskatoon,7,76,27,34,0,144,395
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,135,Saskatoon,3,83,29,48,0,163,347
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,136,Saskatoon,17,70,29,46,0,162,396
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,137,Saskatoon,11,73,21,52,1,158,374
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,138,Saskatoon,4,83,36,58,0,181,451
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,500,Mobile poll/Bureau itinérant,1,13,27,34,4,79,192
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,501,Mobile poll/Bureau itinérant,8,87,45,91,1,232,208
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,502,Mobile poll/Bureau itinérant,1,44,19,25,0,89,211
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,600,Biggar,3,100,23,161,2,289,
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,601,Rosetown,3,60,19,334,0,416,
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,602,Delisle,6,42,24,190,2,264,
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,603,Confederation Park,16,215,63,213,1,508,
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,604,Howard Coad,8,288,83,237,1,617,
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,605,St. Marks,17,203,69,241,1,531,
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,606,St. George's,10,169,19,96,1,295,
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,,Group 1/Groupe 1,14,37,37,25,11,124,186
Saskatoon--Rosetown--Biggar/Saskatoon--Rosetown--Biggar,,Group 2/Groupe 2,5,132,51,177,6,371,
