District,Poll Number,Poll Name,Durk Bruinsma,Virginia Ervin,Tim Lang,Bev Oda,Bruce Rogers,Rejected Ballots,Total Vote,Electors
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,155,Clarington,2,11,59,80,31,0,183,319
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,156,Clarington,3,12,55,80,50,1,201,387
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,157,Clarington,4,5,71,45,16,6,147,313
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,158,Clarington,4,11,85,73,46,0,219,395
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,159,Clarington,7,15,73,81,25,0,201,367
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,160,Clarington,6,8,107,86,54,0,261,508
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,161,Clarington,3,3,74,58,26,2,166,264
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,162,Clarington,2,7,48,57,18,0,132,244
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,163A,Clarington,1,8,121,86,27,0,243,317
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,163B,Clarington,1,2,111,111,27,1,253,319
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,164,Clarington,4,4,128,118,37,2,293,366
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,165,Clarington,0,2,151,125,39,1,318,413
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,166,Clarington,8,7,64,82,28,1,190,284
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,167,Clarington,18,2,81,128,33,1,263,407
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,168,Clarington,11,12,86,129,48,0,286,460
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,169,Clarington,8,13,87,134,44,3,289,437
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,170,Clarington,6,25,101,167,57,2,358,542
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,171,Clarington,12,15,114,160,54,1,356,525
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,172,Clarington,5,14,87,112,48,0,266,438
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,173,Clarington,6,8,36,66,36,1,153,225
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,174,Clarington,12,14,50,90,28,3,197,308
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,175,Clarington,3,14,73,106,29,1,226,345
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,176,Clarington,17,5,84,77,28,0,211,396
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,177,Clarington,4,6,88,94,34,1,227,392
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,178,Clarington,4,7,75,82,33,4,205,323
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,179,Clarington,4,13,69,89,43,1,219,372
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,180,Clarington,4,14,77,112,39,1,247,394
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,181A,Clarington,4,8,91,66,28,2,199,356
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,181B,Clarington,5,15,80,65,23,0,188,315
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,182,Clarington,1,6,56,64,26,1,154,303
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,183,Clarington,4,17,41,52,29,1,144,244
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,184,Clarington,5,3,40,54,41,1,144,213
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,185,Clarington,9,19,128,146,47,2,351,595
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,186,Clarington,11,13,102,120,52,0,298,544
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,187,Clarington,5,10,65,71,41,2,194,346
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,188,Clarington,6,14,65,141,52,6,284,432
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,500,Mobile poll/Bureau itinérant,3,1,42,26,11,2,85,160
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,600,Uxbridge,18,43,399,505,81,4,1050,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,601,Scugog,8,22,276,276,68,3,653,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,602,Blackstock,4,4,63,105,29,2,207,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,603,Newcastle,13,16,166,257,62,3,517,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,604,Bowmanville North,9,14,173,235,42,3,476,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,605,Bowmanville South,9,23,330,354,146,5,867,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,606,Courtice,4,6,134,230,74,3,451,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,607,Courtice,1,10,179,214,55,3,462,
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,,Group 1/Groupe 1,1,4,24,18,3,2,52,114
Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,,Group 2/Groupe 2,5,6,84,134,42,9,280,
