District,Poll Number,Poll Name,Kimball Cariou,John Clarke,Alexander Frei,Hedy Fry,Robbie Mattu,Gary Mitchell,Joe Pal,Kennedy Stewart,Rejected Ballots,Total Vote,Electors
Vancouver Centre/Vancouver-Centre,55,Vancouver,0,1,0,114,21,39,2,100,2,279,453
Vancouver Centre/Vancouver-Centre,56,Vancouver,0,0,0,63,15,19,2,101,0,200,410
Vancouver Centre/Vancouver-Centre,57,Vancouver,2,0,0,82,22,21,0,91,0,218,388
Vancouver Centre/Vancouver-Centre,58,Vancouver,0,1,0,71,22,23,2,109,0,228,470
Vancouver Centre/Vancouver-Centre,59,Vancouver,1,2,0,78,16,30,1,88,3,219,398
Vancouver Centre/Vancouver-Centre,60,Vancouver,0,1,1,78,10,31,0,77,0,198,389
Vancouver Centre/Vancouver-Centre,61,Vancouver,0,1,0,91,22,28,0,112,0,254,457
Vancouver Centre/Vancouver-Centre,62,Vancouver,1,1,0,113,25,52,3,152,0,347,598
Vancouver Centre/Vancouver-Centre,63A,Vancouver,0,0,0,86,21,21,1,124,0,253,476
Vancouver Centre/Vancouver-Centre,63B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,,,6
Vancouver Centre/Vancouver-Centre,64,Vancouver,1,0,0,118,26,35,0,114,0,294,532
Vancouver Centre/Vancouver-Centre,65,Vancouver,1,1,1,117,18,17,0,111,1,267,513
Vancouver Centre/Vancouver-Centre,66,Vancouver,1,1,0,65,15,26,0,64,2,174,336
Vancouver Centre/Vancouver-Centre,67,Vancouver,1,1,0,79,10,27,0,84,0,202,398
Vancouver Centre/Vancouver-Centre,68,Vancouver,0,0,0,63,22,17,1,86,1,190,385
Vancouver Centre/Vancouver-Centre,69,Vancouver,0,2,0,75,18,65,1,65,1,227,449
Vancouver Centre/Vancouver-Centre,70A,Vancouver,0,1,1,64,10,33,0,44,0,153,339
Vancouver Centre/Vancouver-Centre,70B,Vancouver,1,0,0,82,14,37,0,35,1,170,328
Vancouver Centre/Vancouver-Centre,71,Vancouver,0,2,1,100,20,60,2,105,4,294,508
Vancouver Centre/Vancouver-Centre,72,Vancouver,1,3,0,95,16,22,5,110,1,253,524
Vancouver Centre/Vancouver-Centre,73,Vancouver,0,0,0,101,8,45,3,82,1,240,396
Vancouver Centre/Vancouver-Centre,74,Vancouver,1,4,0,89,15,22,1,96,0,228,450
Vancouver Centre/Vancouver-Centre,75,Vancouver,0,1,0,61,11,44,0,30,0,147,281
Vancouver Centre/Vancouver-Centre,76,Vancouver,1,3,0,101,9,58,1,27,0,200,459
Vancouver Centre/Vancouver-Centre,77,Vancouver,0,0,0,91,14,62,0,33,0,200,472
Vancouver Centre/Vancouver-Centre,78A,Vancouver,1,3,0,54,14,23,0,63,1,159,359
Vancouver Centre/Vancouver-Centre,78B,Vancouver,0,1,1,52,8,20,2,36,0,120,300
Vancouver Centre/Vancouver-Centre,79,Vancouver,1,3,1,75,11,42,1,41,1,176,380
Vancouver Centre/Vancouver-Centre,80,Vancouver,0,1,0,53,6,19,0,53,0,132,243
Vancouver Centre/Vancouver-Centre,81,Vancouver,2,4,2,69,11,41,2,57,3,191,439
Vancouver Centre/Vancouver-Centre,82A,Vancouver,1,0,0,61,6,24,1,59,0,152,309
Vancouver Centre/Vancouver-Centre,82B,Vancouver,1,1,0,69,11,31,0,58,0,171,339
Vancouver Centre/Vancouver-Centre,83,Vancouver,2,0,1,36,12,25,2,69,1,148,411
Vancouver Centre/Vancouver-Centre,84,Vancouver,0,1,0,121,10,102,0,35,0,269,386
Vancouver Centre/Vancouver-Centre,85,Vancouver,0,1,1,124,17,82,0,33,3,261,515
Vancouver Centre/Vancouver-Centre,86,Vancouver,0,1,0,120,18,53,1,67,1,261,444
Vancouver Centre/Vancouver-Centre,87,Vancouver,1,2,0,113,21,48,1,48,0,234,536
Vancouver Centre/Vancouver-Centre,88,Vancouver,0,2,0,144,18,76,0,53,0,293,499
Vancouver Centre/Vancouver-Centre,89,Vancouver,0,2,0,87,13,29,0,39,0,170,358
Vancouver Centre/Vancouver-Centre,90,Vancouver,0,1,1,168,15,73,1,71,0,330,560
Vancouver Centre/Vancouver-Centre,91,Vancouver,0,2,0,119,14,51,1,48,3,238,497
Vancouver Centre/Vancouver-Centre,92A,Vancouver,1,5,0,84,8,47,2,41,3,191,356
Vancouver Centre/Vancouver-Centre,92B,Vancouver,0,2,1,80,11,40,0,76,0,210,341
Vancouver Centre/Vancouver-Centre,93A,Vancouver,0,7,0,82,8,44,0,37,1,179,306
Vancouver Centre/Vancouver-Centre,93B,Vancouver,1,4,1,104,5,51,0,29,0,195,330
Vancouver Centre/Vancouver-Centre,94,Vancouver,1,2,3,152,17,102,0,72,0,349,637
Vancouver Centre/Vancouver-Centre,95,Vancouver,1,1,0,58,7,44,0,17,0,128,280
Vancouver Centre/Vancouver-Centre,96,Vancouver,0,0,2,112,31,38,3,100,1,287,508
Vancouver Centre/Vancouver-Centre,97,Vancouver,0,0,0,75,19,26,0,92,0,212,374
Vancouver Centre/Vancouver-Centre,98,Vancouver,1,1,2,33,3,25,2,65,0,132,250
Vancouver Centre/Vancouver-Centre,99,Vancouver,2,0,1,102,19,24,0,96,1,245,456
Vancouver Centre/Vancouver-Centre,100,Vancouver,1,2,0,90,11,37,2,67,1,211,465
Vancouver Centre/Vancouver-Centre,101A,Vancouver,1,2,0,61,7,25,0,53,0,149,363
Vancouver Centre/Vancouver-Centre,101B,Vancouver,0,1,0,60,8,28,0,43,0,140,293
Vancouver Centre/Vancouver-Centre,102A,Vancouver,0,1,0,45,6,16,0,30,1,99,316
Vancouver Centre/Vancouver-Centre,102B,Vancouver,0,2,0,50,7,34,1,24,0,118,342
Vancouver Centre/Vancouver-Centre,103A,Vancouver,0,0,0,54,15,36,0,27,0,132,323
Vancouver Centre/Vancouver-Centre,103B,Vancouver,0,1,1,39,3,34,4,32,1,115,370
Vancouver Centre/Vancouver-Centre,104,Vancouver,0,1,1,148,15,62,2,77,4,310,608
Vancouver Centre/Vancouver-Centre,105,Vancouver,1,5,0,93,25,30,1,76,1,232,392
Vancouver Centre/Vancouver-Centre,106,Vancouver,0,0,1,106,13,54,0,73,0,247,473
Vancouver Centre/Vancouver-Centre,107,Vancouver,0,0,0,69,10,32,1,54,3,169,348
Vancouver Centre/Vancouver-Centre,108,Vancouver,0,1,0,113,19,63,0,66,0,262,452
Vancouver Centre/Vancouver-Centre,109,Vancouver,0,4,0,79,10,44,2,46,2,187,514
Vancouver Centre/Vancouver-Centre,110,Vancouver,Merged with No. 105,,,,,,,,,,78
Vancouver Centre/Vancouver-Centre,111,Vancouver,0,4,0,102,7,55,4,44,2,218,494
Vancouver Centre/Vancouver-Centre,112,Vancouver,0,0,0,48,5,25,0,16,0,94,240
Vancouver Centre/Vancouver-Centre,113,Vancouver,0,1,1,91,20,100,6,62,0,281,424
Vancouver Centre/Vancouver-Centre,114,Vancouver,2,1,0,73,15,37,3,76,0,207,368
Vancouver Centre/Vancouver-Centre,115,Vancouver,0,0,0,73,18,52,1,63,1,208,361
Vancouver Centre/Vancouver-Centre,116,Vancouver,0,1,1,90,19,38,0,75,1,225,385
Vancouver Centre/Vancouver-Centre,117,Vancouver,0,0,1,69,26,33,0,84,0,213,356
Vancouver Centre/Vancouver-Centre,118,Vancouver,0,0,0,87,22,26,0,71,0,206,371
Vancouver Centre/Vancouver-Centre,119,Vancouver,0,3,2,85,31,40,2,78,1,242,403
Vancouver Centre/Vancouver-Centre,120,Vancouver,0,1,2,64,19,38,2,93,1,220,394
Vancouver Centre/Vancouver-Centre,121,Vancouver,1,2,0,91,18,40,7,132,1,292,459
Vancouver Centre/Vancouver-Centre,122,Vancouver,1,1,0,105,23,35,0,106,2,273,438
Vancouver Centre/Vancouver-Centre,123,Vancouver,0,1,0,118,13,56,3,94,0,285,464
Vancouver Centre/Vancouver-Centre,124,Vancouver,0,1,0,77,6,18,0,76,2,180,336
Vancouver Centre/Vancouver-Centre,125,Vancouver,0,3,0,62,20,31,0,54,0,170,326
Vancouver Centre/Vancouver-Centre,126,Vancouver,0,1,0,81,16,19,1,83,1,202,346
Vancouver Centre/Vancouver-Centre,127,Vancouver,2,2,0,93,24,46,1,69,3,240,413
Vancouver Centre/Vancouver-Centre,128,Vancouver,1,3,0,96,27,38,0,64,1,230,360
Vancouver Centre/Vancouver-Centre,129,Vancouver,0,3,1,106,9,93,0,38,1,251,424
Vancouver Centre/Vancouver-Centre,130,Vancouver,0,1,0,91,10,42,0,36,0,180,312
Vancouver Centre/Vancouver-Centre,131,Vancouver,0,3,0,79,11,28,1,76,3,201,386
Vancouver Centre/Vancouver-Centre,132,Vancouver,0,1,2,132,16,61,0,44,2,258,527
Vancouver Centre/Vancouver-Centre,133,Vancouver,0,2,0,119,15,52,0,45,1,234,401
Vancouver Centre/Vancouver-Centre,134A,Vancouver,0,1,0,123,13,66,1,64,0,268,393
Vancouver Centre/Vancouver-Centre,134B,Vancouver,0,1,2,100,14,42,0,72,0,231,340
Vancouver Centre/Vancouver-Centre,135,Vancouver,1,3,1,131,20,69,6,95,1,327,569
Vancouver Centre/Vancouver-Centre,136,Vancouver,0,2,0,116,25,57,0,57,1,258,407
Vancouver Centre/Vancouver-Centre,137,Vancouver,1,0,0,111,13,56,1,54,1,237,363
Vancouver Centre/Vancouver-Centre,138,Vancouver,0,0,0,96,12,51,0,44,1,204,344
Vancouver Centre/Vancouver-Centre,139,Vancouver,1,0,0,84,9,44,0,53,0,191,323
Vancouver Centre/Vancouver-Centre,140,Vancouver,0,0,0,98,18,54,1,62,2,235,408
Vancouver Centre/Vancouver-Centre,141,Vancouver,0,2,1,91,24,44,0,50,1,213,375
Vancouver Centre/Vancouver-Centre,142,Vancouver,0,2,0,92,23,26,3,68,1,215,389
Vancouver Centre/Vancouver-Centre,143,Vancouver,0,3,2,86,15,38,1,105,0,250,425
Vancouver Centre/Vancouver-Centre,144,Vancouver,0,2,0,102,18,54,1,66,0,243,388
Vancouver Centre/Vancouver-Centre,145,Vancouver,0,1,0,106,27,67,4,82,2,289,514
Vancouver Centre/Vancouver-Centre,146,Vancouver,0,0,0,92,27,35,1,91,2,248,472
Vancouver Centre/Vancouver-Centre,147,Vancouver,0,0,0,108,9,40,1,92,0,250,427
Vancouver Centre/Vancouver-Centre,148,Vancouver,0,0,1,93,14,36,1,45,1,191,296
Vancouver Centre/Vancouver-Centre,149,Vancouver,0,1,0,97,12,47,3,80,1,241,393
Vancouver Centre/Vancouver-Centre,150,Vancouver,0,1,2,120,14,40,0,72,2,251,398
Vancouver Centre/Vancouver-Centre,151,Vancouver,2,2,1,100,25,41,1,99,0,271,477
Vancouver Centre/Vancouver-Centre,152,Vancouver,0,1,0,102,33,51,1,97,0,285,445
Vancouver Centre/Vancouver-Centre,153,Vancouver,1,2,0,89,21,29,1,102,0,245,424
Vancouver Centre/Vancouver-Centre,154,Vancouver,0,2,0,82,32,39,0,105,1,261,401
Vancouver Centre/Vancouver-Centre,155,Vancouver,0,2,1,134,16,71,2,98,0,324,485
Vancouver Centre/Vancouver-Centre,156,Vancouver,0,3,0,120,21,60,4,102,0,310,507
Vancouver Centre/Vancouver-Centre,157,Vancouver,0,1,2,127,29,36,1,90,0,286,473
Vancouver Centre/Vancouver-Centre,158,Vancouver,0,1,1,78,30,32,1,106,0,249,425
Vancouver Centre/Vancouver-Centre,159,Vancouver,0,1,0,97,17,33,3,98,0,249,441
Vancouver Centre/Vancouver-Centre,160,Vancouver,4,2,0,88,33,36,1,74,0,238,449
Vancouver Centre/Vancouver-Centre,161,Vancouver,0,0,0,75,15,44,1,126,0,261,443
Vancouver Centre/Vancouver-Centre,162,Vancouver,2,1,1,82,21,31,3,132,6,279,422
Vancouver Centre/Vancouver-Centre,163,Vancouver,0,1,0,75,20,48,3,139,0,286,388
Vancouver Centre/Vancouver-Centre,164,Vancouver,0,0,0,73,16,42,0,119,0,250,361
Vancouver Centre/Vancouver-Centre,165,Vancouver,0,0,0,72,22,51,0,57,0,202,371
Vancouver Centre/Vancouver-Centre,166,Vancouver,0,4,0,98,9,57,0,42,1,211,346
Vancouver Centre/Vancouver-Centre,167,Vancouver,1,0,0,66,16,41,1,67,2,194,367
Vancouver Centre/Vancouver-Centre,168,Vancouver,0,0,0,87,7,60,4,64,0,222,413
Vancouver Centre/Vancouver-Centre,169A,Vancouver,0,1,0,64,18,39,0,40,0,162,285
Vancouver Centre/Vancouver-Centre,169B,Vancouver,0,2,0,75,13,39,1,58,0,188,315
Vancouver Centre/Vancouver-Centre,170,Vancouver,1,1,1,93,14,30,0,76,2,218,364
Vancouver Centre/Vancouver-Centre,171,Vancouver,0,1,0,108,11,37,1,55,1,214,365
Vancouver Centre/Vancouver-Centre,172,Vancouver,0,4,0,72,16,42,1,78,1,214,406
Vancouver Centre/Vancouver-Centre,173,Vancouver,0,0,0,105,12,63,1,43,0,224,362
Vancouver Centre/Vancouver-Centre,174,Vancouver,0,1,2,131,24,64,1,78,2,303,518
Vancouver Centre/Vancouver-Centre,175,Vancouver,0,0,0,152,9,59,1,65,1,287,483
Vancouver Centre/Vancouver-Centre,176,Vancouver,0,2,1,119,11,65,2,54,2,256,400
Vancouver Centre/Vancouver-Centre,177,Vancouver,0,1,0,75,16,34,0,74,0,200,389
Vancouver Centre/Vancouver-Centre,178,Vancouver,1,1,0,82,22,44,2,89,1,242,424
Vancouver Centre/Vancouver-Centre,179,Vancouver,0,1,0,93,10,29,0,69,0,202,374
Vancouver Centre/Vancouver-Centre,180,Vancouver,0,1,1,126,16,49,5,79,3,280,513
Vancouver Centre/Vancouver-Centre,181,Vancouver,0,2,0,124,15,44,1,66,0,252,382
Vancouver Centre/Vancouver-Centre,182A,Vancouver,0,3,0,75,18,35,0,61,0,192,300
Vancouver Centre/Vancouver-Centre,182B,Vancouver,0,0,0,67,13,27,0,60,0,167,298
Vancouver Centre/Vancouver-Centre,183,Vancouver,0,1,1,109,16,62,0,86,1,276,584
Vancouver Centre/Vancouver-Centre,184,Vancouver,1,1,1,98,9,65,3,53,5,236,469
Vancouver Centre/Vancouver-Centre,185,Vancouver,1,5,1,117,16,66,2,54,2,264,447
Vancouver Centre/Vancouver-Centre,186,Vancouver,2,9,2,85,7,51,0,104,2,262,506
Vancouver Centre/Vancouver-Centre,187,Vancouver,2,0,0,55,15,22,0,58,0,152,367
Vancouver Centre/Vancouver-Centre,188,Vancouver,0,0,0,75,17,32,2,117,0,243,440
Vancouver Centre/Vancouver-Centre,189,Vancouver,0,0,0,62,12,18,2,98,1,193,342
Vancouver Centre/Vancouver-Centre,190,Vancouver,1,2,1,57,21,13,1,106,0,202,282
Vancouver Centre/Vancouver-Centre,191,Vancouver,Merged with No. 190,,,,,,,,,,66
Vancouver Centre/Vancouver-Centre,192,Vancouver,Merged with No. 190,,,,,,,,,,61
Vancouver Centre/Vancouver-Centre,193,Vancouver,0,0,1,88,17,23,1,110,0,240,386
Vancouver Centre/Vancouver-Centre,194,Vancouver,0,0,2,37,15,12,1,55,0,122,242
Vancouver Centre/Vancouver-Centre,195,Vancouver,0,0,1,84,19,33,0,96,0,233,419
Vancouver Centre/Vancouver-Centre,196,Vancouver,0,1,1,50,15,7,1,51,0,126,235
Vancouver Centre/Vancouver-Centre,197,Vancouver,0,0,0,60,6,15,0,39,0,120,218
Vancouver Centre/Vancouver-Centre,400,Vancouver,0,4,0,39,2,33,0,12,0,90,216
Vancouver Centre/Vancouver-Centre,401,Vancouver,0,5,3,44,5,29,0,19,3,108,199
Vancouver Centre/Vancouver-Centre,402,Vancouver,1,3,0,8,2,6,0,9,3,32,70
Vancouver Centre/Vancouver-Centre,403,Vancouver,1,2,0,82,9,43,1,31,0,169,271
Vancouver Centre/Vancouver-Centre,500,Mobile poll/Bureau itinérant,2,2,1,33,3,17,1,38,3,100,237
Vancouver Centre/Vancouver-Centre,501,Mobile poll/Bureau itinérant,1,2,2,27,4,21,3,44,5,109,230
Vancouver Centre/Vancouver-Centre,502,Mobile poll/Bureau itinérant,1,0,0,38,2,29,0,28,0,98,202
Vancouver Centre/Vancouver-Centre,600,Vancouver,1,4,1,289,51,146,1,258,1,752,
Vancouver Centre/Vancouver-Centre,601,Vancouver,1,0,0,194,46,122,1,158,6,528,
Vancouver Centre/Vancouver-Centre,602,Vancouver,1,2,1,249,44,116,6,230,6,655,
Vancouver Centre/Vancouver-Centre,603,Vancouver,2,1,1,221,34,123,2,159,1,544,
Vancouver Centre/Vancouver-Centre,604,Vancouver,0,2,1,196,14,117,0,79,1,410,
Vancouver Centre/Vancouver-Centre,605,Vancouver,0,1,0,149,17,97,3,102,4,373,
Vancouver Centre/Vancouver-Centre,606,Vancouver,2,1,2,197,38,132,4,111,1,488,
Vancouver Centre/Vancouver-Centre,607,Vancouver,0,3,1,265,57,186,1,191,0,704,
Vancouver Centre/Vancouver-Centre,608,Vancouver,0,2,2,243,49,172,2,179,2,651,
Vancouver Centre/Vancouver-Centre,609,Vancouver,0,2,0,67,14,28,2,87,0,200,
Vancouver Centre/Vancouver-Centre,,Group 1/Groupe 1,0,1,0,68,12,33,3,44,10,171,247
Vancouver Centre/Vancouver-Centre,,Group 2/Groupe 2,1,2,2,329,48,191,0,238,16,827,
