District,Poll Number,Poll Name,Martin Baller,France Bonsant,Laurier Busque,Gary Caldwell,David Price,Rejected Ballots,Total Vote,Electors
Compton--Stanstead/Compton--Stanstead,150,Hatley,10,110,15,13,91,3,242,374
Compton--Stanstead/Compton--Stanstead,151,Sainte-Catherine-de-Hatley,7,54,8,19,101,1,190,314
Compton--Stanstead/Compton--Stanstead,152,North Hatley,5,26,6,8,64,0,109,190
Compton--Stanstead/Compton--Stanstead,153,North Hatley,12,60,16,25,169,2,284,499
Compton--Stanstead/Compton--Stanstead,154,Sainte-Catherine-de-Hatley,3,56,11,8,38,0,116,173
Compton--Stanstead/Compton--Stanstead,155,Sainte-Catherine-de-Hatley,16,200,19,26,105,6,372,553
Compton--Stanstead/Compton--Stanstead,156,Sainte-Catherine-de-Hatley,8,128,6,10,62,3,217,349
Compton--Stanstead/Compton--Stanstead,157,Sainte-Catherine-de-Hatley,4,83,9,10,24,3,133,283
Compton--Stanstead/Compton--Stanstead,158,Katevale,6,101,10,26,107,2,252,413
Compton--Stanstead/Compton--Stanstead,159,Katevale,6,54,8,18,148,0,234,419
Compton--Stanstead/Compton--Stanstead,160,Ayer's Cliff,4,64,13,34,195,5,315,341
Compton--Stanstead/Compton--Stanstead,161,Ayer's Cliff,Merged with No. 160,,,,,,,141
Compton--Stanstead/Compton--Stanstead,162,Hatley,8,81,22,45,169,4,329,561
Compton--Stanstead/Compton--Stanstead,163,Stanstead,4,19,9,33,151,5,221,355
Compton--Stanstead/Compton--Stanstead,164,Stanstead,9,154,10,49,107,3,332,516
Compton--Stanstead/Compton--Stanstead,165,Ogden,6,27,2,20,133,3,191,337
Compton--Stanstead/Compton--Stanstead,166,Ogden,5,21,4,26,79,1,136,274
Compton--Stanstead/Compton--Stanstead,167,Stanstead,8,19,2,29,116,0,174,362
Compton--Stanstead/Compton--Stanstead,168,Stanstead,10,35,4,26,104,1,180,396
Compton--Stanstead/Compton--Stanstead,169,Stanstead,10,20,3,13,106,1,153,394
Compton--Stanstead/Compton--Stanstead,170,Stanstead,3,28,2,17,146,0,196,377
Compton--Stanstead/Compton--Stanstead,171,Stanstead,7,34,3,27,154,1,226,441
Compton--Stanstead/Compton--Stanstead,172,Stanstead,4,45,8,8,114,0,179,374
Compton--Stanstead/Compton--Stanstead,173,Stanstead-Est,5,49,8,21,82,5,170,274
Compton--Stanstead/Compton--Stanstead,174,Stanstead-Est,8,33,3,15,74,0,133,227
Compton--Stanstead/Compton--Stanstead,175,Barnston-Ouest,8,57,17,41,96,1,220,345
Compton--Stanstead/Compton--Stanstead,176,Coaticook,6,97,7,23,82,4,219,381
Compton--Stanstead/Compton--Stanstead,177,Coaticook,4,72,5,25,88,6,200,390
Compton--Stanstead/Compton--Stanstead,178,Coaticook,4,30,1,20,45,3,103,240
Compton--Stanstead/Compton--Stanstead,179,Coaticook,4,78,4,40,67,0,193,349
Compton--Stanstead/Compton--Stanstead,180,Coaticook,5,63,7,24,63,2,164,322
Compton--Stanstead/Compton--Stanstead,181,Coaticook,1,48,0,11,42,2,104,221
Compton--Stanstead/Compton--Stanstead,182,Coaticook,5,70,7,19,64,2,167,414
Compton--Stanstead/Compton--Stanstead,183,Coaticook,5,80,3,25,77,5,195,372
Compton--Stanstead/Compton--Stanstead,184,Coaticook,4,97,6,17,76,0,200,408
Compton--Stanstead/Compton--Stanstead,185,Coaticook,2,67,5,36,87,2,199,350
Compton--Stanstead/Compton--Stanstead,186,Coaticook,4,42,2,14,44,2,108,242
Compton--Stanstead/Compton--Stanstead,187,Coaticook,1,55,1,16,54,2,129,262
Compton--Stanstead/Compton--Stanstead,188,Coaticook,4,73,5,16,69,5,172,333
Compton--Stanstead/Compton--Stanstead,189,Coaticook,4,102,10,32,124,6,278,488
Compton--Stanstead/Compton--Stanstead,190,Coaticook,4,90,4,59,91,1,249,424
Compton--Stanstead/Compton--Stanstead,191,Barnston,2,48,8,28,61,2,149,286
Compton--Stanstead/Compton--Stanstead,192,Barnston,4,78,3,35,45,4,169,334
Compton--Stanstead/Compton--Stanstead,193,Barnston,13,91,12,29,102,0,247,432
Compton--Stanstead/Compton--Stanstead,194,Dixville,8,53,5,34,62,6,168,304
Compton--Stanstead/Compton--Stanstead,195,Dixville,6,41,5,8,33,3,96,203
Compton--Stanstead/Compton--Stanstead,196,Barford,5,74,5,37,67,5,193,478
Compton--Stanstead/Compton--Stanstead,197,Saint-Herménégilde,7,111,2,43,100,10,273,465
Compton--Stanstead/Compton--Stanstead,198,Saint-Malo,5,92,0,40,66,1,204,326
Compton--Stanstead/Compton--Stanstead,199,East Hereford,5,47,9,17,83,7,168,292
Compton--Stanstead/Compton--Stanstead,500,Mobile poll/Bureau itinérant,2,4,2,2,12,2,24,55
Compton--Stanstead/Compton--Stanstead,501,Mobile poll/Bureau itinérant,2,9,1,7,14,0,33,50
Compton--Stanstead/Compton--Stanstead,502,Mobile poll/Bureau itinérant,8,20,4,4,26,1,63,80
Compton--Stanstead/Compton--Stanstead,503,Mobile poll/Bureau itinérant,7,6,2,19,105,3,142,190
Compton--Stanstead/Compton--Stanstead,504,Mobile poll/Bureau itinérant,6,14,4,5,32,3,64,98
Compton--Stanstead/Compton--Stanstead,505,Mobile poll/Bureau itinérant,13,9,1,5,82,8,118,197
Compton--Stanstead/Compton--Stanstead,600,Lingwick--Weedon,2,57,2,14,27,0,102,
Compton--Stanstead/Compton--Stanstead,601,Chartierville--Hampden,1,39,2,11,7,1,61,
Compton--Stanstead/Compton--Stanstead,602,East Angus,5,187,9,44,136,7,388,
Compton--Stanstead/Compton--Stanstead,603,Stoke,3,65,3,7,19,0,97,
Compton--Stanstead/Compton--Stanstead,604,Cookshire,7,79,7,27,73,2,195,
Compton--Stanstead/Compton--Stanstead,605,Waterville,9,75,5,31,83,2,205,
Compton--Stanstead/Compton--Stanstead,606,Sherbrooke,28,68,19,58,440,3,616,
Compton--Stanstead/Compton--Stanstead,607,Sherbrooke,14,156,11,27,121,4,333,
Compton--Stanstead/Compton--Stanstead,608,Sherbrooke,10,254,5,25,136,6,436,
Compton--Stanstead/Compton--Stanstead,609,Sherbrooke,6,222,12,35,122,4,401,
Compton--Stanstead/Compton--Stanstead,610,Sherbrooke,9,217,9,39,117,3,394,
Compton--Stanstead/Compton--Stanstead,611,North Hatley,15,108,14,26,152,0,315,
Compton--Stanstead/Compton--Stanstead,612,Stanstead,7,53,16,28,131,1,236,
Compton--Stanstead/Compton--Stanstead,613,Coaticook,4,109,1,25,198,4,341,
Compton--Stanstead/Compton--Stanstead,614,Saint-Herménégilde,0,28,0,6,28,0,62,
Compton--Stanstead/Compton--Stanstead,,Group 1/Groupe 1,5,40,6,31,59,3,144,259
Compton--Stanstead/Compton--Stanstead,,Group 2/Groupe 2,20,367,15,58,357,17,834,
